Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-05-14,2021-05-14 00:00:00.000000000,27.18,77.8,27.18,29.212,2048140.68,2021-05-14 23:59:59.999000064,74619557.60753,176594,1048845.3,38783689.35101,0
2021-05-15,2021-05-15 00:00:00.000000000,29.2,32.7,26.101,26.622,909417.91,2021-05-15 23:59:59.999000064,26291748.14888,76289,463346.76,13457913.09144,0
2021-05-16,2021-05-16 00:00:00.000000000,26.865,27.996,22.694,23.895,334890.13,2021-05-16 23:59:59.999000064,8535253.84933,28564,182021.59,4627302.79009,0
2021-05-17,2021-05-17 00:00:00.000000000,23.879,25.001,21.155,22.678,342267.94,2021-05-17 23:59:59.999000064,7809030.18835,30932,169983.04,3876382.84393,0
2021-05-18,2021-05-18 00:00:00.000000000,22.735,25.938,21.979,22.543,222359.51,2021-05-18 23:59:59.999000064,5310394.5506,20040,103111.66,2464631.91184,0
2021-05-19,2021-05-19 00:00:00.000000000,22.745,22.985,10.327,16.479,523010.18,2021-05-19 23:59:59.999000064,9510619.06143,30125,245520.61,4526311.84562,0
2021-05-20,2021-05-20 00:00:00.000000000,16.479,18.889,14.807,18.755,406826.98,2021-05-20 23:59:59.999000064,6710606.8785,23519,256172.37,4188341.66127,0
2021-05-21,2021-05-21 00:00:00.000000000,18.755,20.89,13.633,15.376,501008.02,2021-05-21 23:59:59.999000064,8319570.05786,29218,232112.35,3833773.87602,0
2021-05-22,2021-05-22 00:00:00.000000000,15.309,16.8,12.5,14.264,311117.44,2021-05-22 23:59:59.999000064,4397841.32674,21746,138333.56,1958468.86971,0
2021-05-23,2021-05-23 00:00:00.000000000,14.248,15.0,9.9,13.28,279919.45,2021-05-23 23:59:59.999000064,3352173.46122,14530,86308.15,1042178.87353,0
2021-05-24,2021-05-24 00:00:00.000000000,13.336,15.75,12.35,15.124,324527.73,2021-05-24 23:59:59.999000064,4671346.04261,21813,144234.66,2081071.46794,0
