Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-11-04,2020-11-04 00:00:00.000000000,0.1,0.29,0.1,0.14583,69822782.8,2020-11-04 23:59:59.999000064,11731934.462118,57255,31173036.6,5261576.592651,0
2020-11-05,2020-11-05 00:00:00.000000000,0.14617,0.15082,0.1262,0.1345,22903843.7,2020-11-05 23:59:59.999000064,3151932.432103,15657,9859499.9,1362905.213982,0
2020-11-06,2020-11-06 00:00:00.000000000,0.1341,0.15029,0.121,0.144,15284791.0,2020-11-06 23:59:59.999000064,2042407.608731,10960,7686622.7,1025605.144516,0
2020-11-07,2020-11-07 00:00:00.000000000,0.14312,0.16985,0.13418,0.14076,8860012.0,2020-11-07 23:59:59.999000064,1352355.791634,8511,3852476.0,593512.98528,0
2020-11-08,2020-11-08 00:00:00.000000000,0.14079,0.242,0.13844,0.19846,29086588.2,2020-11-08 23:59:59.999000064,5820373.971476,32783,14372598.4,2895560.068847,0
2020-11-09,2020-11-09 00:00:00.000000000,0.19716,0.325,0.19716,0.27978,32159035.7,2020-11-09 23:59:59.999000064,8652318.481585,40904,16348447.0,4426102.218368,0
2020-11-10,2020-11-10 00:00:00.000000000,0.27978,0.36917,0.245,0.26968,20424063.5,2020-11-10 23:59:59.999000064,6430246.143477,28679,10157910.4,3242505.938559,0
2020-11-11,2020-11-11 00:00:00.000000000,0.27063,0.437,0.26243,0.354,26801310.5,2020-11-11 23:59:59.999000064,9727349.645082,38952,14072070.4,5113625.514081,0
2020-11-12,2020-11-12 00:00:00.000000000,0.35035,0.38892,0.30277,0.31331,10879906.4,2020-11-12 23:59:59.999000064,3688566.049227,18243,4969167.6,1683281.413576,0
2020-11-13,2020-11-13 00:00:00.000000000,0.31554,0.43,0.31554,0.394,12076359.3,2020-11-13 23:59:59.999000064,4516818.772625,19303,6305258.5,2373805.118334,0
2020-11-14,2020-11-14 00:00:00.000000000,0.39405,0.6079,0.37142,0.56557,28978696.4,2020-11-14 23:59:59.999000064,14266069.641021,59741,15389883.7,7575544.275726,0
2020-11-15,2020-11-15 00:00:00.000000000,0.56447,0.686,0.50371,0.59068,29184590.8,2020-11-15 23:59:59.999000064,17278815.985309,72159,14743053.5,8742394.310575,0
2020-11-16,2020-11-16 00:00:00.000000000,0.59068,0.675,0.53652,0.55918,19747361.6,2020-11-16 23:59:59.999000064,11936330.306741,49054,9931047.8,6030450.937709,0
2020-11-17,2020-11-17 00:00:00.000000000,0.56217,0.603,0.452,0.50246,18710138.8,2020-11-17 23:59:59.999000064,9701056.914957,37276,9503717.5,4943805.129347,0
2020-11-18,2020-11-18 00:00:00.000000000,0.50245,0.57679,0.43225,0.51614,16066053.0,2020-11-18 23:59:59.999000064,8070212.841849,39251,8362700.4,4217196.514606,0
2020-11-19,2020-11-19 00:00:00.000000000,0.5165,0.56,0.43334,0.43821,12250627.8,2020-11-19 23:59:59.999000064,5928141.026785,30609,5634882.8,2752109.613764,0
2020-11-20,2020-11-20 00:00:00.000000000,0.44113,0.5462,0.43,0.49888,16837674.2,2020-11-20 23:59:59.999000064,8382863.577296,53085,9249036.8,4623130.644269,0
2020-11-21,2020-11-21 00:00:00.000000000,0.49826,0.5366,0.45603,0.468,9591165.2,2020-11-21 23:59:59.999000064,4749030.991803,28653,4817444.4,2390482.497808,0
2020-11-22,2020-11-22 00:00:00.000000000,0.46789,0.47339,0.4,0.42719,11438805.6,2020-11-22 23:59:59.999000064,4989388.290724,25183,5627151.7,2459035.400388,0
