Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-11-06,2017-11-06 00:00:00.000000000,1.5,1.799,0.5,1.571,120615.34,2017-11-06 23:59:59.999000064,192128.335549,918,47088.92,76279.89318,102276735.39579208
2017-11-07,2017-11-07 00:00:00.000000000,1.571,1.8,1.5389,1.8,134129.73,2017-11-07 23:59:59.999000064,224771.730969,851,77740.95,130637.808431,102361863.02439556
2017-11-08,2017-11-08 00:00:00.000000000,1.7901,1.99,1.7479,1.9889,347290.26,2017-11-08 23:59:59.999000064,661188.791512,2124,187899.67,362665.422644,102527543.46126838
2017-11-09,2017-11-09 00:00:00.000000000,1.9781,2.1997,1.9,1.99,287037.2,2017-11-09 23:59:59.999000064,585812.825704,1332,148065.7,303358.286789,102698364.75791303
2017-11-10,2017-11-10 00:00:00.000000000,1.99,2.02,1.6019,1.7133,484658.9,2017-11-10 23:59:59.999000064,885876.8652,1761,169341.17,313532.530513,102877851.28672743
2017-11-11,2017-11-11 00:00:00.000000000,1.79,1.925,1.58,1.655,258838.37,2017-11-11 23:59:59.999000064,452345.770169,1223,80833.37,146303.425317,103147066.67759029
2017-11-12,2017-11-12 00:00:00.000000000,1.6567,1.7,1.34,1.49,457159.72,2017-11-12 23:59:59.999000064,704902.989639,1783,134384.19,207464.632932,103170895.27326603
2017-11-13,2017-11-13 00:00:00.000000000,1.5,1.7381,1.5,1.68,166770.73,2017-11-13 23:59:59.999000064,273596.323188,1296,89168.73,147077.895676,103202299.61785242
2017-11-14,2017-11-14 00:00:00.000000000,1.6801,1.7381,1.5321,1.5911,177246.45,2017-11-14 23:59:59.999000064,285855.4757,1112,54519.4,88973.495528,103283801.49738690
2017-11-15,2017-11-15 00:00:00.000000000,1.5721,1.6794,1.49,1.5532,297638.34,2017-11-15 23:59:59.999000064,460183.52253,1625,49132.6,77668.356127,103569275.96791029
2017-11-16,2017-11-16 00:00:00.000000000,1.5533,1.6699,1.511,1.5599,198029.66,2017-11-16 23:59:59.999000064,315953.88804,1392,92484.73,148772.789123,103655936.19599012
2017-11-17,2017-11-17 00:00:00.000000000,1.5599,1.5765,1.49,1.5041,419446.58,2017-11-17 23:59:59.999000064,640592.380726,1372,91546.97,140599.156387,103672305.90878939
2017-11-18,2017-11-18 00:00:00.000000000,1.5041,1.6699,1.492,1.6699,172099.86,2017-11-18 23:59:59.999000064,270253.427936,914,101676.87,161314.198884,103701142.87668366
2017-11-19,2017-11-19 00:00:00.000000000,1.6524,1.6948,1.575,1.6,179701.62,2017-11-19 23:59:59.999000064,294879.465206,969,85933.78,142094.325997,103863904.10575652
