Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-06-25,2020-06-25 00:00:00.000000000,209.18,250.0,202.97,228.0,37101.7085,2020-06-25 23:59:59.999000064,8318233.0906507,25300,20162.1855,4526173.2116543,0
2020-06-26,2020-06-26 00:00:00.000000000,227.54,269.0,226.11,261.73,26524.5204,2020-06-26 23:59:59.999000064,6651576.956199,22854,12725.24389,3188139.2663025,0
2020-06-27,2020-06-27 00:00:00.000000000,262.04,264.76,222.28,231.0,15940.11709,2020-06-27 23:59:59.999000064,3878455.9833316,12291,6442.99442,1565117.9179726,0
2020-06-28,2020-06-28 00:00:00.000000000,231.1,253.0,226.15,245.45,10431.86668,2020-06-28 23:59:59.999000064,2531420.1978499,7348,4331.79028,1048417.9478767,0
2020-06-29,2020-06-29 00:00:00.000000000,245.3,245.99,232.0,233.44,8236.60397,2020-06-29 23:59:59.999000064,1954629.3658174,6863,3791.64684,900095.9710072,0
2020-06-30,2020-06-30 00:00:00.000000000,233.54,240.45,213.0,216.66,16078.22456,2020-06-30 23:59:59.999000064,3610361.1657056,33970,6722.24309,1507651.2382828,0
2020-07-01,2020-07-01 00:00:00.000000000,216.59,219.0,200.05,201.09,14551.42448,2020-07-01 23:59:59.999000064,3079467.78435,58796,6697.77857,1420788.5626388,0
2020-07-02,2020-07-02 00:00:00.000000000,200.56,204.77,172.98,180.01,29718.04212,2020-07-02 23:59:59.999000064,5584992.5869612,54102,13942.28113,2611039.6418362,0
2020-07-03,2020-07-03 00:00:00.000000000,180.21,193.88,170.42,171.91,21353.24222,2020-07-03 23:59:59.999000064,3830944.4476301,79173,11076.23556,1985524.8815693,0
2020-07-04,2020-07-04 00:00:00.000000000,171.62,193.0,163.43,180.42,25973.55181,2020-07-04 23:59:59.999000064,4582500.7814099,51640,11414.3017,2017042.6694278,0
2020-07-05,2020-07-05 00:00:00.000000000,180.5,220.0,177.7,201.66,37187.92325,2020-07-05 23:59:59.999000064,7536225.884544,43268,17932.71204,3632698.7682908,0
2020-07-06,2020-07-06 00:00:00.000000000,200.85,204.23,188.5,194.83,26148.04907,2020-07-06 23:59:59.999000064,5097517.7840878,77808,12308.27668,2397215.6161802,0
2020-07-07,2020-07-07 00:00:00.000000000,194.92,197.0,183.05,187.71,21819.0676,2020-07-07 23:59:59.999000064,4169262.5522406,81336,9591.77036,1836957.397199,0
2020-07-08,2020-07-08 00:00:00.000000000,187.71,188.9,180.77,184.57,24830.91003,2020-07-08 23:59:59.999000064,4570069.7207214,56248,11288.09024,2078734.884164,0
