Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-08-18,2020-08-18 00:00:00.000000000,2.09,4.44,2.0,3.1,6039881.97,2020-08-18 23:59:59.999000064,18375373.392336,22593,3458952.5,10596741.994704,0
2020-08-19,2020-08-19 00:00:00.000000000,3.1,3.1999,2.64,2.95,15895774.92,2020-08-19 23:59:59.999000064,47558321.633254,75075,9037381.99,27152372.2278,0
2020-08-20,2020-08-20 00:00:00.000000000,2.9449,3.1111,2.6,2.9,11040863.6,2020-08-20 23:59:59.999000064,31457410.866817,53797,5189595.84,14890085.872345,0
2020-08-21,2020-08-21 00:00:00.000000000,2.8978,3.09,2.6826,2.833,9765153.74,2020-08-21 23:59:59.999000064,28393535.853484,50378,5164025.18,15030060.894737,0
2020-08-22,2020-08-22 00:00:00.000000000,2.8387,4.55,2.782,4.4546,41611476.51,2020-08-22 23:59:59.999000064,158038898.765092,289179,23427260.15,88968596.115353,0
2020-08-23,2020-08-23 00:00:00.000000000,4.4756,4.4864,3.7032,3.9779,23845309.65,2020-08-23 23:59:59.999000064,95428986.261665,175491,11759754.05,47013688.94093,0
2020-08-24,2020-08-24 00:00:00.000000000,3.9805,4.7983,3.78,4.5759,25843953.12,2020-08-24 23:59:59.999000064,109846588.655713,189041,14601332.13,61886451.255408,0
2020-08-25,2020-08-25 00:00:00.000000000,4.5759,5.77,4.48,5.5412,39457369.99,2020-08-25 23:59:59.999000064,198629064.460091,335897,21588604.34,108864420.934219,0
2020-08-26,2020-08-26 00:00:00.000000000,5.5412,6.57,5.1015,6.0708,37811519.74,2020-08-26 23:59:59.999000064,220764309.967986,323009,22195096.63,129604659.564569,0
2020-08-27,2020-08-27 00:00:00.000000000,6.0708,6.8,5.2001,5.6547,42626336.42,2020-08-27 23:59:59.999000064,254544768.748318,342856,21248677.32,127146658.69595,0
2020-08-28,2020-08-28 00:00:00.000000000,5.6569,6.35,5.462,6.1812,24019172.63,2020-08-28 23:59:59.999000064,143282994.413159,219336,12411549.07,73969909.308032,0
2020-08-29,2020-08-29 00:00:00.000000000,6.1769,6.556,6.0032,6.1333,15360444.96,2020-08-29 23:59:59.999000064,96738124.107342,158107,7888550.45,49695817.081734,0
2020-08-30,2020-08-30 00:00:00.000000000,6.1339,6.251,5.6999,5.8912,13266535.91,2020-08-30 23:59:59.999000064,79304141.69388,152937,6823989.8,40802286.923813,0
2020-08-31,2020-08-31 00:00:00.000000000,5.8875,6.4662,5.7541,6.2718,13564047.71,2020-08-31 23:59:59.999000064,83178113.342485,156933,6839851.84,41888927.534283,0
2020-09-01,2020-09-01 00:00:00.000000000,6.2712,6.8619,6.12,6.239,16330264.82,2020-09-01 23:59:59.999000064,105652410.569904,190791,8011059.78,51898427.006216,0
2020-09-02,2020-09-02 00:00:00.000000000,6.24,6.4472,5.58,6.1374,15500500.04,2020-09-02 23:59:59.999000064,93395820.330234,180233,7477224.91,45155970.417901,0
2020-09-03,2020-09-03 00:00:00.000000000,6.1375,6.3325,5.5471,5.6743,21239867.51,2020-09-03 23:59:59.999000064,127670120.658439,210984,10121518.46,60968416.183787,0
2020-09-04,2020-09-04 00:00:00.000000000,5.6743,5.99,4.5,5.1019,28314850.39,2020-09-04 23:59:59.999000064,149896428.923211,243715,13893028.85,73838844.401612,0
2020-09-05,2020-09-05 00:00:00.000000000,5.0987,5.3147,3.5321,4.1456,32791302.31,2020-09-05 23:59:59.999000064,143610169.191128,256705,15037552.05,66139254.947862,0
2020-09-06,2020-09-06 00:00:00.000000000,4.1456,4.921,3.7298,4.784,23608694.54,2020-09-06 23:59:59.999000064,104476521.403038,184455,11878282.29,52716489.385523,0
2020-09-07,2020-09-07 00:00:00.000000000,4.7849,4.8367,4.001,4.5944,16089613.82,2020-09-07 23:59:59.999000064,70783102.011423,135886,7828589.32,34449700.874609,0
2020-09-08,2020-09-08 00:00:00.000000000,4.5967,4.6339,4.1067,4.2787,10449746.7,2020-09-08 23:59:59.999000064,45273756.942433,78684,4945532.85,21432968.79637,0
2020-09-09,2020-09-09 00:00:00.000000000,4.2657,4.7935,4.077,4.7003,11225976.14,2020-09-09 23:59:59.999000064,50401817.278242,88997,5410628.26,24333111.750158,0
2020-09-10,2020-09-10 00:00:00.000000000,4.7003,4.8894,4.4308,4.5796,9912392.07,2020-09-10 23:59:59.999000064,46053296.665892,78092,4425894.77,20558264.200705,0
2020-09-11,2020-09-11 00:00:00.000000000,4.5781,4.75,4.31,4.6498,9013005.18,2020-09-11 23:59:59.999000064,40569470.753882,73965,4263128.71,19158082.117428,0
2020-09-12,2020-09-12 00:00:00.000000000,4.6433,5.296,4.4998,5.1385,12566058.18,2020-09-12 23:59:59.999000064,61409150.776726,103823,6023905.07,29398052.2814,0
2020-09-13,2020-09-13 00:00:00.000000000,5.1379,5.4771,4.7668,5.3213,16262645.74,2020-09-13 23:59:59.999000064,83366010.768212,137138,7916085.27,40518800.289768,0
2020-09-14,2020-09-14 00:00:00.000000000,5.3198,5.5761,5.0911,5.3555,14288009.6,2020-09-14 23:59:59.999000064,76292313.572999,131805,6916494.55,36947841.162626,0
2020-09-15,2020-09-15 00:00:00.000000000,5.3597,5.45,5.012,5.0535,10306445.21,2020-09-15 23:59:59.999000064,54210373.801356,95819,4976218.84,26174206.30004,0
2020-09-16,2020-09-16 00:00:00.000000000,5.0535,5.28,4.9578,5.0712,8102718.15,2020-09-16 23:59:59.999000064,41274456.703631,74112,4043855.7,20614504.578778,0
2020-09-17,2020-09-17 00:00:00.000000000,5.0739,5.4261,5.043,5.3354,10973999.33,2020-09-17 23:59:59.999000064,57511699.703967,107941,5456535.33,28569294.079056,0
2020-09-18,2020-09-18 00:00:00.000000000,5.3313,5.455,5.0939,5.2616,7241901.56,2020-09-18 23:59:59.999000064,38069226.660935,85065,3597883.04,18924951.861764,0
2020-09-19,2020-09-19 00:00:00.000000000,5.2595,5.264,4.7862,4.924,6124417.44,2020-09-19 23:59:59.999000064,30794741.088753,62749,3115610.11,15637164.979547,0
2020-09-20,2020-09-20 00:00:00.000000000,4.9205,4.9707,4.3715,4.6518,11400427.77,2020-09-20 23:59:59.999000064,52953401.248455,109144,6252919.6,28974787.805843,0
2020-09-21,2020-09-21 00:00:00.000000000,4.656,4.6969,3.91,4.0691,18249034.01,2020-09-21 23:59:59.999000064,76679925.476092,164108,9088378.82,38291106.868731,0
2020-09-22,2020-09-22 00:00:00.000000000,4.07,4.2103,3.9,4.1625,8023448.28,2020-09-22 23:59:59.999000064,32710887.50394,71397,3790227.25,15465657.31408,0
2020-09-23,2020-09-23 00:00:00.000000000,4.1623,4.3241,3.94,4.0077,9432617.01,2020-09-23 23:59:59.999000064,38859121.128485,83223,4551523.19,18767859.250716,0
2020-09-24,2020-09-24 00:00:00.000000000,4.0128,4.49,3.9616,4.3782,8363967.02,2020-09-24 23:59:59.999000064,35564854.18027,82064,4216748.81,17929793.975207,0
2020-09-25,2020-09-25 00:00:00.000000000,4.3784,4.5299,4.241,4.4139,6666492.08,2020-09-25 23:59:59.999000064,29115518.960414,66308,3309377.66,14457225.424761,0
2020-09-26,2020-09-26 00:00:00.000000000,4.4139,4.4819,4.224,4.3308,3890876.06,2020-09-26 23:59:59.999000064,16891450.714135,41073,1830395.9,7946304.849818,0
2020-09-27,2020-09-27 00:00:00.000000000,4.3329,4.3641,4.1152,4.2962,3814327.15,2020-09-27 23:59:59.999000064,16170603.463626,39322,1839275.22,7798387.855579,0
2020-09-28,2020-09-28 00:00:00.000000000,4.2999,4.5939,4.2474,4.4501,9835916.81,2020-09-28 23:59:59.999000064,43671163.470051,85541,4678442.48,20770616.290103,0
2020-09-29,2020-09-29 00:00:00.000000000,4.45,4.6112,4.331,4.4969,7753017.85,2020-09-29 23:59:59.999000064,34774996.961177,75852,3587236.33,16105605.237743,0
2020-09-30,2020-09-30 00:00:00.000000000,4.497,4.5,4.2288,4.3458,4418266.77,2020-09-30 23:59:59.999000064,19247738.974639,43336,2282405.25,9949099.215238,0
2020-10-01,2020-10-01 00:00:00.000000000,4.3459,4.5858,4.2317,4.3468,7358246.56,2020-10-01 23:59:59.999000064,32447493.78143,64032,3886380.31,17123066.382625,0
2020-10-02,2020-10-02 00:00:00.000000000,4.3427,4.3621,3.8882,4.1282,7748588.83,2020-10-02 23:59:59.999000064,31624107.029144,69895,3538392.39,14449141.161392,0
2020-10-03,2020-10-03 00:00:00.000000000,4.128,4.1349,4.0263,4.0607,3078936.51,2020-10-03 23:59:59.999000064,12583124.647453,27152,1487616.47,6081779.383006,0
2020-10-04,2020-10-04 00:00:00.000000000,4.0606,4.199,4.0111,4.177,2792994.5,2020-10-04 23:59:59.999000064,11467093.872754,27625,1420514.05,5837255.923802,0
2020-10-05,2020-10-05 00:00:00.000000000,4.1744,4.25,4.106,4.1621,4362181.16,2020-10-05 23:59:59.999000064,18272535.171666,36387,2212184.78,9269965.163052,0
2020-10-06,2020-10-06 00:00:00.000000000,4.1589,4.18,3.606,3.7465,9256379.98,2020-10-06 23:59:59.999000064,36200442.747869,82176,4322095.25,16904107.41468,0
2020-10-07,2020-10-07 00:00:00.000000000,3.7461,3.8964,3.6,3.8517,8599075.85,2020-10-07 23:59:59.999000064,32357646.136783,72796,4342934.15,16357243.99669,0
2020-10-08,2020-10-08 00:00:00.000000000,3.8538,4.1625,3.6333,4.1163,8531658.6,2020-10-08 23:59:59.999000064,33198573.053645,77723,4273759.0,16632369.958384,0
2020-10-09,2020-10-09 00:00:00.000000000,4.1145,4.35,4.0087,4.2541,6400372.85,2020-10-09 23:59:59.999000064,26790390.286398,61822,3224519.67,13498488.143508,0
2020-10-10,2020-10-10 00:00:00.000000000,4.2546,4.489,4.23,4.2606,5182487.56,2020-10-10 23:59:59.999000064,22540088.826369,52376,2549406.08,11091352.62919,0
2020-10-11,2020-10-11 00:00:00.000000000,4.2579,4.3355,4.1683,4.245,3675666.58,2020-10-11 23:59:59.999000064,15617937.695164,38117,1781470.74,7571141.375283,0
2020-10-12,2020-10-12 00:00:00.000000000,4.2464,4.4501,4.1899,4.3075,6228123.12,2020-10-12 23:59:59.999000064,27013072.904984,59521,3105047.43,13473024.604883,0
2020-10-13,2020-10-13 00:00:00.000000000,4.3099,4.3464,4.1302,4.2473,4643179.26,2020-10-13 23:59:59.999000064,19771038.842639,37207,2243912.32,9549997.513676,0
2020-10-14,2020-10-14 00:00:00.000000000,4.2515,4.3795,4.0836,4.1829,5239195.66,2020-10-14 23:59:59.999000064,22247127.96231,44525,2647735.1,11234664.897615,0
2020-10-15,2020-10-15 00:00:00.000000000,4.1816,4.1873,4.02,4.099,3826663.78,2020-10-15 23:59:59.999000064,15744975.025034,35415,1937616.17,7974148.369973,0
2020-10-16,2020-10-16 00:00:00.000000000,4.099,4.1562,3.8,3.9106,5544038.18,2020-10-16 23:59:59.999000064,21826981.677354,48887,2694634.54,10613671.164565,0
2020-10-17,2020-10-17 00:00:00.000000000,3.9132,3.9799,3.8607,3.9663,1738606.63,2020-10-17 23:59:59.999000064,6836554.196153,16454,860767.67,3385888.906522,0
2020-10-18,2020-10-18 00:00:00.000000000,3.9652,4.125,3.954,4.1068,2456005.5,2020-10-18 23:59:59.999000064,9983556.456588,21908,1253992.88,5096994.585539,0
2020-10-19,2020-10-19 00:00:00.000000000,4.107,4.1229,3.9501,3.986,2740611.47,2020-10-19 23:59:59.999000064,11063216.657162,28418,1167123.02,4715620.448287,0
2020-10-20,2020-10-20 00:00:00.000000000,3.9843,4.149,3.8641,3.9034,5741108.49,2020-10-20 23:59:59.999000064,23005564.339957,56343,2710911.48,10867126.544696,0
2020-10-21,2020-10-21 00:00:00.000000000,3.9034,4.26,3.8907,4.1352,7288864.8,2020-10-21 23:59:59.999000064,29764999.223351,70281,3636453.0,14864836.106029,0
2020-10-22,2020-10-22 00:00:00.000000000,4.1329,4.338,4.1234,4.2683,5757990.79,2020-10-22 23:59:59.999000064,24403327.368138,57011,2982704.29,12617295.190012,0
2020-10-23,2020-10-23 00:00:00.000000000,4.2696,4.48,4.185,4.2633,8353056.52,2020-10-23 23:59:59.999000064,36192277.897394,71429,4236956.0,18388014.052233,0
2020-10-24,2020-10-24 00:00:00.000000000,4.264,4.43,4.2381,4.3536,4486543.97,2020-10-24 23:59:59.999000064,19562136.201884,40668,2058986.08,8980801.205154,0
2020-10-25,2020-10-25 00:00:00.000000000,4.35,4.4495,4.2588,4.331,4100261.59,2020-10-25 23:59:59.999000064,17836698.674838,36383,1900139.11,8272390.323975,0
2020-10-26,2020-10-26 00:00:00.000000000,4.3315,4.7475,4.2906,4.7031,11305772.22,2020-10-26 23:59:59.999000064,51456482.4742,99841,5668343.14,25802717.208273,0
2020-10-27,2020-10-27 00:00:00.000000000,4.7064,4.95,4.6429,4.6721,10646881.65,2020-10-27 23:59:59.999000064,50810121.510993,94703,4997016.42,23866872.237582,0
2020-10-28,2020-10-28 00:00:00.000000000,4.6723,4.78,4.252,4.357,9278337.14,2020-10-28 23:59:59.999000064,41428280.823465,92491,4546456.7,20321741.503218,0
2020-10-29,2020-10-29 00:00:00.000000000,4.3569,4.4115,3.8469,4.0605,10671185.96,2020-10-29 23:59:59.999000064,44302334.904489,93913,4934537.19,20468114.466964,0
2020-10-30,2020-10-30 00:00:00.000000000,4.0605,4.162,3.9153,4.0845,7322005.17,2020-10-30 23:59:59.999000064,29642827.620062,64346,3572040.98,14468218.917807,0
2020-10-31,2020-10-31 00:00:00.000000000,4.0843,4.282,4.0574,4.1854,3270318.58,2020-10-31 23:59:59.999000064,13700526.122784,32232,1631429.85,6835019.589193,0
2020-11-01,2020-11-01 00:00:00.000000000,4.1833,4.225,4.1079,4.2211,2456433.2,2020-11-01 23:59:59.999000064,10230038.521185,23459,1150788.37,4796042.149838,0
2020-11-02,2020-11-02 00:00:00.000000000,4.2211,4.2627,3.96,4.0316,5197343.74,2020-11-02 23:59:59.999000064,21260452.406904,45126,2486394.66,10164285.76119,0
2020-11-03,2020-11-03 00:00:00.000000000,4.0272,4.0694,3.8842,4.0362,5133339.46,2020-11-03 23:59:59.999000064,20342448.723259,50535,2359344.08,9358197.334026,0
2020-11-04,2020-11-04 00:00:00.000000000,4.0377,4.1556,3.8915,4.0969,7425623.62,2020-11-04 23:59:59.999000064,29848311.663052,71645,3738695.45,15027397.38514,0
2020-11-05,2020-11-05 00:00:00.000000000,4.0988,4.3,4.0105,4.2229,6288599.56,2020-11-05 23:59:59.999000064,26180294.789032,65088,3209095.52,13371873.48773,0
2020-11-06,2020-11-06 00:00:00.000000000,4.2248,4.64,4.202,4.5826,8938274.32,2020-11-06 23:59:59.999000064,39722355.480857,86488,4438727.46,19727543.971741,0
2020-11-07,2020-11-07 00:00:00.000000000,4.5837,4.8586,4.08,4.2341,15757508.9,2020-11-07 23:59:59.999000064,69816455.507502,159057,7981427.25,35375473.564642,0
2020-11-08,2020-11-08 00:00:00.000000000,4.2311,4.4275,4.13,4.3736,5332066.66,2020-11-08 23:59:59.999000064,23008688.942506,48730,2578364.21,11130536.256534,0
2020-11-09,2020-11-09 00:00:00.000000000,4.3733,4.4639,4.2395,4.3463,5918543.0,2020-11-09 23:59:59.999000064,25757952.203137,52808,2942207.61,12811250.410746,0
2020-11-10,2020-11-10 00:00:00.000000000,4.3476,4.5061,4.2998,4.4231,5197286.34,2020-11-10 23:59:59.999000064,22849607.73701,54610,2479629.15,10904575.089248,0
2020-11-11,2020-11-11 00:00:00.000000000,4.423,4.63,4.4168,4.4461,6264704.63,2020-11-11 23:59:59.999000064,28217524.228517,63078,3096187.46,13959768.32528,0
2020-11-12,2020-11-12 00:00:00.000000000,4.446,4.4758,4.3103,4.4042,4584711.89,2020-11-12 23:59:59.999000064,20088297.790813,56403,2165577.93,9490282.842065,0
