Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-11-10,2021-11-10 00:00:00.000000000,43.66,120.0,43.66,73.82,6140557.61,2021-11-10 23:59:59.999000064,424098906.417,751060,2899689.45,201549745.6962,0
2021-11-11,2021-11-11 00:00:00.000000000,73.87,86.76,55.06,55.31,3948818.81,2021-11-11 23:59:59.999000064,271878388.0788,510570,1923142.17,132943057.2685,0
2021-11-12,2021-11-12 00:00:00.000000000,55.38,64.94,50.0,54.65,2126466.36,2021-11-12 23:59:59.999000064,119756579.5016,236262,1007412.42,56942238.78,0
2021-11-13,2021-11-13 00:00:00.000000000,54.6,63.58,48.0,55.57,2193469.09,2021-11-13 23:59:59.999000064,121128444.3997,221380,986397.73,54793686.509,0
2021-11-14,2021-11-14 00:00:00.000000000,55.58,62.49,53.2,56.21,1322151.69,2021-11-14 23:59:59.999000064,76963807.4285,135747,597455.0,34878710.9392,0
2021-11-15,2021-11-15 00:00:00.000000000,56.22,60.15,50.05,55.77,1803171.58,2021-11-15 23:59:59.999000064,99603816.3613,149028,875697.92,48525490.452,0
2021-11-16,2021-11-16 00:00:00.000000000,55.75,55.94,47.91,48.17,1789182.35,2021-11-16 23:59:59.999000064,93185599.4754,143078,796666.85,41536838.2831,0
2021-11-17,2021-11-17 00:00:00.000000000,48.21,50.6,45.45,48.16,1310706.19,2021-11-17 23:59:59.999000064,62845090.2444,99826,648709.7,31130082.1109,0
2021-11-18,2021-11-18 00:00:00.000000000,48.14,50.94,40.05,41.31,1438354.24,2021-11-18 23:59:59.999000064,64980369.5481,98232,703501.05,31775038.6075,0
2021-11-19,2021-11-19 00:00:00.000000000,41.33,51.2,38.39,47.84,1513024.78,2021-11-19 23:59:59.999000064,68763131.3983,111725,745977.89,33996840.007,0
2021-11-20,2021-11-20 00:00:00.000000000,47.8,49.69,44.51,46.78,832173.96,2021-11-20 23:59:59.999000064,38884512.3037,57784,382966.13,17903028.1721,0
2021-11-21,2021-11-21 00:00:00.000000000,46.78,46.83,41.39,42.06,983085.28,2021-11-21 23:59:59.999000064,42891429.2562,74144,470132.15,20492132.4292,0
2021-11-22,2021-11-22 00:00:00.000000000,42.06,47.13,39.86,40.97,1534197.42,2021-11-22 23:59:59.999000064,65617611.4486,106835,739243.21,31640791.6177,0
2021-11-23,2021-11-23 00:00:00.000000000,40.92,53.0,40.46,50.8,2288542.92,2021-11-23 23:59:59.999000064,106124696.1951,187641,1158394.6,53611080.9511,0
2021-11-24,2021-11-24 00:00:00.000000000,50.8,51.21,45.84,49.17,1153521.29,2021-11-24 23:59:59.999000064,55557090.3392,98297,553775.11,26703710.1771,0
2021-11-25,2021-11-25 00:00:00.000000000,49.22,73.0,48.3,68.31,4015128.37,2021-11-25 23:59:59.999000064,250707516.1615,454531,2041193.44,127287782.8216,0
2021-11-26,2021-11-26 00:00:00.000000000,68.24,77.0,55.1,59.51,3708353.65,2021-11-26 23:59:59.999000064,239987848.834,356583,1677368.03,109185817.5928,0
2021-11-27,2021-11-27 00:00:00.000000000,59.52,84.0,59.1,73.45,3728749.65,2021-11-27 23:59:59.999000064,280338178.3114,395876,1882756.59,141656168.9043,0
2021-11-28,2021-11-28 00:00:00.000000000,73.45,76.69,65.0,76.15,2685887.3,2021-11-28 23:59:59.999000064,191375756.3946,268154,1282741.31,91714827.5214,0
2021-11-29,2021-11-29 00:00:00.000000000,76.14,82.75,69.5,70.21,2039843.68,2021-11-29 23:59:59.999000064,153506361.8071,209682,996734.67,75259195.848,0
2021-11-30,2021-11-30 00:00:00.000000000,70.21,78.12,66.0,69.93,1633783.32,2021-11-30 23:59:59.999000064,116387008.4159,203847,812769.7,57988638.5669,0
2021-12-01,2021-12-01 00:00:00.000000000,69.98,74.91,63.21,64.81,1591713.0,2021-12-01 23:59:59.999000064,108428444.895,178944,777150.14,53011379.4826,0
2021-12-02,2021-12-02 00:00:00.000000000,64.81,64.84,58.5,61.67,1133043.63,2021-12-02 23:59:59.999000064,69395071.1058,132302,566934.07,34711757.7508,0
2021-12-03,2021-12-03 00:00:00.000000000,61.68,63.29,50.0,54.24,1543989.9,2021-12-03 23:59:59.999000064,87538378.4533,171498,749934.92,42488897.7552,0
