Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2018-05-28,2018-05-28 00:00:00.000000000,12.49,12.65,11.28,11.4788,3494258.32,2018-05-28 23:59:59.999000064,41697515.299887,33754,1872584.78,22360745.531915,0
2018-05-29,2018-05-29 00:00:00.000000000,11.4853,12.465,10.7,12.1112,6709192.34,2018-05-29 23:59:59.999000064,78163973.766028,67086,3489407.08,40624840.885001,0
2018-05-30,2018-05-30 00:00:00.000000000,12.1113,12.82,11.6206,11.8968,6514864.18,2018-05-30 23:59:59.999000064,78559433.806235,52521,3456858.76,41692086.361287,0
2018-05-31,2018-05-31 00:00:00.000000000,11.8712,12.74,11.8116,12.2353,6540020.8,2018-05-31 23:59:59.999000064,80454508.713931,55055,3457530.35,42533291.802125,0
2018-06-01,2018-06-01 00:00:00.000000000,12.2351,12.3889,11.8354,12.2048,5946136.88,2018-06-01 23:59:59.999000064,72160734.196035,53090,3245736.46,39409225.610682,0
2018-06-02,2018-06-02 00:00:00.000000000,12.2143,15.6774,12.1039,14.6976,9812623.63,2018-06-02 23:59:59.999000064,137660461.764177,133426,5079497.05,71122595.26837,0
2018-06-03,2018-06-03 00:00:00.000000000,14.6976,15.451,14.2266,14.5304,5800716.38,2018-06-03 23:59:59.999000064,85527513.834105,81730,2731021.79,40279750.690823,0
2018-06-04,2018-06-04 00:00:00.000000000,14.5304,14.8424,13.23,13.462,4878116.53,2018-06-04 23:59:59.999000064,67436603.013829,69831,2448176.03,33854880.617442,0
2018-06-05,2018-06-05 00:00:00.000000000,13.4619,14.3,12.71,14.1996,6430602.84,2018-06-05 23:59:59.999000064,87989130.243631,86468,3347435.66,45892425.111823,0
2018-06-06,2018-06-06 00:00:00.000000000,14.1978,14.3,13.3677,13.9072,5958713.33,2018-06-06 23:59:59.999000064,82746536.402525,69194,3133537.56,43562204.091178,0
2018-06-07,2018-06-07 00:00:00.000000000,13.91,14.7409,13.6,14.7207,6061410.77,2018-06-07 23:59:59.999000064,84985557.597138,69656,3373986.16,47279269.884848,0
2018-06-08,2018-06-08 00:00:00.000000000,14.7205,14.9,13.55,13.9637,2727726.06,2018-06-08 23:59:59.999000064,38752065.578961,66798,1219800.56,17340345.809562,0
2018-06-09,2018-06-09 00:00:00.000000000,13.9794,15.0015,13.92,14.15,2592900.65,2018-06-09 23:59:59.999000064,37660350.149416,70817,1390960.24,20219743.706201,0
2018-06-10,2018-06-10 00:00:00.000000000,14.15,14.1642,10.98,11.7313,10540465.95,2018-06-10 23:59:59.999000064,134421113.929142,117253,5843168.92,74517518.839632,0
2018-06-11,2018-06-11 00:00:00.000000000,11.7355,11.93,10.61,11.7719,8878723.1,2018-06-11 23:59:59.999000064,100318882.537055,109917,5174443.52,58462458.298041,0
2018-06-12,2018-06-12 00:00:00.000000000,11.771,11.78,9.68,10.0909,9168694.85,2018-06-12 23:59:59.999000064,99873337.991996,98326,5361700.17,58428566.093911,0
2018-06-13,2018-06-13 00:00:00.000000000,10.0909,10.47,9.12,10.037,10351432.78,2018-06-13 23:59:59.999000064,102359990.497655,113104,5782310.23,57261137.189482,0
2018-06-14,2018-06-14 00:00:00.000000000,10.0312,11.7899,9.462,11.2534,10052349.0,2018-06-14 23:59:59.999000064,106523028.940055,128840,5180605.42,54872807.863107,0
2018-06-15,2018-06-15 00:00:00.000000000,11.2534,11.45,10.5107,10.6547,5408054.38,2018-06-15 23:59:59.999000064,59514835.838016,81960,2769422.09,30490026.988673,0
2018-06-16,2018-06-16 00:00:00.000000000,10.6504,10.8667,10.16,10.5254,6053921.05,2018-06-16 23:59:59.999000064,64397314.350904,69941,3530757.6,37592373.5587,0
2018-06-17,2018-06-17 00:00:00.000000000,10.5254,10.75,10.25,10.3388,1627761.79,2018-06-17 23:59:59.999000064,17059301.816238,38446,846251.27,8857444.513965,0
2018-06-18,2018-06-18 00:00:00.000000000,10.3388,10.899,10.0963,10.6791,10669784.21,2018-06-18 23:59:59.999000064,110552296.95424,73020,6758048.46,69992077.084456,0
2018-06-19,2018-06-19 00:00:00.000000000,10.6738,10.9693,10.38,10.658,7961229.86,2018-06-19 23:59:59.999000064,84254902.549564,53189,4792195.86,50700962.533173,0
2018-06-20,2018-06-20 00:00:00.000000000,10.6507,10.7495,10.16,10.412,8798849.05,2018-06-20 23:59:59.999000064,91455464.480084,59765,5815298.09,60457568.026021,0
2018-06-21,2018-06-21 00:00:00.000000000,10.4077,10.83,10.2032,10.4099,8923799.16,2018-06-21 23:59:59.999000064,93496975.064174,55757,5786251.54,60637628.399053,0
2018-06-22,2018-06-22 00:00:00.000000000,10.4031,10.432,8.246,8.5198,11547386.83,2018-06-22 23:59:59.999000064,106261475.894052,100813,6326747.52,58369092.669725,0
