Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-10-15,2020-10-15 00:00:00.000000000,10.0,430.0,10.0,62.5418,1083589.84,2020-10-15 23:59:59.999000064,71986882.81039,170124,530923.14,35391589.383895,0
2020-10-16,2020-10-16 00:00:00.000000000,62.5902,75.8725,38.8302,44.348,1696876.76,2020-10-16 23:59:59.999000064,94610024.246734,240258,806748.36,45227095.145522,0
2020-10-17,2020-10-17 00:00:00.000000000,44.3512,50.6273,40.3325,42.24,672950.78,2020-10-17 23:59:59.999000064,30288097.443803,107899,330452.82,14874965.909586,0
2020-10-18,2020-10-18 00:00:00.000000000,42.2364,42.3136,31.7722,32.4049,593629.16,2020-10-18 23:59:59.999000064,21712478.074311,76375,309192.97,11299162.308201,0
2020-10-19,2020-10-19 00:00:00.000000000,32.3569,35.0,29.9321,33.9755,814098.46,2020-10-19 23:59:59.999000064,25991803.426603,83389,398467.17,12734604.970313,0
2020-10-20,2020-10-20 00:00:00.000000000,33.9203,34.0,30.1783,31.175,310168.39,2020-10-20 23:59:59.999000064,10001257.444526,35304,146198.19,4712061.197637,0
2020-10-21,2020-10-21 00:00:00.000000000,31.1293,31.8875,26.5013,26.5028,455344.06,2020-10-21 23:59:59.999000064,13417064.61069,49170,226917.15,6708966.84469,0
2020-10-22,2020-10-22 00:00:00.000000000,26.5197,26.8362,22.6,23.739,703079.84,2020-10-22 23:59:59.999000064,17508966.355803,73427,375889.95,9377109.984147,0
2020-10-23,2020-10-23 00:00:00.000000000,23.707,25.7,20.6023,23.8771,832249.99,2020-10-23 23:59:59.999000064,19176249.765638,78476,438090.45,10132358.411235,0
2020-10-24,2020-10-24 00:00:00.000000000,23.8806,26.7346,22.257,25.8076,772683.6,2020-10-24 23:59:59.999000064,18735062.909447,73888,402521.56,9769994.616701,0
2020-10-25,2020-10-25 00:00:00.000000000,25.7672,39.7777,25.3386,38.6663,1500278.48,2020-10-25 23:59:59.999000064,49366340.646332,165546,766705.34,25164804.017837,0
2020-10-26,2020-10-26 00:00:00.000000000,38.7826,40.8939,31.9795,33.7887,1061248.86,2020-10-26 23:59:59.999000064,39141633.193815,128602,528920.66,19479303.843174,0
2020-10-27,2020-10-27 00:00:00.000000000,33.854,37.9,32.6056,35.1693,571656.41,2020-10-27 23:59:59.999000064,19941373.368345,74414,292992.31,10227372.654117,0
2020-10-28,2020-10-28 00:00:00.000000000,35.1506,36.5,32.6309,33.6161,552030.18,2020-10-28 23:59:59.999000064,18890620.853953,63240,265197.57,9079791.683947,0
2020-10-29,2020-10-29 00:00:00.000000000,33.5782,34.1836,31.8001,32.52,614406.89,2020-10-29 23:59:59.999000064,20324040.307308,54548,308537.52,10207734.799924,0
2020-10-30,2020-10-30 00:00:00.000000000,32.52,32.52,28.5677,29.2175,956640.96,2020-10-30 23:59:59.999000064,28855090.04756,87376,511211.78,15404322.909409,0
2020-10-31,2020-10-31 00:00:00.000000000,29.2173,32.431,28.1306,31.2848,677740.01,2020-10-31 23:59:59.999000064,20485494.024528,68680,367039.96,11084592.781785,0
2020-11-01,2020-11-01 00:00:00.000000000,31.3196,31.8877,30.5975,31.6076,334260.05,2020-11-01 23:59:59.999000064,10404439.590408,35991,191405.72,5960835.093048,0
2020-11-02,2020-11-02 00:00:00.000000000,31.5645,31.9782,29.36,29.6401,661737.85,2020-11-02 23:59:59.999000064,19997634.977802,64365,365151.56,11033607.464223,0
2020-11-03,2020-11-03 00:00:00.000000000,29.6254,29.685,27.9081,28.8364,603170.03,2020-11-03 23:59:59.999000064,17239091.4349,51948,321218.36,9171427.242766,0
2020-11-04,2020-11-04 00:00:00.000000000,28.8386,29.5325,28.1668,28.8967,549375.41,2020-11-04 23:59:59.999000064,15782367.984456,134836,285067.6,8192109.64299,0
2020-11-05,2020-11-05 00:00:00.000000000,28.8979,30.2522,28.3853,29.3544,628207.45,2020-11-05 23:59:59.999000064,18343809.942382,77941,336239.09,9812060.567261,0
2020-11-06,2020-11-06 00:00:00.000000000,29.3518,33.3,29.1761,31.6801,1324665.71,2020-11-06 23:59:59.999000064,41300301.497913,95078,653422.79,20332600.36669,0
2020-11-07,2020-11-07 00:00:00.000000000,31.7016,33.3249,29.3275,29.9356,1342540.77,2020-11-07 23:59:59.999000064,41997758.588604,101487,682405.48,21347482.862783,0
2020-11-08,2020-11-08 00:00:00.000000000,29.9355,31.1902,29.5915,30.7588,356552.66,2020-11-08 23:59:59.999000064,10863952.173712,34960,176750.56,5384169.256129,0
2020-11-09,2020-11-09 00:00:00.000000000,30.7588,32.3992,30.3332,31.2188,678300.25,2020-11-09 23:59:59.999000064,21222399.247023,51430,349228.77,10930874.378898,0
2020-11-10,2020-11-10 00:00:00.000000000,31.2116,31.3165,30.2852,30.3614,711348.49,2020-11-10 23:59:59.999000064,21906204.865014,65079,415849.26,12812031.579686,0
2020-11-11,2020-11-11 00:00:00.000000000,30.3614,30.9654,29.8457,30.0939,553179.49,2020-11-11 23:59:59.999000064,16858450.071356,37492,274141.88,8354517.902865,0
2020-11-12,2020-11-12 00:00:00.000000000,30.1095,30.3338,28.6667,29.4952,602392.94,2020-11-12 23:59:59.999000064,17883669.838103,53327,297660.34,8841151.117512,0
2020-11-13,2020-11-13 00:00:00.000000000,29.4851,30.0507,29.0847,29.155,432455.91,2020-11-13 23:59:59.999000064,12758838.316752,37889,229213.36,6762218.643775,0
2020-11-14,2020-11-14 00:00:00.000000000,29.16,29.4685,28.4731,29.2753,504114.99,2020-11-14 23:59:59.999000064,14588166.379702,46689,269304.48,7790991.220252,0
2020-11-15,2020-11-15 00:00:00.000000000,29.2825,29.3447,27.4413,27.7306,534821.82,2020-11-15 23:59:59.999000064,15203645.003184,45944,259689.94,7387629.244136,0
2020-11-16,2020-11-16 00:00:00.000000000,27.7306,28.016,27.1839,27.448,603708.65,2020-11-16 23:59:59.999000064,16679885.629403,51258,329551.97,9106077.974846,0
2020-11-17,2020-11-17 00:00:00.000000000,27.4414,30.0167,27.3292,29.111,874683.52,2020-11-17 23:59:59.999000064,25253788.659734,73453,435557.38,12572303.116849,0
2020-11-18,2020-11-18 00:00:00.000000000,29.1068,29.7911,27.7213,28.8206,779951.97,2020-11-18 23:59:59.999000064,22437842.237376,57958,388646.4,11186848.507076,0
2020-11-19,2020-11-19 00:00:00.000000000,28.8202,29.3398,28.3821,28.8326,369770.07,2020-11-19 23:59:59.999000064,10671472.470003,31926,177974.76,5135510.6113,0
2020-11-20,2020-11-20 00:00:00.000000000,28.8452,30.0,28.7314,29.0516,625457.86,2020-11-20 23:59:59.999000064,18306391.069273,66522,311837.38,9126562.797451,0
2020-11-21,2020-11-21 00:00:00.000000000,29.0497,31.1452,28.8075,29.9369,1071209.41,2020-11-21 23:59:59.999000064,31819775.474233,83887,527089.31,15655166.936955,0
