Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-04-27,2020-04-27 00:00:00.000000000,0.4178,0.92,0.4178,0.448,35448674.01,2020-04-27 23:59:59.999000064,21971324.294539,55361,15465824.99,9674867.96718,0
2020-04-28,2020-04-28 00:00:00.000000000,0.449,0.4992,0.4231,0.4414,9890494.13,2020-04-28 23:59:59.999000064,4491780.019433,18548,4264912.65,1941942.222528,0
2020-04-29,2020-04-29 00:00:00.000000000,0.4414,0.5038,0.3928,0.4443,17343441.23,2020-04-29 23:59:59.999000064,7771763.847553,33753,7891890.39,3546296.614362,0
2020-04-30,2020-04-30 00:00:00.000000000,0.4443,0.4893,0.416,0.4186,7504188.42,2020-04-30 23:59:59.999000064,3382944.310447,19428,3696577.21,1682080.821517,0
2020-05-01,2020-05-01 00:00:00.000000000,0.4186,0.4224,0.3645,0.3708,6929603.57,2020-05-01 23:59:59.999000064,2745298.106595,17684,2770910.98,1093929.660969,0
2020-05-02,2020-05-02 00:00:00.000000000,0.3717,0.3917,0.3378,0.3386,7226361.15,2020-05-02 23:59:59.999000064,2619255.741716,15650,3068418.25,1118739.240691,0
2020-05-03,2020-05-03 00:00:00.000000000,0.3386,0.4388,0.3059,0.4061,20210374.41,2020-05-03 23:59:59.999000064,7461884.735809,34054,10604641.22,3916284.93693,0
2020-05-04,2020-05-04 00:00:00.000000000,0.4061,0.4734,0.3603,0.4231,24012971.96,2020-05-04 23:59:59.999000064,10055752.721343,47117,11830497.36,4970108.085763,0
2020-05-05,2020-05-05 00:00:00.000000000,0.4241,0.437,0.391,0.4007,7335302.83,2020-05-05 23:59:59.999000064,3002211.580667,18297,3074494.0,1258042.471267,0
2020-05-06,2020-05-06 00:00:00.000000000,0.4013,0.409,0.361,0.3708,5181761.35,2020-05-06 23:59:59.999000064,1997001.541337,11899,2273733.7,878649.316946,0
2020-05-07,2020-05-07 00:00:00.000000000,0.3708,0.3854,0.3519,0.3604,3685069.84,2020-05-07 23:59:59.999000064,1352814.802342,9292,1772370.49,654342.260254,0
2020-05-08,2020-05-08 00:00:00.000000000,0.3608,0.3955,0.3608,0.362,2596086.24,2020-05-08 23:59:59.999000064,961348.558191,6741,958755.32,356205.584486,0
2020-05-09,2020-05-09 00:00:00.000000000,0.3621,0.375,0.3485,0.3502,1969815.75,2020-05-09 23:59:59.999000064,708608.451846,5103,872499.11,314673.593467,0
2020-05-10,2020-05-10 00:00:00.000000000,0.3501,0.3507,0.2919,0.307,2992874.5,2020-05-10 23:59:59.999000064,945187.797371,7170,1354931.6,426765.831514,0
2020-05-11,2020-05-11 00:00:00.000000000,0.307,0.3654,0.307,0.3189,3942022.66,2020-05-11 23:59:59.999000064,1315560.781709,9791,1879315.37,629326.998926,0
2020-05-12,2020-05-12 00:00:00.000000000,0.3183,0.34,0.3105,0.3229,1752010.73,2020-05-12 23:59:59.999000064,569940.306112,3990,777523.2,253558.378444,0
2020-05-13,2020-05-13 00:00:00.000000000,0.3221,0.3292,0.32,0.3226,1270854.91,2020-05-13 23:59:59.999000064,412226.127257,3207,552131.27,179416.312603,0
2020-05-14,2020-05-14 00:00:00.000000000,0.323,0.3398,0.3176,0.331,1748907.16,2020-05-14 23:59:59.999000064,572477.150585,4290,840755.63,276373.755033,0
2020-05-15,2020-05-15 00:00:00.000000000,0.331,0.3351,0.308,0.3148,1118502.1,2020-05-15 23:59:59.999000064,359401.536252,3193,397382.46,128433.301773,0
2020-05-16,2020-05-16 00:00:00.000000000,0.3158,0.317,0.3057,0.3077,1137619.39,2020-05-16 23:59:59.999000064,354023.743681,2914,423185.74,132055.496314,0
2020-05-17,2020-05-17 00:00:00.000000000,0.3073,0.3585,0.3,0.3527,3638821.15,2020-05-17 23:59:59.999000064,1178811.987293,7781,1801294.52,584451.422407,0
2020-05-18,2020-05-18 00:00:00.000000000,0.3527,0.3535,0.3205,0.3221,4369090.93,2020-05-18 23:59:59.999000064,1452385.972714,8086,1680278.14,559860.313088,0
2020-05-19,2020-05-19 00:00:00.000000000,0.3221,0.373,0.3134,0.3166,8780242.95,2020-05-19 23:59:59.999000064,2890036.432267,12985,4357448.43,1437549.549581,0
2020-05-20,2020-05-20 00:00:00.000000000,0.316,0.3375,0.3121,0.319,5248748.23,2020-05-20 23:59:59.999000064,1699400.711902,9479,2771668.62,898589.453458,0
