Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-05-11,2021-05-11 00:00:00.000000000,249.28,2831.02,249.28,364.01,1773623.0,2021-05-11 23:59:59.999000064,764591899.9366,891645,851784.95,368472391.599,0
2021-05-12,2021-05-12 00:00:00.000000000,364.06,390.0,255.0,258.02,1291354.53,2021-05-12 23:59:59.999000064,414516365.258,579731,651576.38,209881460.795,0
2021-05-13,2021-05-13 00:00:00.000000000,258.0,346.81,252.0,301.44,815229.63,2021-05-13 23:59:59.999000064,243652043.4392,342992,419226.9,125517831.3084,0
2021-05-14,2021-05-14 00:00:00.000000000,301.48,341.0,291.39,304.13,462179.09,2021-05-14 23:59:59.999000064,146787243.0804,244089,243669.34,77478979.3508,0
2021-05-15,2021-05-15 00:00:00.000000000,304.1,305.03,240.0,246.06,540015.89,2021-05-15 23:59:59.999000064,147323891.1646,279787,272713.3,74466977.4869,0
2021-05-16,2021-05-16 00:00:00.000000000,246.06,263.68,205.07,225.19,507341.61,2021-05-16 23:59:59.999000064,121367602.5974,238666,254210.83,60971829.5401,0
2021-05-17,2021-05-17 00:00:00.000000000,225.16,226.35,184.39,195.59,520889.77,2021-05-17 23:59:59.999000064,107177156.0652,193063,260182.13,53589239.5728,0
2021-05-18,2021-05-18 00:00:00.000000000,195.58,205.82,160.34,163.47,690553.08,2021-05-18 23:59:59.999000064,125077388.7359,241586,355216.25,64379613.898,0
2021-05-19,2021-05-19 00:00:00.000000000,163.66,179.12,92.0,122.79,1274193.75,2021-05-19 23:59:59.999000064,174228543.6153,312218,603627.66,82856076.0133,0
2021-05-20,2021-05-20 00:00:00.000000000,122.83,224.11,103.63,164.15,3769557.35,2021-05-20 23:59:59.999000064,665313473.3124,873847,1975073.62,349006676.3054,0
2021-05-21,2021-05-21 00:00:00.000000000,163.92,186.91,120.0,145.88,2026467.63,2021-05-21 23:59:59.999000064,320708922.0478,455978,1029958.3,163272450.6011,0
2021-05-22,2021-05-22 00:00:00.000000000,145.87,169.53,124.76,146.23,1206414.61,2021-05-22 23:59:59.999000064,173888916.3315,280741,614260.27,88785729.602,0
2021-05-23,2021-05-23 00:00:00.000000000,145.92,165.59,120.62,143.94,1455176.26,2021-05-23 23:59:59.999000064,204307112.2197,306320,734316.24,103322474.6594,0
2021-05-24,2021-05-24 00:00:00.000000000,143.97,163.6,135.5,147.67,1260806.93,2021-05-24 23:59:59.999000064,185818253.9957,293023,652010.24,96164235.3496,0
2021-05-25,2021-05-25 00:00:00.000000000,147.62,157.0,122.6,134.04,1029887.3,2021-05-25 23:59:59.999000064,141857129.5933,224793,517312.07,71184522.9482,0
2021-05-26,2021-05-26 00:00:00.000000000,134.01,152.35,131.89,142.67,1080307.24,2021-05-26 23:59:59.999000064,153196202.0234,209655,525541.09,74446452.9897,0
2021-05-27,2021-05-27 00:00:00.000000000,142.53,145.79,129.65,132.12,684980.11,2021-05-27 23:59:59.999000064,92965129.4319,154093,335812.69,45619920.5654,0
2021-05-28,2021-05-28 00:00:00.000000000,132.13,132.94,110.08,115.65,832199.55,2021-05-28 23:59:59.999000064,99865787.7746,188553,403373.62,48310278.5875,0
2021-05-29,2021-05-29 00:00:00.000000000,115.65,119.76,105.6,110.75,500541.51,2021-05-29 23:59:59.999000064,56100383.8738,108886,242369.11,27195840.0436,0
2021-05-30,2021-05-30 00:00:00.000000000,110.77,118.97,104.4,111.9,456137.64,2021-05-30 23:59:59.999000064,50731679.7164,99356,233701.52,26014521.399,0
2021-05-31,2021-05-31 00:00:00.000000000,111.87,115.36,105.15,114.65,496847.77,2021-05-31 23:59:59.999000064,55088922.2222,101963,252052.1,27970423.1539,0
2021-06-01,2021-06-01 00:00:00.000000000,114.65,117.11,106.47,107.58,418636.87,2021-06-01 23:59:59.999000064,46351813.5332,91533,207562.27,22985905.2922,0
2021-06-02,2021-06-02 00:00:00.000000000,107.58,113.06,101.97,108.01,806345.16,2021-06-02 23:59:59.999000064,86248012.3969,175667,378520.25,40503020.364,0
2021-06-03,2021-06-03 00:00:00.000000000,107.89,136.62,105.2,124.54,1666717.82,2021-06-03 23:59:59.999000064,202294195.3119,323366,847487.65,102863625.2024,0
2021-06-04,2021-06-04 00:00:00.000000000,124.5,124.54,105.24,108.78,1329668.01,2021-06-04 23:59:59.999000064,151013113.2644,275990,652997.11,74135126.0312,0
2021-06-05,2021-06-05 00:00:00.000000000,108.71,116.26,100.0,104.55,755203.97,2021-06-05 23:59:59.999000064,81864643.5602,170071,355904.3,38713920.2501,0
2021-06-06,2021-06-06 00:00:00.000000000,104.5,110.0,102.39,104.49,512306.77,2021-06-06 23:59:59.999000064,54100304.566,89120,262864.93,27784768.1376,0
2021-06-07,2021-06-07 00:00:00.000000000,104.42,106.73,88.88,91.13,819469.64,2021-06-07 23:59:59.999000064,82093920.624,176841,366299.09,36759031.0533,0
2021-06-08,2021-06-08 00:00:00.000000000,91.14,94.37,76.72,81.31,1081773.46,2021-06-08 23:59:59.999000064,92100852.9555,181284,530436.96,45140767.3018,0
2021-06-09,2021-06-09 00:00:00.000000000,81.31,88.99,77.1,81.55,1226553.49,2021-06-09 23:59:59.999000064,100763768.3205,190683,632480.36,51983946.8776,0
2021-06-10,2021-06-10 00:00:00.000000000,81.55,83.69,65.35,66.57,2095644.84,2021-06-10 23:59:59.999000064,152652152.2398,295219,1019732.15,74207369.3692,0
2021-06-11,2021-06-11 00:00:00.000000000,66.54,72.39,56.14,58.49,2119023.27,2021-06-11 23:59:59.999000064,137189815.2857,281430,1016662.18,65835812.4211,0
2021-06-12,2021-06-12 00:00:00.000000000,58.4,67.66,52.92,61.08,2179939.38,2021-06-12 23:59:59.999000064,128861473.3249,259288,1084872.78,64289427.7731,0
2021-06-13,2021-06-13 00:00:00.000000000,61.07,67.0,57.18,64.45,2035143.16,2021-06-13 23:59:59.999000064,125963640.7236,222659,1001058.3,61991241.2589,0
2021-06-14,2021-06-14 00:00:00.000000000,64.44,70.81,61.88,66.69,1588608.47,2021-06-14 23:59:59.999000064,104997053.1333,182637,816889.65,54089143.6462,0
2021-06-15,2021-06-15 00:00:00.000000000,66.69,68.88,58.58,60.39,1801762.13,2021-06-15 23:59:59.999000064,113215344.468,193071,873003.12,54935787.0301,0
2021-06-16,2021-06-16 00:00:00.000000000,60.32,60.41,54.72,55.34,1323822.44,2021-06-16 23:59:59.999000064,75387425.4721,146359,641811.0,36578949.6293,0
2021-06-17,2021-06-17 00:00:00.000000000,55.34,60.18,51.02,54.09,1388646.51,2021-06-17 23:59:59.999000064,76137054.7503,152658,716234.13,39351987.2455,0
2021-06-18,2021-06-18 00:00:00.000000000,54.12,55.54,46.89,48.44,1305078.1,2021-06-18 23:59:59.999000064,66065252.3896,128868,624023.82,31605743.098,0
2021-06-19,2021-06-19 00:00:00.000000000,48.44,54.9,46.33,48.62,1737401.79,2021-06-19 23:59:59.999000064,88358981.5682,157614,886162.39,45070550.0482,0
2021-06-20,2021-06-20 00:00:00.000000000,48.64,50.7,44.0,47.1,1463587.92,2021-06-20 23:59:59.999000064,69289982.8288,133053,709270.79,33643504.7181,0
2021-06-21,2021-06-21 00:00:00.000000000,47.12,47.64,36.2,36.61,2441109.22,2021-06-21 23:59:59.999000064,100108832.5988,201475,1146278.93,47079499.3695,0
2021-06-22,2021-06-22 00:00:00.000000000,36.66,40.13,31.82,34.54,2316371.81,2021-06-22 23:59:59.999000064,83181244.8916,190912,1145031.97,41207527.87,0
2021-06-23,2021-06-23 00:00:00.000000000,34.52,41.5,32.86,37.75,2192089.96,2021-06-23 23:59:59.999000064,82759657.4462,166143,1115297.97,42139720.0653,0
2021-06-24,2021-06-24 00:00:00.000000000,37.74,38.89,33.12,34.6,2212299.09,2021-06-24 23:59:59.999000064,79276516.8743,175031,1117536.92,40107714.9786,0
2021-06-25,2021-06-25 00:00:00.000000000,34.61,36.7,30.7,31.13,2238122.07,2021-06-25 23:59:59.999000064,74667578.3225,165214,1075233.22,35874964.1446,0
2021-06-26,2021-06-26 00:00:00.000000000,31.11,33.75,28.26,30.34,2335156.08,2021-06-26 23:59:59.999000064,70046158.1104,144079,1178718.05,35299484.9313,0
2021-06-27,2021-06-27 00:00:00.000000000,30.32,46.0,29.45,43.0,4776729.13,2021-06-27 23:59:59.999000064,174264118.1449,349534,2446361.72,89356152.797,0
2021-06-28,2021-06-28 00:00:00.000000000,42.99,51.5,40.48,51.26,5785634.89,2021-06-28 23:59:59.999000064,256657188.2272,428518,2906315.24,129174629.6682,0
2021-06-29,2021-06-29 00:00:00.000000000,51.21,59.45,46.79,54.22,5280307.53,2021-06-29 23:59:59.999000064,275033025.5053,446425,2733310.22,142445764.2576,0
2021-06-30,2021-06-30 00:00:00.000000000,54.16,54.69,43.2,49.94,6250390.78,2021-06-30 23:59:59.999000064,301142999.052,428104,3003922.9,145045039.4232,0
2021-07-01,2021-07-01 00:00:00.000000000,49.92,50.79,44.2,45.69,3381335.99,2021-07-01 23:59:59.999000064,157749664.7182,240532,1672320.31,78071554.9786,0
2021-07-02,2021-07-02 00:00:00.000000000,45.69,47.43,41.42,43.87,2459456.31,2021-07-02 23:59:59.999000064,106081355.3356,178057,1212427.73,52320615.8122,0
2021-07-03,2021-07-03 00:00:00.000000000,43.86,50.0,42.72,48.74,2483121.27,2021-07-03 23:59:59.999000064,116197398.2953,194548,1274386.4,59702973.0995,0
2021-07-04,2021-07-04 00:00:00.000000000,48.77,50.98,46.43,46.71,2116096.87,2021-07-04 23:59:59.999000064,103114128.5534,176817,1023911.64,49955752.4999,0
2021-07-05,2021-07-05 00:00:00.000000000,46.72,48.0,44.0,46.22,2131768.05,2021-07-05 23:59:59.999000064,97641278.5149,162589,1045500.62,47912788.7903,0
2021-07-06,2021-07-06 00:00:00.000000000,46.24,48.45,45.0,46.2,1682990.23,2021-07-06 23:59:59.999000064,78391547.5293,129176,845881.56,39455337.5584,0
2021-07-07,2021-07-07 00:00:00.000000000,46.2,47.95,45.0,45.37,1486321.71,2021-07-07 23:59:59.999000064,69079875.3977,115476,728972.32,33925602.7353,0
2021-07-08,2021-07-08 00:00:00.000000000,45.37,45.5,39.16,40.28,1723697.25,2021-07-08 23:59:59.999000064,72182997.6453,144843,813415.18,34053755.5172,0
2021-07-09,2021-07-09 00:00:00.000000000,40.27,42.52,37.28,40.6,1377879.2,2021-07-09 23:59:59.999000064,55251874.2786,109419,696702.54,27955264.8734,0
2021-07-10,2021-07-10 00:00:00.000000000,40.57,42.11,37.61,38.64,1190654.85,2021-07-10 23:59:59.999000064,46984461.501,95813,561738.26,22180712.3439,0
2021-07-11,2021-07-11 00:00:00.000000000,38.62,41.46,37.73,39.71,1073749.97,2021-07-11 23:59:59.999000064,42857708.9012,82249,553377.5,22096060.8632,0
2021-07-12,2021-07-12 00:00:00.000000000,39.74,40.99,35.91,37.22,1035412.03,2021-07-12 23:59:59.999000064,39956673.8383,81090,483811.83,18696660.1472,0
2021-07-13,2021-07-13 00:00:00.000000000,37.21,39.95,35.21,38.92,1471520.55,2021-07-13 23:59:59.999000064,55032313.9817,105053,759493.21,28431789.0136,0
2021-07-14,2021-07-14 00:00:00.000000000,38.98,39.86,35.27,36.89,2086244.42,2021-07-14 23:59:59.999000064,78155089.1548,137269,1045307.31,39202920.5335,0
2021-07-15,2021-07-15 00:00:00.000000000,36.86,38.39,35.3,35.96,1358762.63,2021-07-15 23:59:59.999000064,49864303.6842,96213,645769.81,23731432.9925,0
2021-07-16,2021-07-16 00:00:00.000000000,35.99,36.12,32.14,32.37,1117974.43,2021-07-16 23:59:59.999000064,38383594.9323,80475,513091.91,17624128.6214,0
2021-07-17,2021-07-17 00:00:00.000000000,32.36,33.51,31.13,32.27,998923.24,2021-07-17 23:59:59.999000064,32370532.7943,63867,493885.72,16005857.1064,0
2021-07-18,2021-07-18 00:00:00.000000000,32.28,34.8,31.86,32.36,899628.77,2021-07-18 23:59:59.999000064,29810968.3105,56880,448421.94,14867236.6995,0
2021-07-19,2021-07-19 00:00:00.000000000,32.36,32.59,29.81,30.92,876692.94,2021-07-19 23:59:59.999000064,27185495.2752,58087,427289.64,13251513.6594,0
2021-07-20,2021-07-20 00:00:00.000000000,30.92,31.55,26.9,28.53,1376424.88,2021-07-20 23:59:59.999000064,39421073.8783,85656,656887.13,18823955.02,0
2021-07-21,2021-07-21 00:00:00.000000000,28.54,35.16,27.74,33.51,2226540.52,2021-07-21 23:59:59.999000064,72362762.054,146639,1109632.04,36057421.7451,0
2021-07-22,2021-07-22 00:00:00.000000000,33.49,35.5,32.15,33.75,2705596.56,2021-07-22 23:59:59.999000064,91925977.6699,136095,1342865.79,45668837.1439,0
2021-07-23,2021-07-23 00:00:00.000000000,33.75,35.09,31.68,34.65,1721674.64,2021-07-23 23:59:59.999000064,57723882.9649,96072,842083.63,28257775.6921,0
2021-07-24,2021-07-24 00:00:00.000000000,34.65,45.74,33.83,43.48,4780213.02,2021-07-24 23:59:59.999000064,190987005.1016,351763,2445927.1,97694716.1427,0
2021-07-25,2021-07-25 00:00:00.000000000,43.49,46.04,40.38,42.6,4365420.01,2021-07-25 23:59:59.999000064,187234119.0513,293808,2155204.42,92513715.9198,0
2021-07-26,2021-07-26 00:00:00.000000000,42.59,48.2,40.48,40.6,3939219.13,2021-07-26 23:59:59.999000064,175724633.1295,315475,1964211.65,87836860.5782,0
2021-07-27,2021-07-27 00:00:00.000000000,40.59,41.79,37.46,41.01,3223737.65,2021-07-27 23:59:59.999000064,127386432.7376,223168,1594713.16,63072286.6343,0
2021-07-28,2021-07-28 00:00:00.000000000,41.03,43.85,39.27,40.75,2427977.48,2021-07-28 23:59:59.999000064,101186780.7098,167220,1161258.51,48390794.1415,0
2021-07-29,2021-07-29 00:00:00.000000000,40.77,41.92,39.03,41.25,1347700.76,2021-07-29 23:59:59.999000064,54189550.4173,91385,659154.79,26522647.6184,0
2021-07-30,2021-07-30 00:00:00.000000000,41.25,42.76,38.19,42.19,1766069.8,2021-07-30 23:59:59.999000064,71647299.1132,119750,821525.09,33300145.003,0
2021-07-31,2021-07-31 00:00:00.000000000,42.21,43.97,40.36,41.97,1840642.86,2021-07-31 23:59:59.999000064,77080771.1235,138090,916758.78,38428186.647,0
2021-08-01,2021-08-01 00:00:00.000000000,41.95,44.66,40.61,40.87,1879639.57,2021-08-01 23:59:59.999000064,79942281.2222,146370,927983.93,39489623.1461,0
2021-08-02,2021-08-02 00:00:00.000000000,40.86,41.51,39.71,40.18,1304588.71,2021-08-02 23:59:59.999000064,52872885.1566,86114,640991.7,25983423.8609,0
2021-08-03,2021-08-03 00:00:00.000000000,40.2,40.66,37.51,38.53,1391723.45,2021-08-03 23:59:59.999000064,53771285.9231,95484,692779.28,26762309.6241,0
2021-08-04,2021-08-04 00:00:00.000000000,38.55,40.46,37.78,39.32,1373394.84,2021-08-04 23:59:59.999000064,53966659.4046,95782,702513.29,27603142.2486,0
2021-08-05,2021-08-05 00:00:00.000000000,39.31,42.75,38.12,42.1,1605678.43,2021-08-05 23:59:59.999000064,64430274.7507,116798,793259.6,31850059.881,0
2021-08-06,2021-08-06 00:00:00.000000000,42.1,52.5,40.45,48.27,4556012.16,2021-08-06 23:59:59.999000064,213614866.9266,357722,2276340.93,106517930.1058,0
