Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-01-10,2022-01-10 00:00:00.000000000,3.751,4.3,3.419,3.784,2555922.8,2022-01-10 23:59:59.999000064,9670673.03038,19099,1328016.21,5016136.90181,0
2022-01-11,2022-01-11 00:00:00.000000000,3.791,3.91,3.3,3.597,3493404.44,2022-01-11 23:59:59.999000064,12291136.88757,20115,1405214.45,4959498.84788,0
2022-01-12,2022-01-12 00:00:00.000000000,3.597,3.858,3.52,3.725,3496505.58,2022-01-12 23:59:59.999000064,12923191.5948,15936,1532802.69,5668854.39506,0
2022-01-13,2022-01-13 00:00:00.000000000,3.717,3.782,3.5,3.505,2142172.61,2022-01-13 23:59:59.999000064,7779571.39264,12195,1050155.41,3817226.8723,0
2022-01-14,2022-01-14 00:00:00.000000000,3.519,3.642,3.479,3.562,1694636.09,2022-01-14 23:59:59.999000064,6030425.21987,8482,703038.88,2503022.03711,0
2022-01-15,2022-01-15 00:00:00.000000000,3.56,3.69,3.53,3.621,1226166.13,2022-01-15 23:59:59.999000064,4414922.20893,7180,582482.85,2100205.14099,0
2022-01-16,2022-01-16 00:00:00.000000000,3.617,4.679,3.613,4.158,9797322.76,2022-01-16 23:59:59.999000064,40897682.1987,104831,3643803.0,15257622.20451,0
2022-01-17,2022-01-17 00:00:00.000000000,4.156,4.299,3.679,3.764,3357901.67,2022-01-17 23:59:59.999000064,13391682.50042,29420,1373413.58,5484685.86314,0
2022-01-18,2022-01-18 00:00:00.000000000,3.762,3.85,3.502,3.73,2239700.67,2022-01-18 23:59:59.999000064,8178947.15973,16260,1077974.31,3946546.42652,0
2022-01-19,2022-01-19 00:00:00.000000000,3.73,3.802,3.496,3.562,1400080.68,2022-01-19 23:59:59.999000064,5061489.38338,11895,595819.85,2159410.53207,0
2022-01-20,2022-01-20 00:00:00.000000000,3.565,3.758,3.339,3.358,2045567.79,2022-01-20 23:59:59.999000064,7297946.71787,13046,912332.01,3266834.05294,0
2022-01-21,2022-01-21 00:00:00.000000000,3.35,3.426,2.643,2.71,4218572.84,2022-01-21 23:59:59.999000064,12883030.80278,24053,1859361.93,5684847.55388,0
2022-01-22,2022-01-22 00:00:00.000000000,2.711,2.914,2.01,2.454,6291567.52,2022-01-22 23:59:59.999000064,15260815.12151,30676,2670501.18,6501937.51184,0
2022-01-23,2022-01-23 00:00:00.000000000,2.469,2.599,2.246,2.503,2074790.14,2022-01-23 23:59:59.999000064,5044294.31548,15346,1034361.8,2519544.77535,0
2022-01-24,2022-01-24 00:00:00.000000000,2.502,2.507,2.0,2.32,3114147.77,2022-01-24 23:59:59.999000064,6782336.21723,18246,1447318.36,3167611.28345,0
2022-01-25,2022-01-25 00:00:00.000000000,2.32,2.459,2.196,2.355,1831313.27,2022-01-25 23:59:59.999000064,4243908.12567,12661,877211.04,2039571.02586,0
2022-01-26,2022-01-26 00:00:00.000000000,2.354,3.313,2.309,2.996,9650551.51,2022-01-26 23:59:59.999000064,27776892.69228,59550,4617753.21,13277288.57923,0
2022-01-27,2022-01-27 00:00:00.000000000,3.001,3.083,2.496,2.656,5773668.75,2022-01-27 23:59:59.999000064,15756358.20123,39424,2658240.49,7253771.79753,0
