Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-06-24,2021-06-24 00:00:00.000000000,0.8974,1.356,0.8974,1.0157,34224060.0,2021-06-24 23:59:59.999000064,36869465.8617,123798,17861748.0,19288708.9368,0
2021-06-25,2021-06-25 00:00:00.000000000,1.0158,1.0791,0.9178,0.931,9375602.0,2021-06-25 23:59:59.999000064,9339741.3568,39558,4732748.0,4709587.4304,0
2021-06-26,2021-06-26 00:00:00.000000000,0.93,0.965,0.8635,0.9341,3597904.0,2021-06-26 23:59:59.999000064,3310780.6378,14126,1898364.0,1745224.6193,0
2021-06-27,2021-06-27 00:00:00.000000000,0.9341,1.0014,0.92,0.9933,2319212.0,2021-06-27 23:59:59.999000064,2201934.4184,10099,1201746.0,1140396.8795,0
2021-06-28,2021-06-28 00:00:00.000000000,0.9911,1.046,0.957,1.0028,2989909.0,2021-06-28 23:59:59.999000064,2943534.2911,11530,1556996.0,1536005.5426,0
2021-06-29,2021-06-29 00:00:00.000000000,1.0029,1.07,1.0004,1.0301,3946774.0,2021-06-29 23:59:59.999000064,4100641.4689,15373,1560551.0,1622104.8787,0
2021-06-30,2021-06-30 00:00:00.000000000,1.0289,1.0322,0.956,1.0241,1762565.0,2021-06-30 23:59:59.999000064,1753831.3658,7357,797931.0,794432.5668,0
2021-07-01,2021-07-01 00:00:00.000000000,1.0243,1.04,0.953,0.9745,1712900.0,2021-07-01 23:59:59.999000064,1679192.7679,8466,856869.0,840163.0344,0
2021-07-02,2021-07-02 00:00:00.000000000,0.9745,1.0359,0.9394,0.9784,2043087.0,2021-07-02 23:59:59.999000064,1982115.7319,8991,1057835.0,1025886.727,0
2021-07-03,2021-07-03 00:00:00.000000000,0.9771,1.054,0.9641,1.0084,2158216.0,2021-07-03 23:59:59.999000064,2175004.0374,8575,1014867.0,1023076.5762,0
2021-07-04,2021-07-04 00:00:00.000000000,1.0084,1.04,0.9998,1.0177,1408172.0,2021-07-04 23:59:59.999000064,1440625.3518,6351,714195.0,730167.3835,0
2021-07-05,2021-07-05 00:00:00.000000000,1.0199,1.0763,0.9997,1.017,3772542.0,2021-07-05 23:59:59.999000064,3893609.9828,17675,1693321.0,1749925.2799,0
2021-07-06,2021-07-06 00:00:00.000000000,1.017,1.06,1.0046,1.0235,2682586.0,2021-07-06 23:59:59.999000064,2759367.826,22087,1055518.0,1085557.9868,0
2021-07-07,2021-07-07 00:00:00.000000000,1.0235,1.0522,1.002,1.0045,2355550.0,2021-07-07 23:59:59.999000064,2420604.6783,18700,928008.0,954103.8343,0
2021-07-08,2021-07-08 00:00:00.000000000,1.005,1.0086,0.931,0.9405,1847518.0,2021-07-08 23:59:59.999000064,1787091.214,7075,823142.0,795456.5126,0
2021-07-09,2021-07-09 00:00:00.000000000,0.9421,1.0392,0.9,0.9581,2538217.0,2021-07-09 23:59:59.999000064,2403975.0381,9586,1030505.0,976119.7407,0
2021-07-10,2021-07-10 00:00:00.000000000,0.955,0.9754,0.93,0.9517,1154327.0,2021-07-10 23:59:59.999000064,1099083.8407,11916,491194.0,468057.8604,0
2021-07-11,2021-07-11 00:00:00.000000000,0.9517,0.9999,0.94,0.9827,1187757.0,2021-07-11 23:59:59.999000064,1142474.9624,13207,555627.0,534087.7404,0
2021-07-12,2021-07-12 00:00:00.000000000,0.985,0.99,0.9312,0.9453,1854646.0,2021-07-12 23:59:59.999000064,1784378.4283,6551,803814.0,773421.8192,0
2021-07-13,2021-07-13 00:00:00.000000000,0.9489,0.9516,0.903,0.917,1135100.0,2021-07-13 23:59:59.999000064,1056550.526,4810,524062.0,488293.0077,0
2021-07-14,2021-07-14 00:00:00.000000000,0.9214,0.9353,0.8645,0.9186,1719300.0,2021-07-14 23:59:59.999000064,1534733.4379,6227,1110692.0,989916.601,0
2021-07-15,2021-07-15 00:00:00.000000000,0.919,0.9485,0.8788,0.9001,778470.0,2021-07-15 23:59:59.999000064,707490.7686,4111,349013.0,317958.9353,0
2021-07-16,2021-07-16 00:00:00.000000000,0.9044,0.9246,0.8698,0.879,667048.0,2021-07-16 23:59:59.999000064,599850.154,3201,318692.0,286526.4757,0
2021-07-17,2021-07-17 00:00:00.000000000,0.879,0.8926,0.861,0.8899,765046.0,2021-07-17 23:59:59.999000064,672030.9606,2419,544796.0,479460.685,0
2021-07-18,2021-07-18 00:00:00.000000000,0.8868,0.9217,0.8857,0.9042,777185.0,2021-07-18 23:59:59.999000064,702725.0237,3449,365433.0,330185.8473,0
2021-07-19,2021-07-19 00:00:00.000000000,0.9076,0.9729,0.8743,0.9165,2389598.0,2021-07-19 23:59:59.999000064,2223847.1706,9471,1032041.0,956320.3436,0
2021-07-20,2021-07-20 00:00:00.000000000,0.9111,1.23,0.824,0.8876,8143823.0,2021-07-20 23:59:59.999000064,7755516.706,25721,3739543.0,3584105.8354,0
2021-07-21,2021-07-21 00:00:00.000000000,0.8875,0.96,0.8646,0.938,2142352.0,2021-07-21 23:59:59.999000064,1971085.9295,7528,981542.0,905655.5698,0
2021-07-22,2021-07-22 00:00:00.000000000,0.9371,0.9561,0.9166,0.944,928017.0,2021-07-22 23:59:59.999000064,871317.1858,4819,467570.0,438742.9847,0
2021-07-23,2021-07-23 00:00:00.000000000,0.9467,0.985,0.9234,0.9707,1483181.0,2021-07-23 23:59:59.999000064,1413378.8671,7586,699746.0,667098.7298,0
2021-07-24,2021-07-24 00:00:00.000000000,0.972,1.0,0.9561,0.9888,1527307.0,2021-07-24 23:59:59.999000064,1490170.1261,7844,657687.0,642380.0472,0
2021-07-25,2021-07-25 00:00:00.000000000,0.9931,0.999,0.9592,0.9902,1083261.0,2021-07-25 23:59:59.999000064,1062823.7545,5066,389004.0,381537.1875,0
2021-07-26,2021-07-26 00:00:00.000000000,0.9924,1.0999,0.984,1.0003,2812904.0,2021-07-26 23:59:59.999000064,2917460.7266,12986,1263742.0,1309690.685,0
2021-07-27,2021-07-27 00:00:00.000000000,1.0023,1.0124,0.9525,1.0056,1278914.0,2021-07-27 23:59:59.999000064,1264125.9532,5421,621801.0,615775.5454,0
2021-07-28,2021-07-28 00:00:00.000000000,1.0057,1.0463,0.9962,1.0086,1243423.0,2021-07-28 23:59:59.999000064,1262410.1683,6012,576153.0,584403.3687,0
2021-07-29,2021-07-29 00:00:00.000000000,1.0087,1.0378,0.9984,1.0244,1129008.0,2021-07-29 23:59:59.999000064,1143204.1363,4144,524145.0,532141.0464,0
2021-07-30,2021-07-30 00:00:00.000000000,1.0244,1.0734,1.0004,1.047,1754002.0,2021-07-30 23:59:59.999000064,1807339.1892,8808,683250.0,706141.722,0
2021-07-31,2021-07-31 00:00:00.000000000,1.047,1.0916,1.0244,1.0569,951881.0,2021-07-31 23:59:59.999000064,992560.249,5259,386733.0,404174.1862,0
2021-08-01,2021-08-01 00:00:00.000000000,1.0568,1.0805,1.0047,1.0229,1108709.0,2021-08-01 23:59:59.999000064,1162790.1461,5071,484672.0,508243.4527,0
2021-08-02,2021-08-02 00:00:00.000000000,1.0191,1.0452,1.0061,1.0287,835606.0,2021-08-02 23:59:59.999000064,858505.8404,3268,384102.0,394840.382,0
2021-08-03,2021-08-03 00:00:00.000000000,1.0291,1.0354,0.9976,1.009,1490159.0,2021-08-03 23:59:59.999000064,1505776.1209,5547,670157.0,677455.2001,0
2021-08-04,2021-08-04 00:00:00.000000000,1.0091,1.0814,1.0053,1.0773,2551755.0,2021-08-04 23:59:59.999000064,2636553.9645,8013,1150721.0,1188839.6906,0
2021-08-05,2021-08-05 00:00:00.000000000,1.0773,1.0844,1.0233,1.0837,1942617.0,2021-08-05 23:59:59.999000064,2058137.952,6738,882124.0,936052.9166,0
2021-08-06,2021-08-06 00:00:00.000000000,1.0836,1.25,1.0625,1.1886,3421098.0,2021-08-06 23:59:59.999000064,3832393.2886,13619,1532247.0,1721226.7252,0
2021-08-07,2021-08-07 00:00:00.000000000,1.1884,1.3006,1.1824,1.2469,3874372.0,2021-08-07 23:59:59.999000064,4846683.2978,17712,1909989.0,2389504.7746,0
2021-08-08,2021-08-08 00:00:00.000000000,1.2464,1.2933,1.1778,1.1989,2054376.0,2021-08-08 23:59:59.999000064,2525072.3901,9147,852809.0,1048388.9342,0
2021-08-09,2021-08-09 00:00:00.000000000,1.1989,1.2359,1.1505,1.2304,1549975.0,2021-08-09 23:59:59.999000064,1864237.9612,7427,719546.0,866067.255,0
2021-08-10,2021-08-10 00:00:00.000000000,1.232,1.3048,1.2057,1.2582,2663766.0,2021-08-10 23:59:59.999000064,3330438.1051,11235,1128730.0,1408781.5487,0
2021-08-11,2021-08-11 00:00:00.000000000,1.2629,1.5251,1.2587,1.4306,4585332.0,2021-08-11 23:59:59.999000064,6353502.4727,23760,2277973.0,3156225.8592,0
2021-08-12,2021-08-12 00:00:00.000000000,1.4306,1.602,1.4,1.4783,4418124.0,2021-08-12 23:59:59.999000064,6641007.5853,27518,2068170.0,3110942.8471,0
2021-08-13,2021-08-13 00:00:00.000000000,1.4771,1.6804,1.4733,1.6799,3203969.0,2021-08-13 23:59:59.999000064,5062218.7526,18302,1432612.0,2272372.9314,0
2021-08-14,2021-08-14 00:00:00.000000000,1.6808,1.9249,1.6514,1.7784,5742374.0,2021-08-14 23:59:59.999000064,10100943.424,36242,2901787.0,5115017.6521,0
2021-08-15,2021-08-15 00:00:00.000000000,1.7846,1.9397,1.6697,1.9169,2265103.0,2021-08-15 23:59:59.999000064,4050934.4853,16227,1149627.0,2059232.9504,0
2021-08-16,2021-08-16 00:00:00.000000000,1.9197,1.9799,1.8,1.8115,3325715.0,2021-08-16 23:59:59.999000064,6296538.669,23516,1598127.0,3034215.525,0
2021-08-17,2021-08-17 00:00:00.000000000,1.8103,1.8989,1.6586,1.6757,3808569.0,2021-08-17 23:59:59.999000064,6824478.511,26143,1689671.0,3038701.0369,0
2021-08-18,2021-08-18 00:00:00.000000000,1.6722,1.8432,1.5501,1.7458,3293095.0,2021-08-18 23:59:59.999000064,5576463.0121,20840,1690649.0,2875909.2643,0
2021-08-19,2021-08-19 00:00:00.000000000,1.7505,1.9023,1.677,1.8712,3407576.0,2021-08-19 23:59:59.999000064,6021533.9559,20678,1529309.0,2710687.802,0
2021-08-20,2021-08-20 00:00:00.000000000,1.8712,1.975,1.8587,1.9204,2450092.0,2021-08-20 23:59:59.999000064,4668491.7623,17474,1177350.0,2244890.9727,0
2021-08-21,2021-08-21 00:00:00.000000000,1.9254,1.9274,1.85,1.85,1734623.0,2021-08-21 23:59:59.999000064,3272424.307,9731,767459.0,1448547.4357,0
2021-08-22,2021-08-22 00:00:00.000000000,1.85,1.8847,1.7579,1.84,1412496.0,2021-08-22 23:59:59.999000064,2582711.9295,9939,637306.0,1167274.4986,0
2021-08-23,2021-08-23 00:00:00.000000000,1.84,1.9319,1.8019,1.8344,1799771.0,2021-08-23 23:59:59.999000064,3334260.1432,10829,851670.0,1579743.9776,0
2021-08-24,2021-08-24 00:00:00.000000000,1.8293,1.8409,1.6674,1.681,2395075.0,2021-08-24 23:59:59.999000064,4225422.108,11375,964463.0,1701385.1756,0
2021-08-25,2021-08-25 00:00:00.000000000,1.6828,1.7558,1.6276,1.7452,2518739.0,2021-08-25 23:59:59.999000064,4251206.0491,12040,1225196.0,2066010.9833,0
2021-08-26,2021-08-26 00:00:00.000000000,1.747,1.7893,1.577,1.639,6867435.8,2021-08-26 23:59:59.999000064,11533424.2188,26435,2715706.5,4551359.882,0
2021-08-27,2021-08-27 00:00:00.000000000,1.638,1.767,1.555,1.743,2861541.3,2021-08-27 23:59:59.999000064,4743388.5418,12740,1364212.8,2256241.2663,0
2021-08-28,2021-08-28 00:00:00.000000000,1.744,1.758,1.611,1.652,4105229.0,2021-08-28 23:59:59.999000064,6862186.4793,10436,2839385.4,4737467.9894,0
2021-08-29,2021-08-29 00:00:00.000000000,1.652,1.697,1.59,1.629,3063323.0,2021-08-29 23:59:59.999000064,5006616.5109,9537,1871811.9,3050119.2262,0
2021-08-30,2021-08-30 00:00:00.000000000,1.629,1.644,1.54,1.561,3190790.3,2021-08-30 23:59:59.999000064,5082674.7971,11889,1511032.0,2410709.2363,0
2021-08-31,2021-08-31 00:00:00.000000000,1.56,1.625,1.531,1.566,1808601.0,2021-08-31 23:59:59.999000064,2844029.2457,10211,873453.0,1377160.0086,0
2021-09-01,2021-09-01 00:00:00.000000000,1.561,1.68,1.531,1.652,2453356.1,2021-09-01 23:59:59.999000064,3898029.7533,13258,1201493.6,1913766.3965,0
2021-09-02,2021-09-02 00:00:00.000000000,1.652,1.697,1.591,1.601,2257886.1,2021-09-02 23:59:59.999000064,3695562.1438,14039,1046041.8,1714520.953,0
2021-09-03,2021-09-03 00:00:00.000000000,1.604,1.65,1.552,1.596,3311611.9,2021-09-03 23:59:59.999000064,5301446.5333,15488,1273446.6,2034753.8197,0
2021-09-04,2021-09-04 00:00:00.000000000,1.599,1.623,1.576,1.589,2827963.9,2021-09-04 23:59:59.999000064,4517615.2172,9837,1296154.7,2070826.4521,0
2021-09-05,2021-09-05 00:00:00.000000000,1.591,1.65,1.567,1.637,2259749.7,2021-09-05 23:59:59.999000064,3598494.5046,13858,1198990.2,1910797.4812,0
2021-09-06,2021-09-06 00:00:00.000000000,1.637,1.695,1.58,1.63,3360144.0,2021-09-06 23:59:59.999000064,5499704.2755,17292,1584001.6,2594767.753,0
2021-09-07,2021-09-07 00:00:00.000000000,1.629,1.635,1.283,1.433,3789835.6,2021-09-07 23:59:59.999000064,5619679.3446,17009,1928617.7,2847674.9035,0
2021-09-08,2021-09-08 00:00:00.000000000,1.434,1.475,1.296,1.384,2804480.7,2021-09-08 23:59:59.999000064,3886003.6756,10447,1532628.4,2116800.0662,0
2021-09-09,2021-09-09 00:00:00.000000000,1.383,1.469,1.364,1.383,2332016.9,2021-09-09 23:59:59.999000064,3267953.3894,10397,1184647.9,1662131.0404,0
2021-09-10,2021-09-10 00:00:00.000000000,1.384,1.44,1.32,1.342,2053452.9,2021-09-10 23:59:59.999000064,2822069.0366,9085,697899.7,958619.0739,0
2021-09-11,2021-09-11 00:00:00.000000000,1.342,1.375,1.316,1.34,1458415.8,2021-09-11 23:59:59.999000064,1965588.767,7194,767848.3,1035654.6515,0
2021-09-12,2021-09-12 00:00:00.000000000,1.342,1.403,1.323,1.38,1968477.9,2021-09-12 23:59:59.999000064,2672940.0125,7542,1269921.0,1719791.3669,0
2021-09-13,2021-09-13 00:00:00.000000000,1.378,1.393,1.276,1.322,2156974.6,2021-09-13 23:59:59.999000064,2856761.6857,9972,1104510.5,1464497.3947,0
2021-09-14,2021-09-14 00:00:00.000000000,1.325,1.362,1.311,1.36,2830913.7,2021-09-14 23:59:59.999000064,3794494.4825,8708,1320429.8,1767028.623,0
2021-09-15,2021-09-15 00:00:00.000000000,1.362,1.369,1.333,1.362,2209447.0,2021-09-15 23:59:59.999000064,2980662.4936,8845,1187574.3,1602477.1153,0
2021-09-16,2021-09-16 00:00:00.000000000,1.362,1.366,1.296,1.32,2600371.4,2021-09-16 23:59:59.999000064,3488168.301,10331,1159690.3,1556584.2328,0
2021-09-17,2021-09-17 00:00:00.000000000,1.32,1.327,1.231,1.243,2211027.6,2021-09-17 23:59:59.999000064,2832568.7598,10515,1008206.8,1291099.0482,0
2021-09-18,2021-09-18 00:00:00.000000000,1.247,1.301,1.232,1.279,1674283.8,2021-09-18 23:59:59.999000064,2127875.8654,9606,855341.7,1088588.0852,0
2021-09-19,2021-09-19 00:00:00.000000000,1.279,1.285,1.214,1.217,1634927.2,2021-09-19 23:59:59.999000064,2038802.1309,7839,834210.4,1039663.9346,0
2021-09-20,2021-09-20 00:00:00.000000000,1.217,1.22,1.029,1.052,4029945.1,2021-09-20 23:59:59.999000064,4449377.0177,13942,1848346.2,2038599.4276,0
2021-09-21,2021-09-21 00:00:00.000000000,1.057,1.104,0.991,1.028,2850261.9,2021-09-21 23:59:59.999000064,3016017.2721,10106,1361174.9,1443510.8538,0
2021-09-22,2021-09-22 00:00:00.000000000,1.028,1.172,1.006,1.155,2138780.7,2021-09-22 23:59:59.999000064,2322020.6521,10545,1135342.6,1234786.9361,0
2021-09-23,2021-09-23 00:00:00.000000000,1.154,1.165,1.112,1.157,1957790.8,2021-09-23 23:59:59.999000064,2230210.8007,8074,1105947.8,1259979.0892,0
2021-09-24,2021-09-24 00:00:00.000000000,1.158,1.161,1.017,1.1,2813792.8,2021-09-24 23:59:59.999000064,3049130.8589,11541,1419537.8,1539131.0219,0
2021-09-25,2021-09-25 00:00:00.000000000,1.101,1.129,1.042,1.067,1718344.0,2021-09-25 23:59:59.999000064,1844360.5254,7826,872760.4,937139.5365,0
2021-09-26,2021-09-26 00:00:00.000000000,1.065,1.134,1.0,1.057,6615364.4,2021-09-26 23:59:59.999000064,7080945.4684,18258,3451414.7,3704976.0298,0
