Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-09-04,2020-09-04 00:00:00.000000000,43.15,49.0,34.5,42.167,36214.155,2020-09-04 23:59:59.999000064,1429416.566863,6632,21661.688,838830.683325,0
2020-09-05,2020-09-05 00:00:00.000000000,42.0,43.998,29.32,32.49,88954.412,2020-09-05 23:59:59.999000064,3143068.984729,15424,39979.566,1425485.294155,0
2020-09-06,2020-09-06 00:00:00.000000000,32.558,39.8,30.04,38.037,63410.654,2020-09-06 23:59:59.999000064,2187039.52294,8799,29465.008,1023304.834445,0
2020-09-07,2020-09-07 00:00:00.000000000,37.898,38.378,30.5,35.203,56712.36,2020-09-07 23:59:59.999000064,1928516.126124,7750,28661.111,971597.6575,0
2020-09-08,2020-09-08 00:00:00.000000000,35.304,36.172,30.27,31.337,66993.426,2020-09-08 23:59:59.999000064,2166012.343444,9904,36144.574,1166361.164277,0
2020-09-09,2020-09-09 00:00:00.000000000,31.3,37.0,30.168,33.806,67385.977,2020-09-09 23:59:59.999000064,2243074.128989,8775,32215.632,1076000.047717,0
2020-09-10,2020-09-10 00:00:00.000000000,33.863,36.5,31.757,33.102,54819.776,2020-09-10 23:59:59.999000064,1860162.139935,6980,26522.604,896248.823875,0
2020-09-11,2020-09-11 00:00:00.000000000,33.018,33.018,30.708,31.769,67289.687,2020-09-11 23:59:59.999000064,2124393.406331,8460,37352.35,1177142.556852,0
2020-09-12,2020-09-12 00:00:00.000000000,31.776,36.999,31.0,35.159,74448.876,2020-09-12 23:59:59.999000064,2500505.188179,9665,37805.477,1265618.089009,0
2020-09-13,2020-09-13 00:00:00.000000000,35.159,42.2,34.5,39.328,160435.944,2020-09-13 23:59:59.999000064,6125842.356693,26444,84100.425,3214300.958351,0
2020-09-14,2020-09-14 00:00:00.000000000,39.33,43.431,38.058,40.0,110986.51,2020-09-14 23:59:59.999000064,4516583.723326,17847,56087.773,2282906.182015,0
