Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-06-12,2020-06-12 00:00:00.000000000,0.09335,0.175,0.09335,0.104,3387621.0,2020-06-12 23:59:59.999000064,342736.102343,2164,1334040.0,135093.419532,0
2020-06-13,2020-06-13 00:00:00.000000000,0.10403,0.1154,0.10041,0.10227,5595755.5,2020-06-13 23:59:59.999000064,599529.12131,4210,3183394.3,341008.296377,0
2020-06-14,2020-06-14 00:00:00.000000000,0.10225,0.10543,0.09293,0.093,3148213.5,2020-06-14 23:59:59.999000064,306343.790559,3396,1513429.1,147853.396883,0
2020-06-15,2020-06-15 00:00:00.000000000,0.09284,0.09661,0.08179,0.09194,7099419.8,2020-06-15 23:59:59.999000064,627438.078482,4596,3360815.3,297369.206903,0
2020-06-16,2020-06-16 00:00:00.000000000,0.09179,0.096,0.08919,0.09199,4313615.0,2020-06-16 23:59:59.999000064,397508.559142,2713,1747109.1,161302.959406,0
2020-06-17,2020-06-17 00:00:00.000000000,0.09206,0.0926,0.08757,0.08951,4485298.7,2020-06-17 23:59:59.999000064,404725.787784,2008,2134743.0,192732.808319,0
2020-06-18,2020-06-18 00:00:00.000000000,0.08962,0.095,0.08901,0.09119,3422795.2,2020-06-18 23:59:59.999000064,315728.30518,2302,1628422.8,150218.882971,0
2020-06-19,2020-06-19 00:00:00.000000000,0.09119,0.095,0.08802,0.09378,3532628.7,2020-06-19 23:59:59.999000064,324404.611544,1727,1430364.6,131972.913273,0
2020-06-20,2020-06-20 00:00:00.000000000,0.09374,0.09464,0.08826,0.09018,5454382.4,2020-06-20 23:59:59.999000064,497893.141027,2378,2891392.5,263877.009817,0
2020-06-21,2020-06-21 00:00:00.000000000,0.09018,0.09162,0.08948,0.0908,1572310.5,2020-06-21 23:59:59.999000064,142178.832619,1182,815494.8,73840.323055,0
2020-06-22,2020-06-22 00:00:00.000000000,0.09075,0.09185,0.08286,0.08749,7474042.3,2020-06-22 23:59:59.999000064,645803.378787,3347,3857527.2,333459.084892,0
2020-06-23,2020-06-23 00:00:00.000000000,0.08749,0.08749,0.08424,0.08439,3242025.9,2020-06-23 23:59:59.999000064,277611.786906,1699,1679813.9,143936.014016,0
2020-06-24,2020-06-24 00:00:00.000000000,0.08488,0.0852,0.07862,0.07994,3951479.7,2020-06-24 23:59:59.999000064,321647.617742,1927,1516325.5,123896.551359,0
2020-06-25,2020-06-25 00:00:00.000000000,0.08004,0.08024,0.07537,0.07594,3649203.7,2020-06-25 23:59:59.999000064,282617.045938,1804,1682999.3,130472.497289,0
2020-06-26,2020-06-26 00:00:00.000000000,0.07582,0.0885,0.07582,0.08632,10792389.4,2020-06-26 23:59:59.999000064,914284.389194,4982,4882220.8,414019.514373,0
2020-06-27,2020-06-27 00:00:00.000000000,0.08632,0.08682,0.07203,0.07494,6087793.5,2020-06-27 23:59:59.999000064,484112.730389,3200,2504974.6,197604.915961,0
2020-06-28,2020-06-28 00:00:00.000000000,0.07449,0.07845,0.07325,0.07528,1817414.1,2020-06-28 23:59:59.999000064,138140.240897,1079,815472.4,62022.401523,0
2020-06-29,2020-06-29 00:00:00.000000000,0.07576,0.07703,0.071,0.07474,4074629.6,2020-06-29 23:59:59.999000064,299209.019968,1557,1779985.8,130872.34765,0
2020-06-30,2020-06-30 00:00:00.000000000,0.07474,0.0778,0.07309,0.07452,3728237.4,2020-06-30 23:59:59.999000064,281065.055777,1978,1922573.2,145089.29291,0
2020-07-01,2020-07-01 00:00:00.000000000,0.07432,0.08071,0.07326,0.07944,5192550.6,2020-07-01 23:59:59.999000064,404430.287591,2412,2496868.2,194384.6421,0
2020-07-02,2020-07-02 00:00:00.000000000,0.07939,0.0895,0.07931,0.0828,13036526.8,2020-07-02 23:59:59.999000064,1102175.637651,5468,6264856.9,531076.311033,0
2020-07-03,2020-07-03 00:00:00.000000000,0.08325,0.09123,0.08265,0.09094,7145946.9,2020-07-03 23:59:59.999000064,620133.287915,3495,3001079.2,261405.910574,0
2020-07-04,2020-07-04 00:00:00.000000000,0.09094,0.1094,0.09083,0.1047,23949895.1,2020-07-04 23:59:59.999000064,2388939.302352,11077,11600312.8,1160229.558794,0
2020-07-05,2020-07-05 00:00:00.000000000,0.10486,0.1135,0.09851,0.10148,17735194.9,2020-07-05 23:59:59.999000064,1872541.88861,10261,7922052.9,839080.944989,0
2020-07-06,2020-07-06 00:00:00.000000000,0.1011,0.11,0.09529,0.10119,14580027.8,2020-07-06 23:59:59.999000064,1495658.874636,7899,6068485.7,623150.691321,0
2020-07-07,2020-07-07 00:00:00.000000000,0.10084,0.10135,0.09601,0.09707,9196785.4,2020-07-07 23:59:59.999000064,906113.212486,4317,3969098.4,391729.07441,0
2020-07-08,2020-07-08 00:00:00.000000000,0.09707,0.10426,0.09386,0.10146,10640359.0,2020-07-08 23:59:59.999000064,1043223.595356,6177,5395092.2,528254.149082,0
2020-07-09,2020-07-09 00:00:00.000000000,0.101,0.101,0.09027,0.0926,6052898.7,2020-07-09 23:59:59.999000064,579910.744717,3221,2991036.0,286198.076552,0
2020-07-10,2020-07-10 00:00:00.000000000,0.09259,0.09777,0.09072,0.09713,3819509.4,2020-07-10 23:59:59.999000064,357426.898468,2640,1482523.5,139139.41005,0
2020-07-11,2020-07-11 00:00:00.000000000,0.09663,0.10655,0.09635,0.10425,8662957.9,2020-07-11 23:59:59.999000064,877059.038716,4874,4182681.1,423156.753922,0
2020-07-12,2020-07-12 00:00:00.000000000,0.10425,0.10629,0.09726,0.10338,7747030.1,2020-07-12 23:59:59.999000064,791346.121661,4259,3591859.1,367763.182688,0
2020-07-13,2020-07-13 00:00:00.000000000,0.10339,0.1672,0.1019,0.12506,62888552.3,2020-07-13 23:59:59.999000064,8241903.453081,37292,29448256.2,3876956.535549,0
2020-07-14,2020-07-14 00:00:00.000000000,0.12519,0.13492,0.12,0.12695,18546277.2,2020-07-14 23:59:59.999000064,2327210.006112,11304,8037264.1,1009907.836857,0
2020-07-15,2020-07-15 00:00:00.000000000,0.12701,0.13632,0.121,0.12353,9609613.2,2020-07-15 23:59:59.999000064,1230200.083298,5330,4384502.2,564583.587953,0
2020-07-16,2020-07-16 00:00:00.000000000,0.12315,0.12537,0.10973,0.11944,9775671.0,2020-07-16 23:59:59.999000064,1151420.278997,5384,4539716.1,535381.803812,0
2020-07-17,2020-07-17 00:00:00.000000000,0.11949,0.136,0.11429,0.13042,10310881.8,2020-07-17 23:59:59.999000064,1307295.522526,6185,4781606.7,608233.452079,0
2020-07-18,2020-07-18 00:00:00.000000000,0.1299,0.1425,0.12371,0.13464,11769671.6,2020-07-18 23:59:59.999000064,1576830.389103,7029,5408536.1,724104.675679,0
2020-07-19,2020-07-19 00:00:00.000000000,0.13439,0.1374,0.127,0.13348,10228825.9,2020-07-19 23:59:59.999000064,1343186.371246,6004,4414767.7,580018.078421,0
2020-07-20,2020-07-20 00:00:00.000000000,0.13289,0.13807,0.11939,0.12473,10309956.5,2020-07-20 23:59:59.999000064,1333929.47519,5190,4179333.3,544369.816988,0
2020-07-21,2020-07-21 00:00:00.000000000,0.1244,0.12757,0.11903,0.12286,6560601.4,2020-07-21 23:59:59.999000064,808960.61914,3278,2284505.5,282095.719922,0
2020-07-22,2020-07-22 00:00:00.000000000,0.12276,0.1285,0.12111,0.12365,3271787.9,2020-07-22 23:59:59.999000064,409119.576624,2734,1376672.5,172464.85899,0
2020-07-23,2020-07-23 00:00:00.000000000,0.12365,0.12997,0.12341,0.12515,4185162.8,2020-07-23 23:59:59.999000064,531178.787227,2751,1620946.6,206289.728706,0
2020-07-24,2020-07-24 00:00:00.000000000,0.12514,0.1254,0.117,0.11762,6834543.8,2020-07-24 23:59:59.999000064,820028.275149,3245,3028127.4,364263.754227,0
2020-07-25,2020-07-25 00:00:00.000000000,0.11758,0.12244,0.115,0.11609,4028535.4,2020-07-25 23:59:59.999000064,475122.959173,2799,1335886.5,157968.764412,0
2020-07-26,2020-07-26 00:00:00.000000000,0.11563,0.1178,0.10596,0.10909,6882560.4,2020-07-26 23:59:59.999000064,767090.94183,3840,2311127.5,258501.982386,0
2020-07-27,2020-07-27 00:00:00.000000000,0.10871,0.10909,0.09,0.10269,11868338.5,2020-07-27 23:59:59.999000064,1184185.521806,7262,5270202.6,526526.28129,0
2020-07-28,2020-07-28 00:00:00.000000000,0.1031,0.11744,0.09927,0.11432,9882434.8,2020-07-28 23:59:59.999000064,1085990.041528,5761,5216810.4,574879.975486,0
2020-07-29,2020-07-29 00:00:00.000000000,0.11507,0.11582,0.10559,0.10616,3373871.3,2020-07-29 23:59:59.999000064,369962.122244,2510,1573875.7,173007.17515,0
2020-07-30,2020-07-30 00:00:00.000000000,0.10643,0.10876,0.10371,0.1075,2709894.0,2020-07-30 23:59:59.999000064,287782.65232,1648,1113540.3,118944.718054,0
2020-07-31,2020-07-31 00:00:00.000000000,0.10818,0.10904,0.1,0.10247,4896183.1,2020-07-31 23:59:59.999000064,508213.981141,2633,2154644.8,224304.325869,0
