Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-08-06,2020-08-06 00:00:00.000000000,0.05363,0.12,0.05363,0.05822,14196664.7,2020-08-06 23:59:59.999000064,863503.869777,4380,5051755.9,309998.762425,0
2020-08-07,2020-08-07 00:00:00.000000000,0.0579,0.07594,0.05758,0.07484,51256029.9,2020-08-07 23:59:59.999000064,3502922.895008,13602,22167768.6,1518143.799671,0
2020-08-08,2020-08-08 00:00:00.000000000,0.07498,0.10469,0.07259,0.10281,85765140.7,2020-08-08 23:59:59.999000064,7468578.763843,28038,38968223.1,3401323.671899,0
2020-08-09,2020-08-09 00:00:00.000000000,0.10266,0.132,0.09924,0.09972,137647520.2,2020-08-09 23:59:59.999000064,15487532.977076,49848,64492655.2,7274665.609411,0
2020-08-10,2020-08-10 00:00:00.000000000,0.09971,0.11224,0.09228,0.10139,71520828.9,2020-08-10 23:59:59.999000064,7238474.469266,28561,30452375.7,3088054.706526,0
2020-08-11,2020-08-11 00:00:00.000000000,0.10135,0.104,0.08473,0.09057,33683534.3,2020-08-11 23:59:59.999000064,3113928.504261,14190,14422323.2,1336142.123425,0
2020-08-12,2020-08-12 00:00:00.000000000,0.09057,0.10158,0.08509,0.09839,30789539.7,2020-08-12 23:59:59.999000064,2939615.193429,12000,13731949.3,1315119.115731,0
2020-08-13,2020-08-13 00:00:00.000000000,0.098,0.10499,0.09054,0.09225,27932826.5,2020-08-13 23:59:59.999000064,2732518.537245,11264,13346062.0,1305517.389644,0
2020-08-14,2020-08-14 00:00:00.000000000,0.09232,0.1035,0.09036,0.09529,28493547.6,2020-08-14 23:59:59.999000064,2723773.853577,10446,14527327.3,1394006.377587,0
2020-08-15,2020-08-15 00:00:00.000000000,0.09532,0.1015,0.09473,0.09888,18572581.5,2020-08-15 23:59:59.999000064,1807992.331826,7103,9181718.2,893549.220884,0
2020-08-16,2020-08-16 00:00:00.000000000,0.09888,0.10028,0.094,0.0986,14696458.1,2020-08-16 23:59:59.999000064,1431209.708138,5595,6636192.8,647712.431762,0
2020-08-17,2020-08-17 00:00:00.000000000,0.0986,0.09988,0.09448,0.0958,13555096.7,2020-08-17 23:59:59.999000064,1321255.503991,5804,6288956.9,613836.189651,0
2020-08-18,2020-08-18 00:00:00.000000000,0.0958,0.09625,0.08615,0.09022,14059910.2,2020-08-18 23:59:59.999000064,1281761.473059,6016,6999760.1,636768.838207,0
2020-08-19,2020-08-19 00:00:00.000000000,0.09013,0.09163,0.08037,0.08275,9354251.1,2020-08-19 23:59:59.999000064,791939.080747,4196,4092223.6,346175.673947,0
2020-08-20,2020-08-20 00:00:00.000000000,0.08291,0.09132,0.08001,0.09131,6378378.3,2020-08-20 23:59:59.999000064,547620.534008,2869,2705714.9,232105.403607,0
2020-08-21,2020-08-21 00:00:00.000000000,0.09131,0.09475,0.0835,0.09378,15472080.6,2020-08-21 23:59:59.999000064,1392634.51816,6726,7097952.3,638186.700274,0
2020-08-22,2020-08-22 00:00:00.000000000,0.0943,0.115,0.08578,0.0969,60642295.4,2020-08-22 23:59:59.999000064,6040837.512359,21765,29421936.1,2936000.186953,0
2020-08-23,2020-08-23 00:00:00.000000000,0.0969,0.09736,0.089,0.09193,10986132.5,2020-08-23 23:59:59.999000064,1007242.497673,4453,5834631.7,532713.471462,0
2020-08-24,2020-08-24 00:00:00.000000000,0.09233,0.09665,0.09065,0.09199,10238315.5,2020-08-24 23:59:59.999000064,951721.105793,6015,4836379.7,449897.129458,0
