Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-08-10,2021-08-10 00:00:00.000000000,2.481,3.88,2.481,3.237,31548357.6,2021-08-10 23:59:59.999000064,100144285.6989,267538,15828479.4,50553701.2519,0
2021-08-11,2021-08-11 00:00:00.000000000,3.237,3.342,2.9,2.91,9084834.4,2021-08-11 23:59:59.999000064,28095185.5192,75771,4000152.3,12389097.0863,0
2021-08-12,2021-08-12 00:00:00.000000000,2.912,3.05,2.662,2.852,5795664.8,2021-08-12 23:59:59.999000064,16404862.3088,45867,2579799.6,7313156.589,0
2021-08-13,2021-08-13 00:00:00.000000000,2.85,3.151,2.8,3.147,4175478.2,2021-08-13 23:59:59.999000064,12730101.4825,34553,2186346.3,6666838.7246,0
2021-08-14,2021-08-14 00:00:00.000000000,3.148,3.151,2.853,2.979,3044171.0,2021-08-14 23:59:59.999000064,9102885.5874,29137,1357070.4,4061039.2323,0
2021-08-15,2021-08-15 00:00:00.000000000,2.979,3.15,2.817,3.142,2716282.8,2021-08-15 23:59:59.999000064,8047675.9965,25642,1344391.5,3991383.5018,0
2021-08-16,2021-08-16 00:00:00.000000000,3.139,3.666,3.056,3.368,11152521.7,2021-08-16 23:59:59.999000064,37731035.3434,117991,5383686.4,18255913.5989,0
2021-08-17,2021-08-17 00:00:00.000000000,3.368,3.6,3.12,3.198,7525710.7,2021-08-17 23:59:59.999000064,25551020.9509,74181,3586401.0,12231147.5531,0
2021-08-18,2021-08-18 00:00:00.000000000,3.197,3.309,3.0,3.087,4858868.6,2021-08-18 23:59:59.999000064,15456540.7897,45838,2214651.1,7055800.8497,0
2021-08-19,2021-08-19 00:00:00.000000000,3.086,3.34,3.0,3.25,4334388.4,2021-08-19 23:59:59.999000064,13593121.9816,42188,1892640.0,5952408.9208,0
2021-08-20,2021-08-20 00:00:00.000000000,3.251,3.375,3.13,3.234,5079498.2,2021-08-20 23:59:59.999000064,16514669.8694,54588,2338939.2,7613601.8208,0
2021-08-21,2021-08-21 00:00:00.000000000,3.228,3.27,2.939,3.126,5539209.5,2021-08-21 23:59:59.999000064,17273254.0673,50316,2670152.7,8299267.1637,0
2021-08-22,2021-08-22 00:00:00.000000000,3.126,3.249,3.05,3.131,3601132.1,2021-08-22 23:59:59.999000064,11269256.6683,34226,1554526.5,4874664.5709,0
2021-08-23,2021-08-23 00:00:00.000000000,3.13,3.34,3.105,3.153,4879623.1,2021-08-23 23:59:59.999000064,15658062.0502,45122,2313089.1,7422153.7454,0
2021-08-24,2021-08-24 00:00:00.000000000,3.153,3.21,2.88,2.897,4320738.6,2021-08-24 23:59:59.999000064,13122243.8271,39264,1788419.3,5435668.2928,0
2021-08-25,2021-08-25 00:00:00.000000000,2.9,3.11,2.76,2.942,5085388.7,2021-08-25 23:59:59.999000064,14910497.845,50231,2308433.1,6788813.5152,0
2021-08-26,2021-08-26 00:00:00.000000000,2.942,3.018,2.652,2.704,7621888.1,2021-08-26 23:59:59.999000064,20971848.4677,52340,3750138.0,10312867.1122,0
2021-08-27,2021-08-27 00:00:00.000000000,2.702,2.997,2.65,2.962,6586161.1,2021-08-27 23:59:59.999000064,18619477.4406,57381,3239753.0,9174809.6876,0
2021-08-28,2021-08-28 00:00:00.000000000,2.962,3.077,2.836,2.917,3259646.1,2021-08-28 23:59:59.999000064,9562494.0199,31225,1407469.6,4137831.8936,0
2021-08-29,2021-08-29 00:00:00.000000000,2.916,2.959,2.75,2.887,3743019.3,2021-08-29 23:59:59.999000064,10667623.4281,36750,1798123.8,5132564.0309,0
2021-08-30,2021-08-30 00:00:00.000000000,2.887,3.949,2.78,3.245,24340259.5,2021-08-30 23:59:59.999000064,83497101.4765,216261,12132450.5,41802920.9195,0
2021-08-31,2021-08-31 00:00:00.000000000,3.245,3.8,3.155,3.589,20212130.2,2021-08-31 23:59:59.999000064,70048589.2726,212794,10045650.5,34890683.9005,0
2021-09-01,2021-09-01 00:00:00.000000000,3.587,4.677,3.4,4.11,36400216.0,2021-09-01 23:59:59.999000064,152197240.546,386431,18358107.0,76875899.1019,0
2021-09-02,2021-09-02 00:00:00.000000000,4.116,4.274,3.825,3.956,11969356.0,2021-09-02 23:59:59.999000064,48417154.9212,130447,5438742.8,22040343.5498,0
2021-09-03,2021-09-03 00:00:00.000000000,3.956,4.16,3.792,3.848,12027998.3,2021-09-03 23:59:59.999000064,47193050.4561,151780,5305802.6,20868316.9569,0
2021-09-04,2021-09-04 00:00:00.000000000,3.848,4.12,3.75,3.796,9219745.8,2021-09-04 23:59:59.999000064,35832513.4142,99127,4200056.7,16376029.3185,0
2021-09-05,2021-09-05 00:00:00.000000000,3.796,4.449,3.76,4.247,15187661.2,2021-09-05 23:59:59.999000064,62870951.3113,157044,7841764.1,32473806.4354,0
2021-09-06,2021-09-06 00:00:00.000000000,4.244,4.62,4.008,4.129,11017387.3,2021-09-06 23:59:59.999000064,47400322.4348,116647,5341426.9,23046522.6684,0
