Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-07-23,2020-07-23 00:00:00.000000000,509.5,845.0,509.5,529.32,9085.38992,2020-07-23 23:59:59.999000064,5442247.2019899,17957,4692.42969,2833003.7861712,0
2020-07-24,2020-07-24 00:00:00.000000000,530.15,553.0,503.11,514.0,2393.36207,2020-07-24 23:59:59.999000064,1247843.728638,3685,908.65179,476195.789675,0
2020-07-25,2020-07-25 00:00:00.000000000,514.0,536.86,498.53,525.43,1704.52818,2020-07-25 23:59:59.999000064,867251.7990118,2471,924.16934,470820.6871482,0
2020-07-26,2020-07-26 00:00:00.000000000,525.25,552.57,511.7,521.46,1785.90235,2020-07-26 23:59:59.999000064,953542.2469961,2928,849.87005,454031.8049795,0
2020-07-27,2020-07-27 00:00:00.000000000,520.59,530.86,501.69,509.07,1627.76829,2020-07-27 23:59:59.999000064,839379.9599802,1922,634.05377,327435.6427199,0
2020-07-28,2020-07-28 00:00:00.000000000,510.76,519.58,498.0,516.68,905.44999,2020-07-28 23:59:59.999000064,459480.9877847,1116,432.73545,219898.2624893,0
2020-07-29,2020-07-29 00:00:00.000000000,517.58,549.0,512.0,544.84,1517.14304,2020-07-29 23:59:59.999000064,806846.2907042,2000,881.88671,468897.6767902,0
2020-07-30,2020-07-30 00:00:00.000000000,544.93,578.34,534.62,572.22,2457.57003,2020-07-30 23:59:59.999000064,1365009.7122866,3522,1134.45837,630582.6581638,0
2020-07-31,2020-07-31 00:00:00.000000000,572.39,574.76,552.69,555.17,1172.60762,2020-07-31 23:59:59.999000064,659927.7393329,1759,424.7558,239482.6389737,0
2020-08-01,2020-08-01 00:00:00.000000000,555.29,598.77,551.74,594.69,1944.67198,2020-08-01 23:59:59.999000064,1115188.3414134,3211,1054.43664,604951.1590643,0
2020-08-02,2020-08-02 00:00:00.000000000,594.69,631.34,529.0,567.72,2949.63491,2020-08-02 23:59:59.999000064,1736129.0243463,4221,1501.23352,884692.5855458,0
2020-08-03,2020-08-03 00:00:00.000000000,566.96,607.83,566.71,593.0,1031.74562,2020-08-03 23:59:59.999000064,605158.2426375,1635,506.39383,297421.9829215,0
2020-08-04,2020-08-04 00:00:00.000000000,593.0,612.23,577.79,584.49,1558.03534,2020-08-04 23:59:59.999000064,925581.2456611,2550,688.98473,409612.697466,0
2020-08-05,2020-08-05 00:00:00.000000000,584.56,599.74,581.47,592.67,600.58339,2020-08-05 23:59:59.999000064,355180.6383278,1114,311.35849,184136.057043,0
2020-08-06,2020-08-06 00:00:00.000000000,592.67,594.3,577.32,586.7,772.49443,2020-08-06 23:59:59.999000064,452486.6643436,1445,331.19282,194232.3855351,0
2020-08-07,2020-08-07 00:00:00.000000000,585.93,593.37,562.54,579.36,835.98288,2020-08-07 23:59:59.999000064,486987.7101618,1751,359.92732,210150.9020825,0
2020-08-08,2020-08-08 00:00:00.000000000,579.44,586.19,574.88,582.48,429.79237,2020-08-08 23:59:59.999000064,249615.929345,787,215.13313,125059.548237,0
2020-08-09,2020-08-09 00:00:00.000000000,583.55,597.78,581.15,595.78,1173.10211,2020-08-09 23:59:59.999000064,689837.2035558,1958,727.12331,428085.1377947,0
2020-08-10,2020-08-10 00:00:00.000000000,596.38,634.16,596.21,623.18,2794.19341,2020-08-10 23:59:59.999000064,1725025.8335124,5131,1556.44912,959661.6573445,0
2020-08-11,2020-08-11 00:00:00.000000000,623.62,627.52,581.38,599.75,2709.99998,2020-08-11 23:59:59.999000064,1630835.5705057,4258,1194.06667,718550.6442043,0
2020-08-12,2020-08-12 00:00:00.000000000,599.74,841.0,599.73,719.99,16802.01714,2020-08-12 23:59:59.999000064,12234725.3917076,31028,8364.35276,6102414.9045402,0
2020-08-13,2020-08-13 00:00:00.000000000,719.99,875.0,688.37,789.72,32845.8781,2020-08-13 23:59:59.999000064,25358752.3410364,57858,17689.37081,13650282.6621369,0
2020-08-14,2020-08-14 00:00:00.000000000,789.72,814.76,717.78,729.14,9359.2473,2020-08-14 23:59:59.999000064,7050118.450019,22241,4317.44142,3262909.8754658,0
2020-08-15,2020-08-15 00:00:00.000000000,729.21,731.78,680.0,695.59,5691.97169,2020-08-15 23:59:59.999000064,3981545.843247,12043,2710.31947,1891749.2014369,0
2020-08-16,2020-08-16 00:00:00.000000000,694.12,705.33,683.41,693.27,2800.09057,2020-08-16 23:59:59.999000064,1947943.656732,5529,1435.88947,1000339.2912282,0
2020-08-17,2020-08-17 00:00:00.000000000,693.48,728.69,680.0,686.0,5664.16441,2020-08-17 23:59:59.999000064,3983153.9127766,12502,2729.81252,1922067.8992176,0
2020-08-18,2020-08-18 00:00:00.000000000,685.18,693.81,645.01,674.86,3928.30457,2020-08-18 23:59:59.999000064,2635300.0623268,8143,1980.40594,1329504.9682052,0
2020-08-19,2020-08-19 00:00:00.000000000,674.75,683.31,622.0,648.9,5216.0736,2020-08-19 23:59:59.999000064,3381682.7482734,7921,2329.84442,1508878.2564468,0
2020-08-20,2020-08-20 00:00:00.000000000,649.48,697.97,646.35,661.69,4491.17533,2020-08-20 23:59:59.999000064,3008419.1881463,7248,2294.31245,1534234.7754285,0
2020-08-21,2020-08-21 00:00:00.000000000,661.54,671.29,601.5,603.17,4996.22357,2020-08-21 23:59:59.999000064,3212473.6105018,8067,2365.74844,1521691.4403392,0
2020-08-22,2020-08-22 00:00:00.000000000,603.37,650.66,593.59,642.87,7824.11616,2020-08-22 23:59:59.999000064,4900956.6930855,11251,3864.97214,2422470.5766259,0
2020-08-23,2020-08-23 00:00:00.000000000,642.8,650.3,621.36,638.49,2805.33554,2020-08-23 23:59:59.999000064,1778865.9519667,4272,1282.32968,813186.1260756,0
2020-08-24,2020-08-24 00:00:00.000000000,638.71,696.35,635.91,677.33,7761.75368,2020-08-24 23:59:59.999000064,5182712.094169,11314,3948.81627,2637321.2148912,0
2020-08-25,2020-08-25 00:00:00.000000000,677.17,678.41,609.65,638.1,7333.41816,2020-08-25 23:59:59.999000064,4783713.9498905,9921,3599.82966,2349962.8811516,0
2020-08-26,2020-08-26 00:00:00.000000000,638.09,655.0,629.0,640.77,5185.20344,2020-08-26 23:59:59.999000064,3319867.1357538,7848,2624.5801,1682007.7149187,0
2020-08-27,2020-08-27 00:00:00.000000000,640.77,646.02,609.25,614.97,3986.94846,2020-08-27 23:59:59.999000064,2510041.3702057,6720,1992.32836,1255945.0555787,0
2020-08-28,2020-08-28 00:00:00.000000000,617.99,636.78,610.63,635.96,3682.24313,2020-08-28 23:59:59.999000064,2296306.38157,6325,1848.57008,1153901.6061726,0
2020-08-29,2020-08-29 00:00:00.000000000,636.3,644.52,629.17,631.21,2524.58011,2020-08-29 23:59:59.999000064,1605776.6067736,4326,1199.05789,763188.5805311,0
2020-08-30,2020-08-30 00:00:00.000000000,630.83,686.32,629.0,675.83,4964.07386,2020-08-30 23:59:59.999000064,3288180.7353901,9254,2616.64909,1732490.4774866,0
2020-08-31,2020-08-31 00:00:00.000000000,677.41,688.0,656.09,681.61,2693.2008,2020-08-31 23:59:59.999000064,1808660.8020368,5157,1319.31992,886146.9621325,0
2020-09-01,2020-09-01 00:00:00.000000000,681.61,745.56,672.18,718.3,8030.67015,2020-09-01 23:59:59.999000064,5770730.2074094,15755,4066.66048,2920281.2004765,0
2020-09-02,2020-09-02 00:00:00.000000000,718.17,719.49,622.88,661.43,5437.03075,2020-09-02 23:59:59.999000064,3651131.3002017,10962,2494.76795,1677656.9429458,0
2020-09-03,2020-09-03 00:00:00.000000000,660.78,666.74,559.5,560.0,5229.22817,2020-09-03 23:59:59.999000064,3241141.4312462,11236,2337.56963,1450630.0081771,0
2020-09-04,2020-09-04 00:00:00.000000000,559.51,604.29,551.01,586.47,4657.69243,2020-09-04 23:59:59.999000064,2703517.8753725,8817,2448.35464,1421538.4455737,0
2020-09-05,2020-09-05 00:00:00.000000000,584.76,599.22,499.47,513.78,6110.91458,2020-09-05 23:59:59.999000064,3316590.6803522,11358,2859.76747,1551888.5584059,0
2020-09-06,2020-09-06 00:00:00.000000000,513.92,547.62,481.49,546.38,5266.04652,2020-09-06 23:59:59.999000064,2733444.0406475,10137,2690.92733,1396027.3177811,0
2020-09-07,2020-09-07 00:00:00.000000000,544.2,551.24,500.94,527.73,3757.29813,2020-09-07 23:59:59.999000064,1956740.0121901,6866,1894.77278,985918.7749726,0
2020-09-08,2020-09-08 00:00:00.000000000,529.08,530.71,500.0,507.59,2808.59182,2020-09-08 23:59:59.999000064,1439895.1310837,5416,1334.54947,685062.6343079,0
2020-09-09,2020-09-09 00:00:00.000000000,506.89,534.96,500.39,522.0,2206.37414,2020-09-09 23:59:59.999000064,1140226.7945274,4592,1075.6072,556007.2721817,0
2020-09-10,2020-09-10 00:00:00.000000000,522.47,557.66,522.4,533.27,2340.59957,2020-09-10 23:59:59.999000064,1264419.0683233,4989,1155.38706,623910.3948326,0
2020-09-11,2020-09-11 00:00:00.000000000,533.27,539.04,507.35,524.88,3281.02179,2020-09-11 23:59:59.999000064,1719672.4615767,5797,1624.43535,851885.917248,0
2020-09-12,2020-09-12 00:00:00.000000000,523.83,531.69,497.7,514.13,5356.54786,2020-09-12 23:59:59.999000064,2759012.1247082,11118,2276.90973,1176425.2349152,0
2020-09-13,2020-09-13 00:00:00.000000000,514.13,515.91,482.64,497.75,5153.04777,2020-09-13 23:59:59.999000064,2581717.5573126,8928,2349.23318,1177277.2435736,0
2020-09-14,2020-09-14 00:00:00.000000000,499.31,517.94,473.1,486.31,5869.49405,2020-09-14 23:59:59.999000064,2910065.1008367,10656,2731.43513,1355658.1152005,0
2020-09-15,2020-09-15 00:00:00.000000000,486.55,501.23,452.57,453.63,4863.09298,2020-09-15 23:59:59.999000064,2309565.1062413,8567,2258.8888,1073672.2526844,0
2020-09-16,2020-09-16 00:00:00.000000000,453.91,477.93,438.52,474.66,4528.19054,2020-09-16 23:59:59.999000064,2093533.6251835,7782,2354.45447,1089216.9462242,0
2020-09-17,2020-09-17 00:00:00.000000000,474.06,556.16,468.22,502.33,11982.09745,2020-09-17 23:59:59.999000064,5967942.3975951,21220,7342.48954,3669104.8222411,0
2020-09-18,2020-09-18 00:00:00.000000000,503.14,506.18,479.82,499.37,3872.15478,2020-09-18 23:59:59.999000064,1915428.7900553,6610,1856.60966,919108.9548377,0
2020-09-19,2020-09-19 00:00:00.000000000,499.51,532.42,493.1,512.63,3880.80797,2020-09-19 23:59:59.999000064,2000597.0140713,7350,1881.29691,969004.5102222,0
2020-09-20,2020-09-20 00:00:00.000000000,512.63,515.25,465.49,475.26,3582.22806,2020-09-20 23:59:59.999000064,1753201.0695142,6436,1678.72962,821556.0593535,0
2020-09-21,2020-09-21 00:00:00.000000000,474.98,488.17,431.16,451.81,7528.90772,2020-09-21 23:59:59.999000064,3453900.5895086,12929,3686.75833,1692486.4426193,0
2020-09-22,2020-09-22 00:00:00.000000000,453.27,466.92,439.53,461.21,3708.86601,2020-09-22 23:59:59.999000064,1690155.2174282,6503,1920.68944,876021.4169663,0
2020-09-23,2020-09-23 00:00:00.000000000,461.25,469.19,432.5,435.2,4530.56196,2020-09-23 23:59:59.999000064,2047106.1874511,7006,2204.05142,996584.9814995,0
2020-09-24,2020-09-24 00:00:00.000000000,435.2,488.01,429.79,485.56,3709.2009,2020-09-24 23:59:59.999000064,1710423.2374968,6854,2033.77417,937151.5422606,0
2020-09-25,2020-09-25 00:00:00.000000000,485.07,515.69,474.11,504.22,3586.03495,2020-09-25 23:59:59.999000064,1774441.3282181,7393,1880.16657,930560.594993,0
2020-09-26,2020-09-26 00:00:00.000000000,504.39,527.3,499.37,524.14,2874.61452,2020-09-26 23:59:59.999000064,1473533.2106331,5846,1553.0584,796860.2463334,0
2020-09-27,2020-09-27 00:00:00.000000000,524.32,528.0,488.77,502.09,2725.41574,2020-09-27 23:59:59.999000064,1370426.5963496,5025,1311.82696,659608.3365502,0
2020-09-28,2020-09-28 00:00:00.000000000,503.43,549.42,502.29,512.38,4334.34332,2020-09-28 23:59:59.999000064,2278536.9227058,8511,2198.98697,1155998.9451696,0
2020-09-29,2020-09-29 00:00:00.000000000,512.14,545.0,503.41,526.41,4028.78175,2020-09-29 23:59:59.999000064,2092064.5995426,7800,2089.36734,1085091.7283178,0
2020-09-30,2020-09-30 00:00:00.000000000,527.03,580.0,504.49,571.45,6221.82228,2020-09-30 23:59:59.999000064,3323727.7617451,11364,3095.68553,1659130.6947076,0
2020-10-01,2020-10-01 00:00:00.000000000,571.75,599.99,551.28,576.57,5344.33381,2020-10-01 23:59:59.999000064,3079449.991937,10683,2694.55594,1553074.0808558,0
