Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-11-20,2017-11-20 00:00:00.000000000,36.0,46.0,34.7,35.582,30342.33,2017-11-20 23:59:59.999000064,1185224.382711,1486,9345.569,372104.092237,3037624.46000000
2017-11-21,2017-11-21 00:00:00.000000000,35.582,37.499,33.5,35.0,28677.569,2017-11-21 23:59:59.999000064,1015896.652756,1450,7191.952,255649.672292,2998895.43756000
2017-11-22,2017-11-22 00:00:00.000000000,35.0,37.3,34.5,35.005,6939.531,2017-11-22 23:59:59.999000064,250557.156057,391,3228.515,117338.188108,2967122.46000000
2017-11-23,2017-11-23 00:00:00.000000000,35.01,36.9,34.0,34.69,10110.575,2017-11-23 23:59:59.999000064,355276.275281,592,3159.645,112314.801859,2901920.46000000
2017-11-24,2017-11-24 00:00:00.000000000,34.69,36.101,33.09,34.5,8078.994,2017-11-24 23:59:59.999000064,279347.38885,697,2947.299,103048.572416,2904812.46000000
2017-11-25,2017-11-25 00:00:00.000000000,34.5,39.928,34.0,37.831,24200.524,2017-11-25 23:59:59.999000064,908892.88837,1438,8337.823,315023.852778,2939916.46000000
2017-11-26,2017-11-26 00:00:00.000000000,37.831,38.9,37.1,37.81,10491.272,2017-11-26 23:59:59.999000064,395889.401828,665,3094.969,117263.681203,2870842.46000000
2017-11-27,2017-11-27 00:00:00.000000000,37.734,41.71,37.5,39.102,13232.16,2017-11-27 23:59:59.999000064,520948.752757,1166,8210.437,324511.172239,2941180.46000000
2017-11-28,2017-11-28 00:00:00.000000000,39.92,40.52,37.25,37.611,15189.495,2017-11-28 23:59:59.999000064,585110.787645,726,4525.853,176569.173042,2995848.46000000
2017-11-29,2017-11-29 00:00:00.000000000,37.8,39.303,30.545,32.482,121051.885,2017-11-29 23:59:59.999000064,4252185.448876,7776,52242.819,1840803.021462,3015225.46000000
2017-11-30,2017-11-30 00:00:00.000000000,32.649,35.224,29.104,32.438,164844.835,2017-11-30 23:59:59.999000064,5286278.722916,8355,98156.08,3165434.11325,3016161.46000000
2017-12-01,2017-12-01 00:00:00.000000000,32.38,36.359,30.209,35.343,202687.005,2017-12-01 23:59:59.999000064,7000322.911259,8286,124588.671,4306460.548234,3096756.46000000
2017-12-02,2017-12-02 00:00:00.000000000,35.452,36.586,34.0,35.046,133566.599,2017-12-02 23:59:59.999000064,4742494.190339,5769,91414.032,3248302.161019,3094516.46000000
2017-12-03,2017-12-03 00:00:00.000000000,35.038,39.5,34.81,36.589,166575.583,2017-12-03 23:59:59.999000064,6129799.426234,8050,110597.463,4075408.558084,3110653.46000000
2017-12-04,2017-12-04 00:00:00.000000000,36.667,43.186,36.576,41.808,190481.502,2017-12-04 23:59:59.999000064,7589749.481255,8637,120999.304,4825548.064608,3155749.46000000
2017-12-05,2017-12-05 00:00:00.000000000,41.951,42.287,38.661,38.661,156520.441,2017-12-05 23:59:59.999000064,6298698.849011,7244,98642.722,3973285.400528,3127008.46000000
2017-12-06,2017-12-06 00:00:00.000000000,38.661,38.991,33.382,34.634,170201.946,2017-12-06 23:59:59.999000064,6249718.811548,7588,91625.056,3387283.188063,3137065.46000000
2017-12-07,2017-12-07 00:00:00.000000000,34.85,37.0,31.737,33.215,172820.395,2017-12-07 23:59:59.999000064,5896145.734441,8479,95561.662,3290657.296845,3209800.46000000
2017-12-08,2017-12-08 00:00:00.000000000,33.216,37.012,31.3,35.594,198595.62,2017-12-08 23:59:59.999000064,6835545.514196,12496,92103.333,3162667.72088,3257996.05924700
2017-12-09,2017-12-09 00:00:00.000000000,35.605,38.197,32.902,35.097,163032.75,2017-12-09 23:59:59.999000064,5803865.339776,9751,76063.277,2708172.565947,3204212.46000000
2017-12-10,2017-12-10 00:00:00.000000000,35.131,35.219,31.0,32.598,186122.929,2017-12-10 23:59:59.999000064,6167816.673215,10565,89088.328,2953498.969366,3264237.46000000
2017-12-11,2017-12-11 00:00:00.000000000,32.609,36.457,32.609,35.777,178419.091,2017-12-11 23:59:59.999000064,6222292.696864,9112,86444.986,3016882.980398,3226805.46000000
2017-12-12,2017-12-12 00:00:00.000000000,35.753,39.8,34.95,38.836,226390.35,2017-12-12 23:59:59.999000064,8345416.832431,11553,121734.898,4513523.733691,3309517.46000000
2017-12-13,2017-12-13 00:00:00.000000000,38.836,48.0,34.55,43.906,294829.464,2017-12-13 23:59:59.999000064,12226567.492617,17076,151977.626,6323010.757938,3468369.46000000
2017-12-14,2017-12-14 00:00:00.000000000,44.28,52.9,43.0,50.273,172532.755,2017-12-14 23:59:59.999000064,8282946.571073,11522,95920.865,4619444.626947,3538461.45866000
2017-12-15,2017-12-15 00:00:00.000000000,50.273,51.0,41.25,47.833,98502.202,2017-12-15 23:59:59.999000064,4467826.786653,7887,45253.037,2071304.506794,3541843.46000000
2017-12-16,2017-12-16 00:00:00.000000000,47.978,51.749,46.45,49.116,78471.93,2017-12-16 23:59:59.999000064,3831164.067374,6500,38069.079,1874737.234682,3565276.46000000
2017-12-17,2017-12-17 00:00:00.000000000,49.11,74.998,48.826,67.187,220183.422,2017-12-17 23:59:59.999000064,13757544.796226,17087,126151.129,7858499.908317,3938166.46000000
2017-12-18,2017-12-18 00:00:00.000000000,67.187,81.474,60.0,77.038,153215.715,2017-12-18 23:59:59.999000064,10915663.617652,13353,78932.686,5673638.320761,0
2017-12-19,2017-12-19 00:00:00.000000000,77.204,83.8,63.21,69.75,189528.411,2017-12-19 23:59:59.999000064,13704962.211965,15593,85812.277,6196394.652746,0
2017-12-20,2017-12-20 00:00:00.000000000,69.59,80.0,56.0,76.879,202837.611,2017-12-20 23:59:59.999000064,13676523.915517,15084,89442.065,6130750.511901,0
2017-12-21,2017-12-21 00:00:00.000000000,76.49,81.5,62.22,70.75,146532.971,2017-12-21 23:59:59.999000064,10468680.670261,11447,79943.205,5763335.491975,0
2017-12-22,2017-12-22 00:00:00.000000000,70.506,71.685,42.0,55.365,364115.945,2017-12-22 23:59:59.999000064,19826314.113906,22955,153076.813,8319626.804656,0
2017-12-23,2017-12-23 00:00:00.000000000,55.364,66.0,53.975,56.497,159410.55,2017-12-23 23:59:59.999000064,9628124.762335,12861,85543.889,5183338.01993,0
2017-12-24,2017-12-24 00:00:00.000000000,55.222,58.498,48.65,58.34,142864.983,2017-12-24 23:59:59.999000064,7674503.677721,14141,58911.35,3188166.344705,0
2017-12-25,2017-12-25 00:00:00.000000000,58.34,67.99,55.947,65.476,90735.532,2017-12-25 23:59:59.999000064,5484715.640253,11724,49432.399,2999544.32638,0
2017-12-26,2017-12-26 00:00:00.000000000,65.5,67.738,61.08,65.231,88894.243,2017-12-26 23:59:59.999000064,5677504.019576,12075,36705.395,2344256.920016,0
2017-12-27,2017-12-27 00:00:00.000000000,65.51,70.1,61.0,66.3,97680.051,2017-12-27 23:59:59.999000064,6417955.6085,12378,43736.36,2888196.41716,0
2017-12-28,2017-12-28 00:00:00.000000000,66.299,66.922,56.0,64.48,125190.155,2017-12-28 23:59:59.999000064,7528688.208679,12133,61488.078,3706781.365673,0
2017-12-29,2017-12-29 00:00:00.000000000,64.279,74.93,62.73,73.133,104557.455,2017-12-29 23:59:59.999000064,7047493.784322,12057,64162.683,4330060.422252,0
2017-12-30,2017-12-30 00:00:00.000000000,73.333,74.244,60.0,70.783,149332.098,2017-12-30 23:59:59.999000064,9901301.830979,17689,70950.809,4731745.873861,0
2017-12-31,2017-12-31 00:00:00.000000000,71.193,77.774,66.0,74.853,124362.869,2017-12-31 23:59:59.999000064,9047326.945285,16496,68702.581,5038597.416744,0
2018-01-01,2018-01-01 00:00:00.000000000,74.854,80.0,71.05,78.299,81411.846,2018-01-01 23:59:59.999000064,6134136.411203,11129,50901.677,3853451.408672,0
2018-01-02,2018-01-02 00:00:00.000000000,78.255,96.997,78.246,89.696,200642.887,2018-01-02 23:59:59.999000064,17534972.070261,27808,112934.668,9831537.094044,0
2018-01-03,2018-01-03 00:00:00.000000000,89.6,104.885,85.3,103.505,157777.608,2018-01-03 23:59:59.999000064,14650169.133746,26245,98702.932,9173816.033995,0
2018-01-04,2018-01-04 00:00:00.000000000,103.506,108.88,94.5,97.669,112336.601,2018-01-04 23:59:59.999000064,11278997.502658,22000,56192.502,5661470.434551,0
2018-01-05,2018-01-05 00:00:00.000000000,97.669,106.997,88.0,95.134,136754.802,2018-01-05 23:59:59.999000064,13318535.019045,22618,61601.299,6053180.219096,0
2018-01-06,2018-01-06 00:00:00.000000000,95.135,102.869,90.392,100.491,67541.119,2018-01-06 23:59:59.999000064,6577322.757148,12657,37410.456,3655495.852297,0
2018-01-07,2018-01-07 00:00:00.000000000,100.092,109.0,97.0,103.096,51435.255,2018-01-07 23:59:59.999000064,5320430.627084,9847,24749.116,2574961.903498,0
2018-01-08,2018-01-08 00:00:00.000000000,102.599,108.899,82.5,101.361,96541.847,2018-01-08 23:59:59.999000064,9413613.003149,15885,45906.525,4506571.756306,0
2018-01-09,2018-01-09 00:00:00.000000000,101.262,131.0,100.879,126.7,163943.227,2018-01-09 23:59:59.999000064,19437483.386169,25481,92295.056,10912213.587374,0
2018-01-10,2018-01-10 00:00:00.000000000,126.911,127.886,106.331,122.239,217513.907,2018-01-10 23:59:59.999000064,25937804.820377,26260,97876.698,11651926.450281,0
2018-01-11,2018-01-11 00:00:00.000000000,122.871,125.0,91.1,107.701,172426.94,2018-01-11 23:59:59.999000064,18824489.163833,24462,80142.829,8812399.618848,0
2018-01-12,2018-01-12 00:00:00.000000000,107.701,126.099,101.49,123.111,84911.316,2018-01-12 23:59:59.999000064,10006065.03372,17125,44476.695,5241920.586243,0
2018-01-13,2018-01-13 00:00:00.000000000,123.111,149.98,119.0,139.777,114714.28,2018-01-13 23:59:59.999000064,15536376.538965,21525,59997.317,8129802.038866,0
2018-01-14,2018-01-14 00:00:00.000000000,139.012,186.0,132.0,170.0,241962.311,2018-01-14 23:59:59.999000064,36340525.256379,43338,140349.361,21225901.127943,0
