Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-11-19,2020-11-19 00:00:00.000000000,0.03,0.12,0.03,0.03777,713299610.3,2020-11-19 23:59:59.999000064,32554614.321483,92744,349444397.5,15920804.21687,0
2020-11-20,2020-11-20 00:00:00.000000000,0.03776,0.046,0.0335,0.03573,320411540.0,2020-11-20 23:59:59.999000064,12357985.957789,34618,150677919.2,5873576.138396,0
2020-11-21,2020-11-21 00:00:00.000000000,0.03571,0.04,0.0326,0.03791,282877391.0,2020-11-21 23:59:59.999000064,9984390.474007,28771,142941602.1,5079240.363431,0
2020-11-22,2020-11-22 00:00:00.000000000,0.0379,0.0422,0.03519,0.04162,172188146.1,2020-11-22 23:59:59.999000064,6589195.445895,17232,85904389.4,3309065.487964,0
2020-11-23,2020-11-23 00:00:00.000000000,0.04168,0.0545,0.0386,0.04704,334746436.4,2020-11-23 23:59:59.999000064,15383479.406995,39624,173141149.7,8005319.157297,0
2020-11-24,2020-11-24 00:00:00.000000000,0.04703,0.053,0.04,0.04191,277218006.9,2020-11-24 23:59:59.999000064,12259227.331956,35670,127162093.7,5649026.208431,0
2020-11-25,2020-11-25 00:00:00.000000000,0.04186,0.04415,0.037,0.03908,245666641.3,2020-11-25 23:59:59.999000064,9981925.218228,24411,103772802.5,4242624.791546,0
2020-11-26,2020-11-26 00:00:00.000000000,0.03917,0.03945,0.03174,0.03574,177512868.5,2020-11-26 23:59:59.999000064,6154861.283912,17688,73722015.0,2553841.764902,0
2020-11-27,2020-11-27 00:00:00.000000000,0.03572,0.03898,0.033,0.0366,155352694.8,2020-11-27 23:59:59.999000064,5608549.60081,16260,75464618.0,2728185.124084,0
2020-11-28,2020-11-28 00:00:00.000000000,0.03671,0.04052,0.03667,0.03763,127006717.7,2020-11-28 23:59:59.999000064,4879257.296927,12355,60940617.0,2347078.74536,0
2020-11-29,2020-11-29 00:00:00.000000000,0.0377,0.0397,0.03661,0.03725,66792092.1,2020-11-29 23:59:59.999000064,2538618.612586,6916,29419997.9,1121384.856854,0
2020-11-30,2020-11-30 00:00:00.000000000,0.0372,0.03906,0.03585,0.0371,86199449.6,2020-11-30 23:59:59.999000064,3203679.529996,8703,38036915.5,1417898.423943,0
2020-12-01,2020-12-01 00:00:00.000000000,0.03709,0.03835,0.03412,0.03524,103278479.0,2020-12-01 23:59:59.999000064,3747908.755543,11991,51649787.9,1876640.286617,0
2020-12-02,2020-12-02 00:00:00.000000000,0.03525,0.03715,0.03422,0.03612,81251577.0,2020-12-02 23:59:59.999000064,2905337.770825,8974,38451970.9,1376686.668047,0
2020-12-03,2020-12-03 00:00:00.000000000,0.03615,0.04073,0.03613,0.0385,112221387.9,2020-12-03 23:59:59.999000064,4295946.975969,11581,58177882.5,2229465.838728,0
2020-12-04,2020-12-04 00:00:00.000000000,0.0385,0.04356,0.03748,0.03953,213765596.6,2020-12-04 23:59:59.999000064,8621952.289317,21433,115596861.8,4673811.727389,0
2020-12-05,2020-12-05 00:00:00.000000000,0.03938,0.0458,0.03768,0.04493,180539214.7,2020-12-05 23:59:59.999000064,7567578.279037,22899,88999595.2,3756333.294555,0
2020-12-06,2020-12-06 00:00:00.000000000,0.04508,0.049,0.04232,0.0425,228326421.7,2020-12-06 23:59:59.999000064,10427504.689379,36482,108467900.3,4981805.837728,0
2020-12-07,2020-12-07 00:00:00.000000000,0.0425,0.055,0.04203,0.05212,295173476.3,2020-12-07 23:59:59.999000064,14418388.652812,44620,162395216.2,7998730.398139,0
2020-12-08,2020-12-08 00:00:00.000000000,0.05209,0.0625,0.05027,0.05348,577481882.9,2020-12-08 23:59:59.999000064,32333674.105698,91676,297921374.6,16748525.767559,0
2020-12-09,2020-12-09 00:00:00.000000000,0.05348,0.0596,0.04429,0.05582,383841753.7,2020-12-09 23:59:59.999000064,20224597.855126,59074,189421833.7,10037215.864006,0
2020-12-10,2020-12-10 00:00:00.000000000,0.05573,0.05743,0.04818,0.04925,212256121.7,2020-12-10 23:59:59.999000064,10945773.864878,36150,93545385.3,4827239.267409,0
2020-12-11,2020-12-11 00:00:00.000000000,0.04925,0.04925,0.0424,0.04566,238894778.7,2020-12-11 23:59:59.999000064,10879564.74544,37781,108668977.0,4950520.280548,0
2020-12-12,2020-12-12 00:00:00.000000000,0.04556,0.05376,0.04554,0.05133,187634172.6,2020-12-12 23:59:59.999000064,9453901.736994,34418,96050312.2,4850898.867285,0
2020-12-13,2020-12-13 00:00:00.000000000,0.05125,0.05512,0.0486,0.05156,156599035.2,2020-12-13 23:59:59.999000064,8165659.636727,26831,77988417.6,4081088.536905,0
2020-12-14,2020-12-14 00:00:00.000000000,0.05173,0.0566,0.05055,0.05225,177162044.6,2020-12-14 23:59:59.999000064,9455634.38675,30756,87634297.8,4691776.374226,0
2020-12-15,2020-12-15 00:00:00.000000000,0.05232,0.05336,0.04846,0.04925,142152521.5,2020-12-15 23:59:59.999000064,7215765.483745,23936,60261043.5,3065807.085985,0
2020-12-16,2020-12-16 00:00:00.000000000,0.04925,0.052,0.04628,0.05126,165582265.4,2020-12-16 23:59:59.999000064,8156974.396062,29108,82577504.3,4081121.27245,0
2020-12-17,2020-12-17 00:00:00.000000000,0.05123,0.05187,0.04457,0.04608,173492382.9,2020-12-17 23:59:59.999000064,8408958.904567,28891,77688355.8,3774888.143402,0
2020-12-18,2020-12-18 00:00:00.000000000,0.04609,0.05292,0.04432,0.04911,218213632.7,2020-12-18 23:59:59.999000064,10643221.90479,34917,107809240.0,5271606.930923,0
2020-12-19,2020-12-19 00:00:00.000000000,0.0491,0.05797,0.04797,0.05621,263999822.7,2020-12-19 23:59:59.999000064,14061536.912717,44916,135983580.3,7265163.723919,0
2020-12-20,2020-12-20 00:00:00.000000000,0.05623,0.06281,0.05185,0.05195,337324898.7,2020-12-20 23:59:59.999000064,19287242.090916,61462,164244734.2,9430148.706609,0
2020-12-21,2020-12-21 00:00:00.000000000,0.05193,0.058,0.0481,0.05067,222368818.5,2020-12-21 23:59:59.999000064,11624262.311134,34091,102788614.0,5405732.184981,0
2020-12-22,2020-12-22 00:00:00.000000000,0.05067,0.05545,0.04773,0.0552,156812679.1,2020-12-22 23:59:59.999000064,8037401.131261,28822,75680469.7,3885201.675496,0
2020-12-23,2020-12-23 00:00:00.000000000,0.05519,0.0552,0.0425,0.04689,172548117.3,2020-12-23 23:59:59.999000064,8524357.599719,29271,73482378.6,3640898.465434,0
2020-12-24,2020-12-24 00:00:00.000000000,0.04689,0.0505,0.04401,0.04867,86152156.1,2020-12-24 23:59:59.999000064,4041285.571722,16450,39380336.4,1853324.115072,0
2020-12-25,2020-12-25 00:00:00.000000000,0.04874,0.0492,0.04385,0.04583,101794826.6,2020-12-25 23:59:59.999000064,4746290.630785,22146,45315637.4,2112062.656579,0
2020-12-26,2020-12-26 00:00:00.000000000,0.04585,0.04797,0.04358,0.04441,87116276.9,2020-12-26 23:59:59.999000064,3993858.723476,20054,38480967.9,1764597.897223,0
2020-12-27,2020-12-27 00:00:00.000000000,0.04441,0.04555,0.041,0.04313,133466964.4,2020-12-27 23:59:59.999000064,5756218.533003,25184,62939026.4,2714440.577073,0
2020-12-28,2020-12-28 00:00:00.000000000,0.04313,0.04894,0.0425,0.04574,124827719.8,2020-12-28 23:59:59.999000064,5748887.654653,26272,62454792.4,2879766.881834,0
2020-12-29,2020-12-29 00:00:00.000000000,0.04575,0.04693,0.03888,0.04082,123336364.3,2020-12-29 23:59:59.999000064,5189834.432706,26768,53391253.2,2249465.816835,0
2020-12-30,2020-12-30 00:00:00.000000000,0.04088,0.04203,0.03868,0.04178,88011021.0,2020-12-30 23:59:59.999000064,3549651.53635,16796,38186615.0,1541653.407219,0
2020-12-31,2020-12-31 00:00:00.000000000,0.04181,0.04374,0.04122,0.04159,54874918.6,2020-12-31 23:59:59.999000064,2318950.628252,9364,22576273.2,956207.297105,0
2021-01-01,2021-01-01 00:00:00.000000000,0.04159,0.04518,0.04133,0.0421,56731322.7,2021-01-01 23:59:59.999000064,2451229.108841,12472,25473160.2,1102917.648355,0
2021-01-02,2021-01-02 00:00:00.000000000,0.04204,0.0431,0.03951,0.04095,64594870.6,2021-01-02 23:59:59.999000064,2650497.665143,11935,26885264.3,1105863.262786,0
2021-01-03,2021-01-03 00:00:00.000000000,0.04094,0.04499,0.039,0.04129,100487681.3,2021-01-03 23:59:59.999000064,4239342.718158,17900,46187610.1,1963994.32378,0
2021-01-04,2021-01-04 00:00:00.000000000,0.0413,0.0459,0.0375,0.04135,164913608.8,2021-01-04 23:59:59.999000064,6852567.39422,27561,80322720.1,3349646.466201,0
2021-01-05,2021-01-05 00:00:00.000000000,0.04135,0.04777,0.0399,0.04394,163694198.3,2021-01-05 23:59:59.999000064,7236359.417296,32843,84214540.7,3728210.078563,0
2021-01-06,2021-01-06 00:00:00.000000000,0.04394,0.04994,0.04382,0.04743,145649316.6,2021-01-06 23:59:59.999000064,6834000.982876,29095,74410006.6,3496310.650456,0
2021-01-07,2021-01-07 00:00:00.000000000,0.04746,0.0546,0.04575,0.05095,155576047.3,2021-01-07 23:59:59.999000064,7856088.999372,32458,76550788.4,3882478.592073,0
2021-01-08,2021-01-08 00:00:00.000000000,0.05095,0.05105,0.04068,0.04536,156039029.1,2021-01-08 23:59:59.999000064,7164597.807186,29422,70063189.9,3224997.148397,0
2021-01-09,2021-01-09 00:00:00.000000000,0.04537,0.04875,0.0433,0.04704,107096545.8,2021-01-09 23:59:59.999000064,5007376.575877,21629,53551452.8,2508301.483103,0
2021-01-10,2021-01-10 00:00:00.000000000,0.04704,0.04995,0.04285,0.04476,122060959.5,2021-01-10 23:59:59.999000064,5657622.426016,25870,55155664.1,2565434.506471,0
2021-01-11,2021-01-11 00:00:00.000000000,0.04474,0.04476,0.03835,0.04144,149379703.3,2021-01-11 23:59:59.999000064,6179364.217409,26663,65739147.9,2721456.833116,0
2021-01-12,2021-01-12 00:00:00.000000000,0.04135,0.0442,0.03938,0.04138,74574220.1,2021-01-12 23:59:59.999000064,3124240.8693,13789,34222135.2,1436172.002019,0
2021-01-13,2021-01-13 00:00:00.000000000,0.04134,0.04419,0.03987,0.0435,69734693.1,2021-01-13 23:59:59.999000064,2957723.016417,12648,33010766.8,1405103.602847,0
2021-01-14,2021-01-14 00:00:00.000000000,0.0435,0.04781,0.04274,0.04506,73705700.0,2021-01-14 23:59:59.999000064,3350811.415283,13553,36438499.8,1654733.615353,0
2021-01-15,2021-01-15 00:00:00.000000000,0.04506,0.04816,0.042,0.04505,83215906.3,2021-01-15 23:59:59.999000064,3756485.665416,15219,40477112.4,1832334.719134,0
2021-01-16,2021-01-16 00:00:00.000000000,0.04507,0.055,0.04507,0.05377,156236463.4,2021-01-16 23:59:59.999000064,7953261.102535,31893,88594462.0,4523581.556529,0
2021-01-17,2021-01-17 00:00:00.000000000,0.05376,0.0704,0.04861,0.06418,286239246.8,2021-01-17 23:59:59.999000064,16889849.710962,54328,148609056.0,8821238.099619,0
2021-01-18,2021-01-18 00:00:00.000000000,0.0641,0.0756,0.05969,0.06298,207155929.7,2021-01-18 23:59:59.999000064,13928096.799553,49574,99574216.5,6708276.831246,0
2021-01-19,2021-01-19 00:00:00.000000000,0.06291,0.0703,0.05989,0.06234,111239865.7,2021-01-19 23:59:59.999000064,7093355.809838,25512,53757353.9,3445543.581966,0
2021-01-20,2021-01-20 00:00:00.000000000,0.06234,0.06388,0.053,0.06059,150241041.5,2021-01-20 23:59:59.999000064,8680804.24223,29979,66162921.7,3843584.571996,0
2021-01-21,2021-01-21 00:00:00.000000000,0.06059,0.062,0.05365,0.05451,124047211.9,2021-01-21 23:59:59.999000064,7069025.793451,25263,56963450.4,3260031.299525,0
2021-01-22,2021-01-22 00:00:00.000000000,0.05446,0.0669,0.05102,0.06037,128211022.1,2021-01-22 23:59:59.999000064,7586772.55493,28806,63948185.5,3806375.483005,0
2021-01-23,2021-01-23 00:00:00.000000000,0.06036,0.06581,0.05855,0.0641,89432637.5,2021-01-23 23:59:59.999000064,5567850.635126,21223,43901105.4,2742128.461362,0
