Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-08-14,2020-08-14 00:00:00.000000000,0.008333,0.09471,0.008333,0.065997,989575855.0,2020-08-14 23:59:59.999000064,70385140.505219,137570,450971982.0,32241226.937291,0
2020-08-15,2020-08-15 00:00:00.000000000,0.065817,0.070869,0.049,0.051101,372663272.0,2020-08-15 23:59:59.999000064,21688940.083037,56168,158646924.0,9297103.879314,0
2020-08-16,2020-08-16 00:00:00.000000000,0.051413,0.070027,0.048,0.060852,295461524.0,2020-08-16 23:59:59.999000064,17609335.112657,49612,145104696.0,8687144.986274,0
2020-08-17,2020-08-17 00:00:00.000000000,0.060853,0.065199,0.052345,0.053812,106548486.0,2020-08-17 23:59:59.999000064,6088783.722197,24542,43800814.0,2500281.234783,0
2020-08-18,2020-08-18 00:00:00.000000000,0.053813,0.061052,0.050205,0.051631,80926224.0,2020-08-18 23:59:59.999000064,4475934.672246,18224,34326081.0,1914421.533107,0
2020-08-19,2020-08-19 00:00:00.000000000,0.05141,0.0571,0.048,0.051942,76398711.0,2020-08-19 23:59:59.999000064,4043717.016609,18062,35941565.0,1918925.601362,0
2020-08-20,2020-08-20 00:00:00.000000000,0.052519,0.057332,0.05076,0.053483,67304708.0,2020-08-20 23:59:59.999000064,3609228.427726,15483,32864224.0,1763876.798914,0
2020-08-21,2020-08-21 00:00:00.000000000,0.05387,0.05387,0.044005,0.04425,67549095.0,2020-08-21 23:59:59.999000064,3395560.430264,13328,26026542.0,1313551.540898,0
2020-08-22,2020-08-22 00:00:00.000000000,0.044231,0.0491,0.040202,0.045973,55057194.0,2020-08-22 23:59:59.999000064,2456605.057283,11716,23651563.0,1058975.703769,0
2020-08-23,2020-08-23 00:00:00.000000000,0.045973,0.048323,0.041793,0.043611,32322297.0,2020-08-23 23:59:59.999000064,1448248.520859,7971,13353509.0,597963.581489,0
2020-08-24,2020-08-24 00:00:00.000000000,0.043652,0.053749,0.042063,0.050735,74190522.0,2020-08-24 23:59:59.999000064,3658615.594753,16732,36489705.0,1799708.054145,0
2020-08-25,2020-08-25 00:00:00.000000000,0.051232,0.05675,0.045,0.048002,74226864.0,2020-08-25 23:59:59.999000064,3785059.232819,16157,30532982.0,1559143.352879,0
