Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-07-09,2020-07-09 00:00:00.000000000,2.893,3.398,2.71,2.956,814828.589,2020-07-09 23:59:59.999000064,2454151.510231,7091,377287.859,1147311.515313,0
2020-07-10,2020-07-10 00:00:00.000000000,2.956,2.974,2.763,2.921,336121.948,2020-07-10 23:59:59.999000064,966689.614323,6588,168980.144,485894.857169,0
2020-07-11,2020-07-11 00:00:00.000000000,2.921,2.927,2.654,2.809,285697.148,2020-07-11 23:59:59.999000064,795700.732691,5796,106758.527,298883.869291,0
2020-07-12,2020-07-12 00:00:00.000000000,2.806,2.843,2.73,2.78,267451.597,2020-07-12 23:59:59.999000064,747322.213203,5282,121840.532,341144.169084,0
2020-07-13,2020-07-13 00:00:00.000000000,2.78,2.84,2.5,2.541,420242.131,2020-07-13 23:59:59.999000064,1133830.518097,6304,199579.574,540518.186108,0
2020-07-14,2020-07-14 00:00:00.000000000,2.538,2.75,2.384,2.747,469580.081,2020-07-14 23:59:59.999000064,1184957.558269,8483,212528.568,535671.649715,0
2020-07-15,2020-07-15 00:00:00.000000000,2.747,3.15,2.704,3.05,708397.187,2020-07-15 23:59:59.999000064,2068763.421298,16018,382816.058,1115759.215525,0
2020-07-16,2020-07-16 00:00:00.000000000,3.05,3.25,2.782,3.097,791153.526,2020-07-16 23:59:59.999000064,2408785.952901,13749,397778.62,1214676.06265,0
2020-07-17,2020-07-17 00:00:00.000000000,3.097,3.6,3.053,3.308,838226.636,2020-07-17 23:59:59.999000064,2827517.062961,17378,462198.818,1565241.667963,0
2020-07-18,2020-07-18 00:00:00.000000000,3.307,3.52,3.169,3.371,381798.329,2020-07-18 23:59:59.999000064,1272997.172879,9492,214032.902,715200.759529,0
2020-07-19,2020-07-19 00:00:00.000000000,3.381,3.535,3.288,3.297,369647.946,2020-07-19 23:59:59.999000064,1251368.842593,7516,219137.269,743598.769212,0
