Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-01-27,2021-01-27 00:00:00.000000000,0.1698,0.5,0.1698,0.431,307684578.14,2021-01-27 23:59:59.999000064,102717884.338586,302378,161335785.7,53971836.105212,0
2021-01-28,2021-01-28 00:00:00.000000000,0.4312,0.4314,0.2919,0.3012,156658865.88,2021-01-28 23:59:59.999000064,55520265.393809,159822,71935283.43,25598830.433895,0
2021-01-29,2021-01-29 00:00:00.000000000,0.3009,0.321,0.252,0.288,74611336.58,2021-01-29 23:59:59.999000064,20807269.233149,84447,35284095.82,9893797.653482,0
2021-01-30,2021-01-30 00:00:00.000000000,0.2878,0.348,0.283,0.298,47977142.59,2021-01-30 23:59:59.999000064,14856975.708226,62563,22292634.63,6946959.708178,0
2021-01-31,2021-01-31 00:00:00.000000000,0.298,0.3213,0.2833,0.2907,26593050.22,2021-01-31 23:59:59.999000064,7922892.186395,34306,12144411.02,3634086.730436,0
2021-02-01,2021-02-01 00:00:00.000000000,0.2907,0.3197,0.2867,0.3018,21475119.72,2021-02-01 23:59:59.999000064,6513269.166595,26739,9845770.79,2990908.440001,0
2021-02-02,2021-02-02 00:00:00.000000000,0.3018,0.3399,0.2963,0.3266,25317276.33,2021-02-02 23:59:59.999000064,8000176.001697,31216,12237016.36,3874469.384035,0
2021-02-03,2021-02-03 00:00:00.000000000,0.3266,0.378,0.3265,0.3696,30858737.15,2021-02-03 23:59:59.999000064,10776655.308541,43653,15329815.6,5361984.409206,0
2021-02-04,2021-02-04 00:00:00.000000000,0.3696,0.4405,0.34,0.413,42808973.21,2021-02-04 23:59:59.999000064,16408435.800893,55890,21778445.55,8389843.779961,0
2021-02-05,2021-02-05 00:00:00.000000000,0.4127,0.55,0.4127,0.4634,63899257.99,2021-02-05 23:59:59.999000064,31181675.371679,101067,31206935.74,15264240.552047,0
2021-02-06,2021-02-06 00:00:00.000000000,0.4661,0.5784,0.4202,0.5504,49875902.24,2021-02-06 23:59:59.999000064,25110979.362055,92630,24569321.28,12464308.206481,0
2021-02-07,2021-02-07 00:00:00.000000000,0.5504,0.666,0.5289,0.6096,70201994.7,2021-02-07 23:59:59.999000064,42336061.743198,135875,34306621.72,20745155.743979,0
2021-02-08,2021-02-08 00:00:00.000000000,0.6096,0.7244,0.5965,0.7042,48960143.51,2021-02-08 23:59:59.999000064,33040862.029932,96586,25231744.02,17059898.284097,0
2021-02-09,2021-02-09 00:00:00.000000000,0.7067,0.708,0.6152,0.6462,32626756.58,2021-02-09 23:59:59.999000064,21410916.663162,78104,14608577.97,9587510.557507,0
2021-02-10,2021-02-10 00:00:00.000000000,0.6463,0.7583,0.6049,0.6384,40395717.23,2021-02-10 23:59:59.999000064,27905048.685386,112385,20069132.24,13915650.118367,0
2021-02-11,2021-02-11 00:00:00.000000000,0.6384,0.7487,0.6273,0.7212,22118423.42,2021-02-11 23:59:59.999000064,15303764.473796,63748,11039516.82,7659328.866671,0
2021-02-12,2021-02-12 00:00:00.000000000,0.7237,0.7335,0.6711,0.695,17525783.62,2021-02-12 23:59:59.999000064,12341568.696378,55010,7875670.77,5563535.075087,0
2021-02-13,2021-02-13 00:00:00.000000000,0.6938,0.7071,0.64,0.6552,15910244.92,2021-02-13 23:59:59.999000064,10750442.260603,48312,7024343.59,4750065.041806,0
2021-02-14,2021-02-14 00:00:00.000000000,0.6551,0.6693,0.61,0.6397,15360675.07,2021-02-14 23:59:59.999000064,9818939.090204,42763,6390429.78,4092300.372859,0
2021-02-15,2021-02-15 00:00:00.000000000,0.6397,0.642,0.511,0.5693,26036556.1,2021-02-15 23:59:59.999000064,14974893.569786,60435,12053115.9,6932354.675316,0
2021-02-16,2021-02-16 00:00:00.000000000,0.5692,0.6676,0.5428,0.6453,20652421.77,2021-02-16 23:59:59.999000064,12735382.021409,55289,10595101.04,6545154.055626,0
2021-02-17,2021-02-17 00:00:00.000000000,0.6454,0.68,0.5783,0.6617,18253582.82,2021-02-17 23:59:59.999000064,11564220.192378,49001,9562897.1,6089464.492784,0
2021-02-18,2021-02-18 00:00:00.000000000,0.6625,0.7988,0.6512,0.7793,29202050.39,2021-02-18 23:59:59.999000064,20816188.897188,82416,17218991.88,12268638.579945,0
