Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-09-17,2020-09-17 00:00:00.000000000,0.3,15.0,0.3,3.4617,102597222.59,2020-09-17 23:59:59.999000064,333729068.925844,660780,49916784.87,163175040.541875,0
2020-09-18,2020-09-18 00:00:00.000000000,3.4618,8.6,3.2285,6.9,167667906.97,2020-09-18 23:59:59.999000064,1000039651.037696,1486593,85283759.81,508239056.893086,0
2020-09-19,2020-09-19 00:00:00.000000000,6.9,7.4963,5.19,5.7244,79814511.66,2020-09-19 23:59:59.999000064,515450179.992354,979043,38099403.63,246518469.056179,0
2020-09-20,2020-09-20 00:00:00.000000000,5.7244,6.09,4.65,5.223,53519725.62,2020-09-20 23:59:59.999000064,282681649.969729,592785,26051761.15,137608643.398576,0
2020-09-21,2020-09-21 00:00:00.000000000,5.22,5.65,4.06,4.2471,56110504.32,2020-09-21 23:59:59.999000064,263249742.810448,540477,26954893.82,126340030.721059,0
2020-09-22,2020-09-22 00:00:00.000000000,4.2505,4.554,3.6828,3.9105,40815724.83,2020-09-22 23:59:59.999000064,165782944.378901,382520,19471593.32,79103471.627835,0
2020-09-23,2020-09-23 00:00:00.000000000,3.9079,5.3475,3.9008,4.38,58485584.8,2020-09-23 23:59:59.999000064,267187483.34736,527149,28108700.59,128533720.004493,0
2020-09-24,2020-09-24 00:00:00.000000000,4.38,5.2888,4.26,5.164,44859170.85,2020-09-24 23:59:59.999000064,219988837.338756,391758,22737886.31,111556117.598302,0
2020-09-25,2020-09-25 00:00:00.000000000,5.159,5.5525,4.7605,4.9145,31809864.62,2020-09-25 23:59:59.999000064,163328757.293314,296577,15261671.0,78450506.027488,0
2020-09-26,2020-09-26 00:00:00.000000000,4.9134,4.9897,4.6752,4.8684,15021040.65,2020-09-26 23:59:59.999000064,72802048.888563,163093,7115893.44,34521876.040647,0
2020-09-27,2020-09-27 00:00:00.000000000,4.8638,5.2133,4.7,4.8458,14663658.99,2020-09-27 23:59:59.999000064,72093517.118611,142632,6896512.3,33942124.104781,0
2020-09-28,2020-09-28 00:00:00.000000000,4.846,4.95,4.18,4.2503,15753026.48,2020-09-28 23:59:59.999000064,71795633.330892,201135,7355855.15,33579375.931476,0
2020-09-29,2020-09-29 00:00:00.000000000,4.2475,4.4135,4.12,4.3826,11551787.7,2020-09-29 23:59:59.999000064,49146508.253399,103968,5757450.5,24517075.303158,0
2020-09-30,2020-09-30 00:00:00.000000000,4.3826,4.3854,3.95,4.1554,8331877.3,2020-09-30 23:59:59.999000064,34298302.909446,80917,3861793.54,15901436.502265,0
2020-10-01,2020-10-01 00:00:00.000000000,4.1554,4.514,3.9038,4.2397,18775683.03,2020-10-01 23:59:59.999000064,79128683.435219,171366,8729961.34,36679006.643481,0
2020-10-02,2020-10-02 00:00:00.000000000,4.2396,4.2396,3.569,3.8904,12414352.91,2020-10-02 23:59:59.999000064,48261612.062012,108141,5838272.9,22692124.396415,0
2020-10-03,2020-10-03 00:00:00.000000000,3.89,4.1195,3.83,3.9041,6558893.01,2020-10-03 23:59:59.999000064,25875306.620727,49329,3217507.68,12699848.845831,0
2020-10-04,2020-10-04 00:00:00.000000000,3.9001,3.9447,3.61,3.7262,9253080.76,2020-10-04 23:59:59.999000064,34747338.408722,72482,4273363.85,16048003.80846,0
2020-10-05,2020-10-05 00:00:00.000000000,3.7235,3.8,3.1817,3.319,14619829.43,2020-10-05 23:59:59.999000064,50225014.640488,116364,6579123.87,22581582.791628,0
2020-10-06,2020-10-06 00:00:00.000000000,3.319,3.3409,2.63,2.7143,23504656.67,2020-10-06 23:59:59.999000064,70355709.608437,165293,10959276.6,32869161.567142,0
2020-10-07,2020-10-07 00:00:00.000000000,2.7143,3.0,2.4779,2.9621,24192428.29,2020-10-07 23:59:59.999000064,65517558.254562,187406,11301440.49,30685982.54904,0
2020-10-08,2020-10-08 00:00:00.000000000,2.9629,3.4654,2.6428,3.3499,25679034.97,2020-10-08 23:59:59.999000064,79113737.585465,212758,12723674.34,39267637.180422,0
2020-10-09,2020-10-09 00:00:00.000000000,3.3499,3.6,3.1749,3.3834,16228659.83,2020-10-09 23:59:59.999000064,54925623.775849,132223,7891079.89,26728204.174041,0
2020-10-10,2020-10-10 00:00:00.000000000,3.38,3.6578,3.2664,3.2989,10858881.78,2020-10-10 23:59:59.999000064,37328992.387001,94081,5181079.43,17810282.960713,0
