Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-07-06,2020-07-06 00:00:00.000000000,6.525,7.094,6.525,7.058,12769.436,2020-07-06 23:59:59.999000064,87581.250849,668,3979.99,27325.844688,0
2020-07-07,2020-07-07 00:00:00.000000000,7.058,8.9,6.8,6.84,25134.47,2020-07-07 23:59:59.999000064,176732.619108,2179,11814.614,84188.499794,0
2020-07-08,2020-07-08 00:00:00.000000000,6.84,6.98,6.5,6.931,28936.534,2020-07-08 23:59:59.999000064,198361.017214,1416,11470.542,78713.950174,0
2020-07-09,2020-07-09 00:00:00.000000000,6.931,7.734,6.823,7.462,52143.04,2020-07-09 23:59:59.999000064,382235.044903,2809,22414.444,164580.062003,0
2020-07-10,2020-07-10 00:00:00.000000000,7.462,7.89,7.165,7.355,48342.74,2020-07-10 23:59:59.999000064,363262.227791,2442,19166.91,143689.231614,0
2020-07-11,2020-07-11 00:00:00.000000000,7.35,8.8,7.211,7.242,48653.524,2020-07-11 23:59:59.999000064,363553.992972,2662,24717.375,185982.408966,0
2020-07-12,2020-07-12 00:00:00.000000000,7.242,7.492,7.112,7.214,15711.617,2020-07-12 23:59:59.999000064,114521.875865,1584,7955.842,58120.958766,0
2020-07-13,2020-07-13 00:00:00.000000000,7.23,7.886,7.093,7.505,43383.425,2020-07-13 23:59:59.999000064,326543.305015,3262,18657.408,140425.187835,0
2020-07-14,2020-07-14 00:00:00.000000000,7.481,7.564,6.91,7.189,20774.87,2020-07-14 23:59:59.999000064,149345.046022,1638,7675.993,55119.659435,0
2020-07-15,2020-07-15 00:00:00.000000000,7.189,7.734,7.14,7.462,36815.82,2020-07-15 23:59:59.999000064,271295.66404,2133,24056.753,176944.989233,0
2020-07-16,2020-07-16 00:00:00.000000000,7.477,7.728,7.0,7.537,27170.055,2020-07-16 23:59:59.999000064,200682.633242,1872,12121.654,90676.379207,0
2020-07-17,2020-07-17 00:00:00.000000000,7.537,7.6,7.341,7.475,9708.797,2020-07-17 23:59:59.999000064,72311.916144,1157,4121.023,30749.209108,0
2020-07-18,2020-07-18 00:00:00.000000000,7.447,7.567,7.238,7.492,10597.931,2020-07-18 23:59:59.999000064,78197.434665,1003,4818.712,35700.215281,0
2020-07-19,2020-07-19 00:00:00.000000000,7.48,8.5,7.477,8.139,75328.538,2020-07-19 23:59:59.999000064,599994.423049,5781,37493.987,299169.110097,0
2020-07-20,2020-07-20 00:00:00.000000000,8.14,8.548,7.9,8.087,42137.941,2020-07-20 23:59:59.999000064,346719.781846,2820,19044.103,156272.315034,0
2020-07-21,2020-07-21 00:00:00.000000000,8.069,8.45,7.93,8.072,19996.089,2020-07-21 23:59:59.999000064,162279.300974,1966,11496.108,93214.543894,0
2020-07-22,2020-07-22 00:00:00.000000000,8.056,8.3,7.957,8.09,10721.434,2020-07-22 23:59:59.999000064,87114.685264,1148,5863.657,47791.131572,0
2020-07-23,2020-07-23 00:00:00.000000000,8.09,9.09,8.09,8.727,38414.479,2020-07-23 23:59:59.999000064,334362.642764,3222,16506.89,142642.440157,0
2020-07-24,2020-07-24 00:00:00.000000000,8.726,9.664,8.639,9.459,38081.302,2020-07-24 23:59:59.999000064,352561.928388,3759,15984.166,148301.583965,0
2020-07-25,2020-07-25 00:00:00.000000000,9.459,9.511,8.996,9.095,26856.708,2020-07-25 23:59:59.999000064,250047.932241,1978,9049.983,84286.326706,0
2020-07-26,2020-07-26 00:00:00.000000000,9.095,9.399,8.733,9.387,35115.059,2020-07-26 23:59:59.999000064,316160.109833,2424,8284.684,74508.132584,0
2020-07-27,2020-07-27 00:00:00.000000000,9.332,9.483,8.2,8.724,50484.173,2020-07-27 23:59:59.999000064,439658.2501,2906,18460.839,161814.477344,0
2020-07-28,2020-07-28 00:00:00.000000000,8.732,8.804,8.06,8.374,35064.027,2020-07-28 23:59:59.999000064,294050.745948,1819,14794.114,123826.601197,0
2020-07-29,2020-07-29 00:00:00.000000000,8.374,8.525,8.06,8.128,21435.651,2020-07-29 23:59:59.999000064,177860.452951,1281,7212.872,59963.106488,0
2020-07-30,2020-07-30 00:00:00.000000000,8.088,8.364,8.06,8.194,14657.599,2020-07-30 23:59:59.999000064,119767.083312,889,6286.195,51510.446315,0
2020-07-31,2020-07-31 00:00:00.000000000,8.198,8.336,7.891,8.099,17347.695,2020-07-31 23:59:59.999000064,140688.999604,941,5413.761,43956.015155,0
2020-08-01,2020-08-01 00:00:00.000000000,8.107,9.4,8.003,8.903,55745.201,2020-08-01 23:59:59.999000064,487196.022451,3702,26821.498,235571.739227,0
2020-08-02,2020-08-02 00:00:00.000000000,8.872,9.354,8.047,8.511,45501.743,2020-08-02 23:59:59.999000064,392517.212394,2325,17844.938,155342.593133,0
2020-08-03,2020-08-03 00:00:00.000000000,8.511,9.078,8.3,8.914,23788.253,2020-08-03 23:59:59.999000064,207113.713581,1409,11823.313,103208.160732,0
2020-08-04,2020-08-04 00:00:00.000000000,8.929,9.2,8.678,9.016,18833.932,2020-08-04 23:59:59.999000064,169065.283572,1276,6877.821,61941.732815,0
2020-08-05,2020-08-05 00:00:00.000000000,8.986,9.34,8.879,9.289,19692.997,2020-08-05 23:59:59.999000064,178978.452087,1306,10543.054,95877.442225,0
2020-08-06,2020-08-06 00:00:00.000000000,9.289,9.75,9.108,9.552,28133.372,2020-08-06 23:59:59.999000064,266280.07865,2006,14441.685,136744.646148,0
2020-08-07,2020-08-07 00:00:00.000000000,9.487,10.16,9.415,9.873,45760.629,2020-08-07 23:59:59.999000064,445416.128879,2821,21686.048,211091.224963,0
2020-08-08,2020-08-08 00:00:00.000000000,9.873,11.489,9.865,10.9,70549.56,2020-08-08 23:59:59.999000064,751954.108089,4557,32692.738,347845.279738,0
2020-08-09,2020-08-09 00:00:00.000000000,10.924,11.304,10.2,10.498,44296.264,2020-08-09 23:59:59.999000064,472463.791763,2395,18562.368,198395.284108,0
