Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-02-28,2019-02-28 00:00:00.000000000,0.265,0.277,0.2431,0.2477,1491942.14,2019-02-28 23:59:59.999000064,373882.664808,2485,764365.08,191634.78494,0
2019-03-01,2019-03-01 00:00:00.000000000,0.2478,0.2509,0.245,0.2483,589241.57,2019-03-01 23:59:59.999000064,145603.292093,1511,120049.37,29723.053084,0
2019-03-02,2019-03-02 00:00:00.000000000,0.2477,0.2588,0.2403,0.2432,901096.63,2019-03-02 23:59:59.999000064,222011.372575,2309,404917.92,99921.052931,0
2019-03-03,2019-03-03 00:00:00.000000000,0.2432,0.245,0.2372,0.2402,675001.66,2019-03-03 23:59:59.999000064,163008.613884,1431,374877.38,90677.890828,0
2019-03-04,2019-03-04 00:00:00.000000000,0.2403,0.2416,0.2171,0.2264,1203714.29,2019-03-04 23:59:59.999000064,274816.156031,2554,472333.16,108070.88775,0
2019-03-05,2019-03-05 00:00:00.000000000,0.2264,0.2407,0.2212,0.2371,959113.49,2019-03-05 23:59:59.999000064,221389.043936,1930,381759.27,88482.328367,0
2019-03-06,2019-03-06 00:00:00.000000000,0.2371,0.25,0.2314,0.2443,1012343.66,2019-03-06 23:59:59.999000064,242596.050689,1881,451513.67,108575.842078,0
2019-03-07,2019-03-07 00:00:00.000000000,0.2449,0.2473,0.2361,0.2387,1943239.83,2019-03-07 23:59:59.999000064,466814.89288,3023,856459.34,205744.333204,0
2019-03-08,2019-03-08 00:00:00.000000000,0.2391,0.245,0.2312,0.2348,2512437.68,2019-03-08 23:59:59.999000064,596012.282904,3311,857348.86,203623.956695,0
2019-03-09,2019-03-09 00:00:00.000000000,0.2348,0.2619,0.2339,0.2509,3672140.17,2019-03-09 23:59:59.999000064,914305.322742,5587,1592079.76,396131.056915,0
2019-03-10,2019-03-10 00:00:00.000000000,0.2509,0.274,0.2491,0.2696,5546916.15,2019-03-10 23:59:59.999000064,1460987.678517,8184,2918265.12,769645.326604,0
2019-03-11,2019-03-11 00:00:00.000000000,0.2696,0.28,0.2477,0.2563,4482131.91,2019-03-11 23:59:59.999000064,1158070.056093,6511,1669528.53,430976.364968,0
2019-03-12,2019-03-12 00:00:00.000000000,0.2567,0.2785,0.25,0.2708,2582512.37,2019-03-12 23:59:59.999000064,689416.924119,3894,986495.93,263004.313009,0
2019-03-13,2019-03-13 00:00:00.000000000,0.271,0.2834,0.2604,0.2687,2902930.73,2019-03-13 23:59:59.999000064,786348.286649,4621,1262920.26,342080.391241,0
2019-03-14,2019-03-14 00:00:00.000000000,0.268,0.2689,0.2481,0.2654,2124131.03,2019-03-14 23:59:59.999000064,554742.418429,2922,1031430.97,269189.656587,0
2019-03-15,2019-03-15 00:00:00.000000000,0.2659,0.2809,0.2656,0.2717,2037155.9,2019-03-15 23:59:59.999000064,555812.569628,3135,1080067.42,294634.749933,0
2019-03-16,2019-03-16 00:00:00.000000000,0.2719,0.2758,0.266,0.2694,2161823.98,2019-03-16 23:59:59.999000064,585227.133918,3402,1039143.8,281274.385099,0
2019-03-17,2019-03-17 00:00:00.000000000,0.2693,0.2695,0.2611,0.2639,1074534.39,2019-03-17 23:59:59.999000064,283773.267681,1966,505164.05,133413.874693,0
2019-03-18,2019-03-18 00:00:00.000000000,0.2639,0.271,0.2571,0.2597,1037903.61,2019-03-18 23:59:59.999000064,271724.519851,1645,464478.62,121935.019999,0
2019-03-19,2019-03-19 00:00:00.000000000,0.2598,0.2699,0.2593,0.2668,1080614.84,2019-03-19 23:59:59.999000064,287349.061682,1557,607956.81,161685.983307,0
2019-03-20,2019-03-20 00:00:00.000000000,0.2673,0.2733,0.2667,0.2714,1091238.87,2019-03-20 23:59:59.999000064,294817.667456,1689,532609.93,143890.238223,0
2019-03-21,2019-03-21 00:00:00.000000000,0.2714,0.2745,0.251,0.2591,2029823.6,2019-03-21 23:59:59.999000064,536128.306083,3091,871632.09,230314.29107,0
2019-03-22,2019-03-22 00:00:00.000000000,0.2579,0.274,0.257,0.2725,1566261.22,2019-03-22 23:59:59.999000064,415535.433137,1989,921740.76,245021.475923,0
2019-03-23,2019-03-23 00:00:00.000000000,0.2725,0.2769,0.2669,0.2699,1434949.26,2019-03-23 23:59:59.999000064,390167.846162,2197,601819.76,163479.702344,0
2019-03-24,2019-03-24 00:00:00.000000000,0.2685,0.2987,0.2648,0.2908,3488922.33,2019-03-24 23:59:59.999000064,989390.246829,4986,1545035.47,439748.117315,0
2019-03-25,2019-03-25 00:00:00.000000000,0.2908,0.309,0.2694,0.2757,5549435.88,2019-03-25 23:59:59.999000064,1602385.327061,7173,2524858.36,732353.118471,0
2019-03-26,2019-03-26 00:00:00.000000000,0.2764,0.2952,0.2707,0.2914,3696062.34,2019-03-26 23:59:59.999000064,1053111.653689,4994,1547124.54,441086.654398,0
