Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-12-25,2020-12-25 00:00:00.000000000,0.2,3.0885,0.2,2.2954,125977553.14,2020-12-25 23:59:59.999000064,301510841.152751,616984,62087036.68,149144256.41265,0
2020-12-26,2020-12-26 00:00:00.000000000,2.2958,2.4609,1.5717,1.5967,57039701.92,2020-12-26 23:59:59.999000064,105418896.837093,298161,26896772.99,49877944.040747,0
2020-12-27,2020-12-27 00:00:00.000000000,1.597,1.6516,1.036,1.0612,77797336.07,2020-12-27 23:59:59.999000064,101274161.763392,309021,37400044.39,48749773.23485,0
2020-12-28,2020-12-28 00:00:00.000000000,1.06,1.2787,1.0353,1.114,39346066.97,2020-12-28 23:59:59.999000064,45505928.992213,150133,19968016.21,23118310.810254,0
2020-12-29,2020-12-29 00:00:00.000000000,1.114,1.1166,0.7541,0.8845,53786032.77,2020-12-29 23:59:59.999000064,48073723.12896,167732,24613711.53,21913497.185624,0
2020-12-30,2020-12-30 00:00:00.000000000,0.8845,1.2574,0.8702,1.0934,57120473.11,2020-12-30 23:59:59.999000064,61465212.258155,203834,29081509.42,31366050.243369,0
2020-12-31,2020-12-31 00:00:00.000000000,1.0932,1.4033,1.0582,1.3637,44493450.73,2020-12-31 23:59:59.999000064,56262752.408986,185644,23273202.56,29507332.79777,0
2021-01-01,2021-01-01 00:00:00.000000000,1.3623,1.3974,1.0863,1.155,20279992.26,2021-01-01 23:59:59.999000064,24465518.026843,91068,9096169.67,10983604.249296,0
2021-01-02,2021-01-02 00:00:00.000000000,1.1521,1.1607,1.0,1.025,11922746.16,2021-01-02 23:59:59.999000064,12861436.62075,54928,5114974.76,5532459.586454,0
2021-01-03,2021-01-03 00:00:00.000000000,1.0259,1.1568,0.9456,1.108,20147704.01,2021-01-03 23:59:59.999000064,21379421.776639,70324,10264272.78,10882839.975117,0
2021-01-04,2021-01-04 00:00:00.000000000,1.108,1.24,0.9666,1.0317,18714450.36,2021-01-04 23:59:59.999000064,20652733.11878,69045,9426073.01,10425694.581387,0
2021-01-05,2021-01-05 00:00:00.000000000,1.0317,1.38,0.98,1.2501,21614286.19,2021-01-05 23:59:59.999000064,24772365.76234,87149,11324499.88,13047793.620305,0
2021-01-06,2021-01-06 00:00:00.000000000,1.2502,1.5269,1.1885,1.51,26125892.04,2021-01-06 23:59:59.999000064,35471398.630165,119636,14090167.57,19112678.452995,0
2021-01-07,2021-01-07 00:00:00.000000000,1.5109,1.615,1.244,1.2925,25553868.02,2021-01-07 23:59:59.999000064,37327120.55827,126000,12775272.11,18687367.102122,0
2021-01-08,2021-01-08 00:00:00.000000000,1.294,1.3485,1.0111,1.1867,22858507.73,2021-01-08 23:59:59.999000064,28305260.777243,108585,10732615.04,13326857.822982,0
2021-01-09,2021-01-09 00:00:00.000000000,1.1864,1.2999,1.112,1.2431,17542226.69,2021-01-09 23:59:59.999000064,21282757.752106,76495,8826412.28,10738599.027683,0
2021-01-10,2021-01-10 00:00:00.000000000,1.2441,1.3871,1.11,1.2058,21496873.07,2021-01-10 23:59:59.999000064,27376198.030271,91381,10236899.12,13089608.325835,0
2021-01-11,2021-01-11 00:00:00.000000000,1.2032,1.2126,0.9623,1.1243,18251793.0,2021-01-11 23:59:59.999000064,19767672.641642,67931,8107262.82,8804522.441582,0
2021-01-12,2021-01-12 00:00:00.000000000,1.1262,1.214,1.055,1.1275,12397670.65,2021-01-12 23:59:59.999000064,14122650.797779,47935,6224203.68,7101058.64488,0
2021-01-13,2021-01-13 00:00:00.000000000,1.1272,1.3345,1.06,1.277,16398822.19,2021-01-13 23:59:59.999000064,20123388.883208,68051,8506579.67,10462449.88089,0
2021-01-14,2021-01-14 00:00:00.000000000,1.275,1.4026,1.2637,1.3395,13593431.03,2021-01-14 23:59:59.999000064,18063982.2852,47235,6818891.54,9073766.499624,0
2021-01-15,2021-01-15 00:00:00.000000000,1.3379,1.51,1.1716,1.3516,24679310.93,2021-01-15 23:59:59.999000064,33544488.378938,85824,12665017.02,17241486.352148,0
2021-01-16,2021-01-16 00:00:00.000000000,1.3488,1.8416,1.3313,1.6319,30763976.8,2021-01-16 23:59:59.999000064,48763780.743055,129709,16211047.34,25746841.944032,0
2021-01-17,2021-01-17 00:00:00.000000000,1.6316,2.19,1.5844,2.0362,40145438.06,2021-01-17 23:59:59.999000064,75630316.779939,172099,21330320.62,40217682.300386,0
2021-01-18,2021-01-18 00:00:00.000000000,2.0283,2.0768,1.68,1.8827,24567762.77,2021-01-18 23:59:59.999000064,46699918.365494,115828,11766413.74,22333568.560738,0
2021-01-19,2021-01-19 00:00:00.000000000,1.8792,2.1,1.7979,1.9005,21184499.68,2021-01-19 23:59:59.999000064,41172560.786419,96206,10193096.03,19863131.016161,0
2021-01-20,2021-01-20 00:00:00.000000000,1.9043,1.9652,1.6412,1.847,15359199.05,2021-01-20 23:59:59.999000064,27459373.552279,67189,7255572.33,12970105.448153,0
2021-01-21,2021-01-21 00:00:00.000000000,1.8453,1.8847,1.546,1.569,14945722.21,2021-01-21 23:59:59.999000064,25446912.941955,63141,7248939.12,12377781.380156,0
2021-01-22,2021-01-22 00:00:00.000000000,1.5733,1.85,1.4113,1.7562,14724984.43,2021-01-22 23:59:59.999000064,24654877.554878,66566,7573298.39,12702174.555903,0
2021-01-23,2021-01-23 00:00:00.000000000,1.7549,1.998,1.7058,1.9309,14696995.31,2021-01-23 23:59:59.999000064,27785698.900559,69176,7261324.75,13745488.806089,0
2021-01-24,2021-01-24 00:00:00.000000000,1.9338,2.49,1.8786,2.4743,23208043.75,2021-01-24 23:59:59.999000064,51070241.692679,114422,12199460.36,26879703.242266,0
2021-01-25,2021-01-25 00:00:00.000000000,2.4707,2.72,2.2933,2.3585,28495931.15,2021-01-25 23:59:59.999000064,72129338.524312,153434,13832709.78,35077539.228414,0
2021-01-26,2021-01-26 00:00:00.000000000,2.3546,2.69,2.18,2.6881,21837127.98,2021-01-26 23:59:59.999000064,53324781.77685,116325,11221633.72,27493471.705897,0
2021-01-27,2021-01-27 00:00:00.000000000,2.6898,2.7278,2.2288,2.4955,21663954.75,2021-01-27 23:59:59.999000064,53437076.0956,117123,10569970.07,26157277.108159,0
2021-01-28,2021-01-28 00:00:00.000000000,2.4985,3.3579,2.425,3.1197,30681113.58,2021-01-28 23:59:59.999000064,93747461.951823,192446,16545700.87,50528380.813309,0
