Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-10-15,2020-10-15 00:00:00.000000000,51.43,59.0,42.747,42.999,98648.87,2020-10-15 23:59:59.999000064,4650960.754418,19170,51212.945,2418096.059256,0
2020-10-16,2020-10-16 00:00:00.000000000,43.017,43.8,39.092,39.461,90836.412,2020-10-16 23:59:59.999000064,3794719.232602,14644,40523.134,1690831.615998,0
2020-10-17,2020-10-17 00:00:00.000000000,39.371,43.235,38.206,41.365,41971.143,2020-10-17 23:59:59.999000064,1722978.886806,10050,21967.79,902329.182634,0
2020-10-18,2020-10-18 00:00:00.000000000,41.359,41.425,39.428,40.75,30917.953,2020-10-18 23:59:59.999000064,1244573.672708,6070,14637.559,589618.303984,0
2020-10-19,2020-10-19 00:00:00.000000000,40.82,41.0,35.912,35.98,86475.936,2020-10-19 23:59:59.999000064,3302379.650739,13310,31405.953,1205258.992416,0
2020-10-20,2020-10-20 00:00:00.000000000,36.0,36.403,32.0,32.16,202653.504,2020-10-20 23:59:59.999000064,6919378.573186,32163,90475.509,3086026.266136,0
2020-10-21,2020-10-21 00:00:00.000000000,32.186,37.145,32.0,35.073,145648.768,2020-10-21 23:59:59.999000064,5081015.907552,21362,74444.37,2597675.333067,0
2020-10-22,2020-10-22 00:00:00.000000000,35.033,40.379,33.266,37.836,154369.978,2020-10-22 23:59:59.999000064,5695875.053159,24642,82375.768,3058996.050075,0
2020-10-23,2020-10-23 00:00:00.000000000,37.911,42.658,36.998,41.681,190627.951,2020-10-23 23:59:59.999000064,7641039.830951,32341,98996.315,3975770.34531,0
2020-10-24,2020-10-24 00:00:00.000000000,41.681,42.63,38.502,39.437,102431.608,2020-10-24 23:59:59.999000064,4139709.318964,17248,47966.202,1941352.235002,0
2020-10-25,2020-10-25 00:00:00.000000000,39.438,41.0,37.2,37.895,74622.933,2020-10-25 23:59:59.999000064,2922907.249689,14200,33785.67,1327217.861105,0
