Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-03-17,2022-03-17 00:00:00.000000000,1.0,28.0,1.0,8.5192,59422632.28,2022-03-17 23:59:59.999000064,505832213.230446,1246008,29711010.08,252765485.991532,0
2022-03-18,2022-03-18 00:00:00.000000000,8.5192,18.0,8.5192,13.08,182561145.14,2022-03-18 23:59:59.999000064,2459145655.621835,4723192,92786577.91,1247150814.31707,0
2022-03-19,2022-03-19 00:00:00.000000000,13.0801,14.75,11.4254,11.7213,54793544.04,2022-03-19 23:59:59.999000064,734595045.5627779,1037948,26524681.82,356443265.442242,0
2022-03-20,2022-03-20 00:00:00.000000000,11.728,11.9472,9.5047,9.6302,48059311.98,2022-03-20 23:59:59.999000064,527395362.930177,792601,23365817.46,256808075.478002,0
2022-03-21,2022-03-21 00:00:00.000000000,9.6291,11.0079,9.5684,10.5042,50390386.2,2022-03-21 23:59:59.999000064,518479971.177842,713131,24644945.89,253452111.766648,0
2022-03-22,2022-03-22 00:00:00.000000000,10.5109,12.5857,10.205,12.217,47568581.62,2022-03-22 23:59:59.999000064,542632061.36755,834253,24152072.03,275753080.387396,0
2022-03-23,2022-03-23 00:00:00.000000000,12.2167,13.5083,11.5005,13.312,45585881.45,2022-03-23 23:59:59.999000064,573366761.660718,829215,23123812.49,291129920.070544,0
2022-03-24,2022-03-24 00:00:00.000000000,13.3077,14.5,12.77,12.9032,37851263.85,2022-03-24 23:59:59.999000064,518172089.476315,719607,18805067.73,257679117.705054,0
2022-03-25,2022-03-25 00:00:00.000000000,12.8973,13.6977,12.2316,12.3861,22887281.56,2022-03-25 23:59:59.999000064,297144383.771346,432437,11167844.33,145135037.284795,0
2022-03-26,2022-03-26 00:00:00.000000000,12.3864,14.2499,12.3535,13.8287,25971798.54,2022-03-26 23:59:59.999000064,348404537.087423,442143,13350162.64,179117646.537413,0
2022-03-27,2022-03-27 00:00:00.000000000,13.8288,14.3568,13.295,14.27,21363791.31,2022-03-27 23:59:59.999000064,297079741.779962,360665,10556866.6,146915955.293945,0
2022-03-28,2022-03-28 00:00:00.000000000,14.2702,15.5571,13.888,14.0275,29875468.71,2022-03-28 23:59:59.999000064,446662178.269453,554350,14540625.83,217669402.608069,0
2022-03-29,2022-03-29 00:00:00.000000000,14.0269,14.5676,13.3333,13.595,18102005.94,2022-03-29 23:59:59.999000064,253385976.035729,392549,9028119.06,126475688.981019,0
2022-03-30,2022-03-30 00:00:00.000000000,13.595,14.5805,13.0385,14.2103,21323972.74,2022-03-30 23:59:59.999000064,297289230.903962,426612,10446439.76,145779284.5114,0
2022-03-31,2022-03-31 00:00:00.000000000,14.2102,14.3988,12.5,12.7025,17286226.74,2022-03-31 23:59:59.999000064,231458614.862075,351264,8162849.83,109356711.306285,0
2022-04-01,2022-04-01 00:00:00.000000000,12.704,13.6,12.2364,12.8185,12975716.19,2022-04-01 23:59:59.999000064,167148629.297988,279882,6576178.21,84804156.445496,0
2022-04-02,2022-04-02 00:00:00.000000000,12.8237,13.8169,12.3553,12.4238,14458733.18,2022-04-02 23:59:59.999000064,189390551.581371,342297,7302805.74,95711133.715829,0
2022-04-03,2022-04-03 00:00:00.000000000,12.4221,12.923,11.8621,12.3824,10132758.77,2022-04-03 23:59:59.999000064,125983129.875184,256584,5001481.21,62262364.76978,0
2022-04-04,2022-04-04 00:00:00.000000000,12.3874,12.422,11.1357,11.9325,9277266.58,2022-04-04 23:59:59.999000064,109986866.79567,232091,4506186.68,53519954.280491,0
2022-04-05,2022-04-05 00:00:00.000000000,11.9317,12.7953,11.5101,11.6299,12152740.59,2022-04-05 23:59:59.999000064,148314399.995937,298996,5838353.31,71321101.738361,0
2022-04-06,2022-04-06 00:00:00.000000000,11.6298,12.038,10.515,10.6597,15209336.26,2022-04-06 23:59:59.999000064,170910267.893966,350556,7037642.61,79198011.094482,0
2022-04-07,2022-04-07 00:00:00.000000000,10.6602,11.299,10.6225,11.1757,8712817.38,2022-04-07 23:59:59.999000064,96108060.721871,215686,4444171.35,49048476.384197,0
2022-04-08,2022-04-08 00:00:00.000000000,11.1748,11.6131,10.6661,10.7797,8823281.11,2022-04-08 23:59:59.999000064,98846600.298199,217445,4451443.49,49900068.890105,0
2022-04-09,2022-04-09 00:00:00.000000000,10.7787,11.0498,10.6,10.9757,4152046.25,2022-04-09 23:59:59.999000064,45026805.797946,168510,2085975.24,22633506.220986,0
2022-04-10,2022-04-10 00:00:00.000000000,10.9758,12.4,10.83,12.0711,15555338.06,2022-04-10 23:59:59.999000064,183761954.910185,373000,7966175.17,94042749.844663,0
2022-04-11,2022-04-11 00:00:00.000000000,12.0738,12.2232,10.6612,10.9404,21586866.39,2022-04-11 23:59:59.999000064,241909871.62094,464699,10595934.36,118741989.156492,0
2022-04-12,2022-04-12 00:00:00.000000000,10.9464,12.11,10.7,11.5902,15868878.55,2022-04-12 23:59:59.999000064,182228783.349149,377565,7897941.84,90595205.826133,0
2022-04-13,2022-04-13 00:00:00.000000000,11.5897,13.48,11.4549,13.2423,24772560.1,2022-04-13 23:59:59.999000064,308681374.663228,558711,12764623.81,159023598.232012,0
2022-04-14,2022-04-14 00:00:00.000000000,13.2415,13.5721,11.9315,12.2676,18569350.36,2022-04-14 23:59:59.999000064,236022894.519186,428727,9059554.75,115174915.026282,0
2022-04-15,2022-04-15 00:00:00.000000000,12.2675,12.6206,11.9814,12.2346,8458715.8,2022-04-15 23:59:59.999000064,103769062.537813,235725,4369739.14,53611787.823886,0
2022-04-16,2022-04-16 00:00:00.000000000,12.236,12.2936,11.2967,11.6643,7883047.11,2022-04-16 23:59:59.999000064,92687386.820211,176222,3727978.98,43792300.761101,0
2022-04-17,2022-04-17 00:00:00.000000000,11.6636,12.1,11.4499,11.6991,7762109.63,2022-04-17 23:59:59.999000064,91342474.02133,179930,3797949.23,44703598.327328,0
2022-04-18,2022-04-18 00:00:00.000000000,11.6948,11.9169,10.9,11.8672,10872749.99,2022-04-18 23:59:59.999000064,123837458.729532,247400,5355069.71,61077197.347459,0
2022-04-19,2022-04-19 00:00:00.000000000,11.8712,13.5308,11.671,13.3739,19252702.66,2022-04-19 23:59:59.999000064,244217303.285752,408154,9786762.94,124227482.763072,0
2022-04-20,2022-04-20 00:00:00.000000000,13.3739,17.52,12.9648,16.7269,66101707.85,2022-04-20 23:59:59.999000064,1054942404.450496,1586704,33722741.83,538232801.2243409,0
2022-04-21,2022-04-21 00:00:00.000000000,16.722,16.7863,14.0537,14.2885,34980312.88,2022-04-21 23:59:59.999000064,534575898.150466,764247,16109686.23,246184774.327665,0
2022-04-22,2022-04-22 00:00:00.000000000,14.2887,15.4872,13.6921,15.3693,24889565.67,2022-04-22 23:59:59.999000064,359744085.596368,584494,12465788.77,180463613.17557,0
2022-04-23,2022-04-23 00:00:00.000000000,15.3694,18.4497,15.166,16.6921,49136851.02,2022-04-23 23:59:59.999000064,827069881.505113,1213031,24565102.11,413883947.03702897,0
2022-04-24,2022-04-24 00:00:00.000000000,16.683,17.8744,15.9047,16.8171,31602952.93,2022-04-24 23:59:59.999000064,529153171.979526,722881,15908573.3,266501767.143675,0
2022-04-25,2022-04-25 00:00:00.000000000,16.8184,19.6,16.18,19.3348,42495151.45,2022-04-25 23:59:59.999000064,743749083.2033939,911382,21507037.22,376866554.00070703,0
