Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-08-11,2020-08-11 00:00:00.000000000,21.59,26.0,18.502,20.373,40162.443,2020-08-11 23:59:59.999000064,800537.510687,4004,15988.274,319679.278612,0
2020-08-12,2020-08-12 00:00:00.000000000,20.106,24.9,19.001,22.397,122728.156,2020-08-12 23:59:59.999000064,2657211.854098,10023,48934.144,1064226.767847,0
2020-08-13,2020-08-13 00:00:00.000000000,22.457,23.733,19.5,21.345,72791.613,2020-08-13 23:59:59.999000064,1541256.495516,6784,34425.463,732811.330309,0
2020-08-14,2020-08-14 00:00:00.000000000,21.338,23.0,20.387,21.542,34621.887,2020-08-14 23:59:59.999000064,726883.6734,3936,14558.805,307064.132389,0
2020-08-15,2020-08-15 00:00:00.000000000,21.542,21.626,19.063,19.519,46574.526,2020-08-15 23:59:59.999000064,926064.885068,3819,19585.785,390629.022248,0
2020-08-16,2020-08-16 00:00:00.000000000,19.5,19.865,18.0,19.62,35899.805,2020-08-16 23:59:59.999000064,685755.637789,2830,12987.201,248095.168157,0
2020-08-17,2020-08-17 00:00:00.000000000,19.629,20.848,18.946,19.72,49016.846,2020-08-17 23:59:59.999000064,961402.25651,4028,18557.655,364683.139652,0
2020-08-18,2020-08-18 00:00:00.000000000,19.825,22.5,19.017,20.181,89167.13,2020-08-18 23:59:59.999000064,1825447.834281,9369,38851.6,797417.729004,0
2020-08-19,2020-08-19 00:00:00.000000000,20.272,20.4,17.0,17.894,71392.661,2020-08-19 23:59:59.999000064,1331609.395657,5414,28243.0,523170.53628,0
2020-08-20,2020-08-20 00:00:00.000000000,17.971,22.991,17.551,22.785,128185.129,2020-08-20 23:59:59.999000064,2642013.459409,10114,56505.334,1171830.262742,0
2020-08-21,2020-08-21 00:00:00.000000000,22.849,22.849,19.555,19.74,103993.323,2020-08-21 23:59:59.999000064,2192788.961442,9328,48056.192,1014320.670412,0
2020-08-22,2020-08-22 00:00:00.000000000,19.857,26.569,19.335,25.999,170992.943,2020-08-22 23:59:59.999000064,3930892.756086,15158,83013.366,1924623.861573,0
