Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-03-04,2019-03-04 00:00:00.000000000,0.1691,0.1935,0.1591,0.1674,1813316.97,2019-03-04 23:59:59.999000064,304068.983448,2146,874351.11,146633.665996,0
2019-03-05,2019-03-05 00:00:00.000000000,0.1675,0.183,0.1666,0.176,3154945.05,2019-03-05 23:59:59.999000064,549031.943702,4439,1388135.33,241722.94917,0
2019-03-06,2019-03-06 00:00:00.000000000,0.1763,0.1778,0.1696,0.1723,1529054.33,2019-03-06 23:59:59.999000064,264298.478669,3003,592532.45,102741.728093,0
2019-03-07,2019-03-07 00:00:00.000000000,0.1727,0.1845,0.1531,0.181,2326293.79,2019-03-07 23:59:59.999000064,404443.267579,3493,772786.25,136605.685953,0
2019-03-08,2019-03-08 00:00:00.000000000,0.181,0.209,0.16,0.1947,9072474.48,2019-03-08 23:59:59.999000064,1760329.858905,9914,3858727.89,750059.279947,0
2019-03-09,2019-03-09 00:00:00.000000000,0.1948,0.2146,0.1903,0.208,6051922.63,2019-03-09 23:59:59.999000064,1212906.065901,8204,3180788.13,638566.856565,0
2019-03-10,2019-03-10 00:00:00.000000000,0.2074,0.2137,0.1951,0.1956,2725744.77,2019-03-10 23:59:59.999000064,555533.789024,4683,1157454.32,236036.421512,0
2019-03-11,2019-03-11 00:00:00.000000000,0.1955,0.2,0.187,0.1925,2091272.33,2019-03-11 23:59:59.999000064,402636.96889,3697,978055.38,188753.832129,0
2019-03-12,2019-03-12 00:00:00.000000000,0.1915,0.1979,0.1829,0.1924,1722904.78,2019-03-12 23:59:59.999000064,330617.561709,2436,741838.88,142022.527471,0
2019-03-13,2019-03-13 00:00:00.000000000,0.1924,0.2,0.1875,0.1885,1602148.91,2019-03-13 23:59:59.999000064,307054.830852,2443,678719.13,130671.48809,0
2019-03-14,2019-03-14 00:00:00.000000000,0.1885,0.202,0.1836,0.1925,2629110.96,2019-03-14 23:59:59.999000064,503879.108712,3757,1113415.81,214657.677884,0
2019-03-15,2019-03-15 00:00:00.000000000,0.1927,0.199,0.1917,0.1956,1325108.08,2019-03-15 23:59:59.999000064,259398.160742,2094,679186.56,133107.758618,0
2019-03-16,2019-03-16 00:00:00.000000000,0.1956,0.1993,0.1945,0.1966,753433.59,2019-03-16 23:59:59.999000064,148510.611592,1536,384054.71,75820.496554,0
2019-03-17,2019-03-17 00:00:00.000000000,0.1966,0.1978,0.1914,0.1931,1027520.27,2019-03-17 23:59:59.999000064,199616.847522,1363,324686.16,62958.980471,0
2019-03-18,2019-03-18 00:00:00.000000000,0.1938,0.199,0.1902,0.194,941245.69,2019-03-18 23:59:59.999000064,182650.269277,1614,414107.5,80616.810311,0
2019-03-19,2019-03-19 00:00:00.000000000,0.194,0.1949,0.1903,0.1921,1029294.82,2019-03-19 23:59:59.999000064,197520.978544,1262,291324.35,55953.387955,0
2019-03-20,2019-03-20 00:00:00.000000000,0.1912,0.1948,0.1869,0.1942,1530910.89,2019-03-20 23:59:59.999000064,292093.81861,2047,437819.15,83617.966828,0
2019-03-21,2019-03-21 00:00:00.000000000,0.194,0.202,0.1866,0.1946,2472085.11,2019-03-21 23:59:59.999000064,478591.435622,2746,949661.14,184946.703817,0
2019-03-22,2019-03-22 00:00:00.000000000,0.1946,0.1991,0.1916,0.1976,1197105.49,2019-03-22 23:59:59.999000064,234965.482858,1537,620298.74,121640.671469,0
2019-03-23,2019-03-23 00:00:00.000000000,0.1967,0.2022,0.1963,0.2003,1026729.46,2019-03-23 23:59:59.999000064,204897.560959,1600,495710.56,98928.672297,0
2019-03-24,2019-03-24 00:00:00.000000000,0.2009,0.2208,0.1893,0.2089,5149809.11,2019-03-24 23:59:59.999000064,1089180.946627,6086,2369344.51,501611.744102,0
2019-03-25,2019-03-25 00:00:00.000000000,0.2089,0.21,0.1943,0.2033,2356988.2,2019-03-25 23:59:59.999000064,479131.768072,3253,828103.34,168807.257113,0
2019-03-26,2019-03-26 00:00:00.000000000,0.2033,0.2205,0.2027,0.2142,4338391.54,2019-03-26 23:59:59.999000064,920069.92152,6284,1874510.58,398437.3898,0
2019-03-27,2019-03-27 00:00:00.000000000,0.2157,0.2277,0.2109,0.2251,2966882.32,2019-03-27 23:59:59.999000064,649081.31908,4067,1309854.21,286927.259153,0
2019-03-28,2019-03-28 00:00:00.000000000,0.2251,0.259,0.2197,0.2533,8033955.59,2019-03-28 23:59:59.999000064,1927357.732217,10136,3812901.59,911891.597615,0
2019-03-29,2019-03-29 00:00:00.000000000,0.2533,0.3168,0.2516,0.2837,15368875.74,2019-03-29 23:59:59.999000064,4282104.602338,19911,6958872.54,1936727.068322,0
2019-03-30,2019-03-30 00:00:00.000000000,0.2841,0.2863,0.257,0.2708,6809285.79,2019-03-30 23:59:59.999000064,1839519.632249,10833,2966298.21,801893.8984,0
2019-03-31,2019-03-31 00:00:00.000000000,0.2717,0.2929,0.2651,0.2881,3913553.88,2019-03-31 23:59:59.999000064,1081675.616527,7514,1931942.96,535590.214797,0
2019-04-01,2019-04-01 00:00:00.000000000,0.2885,0.307,0.2824,0.283,8335774.52,2019-04-01 23:59:59.999000064,2451399.866293,11658,3431345.38,1010549.36047,0
2019-04-02,2019-04-02 00:00:00.000000000,0.2842,0.3215,0.2824,0.3205,8925543.49,2019-04-02 23:59:59.999000064,2696128.966146,14081,4337615.54,1313492.757825,0
2019-04-03,2019-04-03 00:00:00.000000000,0.3203,0.3209,0.2719,0.2832,8908783.3,2019-04-03 23:59:59.999000064,2706305.406588,14408,4025833.3,1222867.063574,0
2019-04-04,2019-04-04 00:00:00.000000000,0.2846,0.3053,0.268,0.2829,4109972.24,2019-04-04 23:59:59.999000064,1177968.825987,7780,1974201.22,567555.381891,0
2019-04-05,2019-04-05 00:00:00.000000000,0.2828,0.3136,0.2821,0.3064,4523231.15,2019-04-05 23:59:59.999000064,1353332.080927,8046,2250473.01,672560.632032,0
2019-04-06,2019-04-06 00:00:00.000000000,0.3065,0.3136,0.2959,0.3032,3067028.08,2019-04-06 23:59:59.999000064,928229.443373,6056,1376481.62,416721.165251,0
2019-04-07,2019-04-07 00:00:00.000000000,0.3032,0.3088,0.2934,0.2992,1984740.5,2019-04-07 23:59:59.999000064,598143.997291,5355,912174.75,275861.300183,0
2019-04-08,2019-04-08 00:00:00.000000000,0.2999,0.305,0.2845,0.2925,1899492.25,2019-04-08 23:59:59.999000064,559608.214806,4791,869634.39,257072.46839,0
