Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-11-04,2021-11-04 00:00:00.000000000,109.7,230.0,109.7,131.4,436524.832,2021-11-04 23:59:59.999000064,67462116.3251,175667,211282.282,32685526.8794,0
2021-11-05,2021-11-05 00:00:00.000000000,131.6,131.7,107.3,114.1,97015.24,2021-11-05 23:59:59.999000064,11526025.8017,36139,43235.331,5142109.5553,0
2021-11-06,2021-11-06 00:00:00.000000000,114.2,155.0,111.6,136.0,210743.38,2021-11-06 23:59:59.999000064,28336833.5337,87113,98305.781,13268923.1641,0
2021-11-07,2021-11-07 00:00:00.000000000,136.0,159.8,131.2,148.5,154971.299,2021-11-07 23:59:59.999000064,22659214.5615,80576,73140.916,10743144.6099,0
2021-11-08,2021-11-08 00:00:00.000000000,148.5,160.0,143.9,144.6,55143.17,2021-11-08 23:59:59.999000064,8418385.3916,26340,23625.246,3619552.0243,0
2021-11-09,2021-11-09 00:00:00.000000000,144.8,149.4,137.2,144.5,34617.648,2021-11-09 23:59:59.999000064,4977565.8285,14509,14181.697,2040845.769,0
2021-11-10,2021-11-10 00:00:00.000000000,144.9,173.3,143.0,164.6,69838.107,2021-11-10 23:59:59.999000064,11150303.8811,34398,35075.011,5622534.4983,0
2021-11-11,2021-11-11 00:00:00.000000000,164.3,178.7,158.6,166.1,58954.028,2021-11-11 23:59:59.999000064,9867058.4702,34080,29759.873,4996654.0067,0
2021-11-12,2021-11-12 00:00:00.000000000,166.1,171.0,159.5,167.2,26294.05,2021-11-12 23:59:59.999000064,4356091.0629,11864,11112.706,1848015.1269,0
2021-11-13,2021-11-13 00:00:00.000000000,167.5,199.0,166.5,194.4,77596.256,2021-11-13 23:59:59.999000064,14528268.8824,38031,37212.083,6977583.0124,0
2021-11-14,2021-11-14 00:00:00.000000000,194.3,227.0,186.2,200.0,85602.475,2021-11-14 23:59:59.999000064,17716383.8904,42776,37908.53,7864756.0422,0
2021-11-15,2021-11-15 00:00:00.000000000,199.6,212.5,177.5,184.2,53711.716,2021-11-15 23:59:59.999000064,10449071.1565,23695,23548.256,4564591.3604,0
2021-11-16,2021-11-16 00:00:00.000000000,184.2,186.7,168.4,178.5,52462.739,2021-11-16 23:59:59.999000064,9395147.2159,20942,21589.249,3870342.8383,0
2021-11-17,2021-11-17 00:00:00.000000000,178.4,195.0,173.9,190.2,39985.1,2021-11-17 23:59:59.999000064,7395943.776,18228,20172.517,3741771.1854,0
2021-11-18,2021-11-18 00:00:00.000000000,189.9,205.0,170.3,170.8,46548.879,2021-11-18 23:59:59.999000064,8767805.9205,18905,20060.16,3787327.2508,0
2021-11-19,2021-11-19 00:00:00.000000000,170.8,185.0,168.9,181.1,27415.053,2021-11-19 23:59:59.999000064,4890242.1302,9781,12351.945,2204227.8015,0
2021-11-20,2021-11-20 00:00:00.000000000,181.1,195.0,178.3,188.7,29492.899,2021-11-20 23:59:59.999000064,5471709.5306,14626,14498.986,2690063.4182,0
2021-11-21,2021-11-21 00:00:00.000000000,188.7,193.5,179.6,180.7,35878.603,2021-11-21 23:59:59.999000064,6728249.6087,22189,17119.0,3211371.8241,0
2021-11-22,2021-11-22 00:00:00.000000000,180.4,187.6,169.1,181.6,25024.878,2021-11-22 23:59:59.999000064,4500520.0758,15244,11020.929,1984109.22,0
2021-11-23,2021-11-23 00:00:00.000000000,181.6,201.9,181.6,190.7,42646.696,2021-11-23 23:59:59.999000064,8309151.059,38141,21150.805,4115897.7771,0
2021-11-24,2021-11-24 00:00:00.000000000,190.7,199.7,188.4,193.1,25986.452,2021-11-24 23:59:59.999000064,5045371.566,14704,12776.956,2481638.4274,0
2021-11-25,2021-11-25 00:00:00.000000000,192.9,195.5,181.0,187.3,23963.641,2021-11-25 23:59:59.999000064,4527847.4057,13685,10130.185,1915556.2252,0
2021-11-26,2021-11-26 00:00:00.000000000,187.1,187.6,149.0,164.3,62606.593,2021-11-26 23:59:59.999000064,10229783.3249,28638,27973.604,4534141.8076,0
2021-11-27,2021-11-27 00:00:00.000000000,164.9,171.9,134.1,138.8,50370.034,2021-11-27 23:59:59.999000064,7510019.7704,23685,22757.962,3383619.7826,0
2021-11-28,2021-11-28 00:00:00.000000000,138.8,155.5,124.7,153.6,62405.399,2021-11-28 23:59:59.999000064,8583680.3429,28569,29185.737,4035247.2316,0
2021-11-29,2021-11-29 00:00:00.000000000,153.1,156.4,132.0,134.6,37933.76,2021-11-29 23:59:59.999000064,5407769.9144,21090,16771.715,2400397.8647,0
2021-11-30,2021-11-30 00:00:00.000000000,134.7,137.7,123.0,125.6,75846.111,2021-11-30 23:59:59.999000064,9793620.7073,27510,37664.902,4875726.401,0
2021-12-01,2021-12-01 00:00:00.000000000,125.6,140.8,123.0,126.6,61551.146,2021-12-01 23:59:59.999000064,8056387.8196,45769,28362.488,3715457.9261,0
