Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-04-16,2021-04-16 00:00:00.000000000,118.5,138.0,100.553,114.784,90829.397,2021-04-16 23:59:59.999000064,10050518.988932,25236,48653.173,5379556.10042,0
2021-04-17,2021-04-17 00:00:00.000000000,114.498,118.904,105.011,106.764,24674.532,2021-04-17 23:59:59.999000064,2745850.30893,10333,12662.048,1411318.036147,0
2021-04-18,2021-04-18 00:00:00.000000000,106.767,118.0,80.05,93.016,62535.232,2021-04-18 23:59:59.999000064,5789271.029046,21894,33523.334,3099867.120999,0
2021-04-19,2021-04-19 00:00:00.000000000,93.1,99.0,82.55,86.875,44569.277,2021-04-19 23:59:59.999000064,4074584.360825,15724,25150.172,2310010.788014,0
2021-04-20,2021-04-20 00:00:00.000000000,87.048,98.446,75.0,94.794,51458.351,2021-04-20 23:59:59.999000064,4647473.448088,15988,25872.849,2344125.392248,0
2021-04-21,2021-04-21 00:00:00.000000000,94.865,97.599,84.483,85.052,28137.053,2021-04-21 23:59:59.999000064,2580023.445529,8029,14119.411,1298784.175236,0
2021-04-22,2021-04-22 00:00:00.000000000,85.052,89.385,70.85,73.167,54419.504,2021-04-22 23:59:59.999000064,4473073.475292,11377,27617.648,2267051.838506,0
2021-04-23,2021-04-23 00:00:00.000000000,73.015,159.901,72.624,83.7,1677475.746,2021-04-23 23:59:59.999000064,179197048.225781,337882,845762.205,90943863.156933,0
2021-04-24,2021-04-24 00:00:00.000000000,83.9,87.4,76.2,77.091,372797.605,2021-04-24 23:59:59.999000064,30753150.432455,64229,185904.088,15364210.037812,0
2021-04-25,2021-04-25 00:00:00.000000000,77.089,83.4,70.452,74.364,171679.246,2021-04-25 23:59:59.999000064,13456007.006673,29545,92261.233,7237464.150899,0
2021-04-26,2021-04-26 00:00:00.000000000,74.364,87.093,72.802,86.54,220994.083,2021-04-26 23:59:59.999000064,18188251.841831,37996,129252.108,10620751.704027,0
2021-04-27,2021-04-27 00:00:00.000000000,86.538,94.5,84.666,89.479,140587.127,2021-04-27 23:59:59.999000064,12496061.08765,29274,81572.9,7250325.948647,0
2021-04-28,2021-04-28 00:00:00.000000000,89.482,98.0,85.772,91.37,108210.035,2021-04-28 23:59:59.999000064,9919162.637951,24111,55376.932,5082568.144287,0
2021-04-29,2021-04-29 00:00:00.000000000,91.352,92.0,84.492,87.815,55472.231,2021-04-29 23:59:59.999000064,4890991.10481,12697,27389.357,2421818.942319,0
2021-04-30,2021-04-30 00:00:00.000000000,87.874,94.154,86.004,93.666,59207.219,2021-04-30 23:59:59.999000064,5367407.842658,14565,32552.842,2954077.53253,0
