Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-01-25,2022-01-25 00:00:00.000000000,1.95e-06,2.55e-06,1.5e-06,2.08e-06,11304272062438.0,2022-01-25 23:59:59.999000064,22175562.75178455,69872,6028886748688.0,11918609.79280465,0
2022-01-26,2022-01-26 00:00:00.000000000,2.08e-06,2.1e-06,1.97e-06,2.02e-06,7005230582738.0,2022-01-26 23:59:59.999000064,14308461.62041851,64641,3532298527835.0,7227893.52292477,0
2022-01-27,2022-01-27 00:00:00.000000000,2.02e-06,2.55e-06,1.86e-06,2.06e-06,17396841158127.0,2022-01-27 23:59:59.999000064,36248463.42639453,101117,9375668147413.0,19613814.68216602,0
2022-01-28,2022-01-28 00:00:00.000000000,2.06e-06,2.11e-06,1.97e-06,2.07e-06,9967900496770.0,2022-01-28 23:59:59.999000064,20267403.54270688,53621,5079949841511.0,10342205.9895377,0
2022-01-29,2022-01-29 00:00:00.000000000,2.08e-06,2.2e-06,2.05e-06,2.14e-06,10169294929702.0,2022-01-29 23:59:59.999000064,21477830.70862517,52351,4960749383440.0,10487326.57660539,0
2022-01-30,2022-01-30 00:00:00.000000000,2.15e-06,2.17e-06,2.07e-06,2.09e-06,7497571482399.0,2022-01-30 23:59:59.999000064,15857529.61753239,34565,3549631829773.0,7509572.43135796,0
2022-01-31,2022-01-31 00:00:00.000000000,2.08e-06,2.15e-06,2e-06,2.15e-06,9954842867039.0,2022-01-31 23:59:59.999000064,20574913.11137875,35938,4566811341527.0,9456476.58988655,0
2022-02-01,2022-02-01 00:00:00.000000000,2.14e-06,2.22e-06,2.11e-06,2.16e-06,6885761726337.0,2022-02-01 23:59:59.999000064,14865822.08870887,43535,3584668720724.0,7742836.30926604,0
2022-02-02,2022-02-02 00:00:00.000000000,2.16e-06,2.16e-06,2.05e-06,2.08e-06,5399524096895.0,2022-02-02 23:59:59.999000064,11417145.88810102,33897,2365100872273.0,5004870.17533014,0
2022-02-03,2022-02-03 00:00:00.000000000,2.07e-06,2.12e-06,2.03e-06,2.07e-06,5438490176599.0,2022-02-03 23:59:59.999000064,11300977.95149517,33523,2740768138098.0,5700990.97321071,0
2022-02-04,2022-02-04 00:00:00.000000000,2.08e-06,2.24e-06,2.07e-06,2.23e-06,6391302900773.0,2022-02-04 23:59:59.999000064,13924834.60149234,47244,3351872102061.0,7316606.25800328,0
2022-02-05,2022-02-05 00:00:00.000000000,2.24e-06,2.39e-06,2.2e-06,2.26e-06,5311832851489.0,2022-02-05 23:59:59.999000064,12023257.01872028,54423,2735985842050.0,6201309.99991454,0
2022-02-06,2022-02-06 00:00:00.000000000,2.27e-06,2.31e-06,2.21e-06,2.28e-06,3536650865837.0,2022-02-06 23:59:59.999000064,7957295.80949879,40060,1688868311648.0,3808991.31405687,0
2022-02-07,2022-02-07 00:00:00.000000000,2.27e-06,2.41e-06,2.25e-06,2.35e-06,6527149563772.0,2022-02-07 23:59:59.999000064,15185871.54562141,67508,3344758794983.0,7793949.8875678,0
2022-02-08,2022-02-08 00:00:00.000000000,2.34e-06,2.4e-06,2.18e-06,2.25e-06,12451792273658.0,2022-02-08 23:59:59.999000064,28885013.61436334,61587,5823263048551.0,13535333.35725425,0
2022-02-09,2022-02-09 00:00:00.000000000,2.26e-06,2.35e-06,2.23e-06,2.32e-06,3800177738202.0,2022-02-09 23:59:59.999000064,8720763.69760771,43314,2000178822210.0,4598007.88080191,0
2022-02-10,2022-02-10 00:00:00.000000000,2.32e-06,2.34e-06,2.21e-06,2.23e-06,3659631576794.0,2022-02-10 23:59:59.999000064,8377287.29647969,43651,1610977703960.0,3697920.64085491,0
2022-02-11,2022-02-11 00:00:00.000000000,2.23e-06,2.27e-06,2.12e-06,2.16e-06,4285276441596.0,2022-02-11 23:59:59.999000064,9495946.12429655,38269,2040849161767.0,4534162.45248555,0
2022-02-12,2022-02-12 00:00:00.000000000,2.15e-06,2.2e-06,2.1e-06,2.17e-06,4493849362831.0,2022-02-12 23:59:59.999000064,9656114.36787237,31391,2240166265018.0,4824267.30817694,0
2022-02-13,2022-02-13 00:00:00.000000000,2.17e-06,2.22e-06,2.12e-06,2.12e-06,6329027805516.0,2022-02-13 23:59:59.999000064,13684042.54010622,31577,3058126367692.0,6623704.77103364,0
2022-02-14,2022-02-14 00:00:00.000000000,2.12e-06,2.15e-06,2.08e-06,2.13e-06,6932864078159.0,2022-02-14 23:59:59.999000064,14648566.16685377,30269,3330012333562.0,7048663.27489541,0
2022-02-15,2022-02-15 00:00:00.000000000,2.12e-06,2.23e-06,2.12e-06,2.22e-06,7021664449989.0,2022-02-15 23:59:59.999000064,15422967.76967146,36316,3361516355073.0,7393158.8100508,0
2022-02-16,2022-02-16 00:00:00.000000000,2.21e-06,2.23e-06,2.14e-06,2.18e-06,6059202038077.0,2022-02-16 23:59:59.999000064,13264143.16307292,28729,2983941986418.0,6542267.6703171,0
2022-02-17,2022-02-17 00:00:00.000000000,2.18e-06,2.2e-06,2.03e-06,2.06e-06,6692212735070.0,2022-02-17 23:59:59.999000064,14243847.0598799,33527,3155969202162.0,6734858.57509833,0
2022-02-18,2022-02-18 00:00:00.000000000,2.05e-06,2.09e-06,2.03e-06,2.05e-06,7137059289566.0,2022-02-18 23:59:59.999000064,14683546.50476009,29942,3752832180119.0,7732476.88660423,0
2022-02-19,2022-02-19 00:00:00.000000000,2.04e-06,2.07e-06,1.98e-06,2.02e-06,7597753452729.0,2022-02-19 23:59:59.999000064,15436468.68079756,27073,3743277151755.0,7620443.3126126,0
2022-02-20,2022-02-20 00:00:00.000000000,2.02e-06,2.03e-06,1.94e-06,1.97e-06,6909728494276.0,2022-02-20 23:59:59.999000064,13614786.52301191,26106,3329749572755.0,6572905.3898167,0
2022-02-21,2022-02-21 00:00:00.000000000,1.98e-06,2.06e-06,1.92e-06,1.94e-06,7648895503627.0,2022-02-21 23:59:59.999000064,15239302.78409526,31277,3532179397978.0,7055999.34316348,0
2022-02-22,2022-02-22 00:00:00.000000000,1.93e-06,1.95e-06,1.87e-06,1.94e-06,7729174136149.0,2022-02-22 23:59:59.999000064,14740427.73892913,24348,3743091484086.0,7153016.77294972,0
2022-02-23,2022-02-23 00:00:00.000000000,1.94e-06,2e-06,1.89e-06,1.9e-06,6637603179189.0,2022-02-23 23:59:59.999000064,12914121.54435313,23217,3214005236710.0,6265598.45318177,0
2022-02-24,2022-02-24 00:00:00.000000000,1.9e-06,1.91e-06,1.68e-06,1.81e-06,10284869454456.0,2022-02-24 23:59:59.999000064,18156255.93461415,40322,4545413870351.0,8046976.48110568,0
2022-02-25,2022-02-25 00:00:00.000000000,1.82e-06,1.93e-06,1.8e-06,1.9e-06,8519866669107.0,2022-02-25 23:59:59.999000064,15847072.53879371,30698,4215730699450.0,7856946.10143541,0
2022-02-26,2022-02-26 00:00:00.000000000,1.91e-06,1.96e-06,1.89e-06,1.91e-06,6237981231641.0,2022-02-26 23:59:59.999000064,11984173.88346718,23367,2994219232671.0,5765201.8821878,0
2022-02-27,2022-02-27 00:00:00.000000000,1.92e-06,1.95e-06,1.83e-06,1.84e-06,7184792936319.0,2022-02-27 23:59:59.999000064,13597542.38692028,24792,3483096714086.0,6605024.12564449,0
2022-02-28,2022-02-28 00:00:00.000000000,1.84e-06,2e-06,1.83e-06,1.99e-06,7747929206001.0,2022-02-28 23:59:59.999000064,14672290.6578692,31525,3953248265437.0,7505391.07497024,0
2022-03-01,2022-03-01 00:00:00.000000000,1.99e-06,2.04e-06,1.95e-06,1.99e-06,7935174766709.0,2022-03-01 23:59:59.999000064,15759153.86388301,36578,3871650879921.0,7704936.05793135,0
2022-03-02,2022-03-02 00:00:00.000000000,1.99e-06,2.02e-06,1.94e-06,1.96e-06,6873219948845.0,2022-03-02 23:59:59.999000064,13563703.88639495,28290,3260644395287.0,6448259.65568017,0
2022-03-03,2022-03-03 00:00:00.000000000,1.96e-06,1.98e-06,1.87e-06,1.9e-06,6484048581598.0,2022-03-03 23:59:59.999000064,12450237.47355132,27563,3039381775482.0,5843092.10977559,0
2022-03-04,2022-03-04 00:00:00.000000000,1.89e-06,1.9e-06,1.8e-06,1.83e-06,7949904306371.0,2022-03-04 23:59:59.999000064,14831484.13189071,31548,3801818942604.0,7107990.82278297,0
2022-03-05,2022-03-05 00:00:00.000000000,1.82e-06,1.87e-06,1.81e-06,1.86e-06,5920745833093.0,2022-03-05 23:59:59.999000064,10901502.83080697,21785,2992162268214.0,5522375.22338445,0
2022-03-06,2022-03-06 00:00:00.000000000,1.86e-06,1.87e-06,1.77e-06,1.78e-06,6271876819983.0,2022-03-06 23:59:59.999000064,11452222.69722816,24082,2813647551343.0,5154085.15570027,0
2022-03-07,2022-03-07 00:00:00.000000000,1.78e-06,1.84e-06,1.74e-06,1.77e-06,6561476473866.0,2022-03-07 23:59:59.999000064,11713505.71254243,26135,3311285446384.0,5923406.70360444,0
2022-03-08,2022-03-08 00:00:00.000000000,1.77e-06,1.83e-06,1.76e-06,1.81e-06,4944632696648.0,2022-03-08 23:59:59.999000064,8886246.67340931,21859,2432587290921.0,4379734.11614185,0
2022-03-09,2022-03-09 00:00:00.000000000,1.81e-06,1.89e-06,1.8e-06,1.86e-06,6797096384816.0,2022-03-09 23:59:59.999000064,12622237.0419054,30029,3363882150978.0,6255819.82573535,0
2022-03-10,2022-03-10 00:00:00.000000000,1.86e-06,1.86e-06,1.77e-06,1.81e-06,5564852977371.0,2022-03-10 23:59:59.999000064,10019266.99620791,27444,2517355742874.0,4540203.80828251,0
2022-03-11,2022-03-11 00:00:00.000000000,1.81e-06,1.82e-06,1.76e-06,1.78e-06,5996709839100.0,2022-03-11 23:59:59.999000064,10721861.9182335,24557,2791903609696.0,5002341.58847088,0
2022-03-12,2022-03-12 00:00:00.000000000,1.78e-06,1.79e-06,1.77e-06,1.78e-06,5263731454451.0,2022-03-12 23:59:59.999000064,9369473.85866949,21719,2570747982074.0,4587077.32342135,0
2022-03-13,2022-03-13 00:00:00.000000000,1.78e-06,1.8e-06,1.73e-06,1.74e-06,5337626145309.0,2022-03-13 23:59:59.999000064,9468166.04985216,21571,2464186682597.0,4385462.02468344,0
2022-03-14,2022-03-14 00:00:00.000000000,1.73e-06,1.76e-06,1.71e-06,1.75e-06,6387642341925.0,2022-03-14 23:59:59.999000064,11115277.24919451,23025,3160801684902.0,5513710.32674415,0
2022-03-15,2022-03-15 00:00:00.000000000,1.76e-06,1.79e-06,1.72e-06,1.76e-06,5918825828936.0,2022-03-15 23:59:59.999000064,10367602.38952688,21794,2892778149308.0,5077862.45147625,0
2022-03-16,2022-03-16 00:00:00.000000000,1.77e-06,1.85e-06,1.74e-06,1.85e-06,6815267337499.0,2022-03-16 23:59:59.999000064,12167070.54926953,28426,3514166899328.0,6284273.69718392,0
2022-03-17,2022-03-17 00:00:00.000000000,1.84e-06,1.85e-06,1.81e-06,1.82e-06,4762781181858.0,2022-03-17 23:59:59.999000064,8687989.47670243,24577,2309122395905.0,4220986.66583206,0
2022-03-18,2022-03-18 00:00:00.000000000,1.83e-06,1.87e-06,1.79e-06,1.86e-06,5188262590764.0,2022-03-18 23:59:59.999000064,9456855.0491832,27471,2501253959303.0,4570997.11854723,0
2022-03-19,2022-03-19 00:00:00.000000000,1.85e-06,1.89e-06,1.84e-06,1.87e-06,5026153600204.0,2022-03-19 23:59:59.999000064,9356121.42164673,32386,2581863974329.0,4817756.56052623,0
2022-03-20,2022-03-20 00:00:00.000000000,1.86e-06,1.87e-06,1.79e-06,1.82e-06,4202084012085.0,2022-03-20 23:59:59.999000064,7684409.98544217,24451,1918895040348.0,3517130.74342768,0
2022-03-21,2022-03-21 00:00:00.000000000,1.82e-06,1.85e-06,1.8e-06,1.83e-06,9446925589435.0,2022-03-21 23:59:59.999000064,17247263.56906862,27425,4722341671528.0,8642183.93704571,0
2022-03-22,2022-03-22 00:00:00.000000000,1.82e-06,1.88e-06,1.82e-06,1.86e-06,12694110573749.0,2022-03-22 23:59:59.999000064,23577114.94450598,40999,6216363298903.0,11571280.19726333,0
2022-03-23,2022-03-23 00:00:00.000000000,1.87e-06,1.9e-06,1.83e-06,1.89e-06,11928543279972.0,2022-03-23 23:59:59.999000064,22147699.6965743,36830,6121727761446.0,11392188.39119087,0
2022-03-24,2022-03-24 00:00:00.000000000,1.88e-06,2.02e-06,1.86e-06,1.99e-06,16567072664046.0,2022-03-24 23:59:59.999000064,31863119.62907115,57812,8685399278383.0,16748830.66015882,0
2022-03-25,2022-03-25 00:00:00.000000000,1.99e-06,2e-06,1.9e-06,1.92e-06,19611792879309.0,2022-03-25 23:59:59.999000064,38373969.11090047,96977,9290552765280.0,18223604.58075205,0
2022-03-26,2022-03-26 00:00:00.000000000,1.92e-06,1.95e-06,1.9e-06,1.94e-06,16418024219899.0,2022-03-26 23:59:59.999000064,31545525.05813056,58103,8142469542564.0,15682454.82160163,0
2022-03-27,2022-03-27 00:00:00.000000000,1.94e-06,2.25e-06,1.93e-06,2.14e-06,25499388046013.0,2022-03-27 23:59:59.999000064,52146840.76623342,102091,13019822991656.0,26681319.65679154,0
2022-03-28,2022-03-28 00:00:00.000000000,2.15e-06,2.19e-06,2.08e-06,2.09e-06,8903900897539.0,2022-03-28 23:59:59.999000064,19130336.97758073,56148,4211675378815.0,9068272.45266717,0
2022-03-29,2022-03-29 00:00:00.000000000,2.08e-06,2.17e-06,2.07e-06,2.1e-06,5444172695949.0,2022-03-29 23:59:59.999000064,11556370.16106624,32541,2409511152027.0,5120621.101439,0
2022-03-30,2022-03-30 00:00:00.000000000,2.1e-06,2.14e-06,2.07e-06,2.12e-06,4276881729836.0,2022-03-30 23:59:59.999000064,9033875.75929889,35954,2137870668454.0,4523704.97627395,0
2022-03-31,2022-03-31 00:00:00.000000000,2.12e-06,2.34e-06,2.11e-06,2.14e-06,14232124234896.0,2022-03-31 23:59:59.999000064,31764038.77705435,91655,6913090086537.0,15464012.83382639,0
2022-04-01,2022-04-01 00:00:00.000000000,2.15e-06,2.21e-06,2.07e-06,2.18e-06,5438808108991.0,2022-04-01 23:59:59.999000064,11600898.14445534,36059,2743850831672.0,5862733.87875081,0
2022-04-02,2022-04-02 00:00:00.000000000,2.18e-06,2.26e-06,2.17e-06,2.23e-06,4459296919302.0,2022-04-02 23:59:59.999000064,9876348.05167718,36506,2212271372801.0,4904727.53781695,0
2022-04-03,2022-04-03 00:00:00.000000000,2.23e-06,2.26e-06,2.18e-06,2.23e-06,4353656398607.0,2022-04-03 23:59:59.999000064,9677855.95475686,35541,2137196649781.0,4756843.40882488,0
2022-04-04,2022-04-04 00:00:00.000000000,2.23e-06,2.24e-06,2.12e-06,2.17e-06,3474997653793.0,2022-04-04 23:59:59.999000064,7565674.63970847,30434,1531932952955.0,3341613.95813864,0
2022-04-05,2022-04-05 00:00:00.000000000,2.17e-06,2.21e-06,2.11e-06,2.12e-06,4240000151246.0,2022-04-05 23:59:59.999000064,9146900.73614862,28247,1832420160720.0,3960439.35555376,0
2022-04-06,2022-04-06 00:00:00.000000000,2.11e-06,2.12e-06,1.96e-06,1.97e-06,6120063134136.0,2022-04-06 23:59:59.999000064,12470991.2642402,31980,2752872249538.0,5619240.33473471,0
2022-04-07,2022-04-07 00:00:00.000000000,1.97e-06,2.03e-06,1.96e-06,2.02e-06,4702649334181.0,2022-04-07 23:59:59.999000064,9370571.7524084,23932,2312126821588.0,4615291.46351308,0
2022-04-08,2022-04-08 00:00:00.000000000,2.02e-06,2.04e-06,1.95e-06,1.95e-06,4451557403997.0,2022-04-08 23:59:59.999000064,8932512.85410181,23952,1955107312700.0,3930006.8721352,0
2022-04-09,2022-04-09 00:00:00.000000000,1.95e-06,1.99e-06,1.95e-06,1.99e-06,1855216135476.0,2022-04-09 23:59:59.999000064,3654208.05952696,15356,945751361944.0,1866555.34534759,0
2022-04-10,2022-04-10 00:00:00.000000000,1.98e-06,2.01e-06,1.95e-06,1.96e-06,2753716212278.0,2022-04-10 23:59:59.999000064,5443067.07190573,19281,1326339092515.0,2627728.78587477,0
2022-04-11,2022-04-11 00:00:00.000000000,1.95e-06,1.96e-06,1.79e-06,1.79e-06,4031924051045.0,2022-04-11 23:59:59.999000064,7526632.47362983,28251,1590959100845.0,2969881.85167945,0
2022-04-12,2022-04-12 00:00:00.000000000,1.79e-06,1.87e-06,1.79e-06,1.83e-06,2969561752867.0,2022-04-12 23:59:59.999000064,5437165.46610577,23055,1596239323653.0,2926727.60948418,0
2022-04-13,2022-04-13 00:00:00.000000000,1.83e-06,1.92e-06,1.82e-06,1.92e-06,3771401379052.0,2022-04-13 23:59:59.999000064,7051437.03045391,25243,2069677952185.0,3878737.99280742,0
2022-04-14,2022-04-14 00:00:00.000000000,1.92e-06,2.08e-06,1.9e-06,1.94e-06,7920883938141.0,2022-04-14 23:59:59.999000064,15559447.41389515,40944,3742756559259.0,7360206.61110905,0
2022-04-15,2022-04-15 00:00:00.000000000,1.94e-06,2.01e-06,1.93e-06,1.98e-06,6249275402511.0,2022-04-15 23:59:59.999000064,12310365.65661938,31059,3256377138732.0,6423349.12344284,0
2022-04-16,2022-04-16 00:00:00.000000000,1.98e-06,2e-06,1.94e-06,1.96e-06,3739788787931.0,2022-04-16 23:59:59.999000064,7373703.64951209,20960,1815260634575.0,3587428.86269171,0
2022-04-17,2022-04-17 00:00:00.000000000,1.96e-06,1.97e-06,1.88e-06,1.9e-06,4539063903357.0,2022-04-17 23:59:59.999000064,8789192.7195738,28490,2179868711513.0,4231389.72266853,0
2022-04-18,2022-04-18 00:00:00.000000000,1.9e-06,1.92e-06,1.83e-06,1.91e-06,5479042837602.0,2022-04-18 23:59:59.999000064,10273460.53988585,23637,2627073132650.0,4933672.64191772,0
2022-04-19,2022-04-19 00:00:00.000000000,1.91e-06,1.94e-06,1.88e-06,1.93e-06,4176223494203.0,2022-04-19 23:59:59.999000064,7979362.49681968,20514,2168382899715.0,4150725.52432391,0
2022-04-20,2022-04-20 00:00:00.000000000,1.92e-06,1.94e-06,1.89e-06,1.9e-06,4161403733766.0,2022-04-20 23:59:59.999000064,7961711.51860782,19702,1920734090763.0,3683297.56581519,0
2022-04-21,2022-04-21 00:00:00.000000000,1.9e-06,2.04e-06,1.89e-06,1.89e-06,7918302898569.0,2022-04-21 23:59:59.999000064,15409441.47004265,42644,3849956395245.0,7502834.21243938,0
2022-04-22,2022-04-22 00:00:00.000000000,1.89e-06,1.92e-06,1.86e-06,1.89e-06,5067882749487.0,2022-04-22 23:59:59.999000064,9569753.268639,31167,2353312250059.0,4453658.87165791,0
2022-04-23,2022-04-23 00:00:00.000000000,1.88e-06,1.89e-06,1.84e-06,1.85e-06,4196587549757.0,2022-04-23 23:59:59.999000064,7783875.65770977,20025,1975083136718.0,3669600.35904898,0
2022-04-24,2022-04-24 00:00:00.000000000,1.85e-06,1.86e-06,1.82e-06,1.83e-06,3227099741155.0,2022-04-24 23:59:59.999000064,5946893.70787588,17975,1512729103316.0,2794264.66852278,0
2022-04-25,2022-04-25 00:00:00.000000000,1.84e-06,1.85e-06,1.76e-06,1.83e-06,5231295419231.0,2022-04-25 23:59:59.999000064,9439195.59680178,24287,2458897408575.0,4444912.40760967,0
2022-04-26,2022-04-26 00:00:00.000000000,1.83e-06,1.85e-06,1.74e-06,1.75e-06,4184693028483.0,2022-04-26 23:59:59.999000064,7548040.30968359,22337,1630038214733.0,2948264.59642262,0
2022-04-27,2022-04-27 00:00:00.000000000,1.75e-06,1.8e-06,1.74e-06,1.76e-06,3845964160247.0,2022-04-27 23:59:59.999000064,6827895.44894117,18360,1938192097972.0,3447486.76959308,0
2022-04-28,2022-04-28 00:00:00.000000000,1.77e-06,1.8e-06,1.75e-06,1.78e-06,4392739043085.0,2022-04-28 23:59:59.999000064,7803444.45758824,20506,2209911390621.0,3934240.37068249,0
2022-04-29,2022-04-29 00:00:00.000000000,1.78e-06,1.79e-06,1.7e-06,1.71e-06,4180547592999.0,2022-04-29 23:59:59.999000064,7302317.4619409,19732,1918347617685.0,3359470.17535749,0
2022-04-30,2022-04-30 00:00:00.000000000,1.72e-06,1.73e-06,1.65e-06,1.66e-06,3224194480325.0,2022-04-30 23:59:59.999000064,5496175.98591103,16221,1401022410487.0,2397341.39810629,0
2022-05-01,2022-05-01 00:00:00.000000000,1.67e-06,1.73e-06,1.65e-06,1.72e-06,3747509414382.0,2022-05-01 23:59:59.999000064,6301619.82731074,16928,2021768057613.0,3408511.53334466,0
2022-05-02,2022-05-02 00:00:00.000000000,1.73e-06,1.74e-06,1.67e-06,1.71e-06,3442019409058.0,2022-05-02 23:59:59.999000064,5903522.36305209,15085,1611127565931.0,2768665.57779622,0
2022-05-03,2022-05-03 00:00:00.000000000,1.71e-06,1.73e-06,1.69e-06,1.71e-06,3118597807707.0,2022-05-03 23:59:59.999000064,5327028.6032673,13535,1437255834598.0,2461132.89871416,0
2022-05-04,2022-05-04 00:00:00.000000000,1.7e-06,1.81e-06,1.69e-06,1.78e-06,4457986829868.0,2022-05-04 23:59:59.999000064,7766617.23613153,18356,2311766751395.0,4034339.03909238,0
2022-05-05,2022-05-05 00:00:00.000000000,1.79e-06,1.82e-06,1.65e-06,1.68e-06,4575853589292.0,2022-05-05 23:59:59.999000064,7996246.41155531,19172,1839590875468.0,3222443.20033553,0
2022-05-06,2022-05-06 00:00:00.000000000,1.68e-06,1.7e-06,1.64e-06,1.67e-06,4582114667118.0,2022-05-06 23:59:59.999000064,7642619.41580662,18363,2106791910205.0,3522089.45060081,0
2022-05-07,2022-05-07 00:00:00.000000000,1.68e-06,1.69e-06,1.6e-06,1.62e-06,4710981126628.0,2022-05-07 23:59:59.999000064,7796847.15426084,16756,2172205498815.0,3601864.24499939,0
2022-05-08,2022-05-08 00:00:00.000000000,1.63e-06,1.63e-06,1.59e-06,1.61e-06,5103034627801.0,2022-05-08 23:59:59.999000064,8194657.70454806,19075,2372152621009.0,3817733.07564102,0
2022-05-09,2022-05-09 00:00:00.000000000,1.6e-06,1.61e-06,1.42e-06,1.43e-06,7006884494551.0,2022-05-09 23:59:59.999000064,10705922.51373786,29881,2892155003913.0,4419624.56416588,0
2022-05-10,2022-05-10 00:00:00.000000000,1.42e-06,1.53e-06,1.39e-06,1.45e-06,8180879904623.0,2022-05-10 23:59:59.999000064,12059306.47648766,28258,3925137985859.0,5801596.31057143,0
2022-05-11,2022-05-11 00:00:00.000000000,1.45e-06,1.48e-06,1.17e-06,1.21e-06,13885070696884.0,2022-05-11 23:59:59.999000064,18334343.38041875,53189,5855067078399.0,7737452.38946811,0
2022-05-12,2022-05-12 00:00:00.000000000,1.21e-06,1.24e-06,9.8e-07,1.04e-06,13962294944653.0,2022-05-12 23:59:59.999000064,15015730.59083445,64650,5924554479010.0,6381933.77243902,0
2022-05-13,2022-05-13 00:00:00.000000000,1.04e-06,1.18e-06,1.03e-06,1.12e-06,9187532502873.0,2022-05-13 23:59:59.999000064,10431165.45076912,31475,4311708297169.0,4911721.18577033,0
2022-05-14,2022-05-14 00:00:00.000000000,1.12e-06,1.14e-06,1.07e-06,1.11e-06,7241089412823.0,2022-05-14 23:59:59.999000064,7976071.84682847,24655,3349120940151.0,3701090.35727254,0
2022-05-15,2022-05-15 00:00:00.000000000,1.11e-06,1.15e-06,1.08e-06,1.15e-06,5691318474396.0,2022-05-15 23:59:59.999000064,6314207.68750922,19011,2852359478029.0,3177033.95746158,0
2022-05-16,2022-05-16 00:00:00.000000000,1.15e-06,1.15e-06,1.08e-06,1.11e-06,6633194071807.0,2022-05-16 23:59:59.999000064,7388308.0371976,17654,2979431012116.0,3327183.72522976,0
2022-05-17,2022-05-17 00:00:00.000000000,1.1e-06,1.14e-06,1.1e-06,1.13e-06,5889485420657.0,2022-05-17 23:59:59.999000064,6610875.59993035,16401,2790079865666.0,3143663.41877414,0
