Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-12-23,2021-12-23 00:00:00.000000000,38.51,51.8,38.51,44.49,775234.92,2021-12-23 23:59:59.999000064,34187016.79799,88055,426158.61,18986250.67635,0
2021-12-24,2021-12-24 00:00:00.000000000,44.49,45.43,38.8,40.17,160463.412,2021-12-24 23:59:59.999000064,6756129.48291,23130,60592.314,2557327.0575,0
2021-12-25,2021-12-25 00:00:00.000000000,40.1,43.13,38.5,42.85,81984.426,2021-12-25 23:59:59.999000064,3313564.91169,10391,32688.418,1331672.35836,0
2021-12-26,2021-12-26 00:00:00.000000000,42.73,43.45,40.48,41.41,51710.565,2021-12-26 23:59:59.999000064,2150265.03471,7736,23757.575,991582.62528,0
2021-12-27,2021-12-27 00:00:00.000000000,41.56,61.0,40.27,49.14,507748.027,2021-12-27 23:59:59.999000064,24652005.16402,80581,247401.211,12098768.02498,0
2021-12-28,2021-12-28 00:00:00.000000000,49.15,50.97,43.45,44.9,291524.024,2021-12-28 23:59:59.999000064,13543568.03527,37737,118038.78,5508771.16304,0
2021-12-29,2021-12-29 00:00:00.000000000,44.9,51.05,43.2,43.71,271611.505,2021-12-29 23:59:59.999000064,12700267.54271,38164,160903.925,7498700.07242,0
2021-12-30,2021-12-30 00:00:00.000000000,43.8,47.65,40.7,42.8,196910.718,2021-12-30 23:59:59.999000064,8512441.1255,39315,96218.499,4171400.26224,0
2021-12-31,2021-12-31 00:00:00.000000000,42.83,52.65,42.59,48.85,361255.702,2021-12-31 23:59:59.999000064,17286465.99673,68034,213114.665,10233509.69748,0
2022-01-01,2022-01-01 00:00:00.000000000,48.78,63.0,48.53,49.9,856615.208,2022-01-01 23:59:59.999000064,46721870.48559,152345,453799.687,24839910.31539,0
2022-01-02,2022-01-02 00:00:00.000000000,49.91,51.86,46.0,47.71,307788.139,2022-01-02 23:59:59.999000064,15066437.49744,44628,131834.711,6441908.09438,0
2022-01-03,2022-01-03 00:00:00.000000000,47.72,49.32,45.16,46.75,262645.008,2022-01-03 23:59:59.999000064,12393529.44873,63867,119419.098,5653870.7755,0
2022-01-04,2022-01-04 00:00:00.000000000,46.75,53.49,46.07,49.39,309702.972,2022-01-04 23:59:59.999000064,15611659.3942,64100,169408.16,8566496.78368,0
2022-01-05,2022-01-05 00:00:00.000000000,49.31,51.03,37.85,41.78,461695.695,2022-01-05 23:59:59.999000064,20690176.04475,84837,231648.832,10379135.47399,0
2022-01-06,2022-01-06 00:00:00.000000000,41.84,43.6,39.11,42.3,290972.679,2022-01-06 23:59:59.999000064,11995979.88718,49746,141822.063,5844731.59103,0
2022-01-07,2022-01-07 00:00:00.000000000,42.31,42.31,36.7,37.78,252372.67,2022-01-07 23:59:59.999000064,9779607.15013,47376,108014.875,4177696.40327,0
