Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-03-28,2019-03-28 00:00:00.000000000,90.0,98.89,88.0,95.74,2319.41987,2019-03-28 23:59:59.999000064,219959.7213103,1165,1078.25298,102381.5162824,0
2019-03-29,2019-03-29 00:00:00.000000000,95.74,98.19,94.91,98.13,3565.30155,2019-03-29 23:59:59.999000064,345397.9745122,1721,1557.62344,150931.6579001,0
2019-03-30,2019-03-30 00:00:00.000000000,98.3,101.0,95.5,100.78,3540.27743,2019-03-30 23:59:59.999000064,348446.5285333,1440,1476.01358,145118.6898561,0
2019-03-31,2019-03-31 00:00:00.000000000,100.58,110.89,99.61,110.7,11668.43675,2019-03-31 23:59:59.999000064,1233115.567243,5298,5386.08329,568556.3220991,0
2019-04-01,2019-04-01 00:00:00.000000000,110.5,120.06,107.71,112.97,16508.93631,2019-04-01 23:59:59.999000064,1902034.8735968,8567,7237.85215,834426.2811672,0
2019-04-02,2019-04-02 00:00:00.000000000,113.28,125.84,111.03,123.69,15379.30754,2019-04-02 23:59:59.999000064,1833220.6977836,8188,8304.70125,990705.5574563,0
2019-04-03,2019-04-03 00:00:00.000000000,123.5,139.1,118.38,123.43,26058.20443,2019-04-03 23:59:59.999000064,3456383.9144395,12599,12097.62525,1607105.8706525,0
2019-04-04,2019-04-04 00:00:00.000000000,123.78,131.65,119.02,122.87,8434.43214,2019-04-04 23:59:59.999000064,1054060.3370459,6036,3934.7176,490301.3666372,0
2019-04-05,2019-04-05 00:00:00.000000000,122.87,134.24,122.87,132.78,5803.26085,2019-04-05 23:59:59.999000064,752865.5737238,3435,2996.18137,389633.9322779,0
2019-04-06,2019-04-06 00:00:00.000000000,132.84,137.83,128.01,130.93,4302.73303,2019-04-06 23:59:59.999000064,569185.4871077,3282,1982.6228,262583.6944146,0
2019-04-07,2019-04-07 00:00:00.000000000,130.55,135.33,130.11,135.11,4221.6208,2019-04-07 23:59:59.999000064,562267.3655962,2941,1939.83317,258309.4350628,0
2019-04-08,2019-04-08 00:00:00.000000000,135.17,137.85,128.67,135.3,5806.88245,2019-04-08 23:59:59.999000064,783436.0807374,3976,3136.27898,424310.1787383,0
2019-04-09,2019-04-09 00:00:00.000000000,135.2,135.52,128.84,131.4,3535.66865,2019-04-09 23:59:59.999000064,465028.5985289,2452,1835.12201,240747.481566,0
2019-04-10,2019-04-10 00:00:00.000000000,131.32,133.38,126.43,129.74,4500.68937,2019-04-10 23:59:59.999000064,588022.0774125,3436,1755.04581,228787.7197333,0
2019-04-11,2019-04-11 00:00:00.000000000,129.73,129.84,113.2,122.3,7797.38187,2019-04-11 23:59:59.999000064,944041.2156357,4215,3978.24088,482698.3350575,0
2019-04-12,2019-04-12 00:00:00.000000000,122.3,123.03,114.98,118.93,4715.41854,2019-04-12 23:59:59.999000064,559828.435523,2683,1466.92304,175418.1166738,0
2019-04-13,2019-04-13 00:00:00.000000000,118.72,119.84,117.11,119.1,1390.26356,2019-04-13 23:59:59.999000064,165176.8205364,1113,621.85429,74108.5734579,0
2019-04-14,2019-04-14 00:00:00.000000000,119.1,123.16,117.88,122.57,1796.90255,2019-04-14 23:59:59.999000064,216986.9385978,1639,940.68443,113695.7590873,0
2019-04-15,2019-04-15 00:00:00.000000000,122.57,123.78,115.04,118.56,2777.43757,2019-04-15 23:59:59.999000064,332059.4486977,2334,1638.58407,196039.4903198,0
2019-04-16,2019-04-16 00:00:00.000000000,118.48,131.0,115.54,120.61,5110.50898,2019-04-16 23:59:59.999000064,610778.070539,2883,2038.91399,244286.2249692,0
2019-04-17,2019-04-17 00:00:00.000000000,120.5,122.33,118.44,120.08,2189.18509,2019-04-17 23:59:59.999000064,261513.7783405,1716,1225.4537,146060.096235,0
2019-04-18,2019-04-18 00:00:00.000000000,119.94,125.59,119.7,123.52,5542.19338,2019-04-18 23:59:59.999000064,682414.4079162,3413,2660.58739,327505.2829501,0
2019-04-19,2019-04-19 00:00:00.000000000,123.54,123.82,119.45,122.11,3781.2912,2019-04-19 23:59:59.999000064,459073.957825,2149,1326.66065,161639.8261983,0
2019-04-20,2019-04-20 00:00:00.000000000,121.87,124.47,121.3,123.1,1741.75754,2019-04-20 23:59:59.999000064,212969.7483655,1802,857.22288,104802.093538,0
2019-04-21,2019-04-21 00:00:00.000000000,123.27,123.72,117.22,121.19,3007.97153,2019-04-21 23:59:59.999000064,363943.2311493,2292,1427.24586,172578.5281006,0
2019-04-22,2019-04-22 00:00:00.000000000,121.22,122.88,118.75,121.65,1540.87078,2019-04-22 23:59:59.999000064,186644.2404521,1681,848.79055,102874.6765382,0
2019-04-23,2019-04-23 00:00:00.000000000,122.15,125.38,117.05,117.05,1997.62099,2019-04-23 23:59:59.999000064,244125.8332507,2229,967.49008,118348.321315,0
2019-04-24,2019-04-24 00:00:00.000000000,117.0,120.28,110.8,115.02,5968.04325,2019-04-24 23:59:59.999000064,690011.9844341,3453,3484.59924,401230.8653647,0
2019-04-25,2019-04-25 00:00:00.000000000,115.45,118.0,106.91,108.89,4092.0347,2019-04-25 23:59:59.999000064,467128.6640777,2332,1996.85964,229293.0940205,0
2019-04-26,2019-04-26 00:00:00.000000000,108.89,114.33,106.38,110.27,3136.99664,2019-04-26 23:59:59.999000064,345503.8357748,1895,1613.28786,177924.3003954,0
2019-04-27,2019-04-27 00:00:00.000000000,110.27,111.43,108.76,110.01,1345.45349,2019-04-27 23:59:59.999000064,148305.9171423,967,688.50821,75843.4092964,0
2019-04-28,2019-04-28 00:00:00.000000000,110.01,111.48,108.88,110.73,1248.18569,2019-04-28 23:59:59.999000064,137884.4274206,1012,678.95573,74960.7047531,0
2019-04-29,2019-04-29 00:00:00.000000000,110.72,111.5,106.77,107.72,3402.18252,2019-04-29 23:59:59.999000064,372481.1560785,1536,1323.02847,145252.229222,0
2019-04-30,2019-04-30 00:00:00.000000000,107.72,111.71,106.93,110.98,1939.30731,2019-04-30 23:59:59.999000064,213068.0347335,1192,1030.91596,113331.4879683,0
2019-05-01,2019-05-01 00:00:00.000000000,111.04,119.41,110.98,116.47,3771.25114,2019-05-01 23:59:59.999000064,436457.1359161,2477,1795.31347,207833.7829767,0
2019-05-02,2019-05-02 00:00:00.000000000,116.95,118.9,114.9,117.13,5429.53051,2019-05-02 23:59:59.999000064,637107.1763911,2199,1385.17623,162245.9212598,0
2019-05-03,2019-05-03 00:00:00.000000000,116.41,121.57,115.65,120.71,5222.10447,2019-05-03 23:59:59.999000064,625838.2516219,2807,1523.64379,181996.8634457,0
2019-05-04,2019-05-04 00:00:00.000000000,121.09,123.91,116.58,120.22,5075.30245,2019-05-04 23:59:59.999000064,611006.9840254,2713,2519.4846,302709.1194257,0
2019-05-05,2019-05-05 00:00:00.000000000,120.22,120.83,117.83,118.63,1224.0613,2019-05-05 23:59:59.999000064,146322.9309411,1151,528.95283,63277.8861512,0
2019-05-06,2019-05-06 00:00:00.000000000,118.51,122.36,116.26,120.53,2218.44901,2019-05-06 23:59:59.999000064,265501.3573938,1730,1358.44494,162986.0253964,0
2019-05-07,2019-05-07 00:00:00.000000000,120.93,123.29,116.58,117.11,2895.70941,2019-05-07 23:59:59.999000064,348574.932832,2041,951.37895,115277.9024715,0
2019-05-08,2019-05-08 00:00:00.000000000,116.88,118.71,115.0,117.69,1182.87689,2019-05-08 23:59:59.999000064,138410.1564182,1121,608.80847,71332.1626061,0
2019-05-09,2019-05-09 00:00:00.000000000,117.6,118.81,110.26,112.3,3298.32922,2019-05-09 23:59:59.999000064,378569.9254636,1851,1037.78396,118812.0470379,0
2019-05-10,2019-05-10 00:00:00.000000000,112.37,115.94,111.09,112.92,2560.82801,2019-05-10 23:59:59.999000064,290410.4786393,1836,1142.55209,129929.1866135,0
2019-05-11,2019-05-11 00:00:00.000000000,112.92,126.3,111.77,122.83,7220.10121,2019-05-11 23:59:59.999000064,865855.5316134,4816,3165.15037,380605.4188038,0
2019-05-12,2019-05-12 00:00:00.000000000,122.82,127.96,117.13,125.22,6405.02757,2019-05-12 23:59:59.999000064,785761.4274426,3977,2372.3648,292103.1005465,0
2019-05-13,2019-05-13 00:00:00.000000000,125.22,136.38,124.23,130.51,9325.59123,2019-05-13 23:59:59.999000064,1225303.6113269,5639,4985.90465,653436.0047502,0
2019-05-14,2019-05-14 00:00:00.000000000,131.15,142.91,130.53,141.67,9125.49018,2019-05-14 23:59:59.999000064,1265958.7892939,6305,3817.9775,526432.0214129,0
2019-05-15,2019-05-15 00:00:00.000000000,141.67,155.46,140.77,154.14,9394.9463,2019-05-15 23:59:59.999000064,1394047.3181099,5394,4569.05789,676390.1402523,0
2019-05-16,2019-05-16 00:00:00.000000000,154.07,164.11,143.65,149.03,10560.85745,2019-05-16 23:59:59.999000064,1615046.7634196,7733,5654.85696,860788.8516079,0
2019-05-17,2019-05-17 00:00:00.000000000,149.03,150.06,126.97,139.49,11499.03441,2019-05-17 23:59:59.999000064,1569118.0150298,7514,5942.60901,814660.5554308,0
2019-05-18,2019-05-18 00:00:00.000000000,139.45,144.28,134.05,141.03,6740.10967,2019-05-18 23:59:59.999000064,932717.7575046,4744,3195.95483,442587.0849488,0
2019-05-19,2019-05-19 00:00:00.000000000,140.54,176.74,140.24,172.14,13297.90897,2019-05-19 23:59:59.999000064,2086623.9975336,9419,6766.07974,1060187.1557301,0
2019-05-20,2019-05-20 00:00:00.000000000,172.23,176.0,155.96,166.45,18171.7103,2019-05-20 23:59:59.999000064,3013887.0455642,10164,8662.13129,1433361.5000934,0
2019-05-21,2019-05-21 00:00:00.000000000,166.39,168.99,159.03,165.71,11959.54869,2019-05-21 23:59:59.999000064,1962837.5173908,5679,4919.29138,808784.201949,0
2019-05-22,2019-05-22 00:00:00.000000000,165.72,167.97,150.99,153.87,6338.88425,2019-05-22 23:59:59.999000064,1014409.4009069,4055,2988.01373,483427.7297342,0
2019-05-23,2019-05-23 00:00:00.000000000,153.87,156.14,145.61,154.06,7676.26041,2019-05-23 23:59:59.999000064,1161034.6503785,4129,2774.26749,418047.3072382,0
2019-05-24,2019-05-24 00:00:00.000000000,154.02,162.31,153.12,155.8,5761.6354,2019-05-24 23:59:59.999000064,913328.3324033,4297,2359.9722,374320.8885391,0
2019-05-25,2019-05-25 00:00:00.000000000,155.8,160.19,153.02,156.02,2900.30815,2019-05-25 23:59:59.999000064,454921.3788692,2686,1297.30028,203649.7247438,0
2019-05-26,2019-05-26 00:00:00.000000000,155.59,164.35,151.47,161.96,3384.98718,2019-05-26 23:59:59.999000064,535275.5140147,3266,1630.20385,256847.8077487,0
2019-05-27,2019-05-27 00:00:00.000000000,161.67,169.86,160.95,165.79,7262.0323,2019-05-27 23:59:59.999000064,1198979.2355173,5492,3140.78093,517405.777392,0
2019-05-28,2019-05-28 00:00:00.000000000,165.48,173.5,162.28,169.66,7023.78358,2019-05-28 23:59:59.999000064,1171522.7547145,5392,4009.16544,667479.2487164,0
2019-05-29,2019-05-29 00:00:00.000000000,169.17,175.15,160.44,168.27,5002.51712,2019-05-29 23:59:59.999000064,844800.3374339,4544,2426.29241,410308.79032,0
2019-05-30,2019-05-30 00:00:00.000000000,167.92,175.78,156.06,162.92,9088.32604,2019-05-30 23:59:59.999000064,1532579.8042134,7608,4538.01332,768316.2604178,0
2019-05-31,2019-05-31 00:00:00.000000000,163.0,166.36,157.01,165.99,4782.43585,2019-05-31 23:59:59.999000064,777701.1856325,3563,2567.08895,418173.0205891,0
2019-06-01,2019-06-01 00:00:00.000000000,165.97,167.3,161.22,163.0,3160.6439,2019-06-01 23:59:59.999000064,520985.9172976,3206,1548.20411,255382.7031089,0
2019-06-02,2019-06-02 00:00:00.000000000,163.0,167.76,161.8,165.09,3017.61798,2019-06-02 23:59:59.999000064,499692.4490552,2449,1651.92311,273591.3205345,0
2019-06-03,2019-06-03 00:00:00.000000000,165.36,165.36,153.15,155.22,5019.09703,2019-06-03 23:59:59.999000064,809692.6036039,3859,1917.05237,310874.8977018,0
