Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-09-03,2020-09-03 00:00:00.000000000,19.71,35.0,16.708,17.752,1122432.923,2020-09-03 23:59:59.999000064,24455951.321805,96435,551608.969,12104933.991472,0
2020-09-04,2020-09-04 00:00:00.000000000,17.755,20.5,16.71,17.583,584233.851,2020-09-04 23:59:59.999000064,10610919.032662,61123,287368.837,5227817.5294,0
2020-09-05,2020-09-05 00:00:00.000000000,17.587,17.703,10.2,12.321,695421.075,2020-09-05 23:59:59.999000064,9630646.869427,61191,349676.307,4817206.514977,0
2020-09-06,2020-09-06 00:00:00.000000000,12.324,16.0,11.277,13.368,523442.995,2020-09-06 23:59:59.999000064,6905557.810036,39651,254235.355,3355806.374877,0
2020-09-07,2020-09-07 00:00:00.000000000,13.37,13.653,11.508,13.219,563541.474,2020-09-07 23:59:59.999000064,7194549.085591,56553,300493.021,3827791.869825,0
2020-09-08,2020-09-08 00:00:00.000000000,13.221,15.495,13.206,14.027,877143.667,2020-09-08 23:59:59.999000064,12444434.195439,65922,448875.272,6377893.158315,0
2020-09-09,2020-09-09 00:00:00.000000000,14.043,15.357,13.687,15.084,518817.841,2020-09-09 23:59:59.999000064,7530659.67669,43302,269284.878,3911604.169238,0
2020-09-10,2020-09-10 00:00:00.000000000,15.101,15.67,13.8,13.939,341379.569,2020-09-10 23:59:59.999000064,5058979.449232,24670,166173.356,2465865.905903,0
2020-09-11,2020-09-11 00:00:00.000000000,13.939,15.294,13.483,14.308,174345.177,2020-09-11 23:59:59.999000064,2451682.318804,13257,95499.02,1345343.225656,0
2020-09-12,2020-09-12 00:00:00.000000000,14.297,14.41,13.131,13.917,132860.394,2020-09-12 23:59:59.999000064,1848710.092491,10044,59388.878,827442.894213,0
2020-09-13,2020-09-13 00:00:00.000000000,13.914,14.3,12.801,13.306,138944.534,2020-09-13 23:59:59.999000064,1863606.619475,10992,62549.77,839868.810479,0
2020-09-14,2020-09-14 00:00:00.000000000,13.306,14.4,12.421,13.971,397255.366,2020-09-14 23:59:59.999000064,5442607.492602,36405,210880.251,2891137.037281,0
2020-09-15,2020-09-15 00:00:00.000000000,13.971,14.939,12.852,13.045,459694.614,2020-09-15 23:59:59.999000064,6430444.880925,40157,232627.571,3256184.510978,0
2020-09-16,2020-09-16 00:00:00.000000000,13.045,13.047,11.818,12.584,230372.605,2020-09-16 23:59:59.999000064,2881793.022876,19654,110263.648,1380161.860584,0
2020-09-17,2020-09-17 00:00:00.000000000,12.605,12.869,11.751,12.058,163528.786,2020-09-17 23:59:59.999000064,1985846.562744,13505,73653.158,895177.577483,0
2020-09-18,2020-09-18 00:00:00.000000000,12.036,12.304,10.8,11.22,203521.002,2020-09-18 23:59:59.999000064,2377139.784843,14213,99180.586,1158063.287973,0
2020-09-19,2020-09-19 00:00:00.000000000,11.22,12.231,11.184,11.95,194755.029,2020-09-19 23:59:59.999000064,2269269.835746,14154,99647.781,1161494.261358,0
2020-09-20,2020-09-20 00:00:00.000000000,11.943,12.196,9.772,10.717,251154.3,2020-09-20 23:59:59.999000064,2709271.688604,16744,128401.376,1369880.089241,0
2020-09-21,2020-09-21 00:00:00.000000000,10.693,11.0,8.421,8.808,554514.392,2020-09-21 23:59:59.999000064,5150278.11048,35049,264323.079,2452442.915928,0
2020-09-22,2020-09-22 00:00:00.000000000,8.822,9.102,8.154,8.709,333320.967,2020-09-22 23:59:59.999000064,2900428.122107,21058,159078.013,1386177.538404,0
2020-09-23,2020-09-23 00:00:00.000000000,8.696,9.5,8.3,8.812,570671.094,2020-09-23 23:59:59.999000064,5033502.506215,32315,267070.171,2357907.878062,0
2020-09-24,2020-09-24 00:00:00.000000000,8.813,9.249,8.707,9.225,346683.889,2020-09-24 23:59:59.999000064,3134210.013757,19473,180773.746,1634811.919785,0
2020-09-25,2020-09-25 00:00:00.000000000,9.228,10.492,9.139,9.997,338990.448,2020-09-25 23:59:59.999000064,3264928.108185,21620,177286.984,1707000.892981,0
