Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-07-30,2021-07-30 00:00:00.000000000,18.31,35.61,18.31,23.9,4483043.91,2021-07-30 23:59:59.999000064,111672903.4979,229202,2148029.0,53861253.0846,0
2021-07-31,2021-07-31 00:00:00.000000000,23.91,28.0,22.93,24.36,3473070.16,2021-07-31 23:59:59.999000064,87227702.1594,154868,1718075.2,43178422.9752,0
2021-08-01,2021-08-01 00:00:00.000000000,24.37,24.42,21.07,21.09,1142018.18,2021-08-01 23:59:59.999000064,25714378.2683,54120,526173.69,11828914.988,0
2021-08-02,2021-08-02 00:00:00.000000000,21.13,22.7,20.75,22.15,854827.32,2021-08-02 23:59:59.999000064,18515670.052,37436,439313.34,9512413.5725,0
2021-08-03,2021-08-03 00:00:00.000000000,22.15,22.4,20.5,20.84,375663.45,2021-08-03 23:59:59.999000064,7875451.6746,18667,181986.9,3811534.2878,0
2021-08-04,2021-08-04 00:00:00.000000000,20.84,22.48,20.27,22.3,661972.03,2021-08-04 23:59:59.999000064,14220063.984,32451,373001.83,8059996.7202,0
2021-08-05,2021-08-05 00:00:00.000000000,22.32,23.5,20.91,22.32,637252.01,2021-08-05 23:59:59.999000064,14007942.5315,28235,369267.58,8119825.297,0
2021-08-06,2021-08-06 00:00:00.000000000,22.28,22.64,21.51,22.42,350100.08,2021-08-06 23:59:59.999000064,7722870.8253,16098,192222.74,4243681.8582,0
2021-08-07,2021-08-07 00:00:00.000000000,22.45,23.37,21.92,22.67,388005.74,2021-08-07 23:59:59.999000064,8724517.7975,16847,192813.71,4338277.7128,0
2021-08-08,2021-08-08 00:00:00.000000000,22.66,23.4,21.19,21.46,344950.32,2021-08-08 23:59:59.999000064,7690699.9445,14631,153469.78,3428300.6218,0
2021-08-09,2021-08-09 00:00:00.000000000,21.46,22.36,20.57,22.19,474626.36,2021-08-09 23:59:59.999000064,10273345.0797,18858,286815.69,6220365.9597,0
2021-08-10,2021-08-10 00:00:00.000000000,22.19,24.11,21.66,23.09,711136.75,2021-08-10 23:59:59.999000064,16243653.7451,42139,405102.38,9257615.3352,0
2021-08-11,2021-08-11 00:00:00.000000000,23.16,26.69,22.97,23.8,811378.53,2021-08-11 23:59:59.999000064,20091217.1439,48132,458852.66,11370420.4383,0
2021-08-12,2021-08-12 00:00:00.000000000,23.78,24.0,21.9,22.56,384941.69,2021-08-12 23:59:59.999000064,8821436.3011,20606,201820.31,4639970.0581,0
2021-08-13,2021-08-13 00:00:00.000000000,22.56,24.0,22.4,23.67,254047.6,2021-08-13 23:59:59.999000064,5929449.7595,12479,145193.84,3391596.3627,0
2021-08-14,2021-08-14 00:00:00.000000000,23.65,23.91,22.5,23.31,339092.44,2021-08-14 23:59:59.999000064,7847082.6331,12391,217918.05,5046864.6844,0
2021-08-15,2021-08-15 00:00:00.000000000,23.32,23.39,22.13,23.06,271717.58,2021-08-15 23:59:59.999000064,6144451.7848,9790,173602.19,3925349.6909,0
2021-08-16,2021-08-16 00:00:00.000000000,23.05,23.74,22.48,22.78,298445.24,2021-08-16 23:59:59.999000064,6908264.4679,15063,154126.3,3571759.4806,0
2021-08-17,2021-08-17 00:00:00.000000000,22.81,25.11,21.86,22.22,602247.67,2021-08-17 23:59:59.999000064,14080628.827,33012,297453.01,6970214.6758,0
2021-08-18,2021-08-18 00:00:00.000000000,22.23,24.0,21.12,22.36,400235.39,2021-08-18 23:59:59.999000064,9010736.1792,24653,191264.19,4316564.9593,0
2021-08-19,2021-08-19 00:00:00.000000000,22.37,23.02,21.25,22.83,205234.48,2021-08-19 23:59:59.999000064,4512668.4405,13642,96503.7,2122432.5245,0
2021-08-20,2021-08-20 00:00:00.000000000,22.87,23.58,22.28,23.43,243716.14,2021-08-20 23:59:59.999000064,5604888.319,14740,135851.19,3127168.7133,0
2021-08-21,2021-08-21 00:00:00.000000000,23.4,25.38,23.02,23.2,723106.91,2021-08-21 23:59:59.999000064,17469151.2493,38997,343671.91,8306262.0334,0
2021-08-22,2021-08-22 00:00:00.000000000,23.17,23.37,22.54,23.06,340637.13,2021-08-22 23:59:59.999000064,7842230.4484,18068,184567.45,4252966.7566,0
2021-08-23,2021-08-23 00:00:00.000000000,23.08,24.52,22.79,23.94,484075.95,2021-08-23 23:59:59.999000064,11550995.7471,23583,270028.86,6447811.766,0
2021-08-24,2021-08-24 00:00:00.000000000,23.94,23.99,21.62,21.78,655568.15,2021-08-24 23:59:59.999000064,14975174.2785,25796,340973.83,7815818.4757,0
2021-08-25,2021-08-25 00:00:00.000000000,21.78,23.03,20.81,22.34,957231.85,2021-08-25 23:59:59.999000064,21007193.7567,37959,447391.85,9841424.9004,0
2021-08-26,2021-08-26 00:00:00.000000000,22.34,22.95,20.94,21.29,456435.05,2021-08-26 23:59:59.999000064,9877027.8912,17185,217268.97,4714573.4794,0
2021-08-27,2021-08-27 00:00:00.000000000,21.3,22.0,20.96,21.84,380500.67,2021-08-27 23:59:59.999000064,8169689.5212,13453,214690.22,4612517.4163,0
2021-08-28,2021-08-28 00:00:00.000000000,21.89,22.17,21.58,21.65,280837.22,2021-08-28 23:59:59.999000064,6141766.9934,8494,154469.71,3385181.7305,0
2021-08-29,2021-08-29 00:00:00.000000000,21.65,28.91,21.54,27.61,2572952.59,2021-08-29 23:59:59.999000064,66397796.9497,127646,1269652.26,32731260.6201,0
2021-08-30,2021-08-30 00:00:00.000000000,27.6,29.1,24.31,25.17,2199673.19,2021-08-30 23:59:59.999000064,58403808.723,120957,1131108.19,30072634.474,0
2021-08-31,2021-08-31 00:00:00.000000000,25.18,27.68,24.0,25.14,1510140.26,2021-08-31 23:59:59.999000064,39085463.8071,70845,870171.75,22480789.1493,0
2021-09-01,2021-09-01 00:00:00.000000000,25.12,25.84,24.22,25.67,876838.22,2021-09-01 23:59:59.999000064,22048971.6127,48893,513280.84,12916003.9432,0
2021-09-02,2021-09-02 00:00:00.000000000,25.67,25.79,24.96,25.19,413788.87,2021-09-02 23:59:59.999000064,10484362.0846,20590,242950.52,6160808.3651,0
2021-09-03,2021-09-03 00:00:00.000000000,25.14,25.94,24.8,25.46,421931.41,2021-09-03 23:59:59.999000064,10686446.0118,19980,236937.45,6003543.0998,0
2021-09-04,2021-09-04 00:00:00.000000000,25.43,27.35,25.0,25.71,486156.4,2021-09-04 23:59:59.999000064,12643087.4543,29102,247607.75,6442617.758,0
2021-09-05,2021-09-05 00:00:00.000000000,25.71,27.33,25.28,26.72,662259.66,2021-09-05 23:59:59.999000064,17428718.9086,36716,353657.44,9309078.1485,0
2021-09-06,2021-09-06 00:00:00.000000000,26.73,26.79,25.15,25.86,477529.22,2021-09-06 23:59:59.999000064,12381063.091,26928,289631.76,7508449.9367,0
2021-09-07,2021-09-07 00:00:00.000000000,25.86,26.17,20.43,21.38,808617.09,2021-09-07 23:59:59.999000064,18554914.7221,40747,341307.35,7880643.6059,0
2021-09-08,2021-09-08 00:00:00.000000000,21.43,22.91,18.4,21.05,1203457.51,2021-09-08 23:59:59.999000064,24959201.0982,57304,645219.68,13432713.5853,0
2021-09-09,2021-09-09 00:00:00.000000000,21.05,22.35,20.53,21.47,420295.72,2021-09-09 23:59:59.999000064,8941091.6744,28887,218607.89,4660909.4924,0
2021-09-10,2021-09-10 00:00:00.000000000,21.46,22.07,19.6,20.08,449742.8,2021-09-10 23:59:59.999000064,9441536.676,29667,168964.85,3514207.3529,0
2021-09-11,2021-09-11 00:00:00.000000000,20.1,20.72,19.75,20.42,186273.42,2021-09-11 23:59:59.999000064,3768716.2325,17904,90292.73,1828284.0967,0
2021-09-12,2021-09-12 00:00:00.000000000,20.43,21.0,19.8,20.76,207858.08,2021-09-12 23:59:59.999000064,4254158.5126,19884,101459.53,2075833.1926,0
2021-09-13,2021-09-13 00:00:00.000000000,20.72,20.77,18.63,19.6,553289.68,2021-09-13 23:59:59.999000064,10844910.8123,26892,297941.37,5844887.8571,0
