Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-06-11,2019-06-11 00:00:00.000000000,0.0359,0.045,0.03,0.0324,767242774.6,2019-06-11 23:59:59.999000064,28270804.805211,61185,336124609.7,12401140.255501,0
2019-06-12,2019-06-12 00:00:00.000000000,0.03235,0.03366,0.0308,0.03218,278893018.3,2019-06-12 23:59:59.999000064,8992631.336699,21552,109447367.2,3540012.012071,0
2019-06-13,2019-06-13 00:00:00.000000000,0.0322,0.036,0.02932,0.03009,365016984.2,2019-06-13 23:59:59.999000064,12047396.179,26093,167805202.0,5548225.226879,0
2019-06-14,2019-06-14 00:00:00.000000000,0.03015,0.03108,0.02529,0.02737,231865238.2,2019-06-14 23:59:59.999000064,6490706.590426,18056,97799021.7,2738320.821635,0
2019-06-15,2019-06-15 00:00:00.000000000,0.02737,0.03006,0.02563,0.0268,159700618.5,2019-06-15 23:59:59.999000064,4441647.621267,13278,72765463.6,2030263.020657,0
2019-06-16,2019-06-16 00:00:00.000000000,0.02701,0.02749,0.02564,0.0268,114728166.1,2019-06-16 23:59:59.999000064,3054343.034418,9324,46146702.1,1233840.142399,0
2019-06-17,2019-06-17 00:00:00.000000000,0.02677,0.02895,0.026,0.02666,206962426.1,2019-06-17 23:59:59.999000064,5655298.181334,17582,92909979.7,2560800.469281,0
2019-06-18,2019-06-18 00:00:00.000000000,0.02666,0.028,0.02568,0.02728,107203322.7,2019-06-18 23:59:59.999000064,2883845.125775,8497,43057012.1,1162833.533357,0
2019-06-19,2019-06-19 00:00:00.000000000,0.02736,0.02999,0.02733,0.0279,134345366.4,2019-06-19 23:59:59.999000064,3842102.662348,12444,67703251.4,1939275.315317,0
2019-06-20,2019-06-20 00:00:00.000000000,0.0279,0.02845,0.02525,0.02633,103437851.9,2019-06-20 23:59:59.999000064,2760145.255652,7849,29338053.0,788112.500937,0
