Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-12-20,2019-12-20 00:00:00.000000000,1.94,2.218,1.94,2.155,1168998.116,2019-12-20 23:59:59.999000064,2516781.129071,2989,520401.951,1119684.43441,0
2019-12-21,2019-12-21 00:00:00.000000000,2.153,2.157,2.136,2.149,112274.121,2019-12-21 23:59:59.999000064,240745.962501,573,75035.19,161095.351978,0
2019-12-22,2019-12-22 00:00:00.000000000,2.146,2.275,2.137,2.275,1324239.891,2019-12-22 23:59:59.999000064,2888429.883339,8043,1206173.792,2630317.762554,0
2019-12-23,2019-12-23 00:00:00.000000000,2.277,2.303,2.173,2.191,1644144.833,2019-12-23 23:59:59.999000064,3706522.474264,9997,1362529.108,3076333.485659,0
2019-12-24,2019-12-24 00:00:00.000000000,2.187,2.201,2.138,2.161,136824.262,2019-12-24 23:59:59.999000064,295282.659987,799,94946.549,204143.795249,0
2019-12-25,2019-12-25 00:00:00.000000000,2.159,2.165,2.138,2.141,40658.758,2019-12-25 23:59:59.999000064,87178.678217,249,20058.131,43062.562193,0
2019-12-26,2019-12-26 00:00:00.000000000,2.14,2.194,2.139,2.141,89310.288,2019-12-26 23:59:59.999000064,192903.625269,418,57780.593,125118.777146,0
2019-12-27,2019-12-27 00:00:00.000000000,2.141,2.172,2.139,2.149,182638.672,2019-12-27 23:59:59.999000064,392115.195207,2788,164279.222,352683.877719,0
2019-12-28,2019-12-28 00:00:00.000000000,2.15,2.188,2.15,2.181,57643.714,2019-12-28 23:59:59.999000064,124794.037147,392,25925.919,56165.464159,0
2019-12-29,2019-12-29 00:00:00.000000000,2.176,2.249,2.167,2.21,47632.036,2019-12-29 23:59:59.999000064,104915.066423,363,36971.548,81426.126923,0
2019-12-30,2019-12-30 00:00:00.000000000,2.208,2.211,2.151,2.167,58259.427,2019-12-30 23:59:59.999000064,127394.608983,419,28241.83,61785.299467,0
2019-12-31,2019-12-31 00:00:00.000000000,2.154,2.186,2.142,2.144,89816.753,2019-12-31 23:59:59.999000064,193828.051256,660,81248.35,175324.781128,0
2020-01-01,2020-01-01 00:00:00.000000000,2.147,2.162,2.141,2.144,36912.453,2020-01-01 23:59:59.999000064,79400.850673,342,28152.832,60560.171029,0
2020-01-02,2020-01-02 00:00:00.000000000,2.144,2.152,2.142,2.142,137785.552,2020-01-02 23:59:59.999000064,295884.302017,799,98107.022,210703.236697,0
2020-01-03,2020-01-03 00:00:00.000000000,2.143,2.233,2.14,2.204,153597.542,2020-01-03 23:59:59.999000064,335306.355254,1083,106315.151,231336.697831,0
2020-01-04,2020-01-04 00:00:00.000000000,2.201,2.206,2.157,2.164,37466.666,2020-01-04 23:59:59.999000064,81572.450482,363,18318.276,39905.127027,0
2020-01-05,2020-01-05 00:00:00.000000000,2.174,2.2,2.135,2.139,47776.802,2020-01-05 23:59:59.999000064,102826.682077,358,18005.805,38846.206788,0
2020-01-06,2020-01-06 00:00:00.000000000,2.138,2.191,2.136,2.183,106516.456,2020-01-06 23:59:59.999000064,229102.807691,601,90278.585,194109.004749,0
2020-01-07,2020-01-07 00:00:00.000000000,2.186,2.241,2.129,2.166,533551.662,2020-01-07 23:59:59.999000064,1155855.253457,3677,452784.233,981446.737152,0
2020-01-08,2020-01-08 00:00:00.000000000,2.161,2.202,2.134,2.176,938394.078,2020-01-08 23:59:59.999000064,2015752.144251,5973,849506.589,1824163.618433,0
2020-01-09,2020-01-09 00:00:00.000000000,2.173,2.173,2.135,2.161,256197.946,2020-01-09 23:59:59.999000064,549839.670446,1884,233145.758,500269.825087,0
2020-01-10,2020-01-10 00:00:00.000000000,2.159,2.24,2.134,2.228,318059.44,2020-01-10 23:59:59.999000064,694686.240521,2480,193024.342,421734.771462,0
2020-01-11,2020-01-11 00:00:00.000000000,2.234,2.234,2.135,2.147,251332.158,2020-01-11 23:59:59.999000064,540569.241125,1950,200146.399,430095.500331,0
2020-01-12,2020-01-12 00:00:00.000000000,2.143,2.198,2.133,2.183,182071.045,2020-01-12 23:59:59.999000064,392479.057257,1156,151664.223,326624.348629,0
2020-01-13,2020-01-13 00:00:00.000000000,2.182,2.182,2.14,2.155,96535.739,2020-01-13 23:59:59.999000064,208127.904768,678,75791.484,163468.536684,0
2020-01-14,2020-01-14 00:00:00.000000000,2.15,2.215,2.143,2.176,554663.894,2020-01-14 23:59:59.999000064,1211009.695827,3454,398461.421,870062.674169,0
2020-01-15,2020-01-15 00:00:00.000000000,2.172,2.368,2.15,2.367,1162491.233,2020-01-15 23:59:59.999000064,2579539.194175,5579,990416.597,2196383.593889,0
2020-01-16,2020-01-16 00:00:00.000000000,2.369,2.4,2.287,2.4,399721.104,2020-01-16 23:59:59.999000064,940407.942751,1906,288074.228,678897.668574,0
2020-01-17,2020-01-17 00:00:00.000000000,2.396,2.481,2.04,2.386,496915.663,2020-01-17 23:59:59.999000064,1210130.059702,2824,287258.7,698783.830176,0
2020-01-18,2020-01-18 00:00:00.000000000,2.387,2.423,2.334,2.377,294660.645,2020-01-18 23:59:59.999000064,702499.013911,1601,212422.655,506545.112812,0
2020-01-19,2020-01-19 00:00:00.000000000,2.371,2.434,2.235,2.284,393618.589,2020-01-19 23:59:59.999000064,929637.66692,2348,302258.126,714538.203403,0
2020-01-20,2020-01-20 00:00:00.000000000,2.285,2.291,2.203,2.266,202402.67,2020-01-20 23:59:59.999000064,455607.852918,1266,171417.796,386192.317528,0
2020-01-21,2020-01-21 00:00:00.000000000,2.266,2.352,2.262,2.351,319955.988,2020-01-21 23:59:59.999000064,739563.2647,1938,282954.945,653944.153056,0
2020-01-22,2020-01-22 00:00:00.000000000,2.349,2.362,2.287,2.315,238303.247,2020-01-22 23:59:59.999000064,551051.343767,1491,119806.847,276534.287,0
2020-01-23,2020-01-23 00:00:00.000000000,2.321,2.321,2.18,2.236,775805.994,2020-01-23 23:59:59.999000064,1718380.392943,4351,658466.506,1457897.143562,0
2020-01-24,2020-01-24 00:00:00.000000000,2.23,2.286,2.194,2.256,99776.007,2020-01-24 23:59:59.999000064,223238.100801,608,35595.679,79258.383245,0
2020-01-25,2020-01-25 00:00:00.000000000,2.259,2.259,2.205,2.224,71731.297,2020-01-25 23:59:59.999000064,159492.132897,512,57594.559,128080.63916,0
2020-01-26,2020-01-26 00:00:00.000000000,2.21,2.29,2.202,2.284,315855.281,2020-01-26 23:59:59.999000064,709095.672827,1787,270906.265,607622.207173,0
2020-01-27,2020-01-27 00:00:00.000000000,2.291,2.403,2.288,2.372,364527.396,2020-01-27 23:59:59.999000064,848650.402164,2092,295608.287,685816.172957,0
2020-01-28,2020-01-28 00:00:00.000000000,2.376,2.446,2.334,2.446,647069.833,2020-01-28 23:59:59.999000064,1541980.299942,4108,566084.648,1347440.876351,0
2020-01-29,2020-01-29 00:00:00.000000000,2.446,2.453,2.344,2.348,585261.564,2020-01-29 23:59:59.999000064,1402019.875797,3606,517949.094,1241702.918198,0
2020-01-30,2020-01-30 00:00:00.000000000,2.346,2.421,2.318,2.404,598076.834,2020-01-30 23:59:59.999000064,1412202.275061,3772,559404.091,1320663.952013,0
2020-01-31,2020-01-31 00:00:00.000000000,2.406,2.408,2.32,2.367,236684.171,2020-01-31 23:59:59.999000064,558238.55099,1797,213241.173,502896.648478,0
2020-02-01,2020-02-01 00:00:00.000000000,2.371,2.39,2.329,2.351,72233.199,2020-02-01 23:59:59.999000064,169584.15082,620,56179.329,131901.224499,0
2020-02-02,2020-02-02 00:00:00.000000000,2.336,2.37,2.294,2.318,177414.62,2020-02-02 23:59:59.999000064,415371.94404,1154,156555.64,366556.872353,0
2020-02-03,2020-02-03 00:00:00.000000000,2.315,2.384,2.262,2.302,679124.691,2020-02-03 23:59:59.999000064,1563176.294515,4870,619545.372,1424493.244948,0
2020-02-04,2020-02-04 00:00:00.000000000,2.301,2.318,2.209,2.248,336790.599,2020-02-04 23:59:59.999000064,768687.349285,2275,277170.269,634665.323674,0
2020-02-05,2020-02-05 00:00:00.000000000,2.248,2.388,2.239,2.342,492942.409,2020-02-05 23:59:59.999000064,1148673.21871,3220,291052.259,678416.376399,0
2020-02-06,2020-02-06 00:00:00.000000000,2.344,2.42,2.322,2.413,363845.15,2020-02-06 23:59:59.999000064,864947.083716,2435,307590.59,731171.82724,0
2020-02-07,2020-02-07 00:00:00.000000000,2.413,2.448,2.35,2.388,600270.383,2020-02-07 23:59:59.999000064,1450981.624842,3756,504553.367,1220000.966065,0
2020-02-08,2020-02-08 00:00:00.000000000,2.383,2.408,2.338,2.382,120003.264,2020-02-08 23:59:59.999000064,285907.763351,880,104858.966,249972.185137,0
2020-02-09,2020-02-09 00:00:00.000000000,2.384,2.428,2.372,2.409,344797.845,2020-02-09 23:59:59.999000064,824805.202094,2029,280944.177,671722.197406,0
2020-02-10,2020-02-10 00:00:00.000000000,2.408,2.541,2.316,2.492,872876.581,2020-02-10 23:59:59.999000064,2103504.653188,4969,684298.802,1646128.591174,0
2020-02-11,2020-02-11 00:00:00.000000000,2.492,2.575,2.421,2.557,348378.707,2020-02-11 23:59:59.999000064,870463.60146,2390,174049.06,433449.732422,0
2020-02-12,2020-02-12 00:00:00.000000000,2.561,2.618,2.534,2.578,486790.282,2020-02-12 23:59:59.999000064,1256081.782101,3380,305821.415,789697.482387,0
2020-02-13,2020-02-13 00:00:00.000000000,2.571,2.608,2.436,2.52,601585.298,2020-02-13 23:59:59.999000064,1530483.59258,4424,410184.694,1042347.818728,0
2020-02-14,2020-02-14 00:00:00.000000000,2.522,2.574,2.509,2.562,123970.421,2020-02-14 23:59:59.999000064,314416.521047,1146,89108.623,225876.189893,0
2020-02-15,2020-02-15 00:00:00.000000000,2.571,2.58,2.425,2.522,312501.077,2020-02-15 23:59:59.999000064,784320.777775,2086,201206.308,505502.66346,0
2020-02-16,2020-02-16 00:00:00.000000000,2.509,3.745,2.508,2.952,3798162.649,2020-02-16 23:59:59.999000064,10507292.022872,23273,2563474.883,7057561.060031,0
2020-02-17,2020-02-17 00:00:00.000000000,2.962,2.962,2.501,2.728,1673509.297,2020-02-17 23:59:59.999000064,4596785.048543,10550,952782.398,2601425.384435,0
2020-02-18,2020-02-18 00:00:00.000000000,2.728,2.865,2.691,2.85,157356.362,2020-02-18 23:59:59.999000064,435443.289808,1564,93385.567,258426.540152,0
2020-02-19,2020-02-19 00:00:00.000000000,2.841,2.847,0.5,2.652,167107.314,2020-02-19 23:59:59.999000064,445386.285472,1774,67499.338,183262.534508,0
2020-02-20,2020-02-20 00:00:00.000000000,2.652,2.667,2.58,2.628,322937.051,2020-02-20 23:59:59.999000064,847805.397058,1986,210054.152,552274.345839,0
2020-02-21,2020-02-21 00:00:00.000000000,2.622,2.722,2.615,2.688,124875.01,2020-02-21 23:59:59.999000064,334316.391036,870,75466.283,202340.816294,0
2020-02-22,2020-02-22 00:00:00.000000000,2.679,2.692,2.646,2.673,57195.989,2020-02-22 23:59:59.999000064,152800.608377,371,35595.196,95237.318557,0
2020-02-23,2020-02-23 00:00:00.000000000,2.673,2.773,2.667,2.756,47916.274,2020-02-23 23:59:59.999000064,130752.91626,511,23105.41,63033.446357,0
2020-02-24,2020-02-24 00:00:00.000000000,2.748,2.764,2.542,2.634,148625.164,2020-02-24 23:59:59.999000064,392049.94455,1221,86767.707,228280.068279,0
2020-02-25,2020-02-25 00:00:00.000000000,2.634,2.634,2.446,2.46,551275.764,2020-02-25 23:59:59.999000064,1385268.488036,3429,461684.115,1158305.07671,0
2020-02-26,2020-02-26 00:00:00.000000000,2.461,2.484,2.14,2.285,1467046.382,2020-02-26 23:59:59.999000064,3355961.727608,9981,1209346.832,2774690.072028,0
2020-02-27,2020-02-27 00:00:00.000000000,2.279,2.465,2.22,2.448,634117.505,2020-02-27 23:59:59.999000064,1466432.092714,4288,553305.544,1279073.206554,0
2020-02-28,2020-02-28 00:00:00.000000000,2.448,2.641,2.444,2.617,248830.686,2020-02-28 23:59:59.999000064,624588.38279,1846,168444.619,423328.618155,0
2020-02-29,2020-02-29 00:00:00.000000000,2.619,2.687,2.576,2.576,121240.796,2020-02-29 23:59:59.999000064,319918.106927,815,50663.82,133896.249314,0
2020-03-01,2020-03-01 00:00:00.000000000,2.573,2.654,2.524,2.556,103535.723,2020-03-01 23:59:59.999000064,267103.66729,866,61565.203,159817.160961,0
2020-03-02,2020-03-02 00:00:00.000000000,2.555,2.702,2.552,2.678,209561.154,2020-03-02 23:59:59.999000064,553759.90474,853,131029.901,345773.379506,0
2020-03-03,2020-03-03 00:00:00.000000000,2.676,2.713,2.609,2.639,87329.8,2020-03-03 23:59:59.999000064,232602.0305,579,41276.312,110507.952504,0
2020-03-04,2020-03-04 00:00:00.000000000,2.642,2.693,2.612,2.633,78385.711,2020-03-04 23:59:59.999000064,208190.607932,546,42115.677,112164.252688,0
2020-03-05,2020-03-05 00:00:00.000000000,2.647,2.78,2.647,2.726,121773.746,2020-03-05 23:59:59.999000064,333294.805344,759,69423.343,190806.752908,0
2020-03-06,2020-03-06 00:00:00.000000000,2.727,2.81,2.711,2.804,71231.294,2020-03-06 23:59:59.999000064,197864.28281,385,51989.676,144549.80446,0
