Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-09-13,2021-09-13 00:00:00.000000000,0.02103,0.07805,0.02103,0.04721,5474434186.0,2021-09-13 23:59:59.999000064,333987929.17604,645534,2798624087.0,171281353.75867,0
2021-09-14,2021-09-14 00:00:00.000000000,0.04721,0.0537,0.04379,0.04389,1415235205.0,2021-09-14 23:59:59.999000064,69187279.78183,172435,675575850.0,33073776.01781,0
2021-09-15,2021-09-15 00:00:00.000000000,0.04388,0.057,0.04299,0.05141,1051195403.0,2021-09-15 23:59:59.999000064,49658851.52788,138212,509466885.0,24088531.94481,0
2021-09-16,2021-09-16 00:00:00.000000000,0.05141,0.14675,0.05114,0.10014,13547874022.0,2021-09-16 23:59:59.999000064,1443127667.25397,2187122,6877548026.0,731911388.1159699,0
2021-09-17,2021-09-17 00:00:00.000000000,0.10005,0.12455,0.08526,0.1167,5064792643.0,2021-09-17 23:59:59.999000064,524843532.12962,951967,2559567375.0,266122823.69493,0
2021-09-18,2021-09-18 00:00:00.000000000,0.11677,0.1385,0.10249,0.11561,5893019582.0,2021-09-18 23:59:59.999000064,709903580.4565,1306228,3023232171.0,364935774.60436,0
2021-09-19,2021-09-19 00:00:00.000000000,0.11561,0.13,0.1075,0.1101,2631236623.0,2021-09-19 23:59:59.999000064,312915059.17289,575735,1317716405.0,156940717.47903,0
2021-09-20,2021-09-20 00:00:00.000000000,0.11014,0.1119,0.085,0.0903,2662186433.0,2021-09-20 23:59:59.999000064,261496687.67405,473017,1308554306.0,128660930.48033,0
2021-09-21,2021-09-21 00:00:00.000000000,0.09031,0.115,0.0835,0.09919,3506474541.0,2021-09-21 23:59:59.999000064,355157558.73513,606056,1762809830.0,178921816.40932,0
2021-09-22,2021-09-22 00:00:00.000000000,0.09923,0.1114,0.0979,0.10786,2025817072.0,2021-09-22 23:59:59.999000064,211111412.59893,410905,1024469329.0,106837665.88535,0
2021-09-23,2021-09-23 00:00:00.000000000,0.10781,0.12226,0.10586,0.11261,1898836938.0,2021-09-23 23:59:59.999000064,214980033.3984,435621,966555362.0,109558468.06439,0
2021-09-24,2021-09-24 00:00:00.000000000,0.11267,0.11497,0.092,0.0971,1762603537.0,2021-09-24 23:59:59.999000064,176710731.85518,377429,848463548.0,85032554.21371,0
2021-09-25,2021-09-25 00:00:00.000000000,0.09714,0.10144,0.09036,0.09247,903503969.0,2021-09-25 23:59:59.999000064,86202307.83893,196769,441804128.0,42186781.01886,0
2021-09-26,2021-09-26 00:00:00.000000000,0.09247,0.09768,0.08112,0.08788,1215044186.0,2021-09-26 23:59:59.999000064,108156927.94673,233735,598297430.0,53218418.86447,0
2021-09-27,2021-09-27 00:00:00.000000000,0.08787,0.09565,0.084,0.08421,956418396.0,2021-09-27 23:59:59.999000064,86176030.27896,197160,471555338.0,42509929.01456,0
2021-09-28,2021-09-28 00:00:00.000000000,0.08426,0.08759,0.0759,0.07673,687421544.0,2021-09-28 23:59:59.999000064,56204988.57007,127737,333277542.0,27281853.14279,0
2021-09-29,2021-09-29 00:00:00.000000000,0.07673,0.09026,0.07632,0.08354,998338725.0,2021-09-29 23:59:59.999000064,83112837.44521,188342,503903697.0,41953682.53252,0
2021-09-30,2021-09-30 00:00:00.000000000,0.08349,0.10146,0.082,0.10046,1771809619.0,2021-09-30 23:59:59.999000064,162871671.34017,393058,901067460.0,82896324.64091,0
2021-10-01,2021-10-01 00:00:00.000000000,0.10042,0.10688,0.093,0.10047,1844320359.0,2021-10-01 23:59:59.999000064,184898228.82601,470917,903857418.0,90631651.56338,0
2021-10-02,2021-10-02 00:00:00.000000000,0.10051,0.1097,0.09975,0.1014,1310156336.0,2021-10-02 23:59:59.999000064,136516733.22282,333388,641663515.0,66877737.57728,0
2021-10-03,2021-10-03 00:00:00.000000000,0.10139,0.1236,0.096,0.11402,2436830814.0,2021-10-03 23:59:59.999000064,276430841.22274,609696,1208606069.0,136961167.97299,0
2021-10-04,2021-10-04 00:00:00.000000000,0.11401,0.1195,0.10661,0.11244,1526840400.0,2021-10-04 23:59:59.999000064,172238243.63073,390975,756308884.0,85349563.15573,0
2021-10-05,2021-10-05 00:00:00.000000000,0.11244,0.1138,0.10171,0.10477,819205867.0,2021-10-05 23:59:59.999000064,88062503.39205,239787,393893538.0,42371494.54442,0
2021-10-06,2021-10-06 00:00:00.000000000,0.10477,0.10699,0.09333,0.09906,916101008.0,2021-10-06 23:59:59.999000064,92114185.76842,250154,444197645.0,44678318.85846,0
2021-10-07,2021-10-07 00:00:00.000000000,0.09911,0.10264,0.094,0.09635,704170546.0,2021-10-07 23:59:59.999000064,69352285.28251,210255,349569367.0,34437227.61463,0
2021-10-08,2021-10-08 00:00:00.000000000,0.09634,0.105,0.09621,0.09948,730709619.0,2021-10-08 23:59:59.999000064,73020245.66739,232630,360741889.0,36061765.28283,0
2021-10-09,2021-10-09 00:00:00.000000000,0.09958,0.107,0.09732,0.09929,630432377.0,2021-10-09 23:59:59.999000064,64428339.21517,196955,313817795.0,32088336.08581,0
2021-10-10,2021-10-10 00:00:00.000000000,0.09929,0.09998,0.08998,0.09052,512405014.0,2021-10-10 23:59:59.999000064,48764288.82353,153316,236196245.0,22506583.88726,0
2021-10-11,2021-10-11 00:00:00.000000000,0.09047,0.09437,0.0854,0.08885,554738328.0,2021-10-11 23:59:59.999000064,50253220.41256,166267,266489923.0,24145877.29281,0
2021-10-12,2021-10-12 00:00:00.000000000,0.08886,0.08899,0.07952,0.0859,826307052.0,2021-10-12 23:59:59.999000064,69648561.70267,213850,408902149.0,34486569.85213,0
2021-10-13,2021-10-13 00:00:00.000000000,0.08594,0.09102,0.08157,0.08465,751202812.0,2021-10-13 23:59:59.999000064,64109354.29938,213771,375525412.0,32073084.78334,0
2021-10-14,2021-10-14 00:00:00.000000000,0.08466,0.09785,0.08466,0.09169,1226313863.0,2021-10-14 23:59:59.999000064,111690424.32833,374947,636464833.0,57952677.97684,0
2021-10-15,2021-10-15 00:00:00.000000000,0.09166,0.09173,0.08293,0.08887,955880380.0,2021-10-15 23:59:59.999000064,83772320.33191,309151,461626480.0,40494773.23902,0
2021-10-16,2021-10-16 00:00:00.000000000,0.08891,0.09263,0.085,0.08653,531931908.0,2021-10-16 23:59:59.999000064,47270242.12798,197933,260787589.0,23181064.06648,0
2021-10-17,2021-10-17 00:00:00.000000000,0.08655,0.08939,0.08105,0.08374,521031366.0,2021-10-17 23:59:59.999000064,44829507.08568,236226,244139745.0,21028665.36054,0
2021-10-18,2021-10-18 00:00:00.000000000,0.08376,0.08525,0.08145,0.08335,284351661.0,2021-10-18 23:59:59.999000064,23616068.07372,75868,140429446.0,11663440.60119,0
2021-10-19,2021-10-19 00:00:00.000000000,0.08339,0.08493,0.0825,0.08324,199645499.0,2021-10-19 23:59:59.999000064,16661841.40022,59860,101672115.0,8488111.7129,0
2021-10-20,2021-10-20 00:00:00.000000000,0.08326,0.08879,0.08244,0.08666,504993646.0,2021-10-20 23:59:59.999000064,43261027.08972,117352,259180743.0,22212447.70004,0
2021-10-21,2021-10-21 00:00:00.000000000,0.08666,0.08934,0.082,0.08346,432142608.0,2021-10-21 23:59:59.999000064,37053463.90073,110796,211005461.0,18112044.5565,0
2021-10-22,2021-10-22 00:00:00.000000000,0.08346,0.08583,0.0825,0.08379,268607690.0,2021-10-22 23:59:59.999000064,22531007.64705,65810,129837589.0,10893538.73315,0
2021-10-23,2021-10-23 00:00:00.000000000,0.0838,0.08558,0.08301,0.08416,194671629.0,2021-10-23 23:59:59.999000064,16410081.52846,48853,99174578.0,8362978.38376,0
2021-10-24,2021-10-24 00:00:00.000000000,0.08421,0.08625,0.0795,0.08161,306863410.0,2021-10-24 23:59:59.999000064,25543488.67466,79650,148794300.0,12407015.71273,0
2021-10-25,2021-10-25 00:00:00.000000000,0.08162,0.08598,0.08116,0.08451,258641591.0,2021-10-25 23:59:59.999000064,21608381.45081,73365,126823984.0,10601101.80655,0
2021-10-26,2021-10-26 00:00:00.000000000,0.08449,0.0916,0.08321,0.09032,572777565.0,2021-10-26 23:59:59.999000064,49822403.50766,150930,286907387.0,24987062.75909,0
2021-10-27,2021-10-27 00:00:00.000000000,0.0904,0.09735,0.06969,0.07501,1464341284.0,2021-10-27 23:59:59.999000064,121627740.86997,345856,711479907.0,59317731.1858,0
2021-10-28,2021-10-28 00:00:00.000000000,0.07491,0.083,0.07395,0.081,808380164.0,2021-10-28 23:59:59.999000064,63278925.84013,160627,407798031.0,31934439.6229,0
2021-10-29,2021-10-29 00:00:00.000000000,0.08102,0.09885,0.08043,0.09248,1508095221.0,2021-10-29 23:59:59.999000064,137944924.51315,375885,768171780.0,70234238.11411,0
2021-10-30,2021-10-30 00:00:00.000000000,0.09248,0.1149,0.09146,0.10484,2206781422.0,2021-10-30 23:59:59.999000064,226939754.72394,524269,1134201191.0,116694073.06201,0
