Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-01-11,2022-01-11 00:00:00.000000000,0.25,51.0,0.25,11.9991,8171664.3,2022-01-11 23:59:59.999000064,123390582.9415,307123,4102090.8,62200731.0136,0
2022-01-12,2022-01-12 00:00:00.000000000,11.9709,12.743,8.3233,8.9508,17891810.6,2022-01-12 23:59:59.999000064,165306676.33509,322245,8777920.1,81149404.71019,0
2022-01-13,2022-01-13 00:00:00.000000000,8.9507,14.59,8.53,11.574,25894045.4,2022-01-13 23:59:59.999000064,316976125.15083,640794,13614213.9,166797659.6554,0
2022-01-14,2022-01-14 00:00:00.000000000,11.5701,15.97,11.2433,13.3751,18697629.5,2022-01-14 23:59:59.999000064,260137254.88479,542479,9546427.4,132912987.64973,0
2022-01-15,2022-01-15 00:00:00.000000000,13.3673,14.279,12.3855,12.6221,6745525.5,2022-01-15 23:59:59.999000064,89121726.28536,169093,3155439.1,41734811.90513,0
2022-01-16,2022-01-16 00:00:00.000000000,12.6303,12.8278,10.3788,10.3916,5872644.3,2022-01-16 23:59:59.999000064,69036818.31509,147936,2505479.5,29508110.89499,0
2022-01-17,2022-01-17 00:00:00.000000000,10.3924,11.1402,9.595,10.0361,7107326.8,2022-01-17 23:59:59.999000064,72769905.39716,145040,3408707.1,34984443.60754,0
2022-01-18,2022-01-18 00:00:00.000000000,10.0361,10.3051,8.6238,9.2303,6431068.2,2022-01-18 23:59:59.999000064,59865868.0485,125495,3111707.2,28948271.55973,0
2022-01-19,2022-01-19 00:00:00.000000000,9.2303,11.13,8.3633,10.1362,10380403.2,2022-01-19 23:59:59.999000064,103396105.36865,242518,5014195.2,49949593.48195,0
2022-01-20,2022-01-20 00:00:00.000000000,10.1427,11.42,9.6871,9.7728,7401490.7,2022-01-20 23:59:59.999000064,78981453.84476,204940,3720554.1,39788919.73696,0
2022-01-21,2022-01-21 00:00:00.000000000,9.772,10.07,8.5,8.6571,4290909.9,2022-01-21 23:59:59.999000064,39428427.30397,110218,2004446.5,18438833.6043,0
2022-01-22,2022-01-22 00:00:00.000000000,8.6573,9.062,6.77,7.4271,4488139.7,2022-01-22 23:59:59.999000064,34107301.01092,96223,2157793.9,16326037.73188,0
2022-01-23,2022-01-23 00:00:00.000000000,7.4302,8.7079,7.37,8.0164,2547577.6,2022-01-23 23:59:59.999000064,20860570.14982,67524,1282027.9,10486489.40802,0
2022-01-24,2022-01-24 00:00:00.000000000,8.0164,8.02,6.5,7.4103,3756835.1,2022-01-24 23:59:59.999000064,26900234.94,99632,1786062.1,12742028.68637,0
2022-01-25,2022-01-25 00:00:00.000000000,7.4125,7.98,7.113,7.7827,2214747.6,2022-01-25 23:59:59.999000064,16645486.96534,77679,1047576.6,7883810.81513,0
2022-01-26,2022-01-26 00:00:00.000000000,7.783,7.8815,7.01,7.22,2063926.4,2022-01-26 23:59:59.999000064,15609590.67456,61984,993576.6,7525931.19022,0
2022-01-27,2022-01-27 00:00:00.000000000,7.219,7.3299,6.5,6.6067,1870771.0,2022-01-27 23:59:59.999000064,12740839.68944,39551,892136.4,6067419.97386,0
2022-01-28,2022-01-28 00:00:00.000000000,6.6067,6.6834,5.9903,6.4417,1921746.5,2022-01-28 23:59:59.999000064,12098325.0373,39761,941970.7,5938613.98668,0
2022-01-29,2022-01-29 00:00:00.000000000,6.4418,6.6,6.02,6.1899,1332886.1,2022-01-29 23:59:59.999000064,8419511.61103,28073,684729.5,4329438.88555,0
2022-01-30,2022-01-30 00:00:00.000000000,6.189,6.412,5.6587,5.6977,1232231.1,2022-01-30 23:59:59.999000064,7447228.38458,23263,575908.2,3483388.07021,0
2022-01-31,2022-01-31 00:00:00.000000000,5.692,5.75,5.0,5.3939,2818641.5,2022-01-31 23:59:59.999000064,15231444.23981,75725,1332041.2,7214405.3991,0
2022-02-01,2022-02-01 00:00:00.000000000,5.3896,5.7508,5.2071,5.3184,1728614.9,2022-02-01 23:59:59.999000064,9439515.75583,36422,817921.4,4472587.37909,0
