Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-03-09,2022-03-09 00:00:00.000000000,0.01,0.19,0.01,0.13262,1670855787.0,2022-03-09 23:59:59.999000064,247030696.650497,630366,818898399.7,121852939.262128,0
2022-03-10,2022-03-10 00:00:00.000000000,0.13308,0.145,0.11,0.11677,515995850.0,2022-03-10 23:59:59.999000064,67071074.218482,231089,239368624.2,31314589.573442,0
2022-03-11,2022-03-11 00:00:00.000000000,0.11677,0.166,0.10006,0.15958,695227146.4,2022-03-11 23:59:59.999000064,93135421.915102,302396,354540874.7,47724462.973044,0
2022-03-12,2022-03-12 00:00:00.000000000,0.16003,0.31232,0.15562,0.28472,2600625354.8,2022-03-12 23:59:59.999000064,636055993.468717,1748490,1331815459.9,326702614.590871,0
2022-03-13,2022-03-13 00:00:00.000000000,0.28499,0.441,0.25273,0.39885,2204558482.4,2022-03-13 23:59:59.999000064,773798727.636484,1973135,1128349275.9,397452030.998991,0
2022-03-14,2022-03-14 00:00:00.000000000,0.39878,0.45,0.34217,0.35948,992647151.2,2022-03-14 23:59:59.999000064,377549266.67783505,906098,480679186.0,183351716.928761,0
2022-03-15,2022-03-15 00:00:00.000000000,0.35944,0.4,0.27791,0.33128,896280386.1,2022-03-15 23:59:59.999000064,295438200.190414,730187,434510439.7,143956858.705384,0
2022-03-16,2022-03-16 00:00:00.000000000,0.33127,0.56888,0.31712,0.55492,1624422190.5,2022-03-16 23:59:59.999000064,774936786.841249,2026258,832639761.6,396844662.614149,0
2022-03-17,2022-03-17 00:00:00.000000000,0.55493,0.8448,0.5385,0.83862,1384378273.0,2022-03-17 23:59:59.999000064,947740310.139377,2308295,724403484.7,496848487.12088895,0
2022-03-18,2022-03-18 00:00:00.000000000,0.83862,0.844,0.655,0.69968,925291060.6,2022-03-18 23:59:59.999000064,673456647.8408431,1699083,443022688.5,322894210.199965,0
2022-03-19,2022-03-19 00:00:00.000000000,0.6995,0.77551,0.6505,0.67196,433808759.0,2022-03-19 23:59:59.999000064,309459723.65097,777069,211647623.6,151233204.525499,0
2022-03-20,2022-03-20 00:00:00.000000000,0.67267,0.708,0.575,0.57803,305909357.2,2022-03-20 23:59:59.999000064,192075920.983335,465748,147304335.7,92510064.575377,0
2022-03-21,2022-03-21 00:00:00.000000000,0.57805,0.832,0.57563,0.79799,958230500.4,2022-03-21 23:59:59.999000064,711440950.044082,1881237,477256626.2,354608471.436389,0
2022-03-22,2022-03-22 00:00:00.000000000,0.79795,0.89499,0.75527,0.80704,684010197.7,2022-03-22 23:59:59.999000064,553372931.105314,1102192,341395857.8,276635099.514125,0
2022-03-23,2022-03-23 00:00:00.000000000,0.80665,0.82237,0.73355,0.76876,284389368.3,2022-03-23 23:59:59.999000064,218042900.941284,463353,138268989.1,106078660.837173,0
2022-03-24,2022-03-24 00:00:00.000000000,0.76876,0.79,0.69361,0.70093,189373334.6,2022-03-24 23:59:59.999000064,142381874.849237,293629,89669728.9,67526806.916781,0
