Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-12-17,2020-12-17 00:00:00.000000000,0.03,0.147,0.03,0.12275,281389717.4,2020-12-17 23:59:59.999000064,33745842.206072,76785,151777003.1,18331329.26118,0
2020-12-18,2020-12-18 00:00:00.000000000,0.12253,0.28665,0.12253,0.26122,1898014833.3,2020-12-18 23:59:59.999000064,407979967.462795,640938,1018311044.3,216939056.99323,0
2020-12-19,2020-12-19 00:00:00.000000000,0.26097,0.5899,0.25522,0.47749,2419429958.8,2020-12-19 23:59:59.999000064,1003346431.943557,1131146,1222087792.1,505309077.186078,0
2020-12-20,2020-12-20 00:00:00.000000000,0.47735,0.783,0.45,0.73826,1865776315.5,2020-12-20 23:59:59.999000064,1190582023.757157,1416531,954441345.4,608311463.29007,0
2020-12-21,2020-12-21 00:00:00.000000000,0.73726,0.772,0.45,0.47195,907018961.8,2020-12-21 23:59:59.999000064,549785575.426961,781739,427702899.0,259099777.496406,0
2020-12-22,2020-12-22 00:00:00.000000000,0.47176,0.629,0.42445,0.54572,876719992.8,2020-12-22 23:59:59.999000064,458603977.408971,713177,443709325.2,232191117.183843,0
2020-12-23,2020-12-23 00:00:00.000000000,0.54572,0.58159,0.346,0.41158,559463556.2,2020-12-23 23:59:59.999000064,269405817.457927,532601,267957851.7,129360420.707944,0
2020-12-24,2020-12-24 00:00:00.000000000,0.41198,0.45665,0.35246,0.41046,393761571.9,2020-12-24 23:59:59.999000064,158643292.377392,370104,197349343.4,79616992.330797,0
2020-12-25,2020-12-25 00:00:00.000000000,0.41045,0.42136,0.33552,0.35847,251983717.3,2020-12-25 23:59:59.999000064,94711453.701196,248444,123750278.6,46544999.293912,0
2020-12-26,2020-12-26 00:00:00.000000000,0.35859,0.499,0.32,0.4848,540655436.7,2020-12-26 23:59:59.999000064,225231134.828637,459343,271992339.5,113442149.205271,0
2020-12-27,2020-12-27 00:00:00.000000000,0.4848,0.49531,0.37768,0.39677,362117948.2,2020-12-27 23:59:59.999000064,154275708.658042,349825,172402739.6,73591151.200458,0
2020-12-28,2020-12-28 00:00:00.000000000,0.39679,0.43888,0.37801,0.38084,243597202.2,2020-12-28 23:59:59.999000064,99875868.97231,216930,120424229.5,49489338.810316,0
2020-12-29,2020-12-29 00:00:00.000000000,0.38123,0.38741,0.3399,0.3736,158342381.0,2020-12-29 23:59:59.999000064,58249684.646239,126180,77307444.6,28479434.333676,0
2020-12-30,2020-12-30 00:00:00.000000000,0.3735,0.40349,0.35,0.37465,141656718.5,2020-12-30 23:59:59.999000064,53076912.388124,116378,70622445.4,26492364.904571,0
2020-12-31,2020-12-31 00:00:00.000000000,0.37494,0.38084,0.34152,0.35046,77737307.6,2020-12-31 23:59:59.999000064,27809939.046693,72905,37798031.8,13534674.95035,0
2021-01-01,2021-01-01 00:00:00.000000000,0.35046,0.37905,0.34505,0.36169,106546510.6,2021-01-01 23:59:59.999000064,38718474.830273,114312,52384966.2,19067012.387824,0
2021-01-02,2021-01-02 00:00:00.000000000,0.36195,0.36195,0.30265,0.32751,84820913.7,2021-01-02 23:59:59.999000064,28735006.215881,83478,39454923.4,13368616.051993,0
2021-01-03,2021-01-03 00:00:00.000000000,0.32691,0.33734,0.28111,0.29857,153423664.4,2021-01-03 23:59:59.999000064,47431512.844391,125889,73267802.8,22671304.03414,0
2021-01-04,2021-01-04 00:00:00.000000000,0.29884,0.35,0.29001,0.30888,141661225.9,2021-01-04 23:59:59.999000064,45106884.685256,117375,70197821.3,22427425.183987,0
2021-01-05,2021-01-05 00:00:00.000000000,0.30888,0.349,0.28511,0.33823,139064307.9,2021-01-05 23:59:59.999000064,44213236.380181,107740,69418135.1,22096255.659384,0
2021-01-06,2021-01-06 00:00:00.000000000,0.33783,0.39685,0.315,0.36991,218355039.2,2021-01-06 23:59:59.999000064,78871614.111374,183009,115109308.7,41555284.785211,0
2021-01-07,2021-01-07 00:00:00.000000000,0.36979,0.42,0.31686,0.34633,196776753.3,2021-01-07 23:59:59.999000064,73063115.001617,189858,97714705.4,36430453.41724,0
2021-01-08,2021-01-08 00:00:00.000000000,0.34625,0.35206,0.305,0.32903,142103169.3,2021-01-08 23:59:59.999000064,47469562.849846,132599,69715990.8,23328113.756484,0
2021-01-09,2021-01-09 00:00:00.000000000,0.32903,0.365,0.31651,0.34849,115581643.7,2021-01-09 23:59:59.999000064,39903335.488295,98836,57765151.5,19956711.298263,0
2021-01-10,2021-01-10 00:00:00.000000000,0.34849,0.3764,0.30816,0.32627,125875101.8,2021-01-10 23:59:59.999000064,43542335.065864,114364,62549703.9,21696980.912726,0
2021-01-11,2021-01-11 00:00:00.000000000,0.32634,0.32737,0.2331,0.29053,138074585.4,2021-01-11 23:59:59.999000064,38567719.156203,148238,66671794.5,18657718.843101,0
2021-01-12,2021-01-12 00:00:00.000000000,0.29069,0.30991,0.26422,0.27768,71587105.0,2021-01-12 23:59:59.999000064,20511609.58242,74056,35594563.6,10201946.753432,0
2021-01-13,2021-01-13 00:00:00.000000000,0.27726,0.351,0.26682,0.325,107455478.2,2021-01-13 23:59:59.999000064,33352383.237783,128289,54856170.7,17021904.287556,0
2021-01-14,2021-01-14 00:00:00.000000000,0.325,0.36267,0.316,0.33379,110363475.6,2021-01-14 23:59:59.999000064,37735356.463988,118236,57879037.1,19834540.013986,0
2021-01-15,2021-01-15 00:00:00.000000000,0.33355,0.3945,0.309,0.33761,178469452.4,2021-01-15 23:59:59.999000064,62724019.377396,183247,93862375.7,32987669.062074,0
2021-01-16,2021-01-16 00:00:00.000000000,0.33761,0.47643,0.33748,0.466,279114614.3,2021-01-16 23:59:59.999000064,115782025.75831,277516,143015454.2,59346535.137103,0
2021-01-17,2021-01-17 00:00:00.000000000,0.46559,0.57473,0.40711,0.51877,306706282.4,2021-01-17 23:59:59.999000064,150782210.484749,336229,157424160.6,77527354.541364,0
2021-01-18,2021-01-18 00:00:00.000000000,0.51969,0.6693,0.5107,0.61907,323369083.5,2021-01-18 23:59:59.999000064,194378256.744426,406445,163309003.9,98130059.47595,0
2021-01-19,2021-01-19 00:00:00.000000000,0.61907,0.64749,0.52334,0.53828,197832800.4,2021-01-19 23:59:59.999000064,111507536.665504,246409,94064873.7,53011504.418048,0
2021-01-20,2021-01-20 00:00:00.000000000,0.5381,0.57519,0.47657,0.52203,138096404.8,2021-01-20 23:59:59.999000064,72213963.758265,167878,68381265.4,35823002.563842,0
2021-01-21,2021-01-21 00:00:00.000000000,0.52203,0.56062,0.43496,0.43566,135346783.0,2021-01-21 23:59:59.999000064,67131377.245852,153716,66008620.2,32814214.861409,0
2021-01-22,2021-01-22 00:00:00.000000000,0.43567,0.55547,0.40018,0.5111,184350309.6,2021-01-22 23:59:59.999000064,89256274.519584,234253,91889051.1,44627866.406957,0
2021-01-23,2021-01-23 00:00:00.000000000,0.5111,0.593,0.49001,0.58446,158706315.2,2021-01-23 23:59:59.999000064,85945262.81932,186239,82074949.8,44494107.304085,0
2021-01-24,2021-01-24 00:00:00.000000000,0.58489,0.5935,0.51797,0.55604,125427784.9,2021-01-24 23:59:59.999000064,70252840.219147,156075,61534310.2,34492417.138218,0
2021-01-25,2021-01-25 00:00:00.000000000,0.55607,0.59561,0.525,0.52985,94312245.0,2021-01-25 23:59:59.999000064,53008725.640436,115177,45467120.2,25613306.58858,0
2021-01-26,2021-01-26 00:00:00.000000000,0.52997,0.55076,0.48,0.53701,82771056.1,2021-01-26 23:59:59.999000064,42687522.271545,110697,37986392.0,19609092.383955,0
2021-01-27,2021-01-27 00:00:00.000000000,0.5375,0.54614,0.45327,0.48465,84714099.4,2021-01-27 23:59:59.999000064,42235663.590281,111739,39871002.2,19908561.005319,0
2021-01-28,2021-01-28 00:00:00.000000000,0.4846,0.58379,0.4675,0.556,136166967.3,2021-01-28 23:59:59.999000064,73622668.449432,162563,72184784.4,39091671.372979,0
2021-01-29,2021-01-29 00:00:00.000000000,0.556,0.665,0.5252,0.55282,206830617.6,2021-01-29 23:59:59.999000064,120281694.684431,280771,101950584.8,59325411.557534,0
2021-01-30,2021-01-30 00:00:00.000000000,0.55291,0.684,0.55201,0.63734,170787478.6,2021-01-30 23:59:59.999000064,104536843.600902,226173,88253112.2,54112755.273324,0
2021-01-31,2021-01-31 00:00:00.000000000,0.637,0.865,0.60062,0.79448,281650359.1,2021-01-31 23:59:59.999000064,202945020.281674,401705,143109234.4,103424135.673533,0
2021-02-01,2021-02-01 00:00:00.000000000,0.7945,0.8839,0.74784,0.78311,179927084.0,2021-02-01 23:59:59.999000064,145401742.881475,281660,88050912.9,71249950.16977,0
2021-02-02,2021-02-02 00:00:00.000000000,0.78414,0.81993,0.72312,0.75205,109622872.4,2021-02-02 23:59:59.999000064,83782197.305725,177955,53291477.4,40794103.439357,0
2021-02-03,2021-02-03 00:00:00.000000000,0.75205,0.8684,0.725,0.825,112354483.8,2021-02-03 23:59:59.999000064,88649653.33027,185694,58507263.2,46244768.916502,0
2021-02-04,2021-02-04 00:00:00.000000000,0.82462,0.86025,0.75996,0.81617,118372482.2,2021-02-04 23:59:59.999000064,96457248.297537,205472,58848348.2,48014745.924683,0
