Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-09-24,2020-09-24 00:00:00.000000000,1.86,8.0,1.86,2.29,11230104.682,2020-09-24 23:59:59.999000064,33913166.301905,107692,5339496.464,16251480.73134,0
2020-09-25,2020-09-25 00:00:00.000000000,2.288,2.338,1.85,1.872,2100299.982,2020-09-25 23:59:59.999000064,4388775.243893,20927,947882.709,1982118.080227,0
2020-09-26,2020-09-26 00:00:00.000000000,1.872,1.936,1.738,1.772,1138049.106,2020-09-26 23:59:59.999000064,2095383.307443,10041,494215.204,910328.522709,0
2020-09-27,2020-09-27 00:00:00.000000000,1.772,1.797,1.511,1.527,559925.8,2020-09-27 23:59:59.999000064,926772.618361,6068,268846.083,445785.27901,0
2020-09-28,2020-09-28 00:00:00.000000000,1.525,1.985,1.525,1.653,3572524.673,2020-09-28 23:59:59.999000064,6362312.278273,55351,1865287.926,3336493.990411,0
2020-09-29,2020-09-29 00:00:00.000000000,1.653,1.724,1.5,1.637,757923.583,2020-09-29 23:59:59.999000064,1223932.908748,11622,357207.058,579548.592695,0
2020-09-30,2020-09-30 00:00:00.000000000,1.636,1.642,1.524,1.569,379001.36,2020-09-30 23:59:59.999000064,593642.042399,5219,174336.543,273506.596956,0
2020-10-01,2020-10-01 00:00:00.000000000,1.571,1.744,1.471,1.539,563906.029,2020-10-01 23:59:59.999000064,904354.105995,7778,279501.206,448647.618485,0
2020-10-02,2020-10-02 00:00:00.000000000,1.538,1.572,1.456,1.536,372277.324,2020-10-02 23:59:59.999000064,556186.137396,7959,191615.877,286591.156502,0
2020-10-03,2020-10-03 00:00:00.000000000,1.536,1.599,1.445,1.449,255323.029,2020-10-03 23:59:59.999000064,392405.572855,3297,104639.145,161514.555853,0
2020-10-04,2020-10-04 00:00:00.000000000,1.449,1.465,1.326,1.357,243461.838,2020-10-04 23:59:59.999000064,340207.767789,3211,102577.212,142784.071197,0
2020-10-05,2020-10-05 00:00:00.000000000,1.357,1.381,1.213,1.239,536297.554,2020-10-05 23:59:59.999000064,674328.291063,5386,283552.608,355980.556365,0
2020-10-06,2020-10-06 00:00:00.000000000,1.241,1.294,0.961,0.979,758889.56,2020-10-06 23:59:59.999000064,824501.475007,10296,315788.363,347496.486183,0
2020-10-07,2020-10-07 00:00:00.000000000,0.989,1.256,0.976,1.212,1050071.023,2020-10-07 23:59:59.999000064,1213860.436577,11324,658591.077,764167.002146,0
2020-10-08,2020-10-08 00:00:00.000000000,1.212,1.312,1.087,1.304,828714.226,2020-10-08 23:59:59.999000064,1007658.311343,10875,443565.473,539842.344738,0
2020-10-09,2020-10-09 00:00:00.000000000,1.304,1.44,1.253,1.287,364776.473,2020-10-09 23:59:59.999000064,477053.305705,5430,199145.853,260704.975511,0
2020-10-10,2020-10-10 00:00:00.000000000,1.279,1.538,1.279,1.472,610824.457,2020-10-10 23:59:59.999000064,866612.913126,8753,300088.105,427433.790856,0
2020-10-11,2020-10-11 00:00:00.000000000,1.473,1.475,1.34,1.372,353725.273,2020-10-11 23:59:59.999000064,493648.087205,5129,161783.664,225087.072406,0
2020-10-12,2020-10-12 00:00:00.000000000,1.372,1.43,1.302,1.359,267392.401,2020-10-12 23:59:59.999000064,368162.064918,3193,132194.846,182207.172231,0
2020-10-13,2020-10-13 00:00:00.000000000,1.365,1.373,1.28,1.339,191433.324,2020-10-13 23:59:59.999000064,255243.833329,2620,94141.42,125674.888141,0
2020-10-14,2020-10-14 00:00:00.000000000,1.339,1.362,1.271,1.341,130165.461,2020-10-14 23:59:59.999000064,171006.484896,2794,64661.234,85249.209729,0
2020-10-15,2020-10-15 00:00:00.000000000,1.341,1.374,1.309,1.329,169503.916,2020-10-15 23:59:59.999000064,226106.688095,2225,82861.631,110605.560446,0
2020-10-16,2020-10-16 00:00:00.000000000,1.327,1.327,1.151,1.166,247978.637,2020-10-16 23:59:59.999000064,305173.920623,2847,103009.443,126731.907616,0
2020-10-17,2020-10-17 00:00:00.000000000,1.174,1.218,1.148,1.182,180676.482,2020-10-17 23:59:59.999000064,213865.318561,1970,81592.859,96669.309777,0
2020-10-18,2020-10-18 00:00:00.000000000,1.178,1.27,1.178,1.25,214832.86,2020-10-18 23:59:59.999000064,260189.999777,2036,115677.664,140456.559429,0
2020-10-19,2020-10-19 00:00:00.000000000,1.248,1.25,1.158,1.158,147554.703,2020-10-19 23:59:59.999000064,176409.044572,1732,73428.181,88043.767821,0
2020-10-20,2020-10-20 00:00:00.000000000,1.161,1.165,1.065,1.081,158201.933,2020-10-20 23:59:59.999000064,174587.058026,1701,81929.204,90674.167945,0
2020-10-21,2020-10-21 00:00:00.000000000,1.085,1.15,1.085,1.105,130456.057,2020-10-21 23:59:59.999000064,145824.021481,1418,53143.644,59539.942949,0
2020-10-22,2020-10-22 00:00:00.000000000,1.106,1.165,1.086,1.13,166740.006,2020-10-22 23:59:59.999000064,188187.047155,1726,63811.846,72301.485793,0
