Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2018-06-13,2018-06-13 00:00:00.000000000,1.9525,2.07,1.75,1.9792,3750404.56,2018-06-13 23:59:59.999000064,7254399.389591,10801,2029712.17,3936098.360499,0
2018-06-14,2018-06-14 00:00:00.000000000,1.9792,2.3986,1.961,2.2988,7507260.48,2018-06-14 23:59:59.999000064,16236189.38726,23721,4001529.84,8623617.325354,0
2018-06-15,2018-06-15 00:00:00.000000000,2.2931,2.2988,1.977,1.9864,4607768.07,2018-06-15 23:59:59.999000064,9885295.530798,14077,2457458.48,5286451.110889,0
2018-06-16,2018-06-16 00:00:00.000000000,1.9863,2.0529,1.8555,2.0196,5344030.54,2018-06-16 23:59:59.999000064,10647176.747897,16194,3024753.42,6038853.897572,0
2018-06-17,2018-06-17 00:00:00.000000000,2.0242,2.1021,1.9608,1.9835,4094900.12,2018-06-17 23:59:59.999000064,8340503.642633,10932,2442442.55,4974119.153334,0
2018-06-18,2018-06-18 00:00:00.000000000,1.984,2.1666,1.9324,2.1152,4967967.77,2018-06-18 23:59:59.999000064,10071425.45369,13603,2983686.32,6036211.432505,0
2018-06-19,2018-06-19 00:00:00.000000000,2.117,2.2091,2.0475,2.0983,4321653.78,2018-06-19 23:59:59.999000064,9066341.250515,11709,2514310.44,5274215.598896,0
2018-06-20,2018-06-20 00:00:00.000000000,2.105,2.1399,2.0087,2.0791,3698227.57,2018-06-20 23:59:59.999000064,7662534.357069,9442,2069210.59,4290351.553772,0
2018-06-21,2018-06-21 00:00:00.000000000,2.079,2.11,1.9703,1.994,3463444.5,2018-06-21 23:59:59.999000064,7037788.53043,8551,1847292.94,3758136.405453,0
2018-06-22,2018-06-22 00:00:00.000000000,1.9929,1.9961,1.66,1.7801,5563593.38,2018-06-22 23:59:59.999000064,10257644.189885,13943,2893657.74,5359519.418909,0
2018-06-23,2018-06-23 00:00:00.000000000,1.7848,1.82,1.6915,1.7433,2887520.67,2018-06-23 23:59:59.999000064,5051211.590428,7090,1728260.95,3022015.965423,0
2018-06-24,2018-06-24 00:00:00.000000000,1.7492,1.7551,1.44,1.5723,6285512.41,2018-06-24 23:59:59.999000064,10077201.781593,14779,3399957.96,5451406.736702,0
2018-06-25,2018-06-25 00:00:00.000000000,1.5724,1.6926,1.5406,1.6275,5039291.0,2018-06-25 23:59:59.999000064,8139206.186627,11582,3028127.91,4890216.192121,0
2018-06-26,2018-06-26 00:00:00.000000000,1.6275,1.6455,1.4568,1.4725,2931802.35,2018-06-26 23:59:59.999000064,4581677.962182,6492,1624871.82,2541472.786736,0
2018-06-27,2018-06-27 00:00:00.000000000,1.4685,1.5412,1.4256,1.5151,3595586.69,2018-06-27 23:59:59.999000064,5349841.714313,7417,2175732.73,3242030.006338,0
2018-06-28,2018-06-28 00:00:00.000000000,1.5162,1.61,1.3978,1.41,4518031.45,2018-06-28 23:59:59.999000064,6823252.194232,9491,2420782.66,3663589.614429,0
2018-06-29,2018-06-29 00:00:00.000000000,1.4088,1.56,1.36,1.5101,4444936.48,2018-06-29 23:59:59.999000064,6331427.097344,9436,2530227.85,3608916.252568,0
2018-06-30,2018-06-30 00:00:00.000000000,1.5184,1.6601,1.5123,1.56,4287766.93,2018-06-30 23:59:59.999000064,6679134.330292,8638,2520527.9,3927978.435268,0
2018-07-01,2018-07-01 00:00:00.000000000,1.5608,1.72,1.53,1.648,4734147.54,2018-07-01 23:59:59.999000064,7664170.235692,10730,2608150.24,4221550.327916,0
2018-07-02,2018-07-02 00:00:00.000000000,1.6506,1.82,1.5701,1.7656,5555124.34,2018-07-02 23:59:59.999000064,9512692.984873,11983,3119776.44,5330112.666547,0
2018-07-03,2018-07-03 00:00:00.000000000,1.7657,1.82,1.6369,1.6586,5574468.51,2018-07-03 23:59:59.999000064,9712531.427106,11888,3080689.48,5374783.717553,0
2018-07-04,2018-07-04 00:00:00.000000000,1.6516,1.8324,1.6189,1.7228,3756756.44,2018-07-04 23:59:59.999000064,6597471.550878,8828,2153073.0,3788619.585184,0
2018-07-05,2018-07-05 00:00:00.000000000,1.7236,1.7889,1.6214,1.6732,4087464.75,2018-07-05 23:59:59.999000064,6997095.425499,10907,2251873.16,3856191.363865,0
2018-07-06,2018-07-06 00:00:00.000000000,1.6785,1.714,1.5501,1.6822,3991613.07,2018-07-06 23:59:59.999000064,6549882.566626,9257,2185284.11,3590155.00517,0
2018-07-07,2018-07-07 00:00:00.000000000,1.6826,1.729,1.6,1.7139,3281939.14,2018-07-07 23:59:59.999000064,5402018.715393,7900,1875567.86,3084306.835699,0
2018-07-08,2018-07-08 00:00:00.000000000,1.7185,1.8,1.6751,1.726,4055143.77,2018-07-08 23:59:59.999000064,6979917.84549,8903,2506042.22,4312297.233341,0
2018-07-09,2018-07-09 00:00:00.000000000,1.726,1.7505,1.6224,1.631,3963713.46,2018-07-09 23:59:59.999000064,6651893.835962,10094,2200086.96,3693354.053452,0
2018-07-10,2018-07-10 00:00:00.000000000,1.63,1.6343,1.4022,1.415,5635317.46,2018-07-10 23:59:59.999000064,8499138.792641,15122,3180635.88,4806653.499346,0
2018-07-11,2018-07-11 00:00:00.000000000,1.41,1.4762,1.3747,1.4341,4246923.21,2018-07-11 23:59:59.999000064,6081049.476576,11438,2493311.35,3575527.470682,0
2018-07-12,2018-07-12 00:00:00.000000000,1.4371,1.4372,1.2524,1.3294,5074873.55,2018-07-12 23:59:59.999000064,6851607.128178,13721,2863491.78,3863910.119897,0
2018-07-13,2018-07-13 00:00:00.000000000,1.3295,1.3893,1.2801,1.3234,5838137.78,2018-07-13 23:59:59.999000064,7864854.511601,12000,3195708.22,4310791.046065,0
2018-07-14,2018-07-14 00:00:00.000000000,1.3192,1.3361,1.2706,1.3279,4505239.94,2018-07-14 23:59:59.999000064,5882161.278154,9446,2374275.05,3099234.424071,0
2018-07-15,2018-07-15 00:00:00.000000000,1.3292,1.4101,1.3154,1.3644,5070930.46,2018-07-15 23:59:59.999000064,6914184.603966,8981,2436371.16,3325290.782479,0
2018-07-16,2018-07-16 00:00:00.000000000,1.3644,1.5089,1.357,1.4977,5537143.29,2018-07-16 23:59:59.999000064,7989575.754095,11854,2933212.55,4236763.624492,0
2018-07-17,2018-07-17 00:00:00.000000000,1.4977,1.689,1.4335,1.6287,7276244.04,2018-07-17 23:59:59.999000064,11118441.437702,16579,4103828.51,6271401.115744,0
2018-07-18,2018-07-18 00:00:00.000000000,1.6284,1.7699,1.5002,1.5525,7757589.92,2018-07-18 23:59:59.999000064,12702602.70483,20238,4168330.93,6824167.617958,0
2018-07-19,2018-07-19 00:00:00.000000000,1.5538,1.5966,1.4599,1.4901,5813674.56,2018-07-19 23:59:59.999000064,8873788.077854,14491,3242979.99,4948742.721503,0
2018-07-20,2018-07-20 00:00:00.000000000,1.4901,1.4928,1.296,1.3188,6607040.57,2018-07-20 23:59:59.999000064,9138672.222276,16814,3426373.68,4743806.144806,0
2018-07-21,2018-07-21 00:00:00.000000000,1.3192,1.43,1.275,1.3783,5993938.73,2018-07-21 23:59:59.999000064,8202281.569839,12343,3312600.17,4540794.141944,0
2018-07-22,2018-07-22 00:00:00.000000000,1.3783,1.446,1.338,1.3605,6048636.33,2018-07-22 23:59:59.999000064,8365829.839738,10560,3703990.77,5119239.531633,0
2018-07-23,2018-07-23 00:00:00.000000000,1.3596,1.43,1.2825,1.3007,4710334.23,2018-07-23 23:59:59.999000064,6320552.926163,11448,2495124.23,3350977.158796,0
2018-07-24,2018-07-24 00:00:00.000000000,1.3008,1.361,1.233,1.3136,7217431.34,2018-07-24 23:59:59.999000064,9405380.066592,18344,3838584.93,5011739.818951,0
2018-07-25,2018-07-25 00:00:00.000000000,1.3136,1.4172,1.2828,1.363,7738042.53,2018-07-25 23:59:59.999000064,10342325.435561,16450,4244877.7,5678258.923968,0
2018-07-26,2018-07-26 00:00:00.000000000,1.363,1.39,1.265,1.2838,7083326.01,2018-07-26 23:59:59.999000064,9498070.922263,12539,3938677.33,5298580.075577,0
2018-07-27,2018-07-27 00:00:00.000000000,1.2842,1.318,1.25,1.305,6559482.91,2018-07-27 23:59:59.999000064,8428581.59248,11824,3978018.33,5112027.749602,0
2018-07-28,2018-07-28 00:00:00.000000000,1.3088,1.33,1.28,1.297,5763958.19,2018-07-28 23:59:59.999000064,7494291.444296,8564,3270079.62,4255151.854848,0
2018-07-29,2018-07-29 00:00:00.000000000,1.3,1.32,1.2605,1.2859,5489210.15,2018-07-29 23:59:59.999000064,7080802.327649,8442,3174430.25,4098489.182511,0
2018-07-30,2018-07-30 00:00:00.000000000,1.2858,1.2957,1.15,1.2027,6458907.79,2018-07-30 23:59:59.999000064,7988998.181821,11509,3354626.79,4152800.568357,0
2018-07-31,2018-07-31 00:00:00.000000000,1.204,1.205,1.0718,1.1033,7102410.58,2018-07-31 23:59:59.999000064,7977086.729061,12726,4140205.25,4648507.933248,0
2018-08-01,2018-08-01 00:00:00.000000000,1.1034,1.1058,1.0001,1.0605,7236644.6,2018-08-01 23:59:59.999000064,7574583.205298,11461,3762360.15,3944289.78468,0
2018-08-02,2018-08-02 00:00:00.000000000,1.0605,1.07,0.89,0.9364,7719325.73,2018-08-02 23:59:59.999000064,7612849.824605,17269,4276248.83,4243233.798219,0
2018-08-03,2018-08-03 00:00:00.000000000,0.935,0.9603,0.8453,0.9172,8154599.88,2018-08-03 23:59:59.999000064,7376601.281266,18379,4432928.87,4020561.125578,0
2018-08-04,2018-08-04 00:00:00.000000000,0.9173,0.952,0.825,0.8506,6769399.22,2018-08-04 23:59:59.999000064,5977987.944565,16731,3557039.59,3145388.653273,0
2018-08-05,2018-08-05 00:00:00.000000000,0.855,0.9,0.8362,0.8903,6664111.94,2018-08-05 23:59:59.999000064,5821950.422245,10660,3886238.72,3398139.399849,0
2018-08-06,2018-08-06 00:00:00.000000000,0.8903,0.9315,0.8398,0.8593,6829173.07,2018-08-06 23:59:59.999000064,6021058.639641,14360,3816768.87,3369997.525738,0
2018-08-07,2018-08-07 00:00:00.000000000,0.8577,0.9999,0.81,0.8453,13574053.58,2018-08-07 23:59:59.999000064,12176141.421978,27213,7024455.44,6323170.418687,0
2018-08-08,2018-08-08 00:00:00.000000000,0.8453,0.8459,0.701,0.7428,10129555.4,2018-08-08 23:59:59.999000064,7793064.314345,18341,5020751.69,3859961.810058,0
2018-08-09,2018-08-09 00:00:00.000000000,0.7418,0.82,0.7114,0.7806,8949015.72,2018-08-09 23:59:59.999000064,6904421.914295,20888,5098629.07,3935048.679613,0
2018-08-10,2018-08-10 00:00:00.000000000,0.7823,0.813,0.693,0.7139,7426861.91,2018-08-10 23:59:59.999000064,5562754.146683,19284,3995482.11,3004109.499202,0
2018-08-11,2018-08-11 00:00:00.000000000,0.7138,0.7171,0.6227,0.6495,8841155.06,2018-08-11 23:59:59.999000064,5905843.84027,16670,5048700.05,3371710.910045,0
2018-08-12,2018-08-12 00:00:00.000000000,0.6478,0.6998,0.6383,0.6848,6303080.77,2018-08-12 23:59:59.999000064,4231545.340629,9046,3777470.96,2537837.460534,0
