Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-03-11,2022-03-11 00:00:00.000000000,6.211,9.675,6.211,6.523,6043741.84,2022-03-11 23:59:59.999000064,45918759.93769,151517,2776326.95,21216058.90043,0
2022-03-12,2022-03-12 00:00:00.000000000,6.53,7.268,6.5,6.674,3225707.77,2022-03-12 23:59:59.999000064,22227299.55684,91713,1547923.38,10673047.89125,0
2022-03-13,2022-03-13 00:00:00.000000000,6.666,6.83,6.191,6.222,1285223.07,2022-03-13 23:59:59.999000064,8385315.96659,38759,598498.87,3909718.0958,0
2022-03-14,2022-03-14 00:00:00.000000000,6.22,6.851,6.18,6.361,1694265.62,2022-03-14 23:59:59.999000064,10826509.98213,40262,867998.03,5552881.62971,0
2022-03-15,2022-03-15 00:00:00.000000000,6.361,6.45,5.88,6.007,1189370.49,2022-03-15 23:59:59.999000064,7241289.54978,28988,578950.26,3520665.41709,0
2022-03-16,2022-03-16 00:00:00.000000000,6.007,6.38,5.989,6.323,1508755.88,2022-03-16 23:59:59.999000064,9306503.2569,34370,670979.03,4144594.3873,0
2022-03-17,2022-03-17 00:00:00.000000000,6.329,6.424,6.12,6.17,1232109.22,2022-03-17 23:59:59.999000064,7676568.80623,27573,506282.61,3151311.32705,0
2022-03-18,2022-03-18 00:00:00.000000000,6.17,6.4,5.99,6.297,1162741.01,2022-03-18 23:59:59.999000064,7198705.2573,34666,592665.24,3682831.73877,0
2022-03-19,2022-03-19 00:00:00.000000000,6.299,6.401,6.194,6.291,1350450.07,2022-03-19 23:59:59.999000064,8507407.76322,30886,715697.94,4515063.84305,0
2022-03-20,2022-03-20 00:00:00.000000000,6.282,6.318,5.93,6.097,823976.75,2022-03-20 23:59:59.999000064,5062322.89717,21666,363705.51,2235933.84293,0
2022-03-21,2022-03-21 00:00:00.000000000,6.097,6.262,5.994,6.091,1087357.1,2022-03-21 23:59:59.999000064,6629707.12154,28580,538485.48,3284482.77795,0
2022-03-22,2022-03-22 00:00:00.000000000,6.081,6.3,6.04,6.122,1366769.38,2022-03-22 23:59:59.999000064,8449004.38197,36197,645910.51,3993778.29637,0
2022-03-23,2022-03-23 00:00:00.000000000,6.123,6.6,6.071,6.375,1738757.34,2022-03-23 23:59:59.999000064,10902209.69673,47029,860366.28,5404545.68572,0
2022-03-24,2022-03-24 00:00:00.000000000,6.375,7.12,6.203,6.556,2865909.35,2022-03-24 23:59:59.999000064,18770522.13592,78522,1443293.33,9455880.48374,0
2022-03-25,2022-03-25 00:00:00.000000000,6.557,7.3,6.416,6.812,4198593.01,2022-03-25 23:59:59.999000064,28678799.31301,115726,2068351.63,14148937.39169,0
2022-03-26,2022-03-26 00:00:00.000000000,6.813,6.87,6.659,6.749,1159784.35,2022-03-26 23:59:59.999000064,7828999.5672,34569,553662.88,3740990.33695,0
2022-03-27,2022-03-27 00:00:00.000000000,6.754,7.1,6.563,7.022,1612289.61,2022-03-27 23:59:59.999000064,11017029.8158,44539,841951.14,5768284.90676,0
2022-03-28,2022-03-28 00:00:00.000000000,7.022,7.2,6.7,6.707,2217006.53,2022-03-28 23:59:59.999000064,15589721.15262,59805,1128880.78,7948853.9721,0
2022-03-29,2022-03-29 00:00:00.000000000,6.709,7.1,6.612,6.795,1729306.95,2022-03-29 23:59:59.999000064,11873094.82004,49228,864773.83,5941960.0074,0
2022-03-30,2022-03-30 00:00:00.000000000,6.795,7.02,6.55,6.776,2101685.26,2022-03-30 23:59:59.999000064,14164495.00768,61178,915806.17,6177302.94857,0
2022-03-31,2022-03-31 00:00:00.000000000,6.776,7.0,6.329,6.361,1959680.94,2022-03-31 23:59:59.999000064,13089512.85526,60137,900959.93,6026507.29096,0
2022-04-01,2022-04-01 00:00:00.000000000,6.36,7.25,6.2,6.867,2179925.61,2022-04-01 23:59:59.999000064,14379456.41077,71127,1057723.24,7004484.41366,0
2022-04-02,2022-04-02 00:00:00.000000000,6.869,7.97,6.746,7.23,6671920.01,2022-04-02 23:59:59.999000064,49648722.16487,189422,3239548.44,24162303.43468,0
2022-04-03,2022-04-03 00:00:00.000000000,7.235,7.75,6.95,7.618,3085595.57,2022-04-03 23:59:59.999000064,22862939.35006,90947,1477213.76,10960360.68423,0
2022-04-04,2022-04-04 00:00:00.000000000,7.618,7.75,6.973,7.312,2631974.47,2022-04-04 23:59:59.999000064,19386368.71598,79394,1208404.3,8919312.93724,0
2022-04-05,2022-04-05 00:00:00.000000000,7.322,7.8,7.0,7.096,2171295.13,2022-04-05 23:59:59.999000064,16181158.39132,63309,980230.02,7325919.55637,0
2022-04-06,2022-04-06 00:00:00.000000000,7.095,7.35,6.501,6.506,2323399.79,2022-04-06 23:59:59.999000064,15959526.62789,75217,1099981.38,7572568.56248,0
