Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-06-12,2020-06-12 00:00:00.000000000,1.154,1.345,1.122,1.279,1784200.443,2020-06-12 23:59:59.999000064,2248348.990341,7342,852535.463,1075681.744338,0
2020-06-13,2020-06-13 00:00:00.000000000,1.282,1.296,1.171,1.203,1439776.969,2020-06-13 23:59:59.999000064,1768369.509184,5902,757962.586,931179.225425,0
2020-06-14,2020-06-14 00:00:00.000000000,1.204,1.249,1.121,1.171,1539296.314,2020-06-14 23:59:59.999000064,1830286.37634,7034,698799.45,832236.856287,0
2020-06-15,2020-06-15 00:00:00.000000000,1.171,1.218,1.051,1.165,1840790.506,2020-06-15 23:59:59.999000064,2108568.773627,6219,795939.113,913674.62073,0
2020-06-16,2020-06-16 00:00:00.000000000,1.165,1.267,1.141,1.256,1534566.671,2020-06-16 23:59:59.999000064,1856094.951794,4436,694031.507,841358.784776,0
2020-06-17,2020-06-17 00:00:00.000000000,1.255,1.256,1.162,1.195,823200.942,2020-06-17 23:59:59.999000064,987327.80882,2533,346204.764,416169.454452,0
2020-06-18,2020-06-18 00:00:00.000000000,1.193,1.197,1.14,1.151,689936.998,2020-06-18 23:59:59.999000064,804749.13522,2409,273557.048,319533.34251,0
2020-06-19,2020-06-19 00:00:00.000000000,1.151,1.224,1.142,1.195,950928.213,2020-06-19 23:59:59.999000064,1127488.399625,3672,491057.205,582822.993956,0
2020-06-20,2020-06-20 00:00:00.000000000,1.193,1.303,1.19,1.289,2114791.711,2020-06-20 23:59:59.999000064,2655682.179528,8801,1038453.411,1303524.912693,0
2020-06-21,2020-06-21 00:00:00.000000000,1.294,1.303,1.219,1.228,781877.452,2020-06-21 23:59:59.999000064,984782.567862,2999,310313.831,391535.772909,0
2020-06-22,2020-06-22 00:00:00.000000000,1.228,1.277,1.21,1.246,1255313.797,2020-06-22 23:59:59.999000064,1551043.368419,6173,624409.893,772239.650443,0
2020-06-23,2020-06-23 00:00:00.000000000,1.243,1.252,1.168,1.205,872854.53,2020-06-23 23:59:59.999000064,1055570.659231,4363,370573.593,448292.843526,0
2020-06-24,2020-06-24 00:00:00.000000000,1.202,1.225,1.152,1.176,932215.039,2020-06-24 23:59:59.999000064,1108568.262711,4099,471322.613,561434.113286,0
2020-06-25,2020-06-25 00:00:00.000000000,1.176,1.18,1.1,1.154,600907.28,2020-06-25 23:59:59.999000064,688507.62542,2712,278098.529,319118.713337,0
2020-06-26,2020-06-26 00:00:00.000000000,1.154,1.203,1.14,1.16,1008213.656,2020-06-26 23:59:59.999000064,1180723.812611,5187,475510.27,557226.290633,0
2020-06-27,2020-06-27 00:00:00.000000000,1.16,1.177,1.001,1.065,1101544.1,2020-06-27 23:59:59.999000064,1210393.170604,5182,499788.319,552118.588064,0
2020-06-28,2020-06-28 00:00:00.000000000,1.065,1.132,1.044,1.097,875041.456,2020-06-28 23:59:59.999000064,962330.766425,3836,381231.129,420578.955596,0
2020-06-29,2020-06-29 00:00:00.000000000,1.1,1.201,1.077,1.173,1878305.75,2020-06-29 23:59:59.999000064,2170902.328747,9503,1010814.898,1169615.057327,0
2020-06-30,2020-06-30 00:00:00.000000000,1.173,1.239,1.16,1.21,1695962.085,2020-06-30 23:59:59.999000064,2048323.822411,7124,801935.109,968349.655203,0
2020-07-01,2020-07-01 00:00:00.000000000,1.207,1.353,1.192,1.339,2539257.336,2020-07-01 23:59:59.999000064,3271224.493207,13740,1360927.583,1752511.117642,0
2020-07-02,2020-07-02 00:00:00.000000000,1.336,1.557,1.334,1.532,8409678.51,2020-07-02 23:59:59.999000064,12366980.699431,39698,3894192.362,5723422.760094,0
2020-07-03,2020-07-03 00:00:00.000000000,1.532,1.985,1.517,1.858,14156553.435,2020-07-03 23:59:59.999000064,25146063.892465,65320,7117210.222,12632071.105868,0
2020-07-04,2020-07-04 00:00:00.000000000,1.856,1.865,1.59,1.655,9856830.0,2020-07-04 23:59:59.999000064,16649556.66692,48721,4691172.552,7928679.891729,0
2020-07-05,2020-07-05 00:00:00.000000000,1.656,1.764,1.552,1.607,5498531.359,2020-07-05 23:59:59.999000064,9086099.379544,27473,2632082.176,4354268.979497,0
2020-07-06,2020-07-06 00:00:00.000000000,1.607,1.789,1.571,1.671,6138744.404,2020-07-06 23:59:59.999000064,10345851.619471,33484,2956089.83,4990806.136777,0
2020-07-07,2020-07-07 00:00:00.000000000,1.671,1.715,1.56,1.584,5095254.267,2020-07-07 23:59:59.999000064,8384742.796202,25540,2247698.174,3700498.053586,0
2020-07-08,2020-07-08 00:00:00.000000000,1.587,1.676,1.561,1.586,5648970.656,2020-07-08 23:59:59.999000064,9077380.025498,31271,2593945.119,4173068.47171,0
2020-07-09,2020-07-09 00:00:00.000000000,1.586,1.738,1.567,1.671,6304510.564,2020-07-09 23:59:59.999000064,10442884.105758,36828,3056270.435,5073738.798582,0
2020-07-10,2020-07-10 00:00:00.000000000,1.671,1.674,1.575,1.618,2811564.85,2020-07-10 23:59:59.999000064,4526711.216972,15499,1264548.231,2036212.72081,0
2020-07-11,2020-07-11 00:00:00.000000000,1.616,1.671,1.58,1.643,3304348.624,2020-07-11 23:59:59.999000064,5371942.859729,17372,1666575.289,2708449.679017,0
2020-07-12,2020-07-12 00:00:00.000000000,1.643,1.67,1.583,1.613,2489102.73,2020-07-12 23:59:59.999000064,4042628.525499,13820,1136219.629,1845243.170857,0
2020-07-13,2020-07-13 00:00:00.000000000,1.611,1.68,1.442,1.524,4866496.361,2020-07-13 23:59:59.999000064,7700478.843424,24206,2189877.403,3479456.27487,0
2020-07-14,2020-07-14 00:00:00.000000000,1.526,1.6,1.464,1.6,5303606.118,2020-07-14 23:59:59.999000064,8117686.286669,24947,2525281.601,3869446.026611,0
2020-07-15,2020-07-15 00:00:00.000000000,1.595,1.677,1.566,1.585,4891781.302,2020-07-15 23:59:59.999000064,7965136.387182,23908,2483796.091,4048529.797208,0
2020-07-16,2020-07-16 00:00:00.000000000,1.584,1.631,1.496,1.573,5356320.887,2020-07-16 23:59:59.999000064,8395925.764925,40053,2588122.276,4061670.308754,0
2020-07-17,2020-07-17 00:00:00.000000000,1.572,1.641,1.549,1.637,2996636.919,2020-07-17 23:59:59.999000064,4771344.747025,19047,1614832.323,2573880.827411,0
2020-07-18,2020-07-18 00:00:00.000000000,1.636,1.92,1.635,1.826,10925688.779,2020-07-18 23:59:59.999000064,19638059.81605,75259,5951557.602,10688439.083408,0
2020-07-19,2020-07-19 00:00:00.000000000,1.827,1.836,1.678,1.691,4329923.963,2020-07-19 23:59:59.999000064,7525435.704515,32334,1866944.623,3246627.655595,0
