Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-05-09,2022-05-09 00:00:00.000000000,2.81,3.89,1.802,2.0,14518671.25,2022-05-09 23:59:59.999000064,34899581.2735,87557,6613885.93,16096956.31029,0
2022-05-10,2022-05-10 00:00:00.000000000,2.0,2.37,1.69,2.009,10067540.92,2022-05-10 23:59:59.999000064,19900517.5032,29391,2818223.1,5778024.34122,0
2022-05-11,2022-05-11 00:00:00.000000000,2.011,2.031,1.386,1.523,4870441.58,2022-05-11 23:59:59.999000064,8239385.00008,20183,1990150.4,3411067.75714,0
2022-05-12,2022-05-12 00:00:00.000000000,1.523,1.69,1.194,1.404,2417717.54,2022-05-12 23:59:59.999000064,3425737.52134,12400,1055115.92,1507251.68315,0
2022-05-13,2022-05-13 00:00:00.000000000,1.404,1.808,1.368,1.497,2159664.64,2022-05-13 23:59:59.999000064,3498923.59781,11455,1039450.12,1683842.77538,0
2022-05-14,2022-05-14 00:00:00.000000000,1.499,1.557,1.33,1.488,1193189.14,2022-05-14 23:59:59.999000064,1703665.0107,6802,526537.62,748149.04512,0
2022-05-15,2022-05-15 00:00:00.000000000,1.489,1.537,1.33,1.468,954349.35,2022-05-15 23:59:59.999000064,1356765.06819,5402,454317.45,644907.71359,0
2022-05-16,2022-05-16 00:00:00.000000000,1.47,1.514,1.34,1.432,777194.07,2022-05-16 23:59:59.999000064,1094649.12267,5191,353180.42,499822.40213,0
2022-05-17,2022-05-17 00:00:00.000000000,1.431,1.565,1.381,1.533,1094170.04,2022-05-17 23:59:59.999000064,1624807.45687,6496,563908.62,838907.69724,0
2022-05-18,2022-05-18 00:00:00.000000000,1.529,1.639,1.36,1.36,935586.17,2022-05-18 23:59:59.999000064,1384391.13037,7690,404570.04,597966.72747,0
2022-05-19,2022-05-19 00:00:00.000000000,1.363,1.45,1.349,1.419,1384361.62,2022-05-19 23:59:59.999000064,1900377.60874,4582,322319.5,448813.20137,0
2022-05-20,2022-05-20 00:00:00.000000000,1.42,1.478,1.301,1.313,653338.11,2022-05-20 23:59:59.999000064,914048.68653,14941,166670.59,234350.46697,0
2022-05-21,2022-05-21 00:00:00.000000000,1.313,1.35,1.266,1.336,664022.76,2022-05-21 23:59:59.999000064,866779.25012,21471,206109.03,269634.66887,0
