Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-05-28,2021-05-28 00:00:00.000000000,31.14,33.95,25.98,27.13,308874.95,2021-05-28 23:59:59.999000064,8799496.3619,22285,147530.99,4219784.8318,0
2021-05-29,2021-05-29 00:00:00.000000000,27.13,27.99,21.77,23.19,317875.93,2021-05-29 23:59:59.999000064,7555131.4457,14767,156165.39,3686707.7906,0
2021-05-30,2021-05-30 00:00:00.000000000,23.21,24.16,22.18,23.41,154948.09,2021-05-30 23:59:59.999000064,3605043.7377,5779,61567.42,1436485.9506,0
2021-05-31,2021-05-31 00:00:00.000000000,23.4,24.44,22.38,24.04,133237.05,2021-05-31 23:59:59.999000064,3108439.5782,5816,57604.86,1346060.5939,0
2021-06-01,2021-06-01 00:00:00.000000000,24.07,25.49,23.32,25.29,166243.42,2021-06-01 23:59:59.999000064,4034372.0425,8335,71910.09,1746364.691,0
2021-06-02,2021-06-02 00:00:00.000000000,25.32,27.83,24.38,27.69,144279.3,2021-06-02 23:59:59.999000064,3772240.6969,8194,69880.84,1830488.2835,0
2021-06-03,2021-06-03 00:00:00.000000000,27.66,31.1,27.65,30.9,197977.54,2021-06-03 23:59:59.999000064,5837785.7724,10777,109282.07,3227778.0233,0
2021-06-04,2021-06-04 00:00:00.000000000,30.92,32.86,27.3,28.05,223950.42,2021-06-04 23:59:59.999000064,6522910.9011,10075,96259.2,2800834.2064,0
2021-06-05,2021-06-05 00:00:00.000000000,28.08,29.86,26.96,27.33,111751.11,2021-06-05 23:59:59.999000064,3171105.8265,5242,48967.88,1394257.6787,0
2021-06-06,2021-06-06 00:00:00.000000000,27.33,27.46,25.43,25.58,150357.03,2021-06-06 23:59:59.999000064,3921752.7124,5724,88071.73,2300015.5199,0
2021-06-07,2021-06-07 00:00:00.000000000,25.59,26.77,24.68,24.73,137593.52,2021-06-07 23:59:59.999000064,3527178.8368,5338,54512.25,1404807.1326,0
2021-06-08,2021-06-08 00:00:00.000000000,24.75,25.88,23.83,25.81,193958.07,2021-06-08 23:59:59.999000064,4836895.2753,6844,95370.84,2378527.1084,0
2021-06-09,2021-06-09 00:00:00.000000000,25.85,28.09,24.88,28.02,176278.34,2021-06-09 23:59:59.999000064,4689188.4248,6968,93652.85,2501727.8492,0
2021-06-10,2021-06-10 00:00:00.000000000,28.03,28.33,26.95,27.34,161356.17,2021-06-10 23:59:59.999000064,4468925.7978,7176,75566.32,2093574.3936,0
2021-06-11,2021-06-11 00:00:00.000000000,27.31,28.2,25.47,26.11,244821.16,2021-06-11 23:59:59.999000064,6523007.386,8609,109049.49,2904412.5477,0
2021-06-12,2021-06-12 00:00:00.000000000,26.12,26.2,25.1,25.77,62946.72,2021-06-12 23:59:59.999000064,1608187.9468,2463,27445.42,702042.2305,0
2021-06-13,2021-06-13 00:00:00.000000000,25.8,27.19,25.64,27.19,60415.09,2021-06-13 23:59:59.999000064,1594090.6095,3110,42189.59,1114520.0636,0
2021-06-14,2021-06-14 00:00:00.000000000,27.2,28.0,26.84,27.25,88654.83,2021-06-14 23:59:59.999000064,2416309.7674,4203,45919.37,1252894.2429,0
2021-06-15,2021-06-15 00:00:00.000000000,27.25,27.41,26.39,26.43,71620.36,2021-06-15 23:59:59.999000064,1929719.937,3544,31234.23,841941.6494,0
2021-06-16,2021-06-16 00:00:00.000000000,26.4,26.72,25.36,25.36,77259.73,2021-06-16 23:59:59.999000064,2010310.0604,3387,46691.79,1213491.8759,0
