Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-12-13,2017-12-13 00:00:00.000000000,272.0,330.0,260.0,290.01,9565.16019,2017-12-13 23:59:59.999000064,2770877.002767,4709,3930.49388,1146169.971193,262481.48144625
2017-12-14,2017-12-14 00:00:00.000000000,290.01,302.72,252.0,272.4,9631.98382,2017-12-14 23:59:59.999000064,2666481.1499211,5753,4291.36257,1196920.2245486,263769.31208121
2017-12-15,2017-12-15 00:00:00.000000000,272.4,314.21,239.99,294.0,16579.78235,2017-12-15 23:59:59.999000064,4658823.650816,7826,9339.39791,2638328.9636574,256847.74005722
2017-12-16,2017-12-16 00:00:00.000000000,294.0,305.0,285.0,293.97,9102.10005,2017-12-16 23:59:59.999000064,2674491.7852775,6151,3601.16255,1062827.0364338,258984.67048494
2017-12-17,2017-12-17 00:00:00.000000000,293.01,328.8,290.0,311.4,14682.26118,2017-12-17 23:59:59.999000064,4618546.9664819,10383,8280.0317,2602599.7875425,267164.11253773
2017-12-18,2017-12-18 00:00:00.000000000,311.23,360.96,277.0,352.0,17210.06137,2017-12-18 23:59:59.999000064,5445727.6694142,10773,8856.91672,2800302.6165879,0
2017-12-19,2017-12-19 00:00:00.000000000,352.0,366.96,303.01,338.48,23190.32542,2017-12-19 23:59:59.999000064,7853537.9783908,14897,11056.2242,3756438.002953,0
2017-12-20,2017-12-20 00:00:00.000000000,336.05,357.0,260.0,302.7,31586.76711,2017-12-20 23:59:59.999000064,9862312.579348,15986,16395.97418,5137734.5180045,0
2017-12-21,2017-12-21 00:00:00.000000000,303.8,325.16,267.01,302.0,26212.1583,2017-12-21 23:59:59.999000064,7792715.3506441,15163,10555.59249,3149530.0088494,0
2017-12-22,2017-12-22 00:00:00.000000000,303.0,315.0,177.58,250.99,81233.42425,2017-12-22 23:59:59.999000064,19331731.1139285,33250,34377.90236,8222980.30216,0
2017-12-23,2017-12-23 00:00:00.000000000,250.99,301.52,214.91,253.44,38709.14008,2017-12-23 23:59:59.999000064,10424037.0623286,19966,17987.80835,4867116.2542472,0
2017-12-24,2017-12-24 00:00:00.000000000,253.44,277.0,220.03,262.9,33435.37202,2017-12-24 23:59:59.999000064,8272835.2642855,21908,14196.32792,3518824.9285466,0
2017-12-25,2017-12-25 00:00:00.000000000,262.9,277.5,251.4,261.2,24415.6917,2017-12-25 23:59:59.999000064,6464612.0371434,15740,11408.82582,3022775.1383664,0
