Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-04-26,2019-04-26 00:00:00.000000000,0.00263,0.01052,0.00263,0.00545,2251813333.7,2019-04-26 23:59:59.999000064,13165943.999651,29783,992882444.0,5829864.145888,0
2019-04-27,2019-04-27 00:00:00.000000000,0.00543,0.00586,0.00516,0.00521,440339020.0,2019-04-27 23:59:59.999000064,2401118.029482,7591,196839741.6,1075229.909795,0
2019-04-28,2019-04-28 00:00:00.000000000,0.00521,0.00527,0.00434,0.00442,457183971.5,2019-04-28 23:59:59.999000064,2218764.985351,7463,174578789.2,851288.96241,0
2019-04-29,2019-04-29 00:00:00.000000000,0.00442,0.00456,0.00343,0.00347,520557584.6,2019-04-29 23:59:59.999000064,2090178.57133,7321,193985377.5,776881.258542,0
2019-04-30,2019-04-30 00:00:00.000000000,0.00346,0.00516,0.00346,0.00442,1165706893.8,2019-04-30 23:59:59.999000064,5268819.868298,14764,469118811.2,2125649.115694,0
2019-05-01,2019-05-01 00:00:00.000000000,0.00442,0.00464,0.00402,0.00432,650430750.0,2019-05-01 23:59:59.999000064,2758219.843137,7115,163705457.1,697929.709751,0
2019-05-02,2019-05-02 00:00:00.000000000,0.00432,0.00468,0.0041,0.00419,270118878.8,2019-05-02 23:59:59.999000064,1168828.903711,4636,112213722.6,489294.874872,0
2019-05-03,2019-05-03 00:00:00.000000000,0.00419,0.0044,0.00394,0.00423,279265819.7,2019-05-03 23:59:59.999000064,1153772.204243,3953,121483789.0,504597.159312,0
2019-05-04,2019-05-04 00:00:00.000000000,0.00423,0.00425,0.00381,0.00397,151436176.6,2019-05-04 23:59:59.999000064,612281.143483,2466,61798527.1,251222.469891,0
2019-05-05,2019-05-05 00:00:00.000000000,0.00396,0.00406,0.00359,0.00372,161357630.8,2019-05-05 23:59:59.999000064,614191.031,2273,59748550.4,227302.236616,0
2019-05-06,2019-05-06 00:00:00.000000000,0.00371,0.00392,0.0035,0.00373,270695596.4,2019-05-06 23:59:59.999000064,1003392.020541,3541,102318108.2,382342.386168,0
2019-05-07,2019-05-07 00:00:00.000000000,0.00374,0.00385,0.00333,0.00336,172934704.9,2019-05-07 23:59:59.999000064,631415.43591,2434,74329403.6,273383.116672,0
2019-05-08,2019-05-08 00:00:00.000000000,0.00335,0.00348,0.00328,0.00333,154227974.6,2019-05-08 23:59:59.999000064,519824.742367,2002,60675700.3,205640.76329,0
2019-05-09,2019-05-09 00:00:00.000000000,0.00336,0.00341,0.00303,0.00314,211829251.9,2019-05-09 23:59:59.999000064,675710.226558,3251,95088492.6,303413.837067,0
2019-05-10,2019-05-10 00:00:00.000000000,0.00313,0.00388,0.00312,0.00378,408703745.6,2019-05-10 23:59:59.999000064,1440180.244903,6366,203679996.7,719063.887961,0
2019-05-11,2019-05-11 00:00:00.000000000,0.00379,0.00505,0.00371,0.0046,688249967.8,2019-05-11 23:59:59.999000064,3001736.117508,10258,350396962.1,1519985.222548,0
2019-05-12,2019-05-12 00:00:00.000000000,0.00462,0.00572,0.00444,0.0053,1166562752.9,2019-05-12 23:59:59.999000064,6084005.271726,17225,527929467.9,2748208.547971,0
2019-05-13,2019-05-13 00:00:00.000000000,0.00529,0.0092,0.00516,0.00868,2877309846.1,2019-05-13 23:59:59.999000064,21808982.316248,48430,1315183545.2,9961974.634203,0
2019-05-14,2019-05-14 00:00:00.000000000,0.00864,0.0112,0.00718,0.0078,3861464345.1,2019-05-14 23:59:59.999000064,36235484.083881,75510,1649191288.2,15471189.038825,0
2019-05-15,2019-05-15 00:00:00.000000000,0.00777,0.01,0.00705,0.00956,1803273014.2,2019-05-15 23:59:59.999000064,16001266.44628,36650,875488831.3,7802394.59,0
2019-05-16,2019-05-16 00:00:00.000000000,0.00957,0.01205,0.00826,0.01087,2158935027.2,2019-05-16 23:59:59.999000064,21866185.336341,49125,1051087281.3,10672061.523141,0
2019-05-17,2019-05-17 00:00:00.000000000,0.01086,0.01507,0.00921,0.01455,4397262355.6,2019-05-17 23:59:59.999000064,56503235.839235,104019,2149144196.8,27722639.551835,0
2019-05-18,2019-05-18 00:00:00.000000000,0.01456,0.01489,0.01205,0.01235,1670915897.8,2019-05-18 23:59:59.999000064,21896672.922249,48700,843385872.3,11031631.133406,0
2019-05-19,2019-05-19 00:00:00.000000000,0.01235,0.02069,0.01226,0.02018,2909833092.6,2019-05-19 23:59:59.999000064,50304463.97869,108635,1505789350.9,25865299.952009,0
2019-05-20,2019-05-20 00:00:00.000000000,0.02016,0.035,0.01833,0.0295,4959586016.0,2019-05-20 23:59:59.999000064,129015793.31595,233512,2374306678.4,61650322.825217,0
2019-05-21,2019-05-21 00:00:00.000000000,0.02937,0.045,0.02438,0.02953,7216196145.9,2019-05-21 23:59:59.999000064,254220541.198303,435799,3489567900.7,123441636.873316,0
2019-05-22,2019-05-22 00:00:00.000000000,0.0295,0.0317,0.0205,0.02209,4411472529.9,2019-05-22 23:59:59.999000064,107986180.265709,223304,2094546193.2,51287577.668973,0
2019-05-23,2019-05-23 00:00:00.000000000,0.02215,0.03401,0.02143,0.02739,5742350972.3,2019-05-23 23:59:59.999000064,164039791.901925,229169,2826668792.5,80737692.394165,0
2019-05-24,2019-05-24 00:00:00.000000000,0.02736,0.0287,0.02265,0.02529,2439816666.4,2019-05-24 23:59:59.999000064,61713452.336138,111817,1128042818.2,28566094.678772,0
2019-05-25,2019-05-25 00:00:00.000000000,0.02527,0.02835,0.02302,0.02475,2092787378.6,2019-05-25 23:59:59.999000064,53847308.505894,80308,1001765033.1,25846950.593368,0
2019-05-26,2019-05-26 00:00:00.000000000,0.02482,0.02725,0.02305,0.02419,1308601539.2,2019-05-26 23:59:59.999000064,33074414.20915,56410,609348840.1,15432825.198328,0
2019-05-27,2019-05-27 00:00:00.000000000,0.02417,0.02478,0.02076,0.02235,1191302944.8,2019-05-27 23:59:59.999000064,26878220.065482,57119,535157204.1,12076665.283964,0
2019-05-28,2019-05-28 00:00:00.000000000,0.02232,0.0254,0.02102,0.0238,1527919636.6,2019-05-28 23:59:59.999000064,35602220.792041,64106,732599537.4,17112665.044476,0
2019-05-29,2019-05-29 00:00:00.000000000,0.02379,0.02487,0.02207,0.02212,860955448.6,2019-05-29 23:59:59.999000064,19912545.763143,36362,373837649.6,8676018.480417,0
2019-05-30,2019-05-30 00:00:00.000000000,0.02213,0.0233,0.01824,0.01972,1037590833.5,2019-05-30 23:59:59.999000064,22266449.325702,43837,453408840.2,9749496.868891,0
2019-05-31,2019-05-31 00:00:00.000000000,0.01972,0.02299,0.01939,0.02216,1075501624.0,2019-05-31 23:59:59.999000064,23008223.814831,43275,520481111.0,11164252.995927,0
2019-06-01,2019-06-01 00:00:00.000000000,0.02216,0.02289,0.02067,0.02104,963080818.8,2019-06-01 23:59:59.999000064,20696050.741081,39941,424063412.0,9115758.528421,0
2019-06-02,2019-06-02 00:00:00.000000000,0.02107,0.02221,0.01961,0.02012,514773376.3,2019-06-02 23:59:59.999000064,10876792.906084,22471,230881172.0,4895198.257132,0
2019-06-03,2019-06-03 00:00:00.000000000,0.02012,0.02099,0.01873,0.01911,515148781.0,2019-06-03 23:59:59.999000064,10240488.394774,20466,224444586.4,4474761.501387,0
2019-06-04,2019-06-04 00:00:00.000000000,0.01911,0.02198,0.0178,0.02139,1436021143.1,2019-06-04 23:59:59.999000064,28557189.639052,43810,692851149.4,13802206.503828,0
2019-06-05,2019-06-05 00:00:00.000000000,0.0214,0.02361,0.01954,0.02285,1684301208.5,2019-06-05 23:59:59.999000064,35947863.625076,53956,798331292.9,17068270.396316,0
2019-06-06,2019-06-06 00:00:00.000000000,0.0229,0.02514,0.0215,0.02361,1610958057.6,2019-06-06 23:59:59.999000064,37838212.333478,56476,758838774.2,17852483.044245,0
2019-06-07,2019-06-07 00:00:00.000000000,0.02361,0.02488,0.02231,0.02426,581785344.2,2019-06-07 23:59:59.999000064,13653073.35999,25072,286380464.3,6732107.60139,0
