Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-04-29,2022-04-29 00:00:00.000000000,2.2,5.05,2.104,2.344,31450002.24,2022-04-29 23:59:59.999000064,89332118.52127,265556,14117416.8,40588575.84762,0
2022-04-30,2022-04-30 00:00:00.000000000,2.341,3.072,2.266,2.333,38071608.06,2022-04-30 23:59:59.999000064,100597303.26214,366344,18318780.5,48451757.65509,0
2022-05-01,2022-05-01 00:00:00.000000000,2.335,2.5,2.11,2.267,6041416.71,2022-05-01 23:59:59.999000064,13831760.43236,63860,2968953.48,6823161.64437,0
2022-05-02,2022-05-02 00:00:00.000000000,2.265,2.353,2.117,2.208,3290251.42,2022-05-02 23:59:59.999000064,7298455.7292,34511,1641431.95,3643551.79895,0
2022-05-03,2022-05-03 00:00:00.000000000,2.204,2.247,2.004,2.026,2592356.11,2022-05-03 23:59:59.999000064,5567586.3921,24676,1153806.85,2486045.91125,0
2022-05-04,2022-05-04 00:00:00.000000000,2.028,2.3,2.008,2.189,2352028.53,2022-05-04 23:59:59.999000064,5027212.44214,27314,1279585.83,2734536.47052,0
2022-05-05,2022-05-05 00:00:00.000000000,2.19,2.246,1.814,2.019,3436826.57,2022-05-05 23:59:59.999000064,7046643.89726,43262,1652932.57,3398901.31085,0
2022-05-06,2022-05-06 00:00:00.000000000,2.022,2.056,1.8,1.886,2230932.76,2022-05-06 23:59:59.999000064,4295224.19514,26416,983712.76,1905777.16749,0
2022-05-07,2022-05-07 00:00:00.000000000,1.885,2.021,1.845,1.894,2301415.87,2022-05-07 23:59:59.999000064,4419431.27597,23098,1120402.08,2151662.37955,0
2022-05-08,2022-05-08 00:00:00.000000000,1.892,1.94,1.8,1.872,1226510.18,2022-05-08 23:59:59.999000064,2265334.32233,12781,606789.74,1121141.1359,0
2022-05-09,2022-05-09 00:00:00.000000000,1.872,1.918,1.625,1.678,1972297.52,2022-05-09 23:59:59.999000064,3500736.65056,20245,777927.13,1375717.15849,0
2022-05-10,2022-05-10 00:00:00.000000000,1.681,1.854,1.557,1.738,2042359.35,2022-05-10 23:59:59.999000064,3562971.68956,20030,1044260.11,1826659.86528,0
2022-05-11,2022-05-11 00:00:00.000000000,1.738,1.785,1.246,1.406,5243061.24,2022-05-11 23:59:59.999000064,7830279.89747,36365,2580656.16,3873742.16637,0
2022-05-12,2022-05-12 00:00:00.000000000,1.403,1.613,0.923,1.231,4972938.98,2022-05-12 23:59:59.999000064,6034321.14768,28808,2213345.87,2712924.97206,0
2022-05-13,2022-05-13 00:00:00.000000000,1.232,1.425,1.213,1.303,1560036.15,2022-05-13 23:59:59.999000064,2115339.84295,8956,810137.64,1099325.12488,0
2022-05-14,2022-05-14 00:00:00.000000000,1.302,1.36,1.251,1.357,1163372.54,2022-05-14 23:59:59.999000064,1528449.16821,7570,640635.92,842685.16369,0
2022-05-15,2022-05-15 00:00:00.000000000,1.357,1.408,1.306,1.401,913233.5,2022-05-15 23:59:59.999000064,1230983.896,4764,430723.26,579799.31541,0
2022-05-16,2022-05-16 00:00:00.000000000,1.402,1.411,1.332,1.367,1068943.71,2022-05-16 23:59:59.999000064,1466209.22435,5984,492056.75,675195.18052,0
2022-05-17,2022-05-17 00:00:00.000000000,1.369,1.415,1.338,1.395,866378.84,2022-05-17 23:59:59.999000064,1199036.93704,4664,500030.83,692108.90695,0
2022-05-18,2022-05-18 00:00:00.000000000,1.396,1.4,1.293,1.296,900240.97,2022-05-18 23:59:59.999000064,1214231.33921,5375,431796.52,582465.28094,0
2022-05-19,2022-05-19 00:00:00.000000000,1.3,1.373,1.282,1.365,731936.03,2022-05-19 23:59:59.999000064,975742.75221,5191,347750.14,463645.13797,0
2022-05-20,2022-05-20 00:00:00.000000000,1.368,1.378,1.289,1.308,778736.38,2022-05-20 23:59:59.999000064,1039032.1537,6313,368299.91,492232.43766,0
2022-05-21,2022-05-21 00:00:00.000000000,1.308,1.351,1.29,1.319,386427.54,2022-05-21 23:59:59.999000064,508263.73115,3273,209647.02,275795.2286,0
2022-05-22,2022-05-22 00:00:00.000000000,1.319,1.36,1.306,1.356,525072.93,2022-05-22 23:59:59.999000064,699067.68461,3806,255832.43,341093.42646,0
2022-05-23,2022-05-23 00:00:00.000000000,1.35,1.371,1.28,1.292,1009343.22,2022-05-23 23:59:59.999000064,1342152.48302,5754,481731.87,640069.33552,0
2022-05-24,2022-05-24 00:00:00.000000000,1.29,1.329,1.208,1.28,938586.29,2022-05-24 23:59:59.999000064,1200177.33872,6230,379905.94,486565.62031,0
2022-05-25,2022-05-25 00:00:00.000000000,1.279,1.302,1.25,1.286,559708.64,2022-05-25 23:59:59.999000064,714128.12555,3587,287961.09,367559.56906,0
2022-05-26,2022-05-26 00:00:00.000000000,1.288,1.3,1.175,1.224,782964.14,2022-05-26 23:59:59.999000064,963944.43504,4827,378181.93,465129.37921,0
2022-05-27,2022-05-27 00:00:00.000000000,1.226,1.276,1.143,1.184,1999790.8,2022-05-27 23:59:59.999000064,2450546.52437,12808,1115769.68,1370676.76044,0
2022-05-28,2022-05-28 00:00:00.000000000,1.187,1.248,1.176,1.241,464760.91,2022-05-28 23:59:59.999000064,563816.61309,3234,261113.07,317526.20152,0
2022-05-29,2022-05-29 00:00:00.000000000,1.241,1.261,1.216,1.247,270237.86,2022-05-29 23:59:59.999000064,335775.25621,2218,118184.43,147008.67967,0
2022-05-30,2022-05-30 00:00:00.000000000,1.251,1.342,1.154,1.319,1544935.08,2022-05-30 23:59:59.999000064,1908814.03599,11450,691272.62,858476.39064,0
2022-05-31,2022-05-31 00:00:00.000000000,1.32,1.388,1.267,1.287,932197.72,2022-05-31 23:59:59.999000064,1215894.59173,7609,472087.01,617279.91243,0
2022-06-01,2022-06-01 00:00:00.000000000,1.286,1.328,1.185,1.217,934021.02,2022-06-01 23:59:59.999000064,1176652.81072,7524,464672.35,588422.44645,0
2022-06-02,2022-06-02 00:00:00.000000000,1.217,1.272,1.194,1.259,719322.75,2022-06-02 23:59:59.999000064,886080.20456,6134,357923.22,441371.75768,0
2022-06-03,2022-06-03 00:00:00.000000000,1.259,1.286,1.187,1.195,434102.47,2022-06-03 23:59:59.999000064,530478.3004,3365,215545.13,263625.25785,0
2022-06-04,2022-06-04 00:00:00.000000000,1.195,1.246,1.158,1.217,553801.31,2022-06-04 23:59:59.999000064,658656.90504,4137,296227.47,353014.81105,0
2022-06-05,2022-06-05 00:00:00.000000000,1.217,1.23,1.141,1.207,468605.51,2022-06-05 23:59:59.999000064,555232.40036,3674,234948.49,279662.68781,0
2022-06-06,2022-06-06 00:00:00.000000000,1.208,1.279,1.189,1.244,703230.9,2022-06-06 23:59:59.999000064,868845.88511,6064,341194.47,422100.72815,0
2022-06-07,2022-06-07 00:00:00.000000000,1.243,1.29,1.169,1.231,1001581.53,2022-06-07 23:59:59.999000064,1233859.50189,7697,447413.15,551137.08732,0
2022-06-08,2022-06-08 00:00:00.000000000,1.231,1.291,1.2,1.208,856064.65,2022-06-08 23:59:59.999000064,1056141.39555,5841,372738.61,461385.18115,0
2022-06-09,2022-06-09 00:00:00.000000000,1.21,1.267,1.2,1.216,643071.93,2022-06-09 23:59:59.999000064,787061.37917,4692,278702.21,342163.79457,0
2022-06-10,2022-06-10 00:00:00.000000000,1.216,1.23,1.155,1.173,703524.29,2022-06-10 23:59:59.999000064,839847.39854,3862,255720.23,305857.75612,0
2022-06-11,2022-06-11 00:00:00.000000000,1.174,1.187,1.049,1.088,835396.13,2022-06-11 23:59:59.999000064,930913.24707,6076,419151.28,469295.60308,0
2022-06-12,2022-06-12 00:00:00.000000000,1.088,1.098,0.943,0.953,1502424.06,2022-06-12 23:59:59.999000064,1513956.05443,7797,757683.31,763777.42991,0
2022-06-13,2022-06-13 00:00:00.000000000,0.953,0.972,0.701,0.778,5656845.01,2022-06-13 23:59:59.999000064,4498119.99549,24209,2675509.51,2137933.63324,0
2022-06-14,2022-06-14 00:00:00.000000000,0.777,0.829,0.7,0.75,1964937.01,2022-06-14 23:59:59.999000064,1522776.53981,8758,955380.85,742419.63921,0
2022-06-15,2022-06-15 00:00:00.000000000,0.748,0.79,0.609,0.788,3486144.82,2022-06-15 23:59:59.999000064,2389202.24114,12850,1774527.83,1218991.41825,0
2022-06-16,2022-06-16 00:00:00.000000000,0.791,0.811,0.651,0.667,1306110.21,2022-06-16 23:59:59.999000064,962178.21624,5189,759290.5,559152.07591,0
2022-06-17,2022-06-17 00:00:00.000000000,0.667,0.69,0.636,0.646,1540073.89,2022-06-17 23:59:59.999000064,1016659.69739,5498,775366.8,512738.95807,0
2022-06-18,2022-06-18 00:00:00.000000000,0.646,0.672,0.553,0.612,3039581.3,2022-06-18 23:59:59.999000064,1804550.12548,9182,1550106.57,921664.37037,0
2022-06-19,2022-06-19 00:00:00.000000000,0.61,0.701,0.572,0.686,1841554.41,2022-06-19 23:59:59.999000064,1182229.91583,5696,1016040.6,651119.86401,0
2022-06-20,2022-06-20 00:00:00.000000000,0.686,0.699,0.631,0.681,1794285.63,2022-06-20 23:59:59.999000064,1199886.15904,5556,918408.59,615824.79889,0
2022-06-21,2022-06-21 00:00:00.000000000,0.679,0.753,0.669,0.699,1523415.38,2022-06-21 23:59:59.999000064,1087539.56915,5880,850127.17,608185.72411,0
2022-06-22,2022-06-22 00:00:00.000000000,0.699,0.71,0.635,0.648,1331949.74,2022-06-22 23:59:59.999000064,895020.99121,4675,622741.22,419743.1706,0
2022-06-23,2022-06-23 00:00:00.000000000,0.649,0.759,0.646,0.689,1989349.24,2022-06-23 23:59:59.999000064,1378623.9924,7142,1034661.24,720126.65895,0
2022-06-24,2022-06-24 00:00:00.000000000,0.69,0.728,0.677,0.686,1526257.59,2022-06-24 23:59:59.999000064,1061962.27873,5002,795900.37,554506.06569,0
2022-06-25,2022-06-25 00:00:00.000000000,0.686,0.739,0.682,0.73,832476.18,2022-06-25 23:59:59.999000064,586039.93274,4179,497577.69,350163.96018,0
2022-06-26,2022-06-26 00:00:00.000000000,0.73,0.738,0.652,0.654,1340898.47,2022-06-26 23:59:59.999000064,938088.43119,12671,595852.54,416785.52146,0
2022-06-27,2022-06-27 00:00:00.000000000,0.656,0.706,0.656,0.669,1043347.1,2022-06-27 23:59:59.999000064,705817.35075,5716,577254.65,391057.94008,0
2022-06-28,2022-06-28 00:00:00.000000000,0.671,0.679,0.614,0.621,1065925.12,2022-06-28 23:59:59.999000064,695687.94332,3982,584531.22,382024.91749,0
2022-06-29,2022-06-29 00:00:00.000000000,0.621,0.625,0.571,0.608,1813229.33,2022-06-29 23:59:59.999000064,1097130.56594,10238,887589.39,538270.34499,0
2022-06-30,2022-06-30 00:00:00.000000000,0.61,0.618,0.544,0.582,3002678.51,2022-06-30 23:59:59.999000064,1738380.44388,8575,1542104.47,894837.4062,0
2022-07-01,2022-07-01 00:00:00.000000000,0.582,0.612,0.557,0.562,1252994.38,2022-07-01 23:59:59.999000064,734580.423,4540,662119.03,388634.78581,0
2022-07-02,2022-07-02 00:00:00.000000000,0.562,0.58,0.549,0.569,774986.02,2022-07-02 23:59:59.999000064,437121.92478,2985,425481.45,240119.95301,0
2022-07-03,2022-07-03 00:00:00.000000000,0.57,0.656,0.552,0.583,1462227.94,2022-07-03 23:59:59.999000064,865937.13039,5561,752416.35,444932.19768,0
2022-07-04,2022-07-04 00:00:00.000000000,0.583,0.621,0.576,0.612,944589.36,2022-07-04 23:59:59.999000064,567685.87491,4704,514242.95,309257.37163,0
2022-07-05,2022-07-05 00:00:00.000000000,0.612,0.624,0.553,0.602,782776.34,2022-07-05 23:59:59.999000064,466153.07365,3017,386592.79,230532.20918,0
2022-07-06,2022-07-06 00:00:00.000000000,0.603,0.641,0.596,0.637,712106.64,2022-07-06 23:59:59.999000064,442234.47152,3282,360519.66,223812.61626,0
2022-07-07,2022-07-07 00:00:00.000000000,0.637,0.746,0.629,0.667,2642140.52,2022-07-07 23:59:59.999000064,1789302.06751,8848,1403116.61,955087.43352,0
2022-07-08,2022-07-08 00:00:00.000000000,0.666,0.686,0.64,0.642,696084.21,2022-07-08 23:59:59.999000064,459456.1813,2874,331932.11,219832.24716,0
2022-07-09,2022-07-09 00:00:00.000000000,0.643,0.709,0.64,0.674,2070862.14,2022-07-09 23:59:59.999000064,1390155.24799,5798,1202051.07,811231.33924,0
2022-07-10,2022-07-10 00:00:00.000000000,0.674,0.674,0.613,0.622,584726.7,2022-07-10 23:59:59.999000064,368257.8861,2773,296173.68,185984.0934,0
2022-07-11,2022-07-11 00:00:00.000000000,0.62,0.633,0.597,0.604,516742.89,2022-07-11 23:59:59.999000064,317450.03974,2331,263359.62,162173.82562,0
2022-07-12,2022-07-12 00:00:00.000000000,0.606,0.624,0.573,0.574,585208.25,2022-07-12 23:59:59.999000064,353608.57904,2417,289443.87,175145.91566,0
2022-07-13,2022-07-13 00:00:00.000000000,0.574,0.66,0.559,0.606,1648621.77,2022-07-13 23:59:59.999000064,983087.90147,7243,877684.39,522325.60892,0
2022-07-14,2022-07-14 00:00:00.000000000,0.606,0.624,0.579,0.611,750211.58,2022-07-14 23:59:59.999000064,452878.32658,2557,344006.31,207821.21543,0
2022-07-15,2022-07-15 00:00:00.000000000,0.612,0.64,0.546,0.577,2138109.59,2022-07-15 23:59:59.999000064,1263789.90228,8013,941115.82,557643.01779,0
2022-07-16,2022-07-16 00:00:00.000000000,0.575,0.606,0.557,0.592,1273936.39,2022-07-16 23:59:59.999000064,739147.12887,6190,617833.03,359227.65723,0
2022-07-17,2022-07-17 00:00:00.000000000,0.592,0.666,0.577,0.602,2349233.33,2022-07-17 23:59:59.999000064,1425787.84643,7718,1215479.78,738927.05531,0
2022-07-18,2022-07-18 00:00:00.000000000,0.603,0.666,0.589,0.657,2403842.58,2022-07-18 23:59:59.999000064,1528071.60329,6845,1078006.15,686341.01388,0
2022-07-19,2022-07-19 00:00:00.000000000,0.657,1.069,0.63,0.743,28744733.43,2022-07-19 23:59:59.999000064,22986676.66091,99523,14415502.89,11559186.81598,0
2022-07-20,2022-07-20 00:00:00.000000000,0.745,0.752,0.677,0.685,3113231.1,2022-07-20 23:59:59.999000064,2256685.0746,9811,1495299.15,1085878.29904,0
2022-07-21,2022-07-21 00:00:00.000000000,0.687,0.702,0.67,0.677,517809.56,2022-07-21 23:59:59.999000064,352836.92484,2217,237961.94,162199.92994,0
