Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-06-01,2019-06-01 00:00:00.000000000,0.015,0.02848,0.01091,0.02402,8470112485.7,2019-06-01 23:59:59.999000064,195572506.054644,325040,4045926818.9,93648486.62661,0
2019-06-02,2019-06-02 00:00:00.000000000,0.02403,0.0241,0.01933,0.02104,1899838100.2,2019-06-02 23:59:59.999000064,40494318.423146,88860,824340551.8,17590924.840538,0
2019-06-03,2019-06-03 00:00:00.000000000,0.02104,0.02372,0.01959,0.02127,1881200108.7,2019-06-03 23:59:59.999000064,40470085.694749,77293,906463870.9,19584729.712964,0
2019-06-04,2019-06-04 00:00:00.000000000,0.0212,0.02585,0.02,0.0235,2650514770.6,2019-06-04 23:59:59.999000064,61765938.788514,114755,1260688175.4,29455269.271213,0
2019-06-05,2019-06-05 00:00:00.000000000,0.02346,0.03036,0.02228,0.02835,2953343733.7,2019-06-05 23:59:59.999000064,78775660.882189,121093,1415784138.3,37916345.833784,0
2019-06-06,2019-06-06 00:00:00.000000000,0.02835,0.03079,0.02418,0.02635,2031334339.4,2019-06-06 23:59:59.999000064,56564811.900243,100576,923985419.9,25825803.037091,0
2019-06-07,2019-06-07 00:00:00.000000000,0.02642,0.02816,0.02457,0.02586,992948092.5,2019-06-07 23:59:59.999000064,25873936.031324,47963,458193841.5,11963877.505604,0
2019-06-08,2019-06-08 00:00:00.000000000,0.02585,0.02695,0.025,0.02607,604978525.4,2019-06-08 23:59:59.999000064,15697162.175081,30508,273968825.4,7119416.635997,0
2019-06-09,2019-06-09 00:00:00.000000000,0.02609,0.02773,0.02353,0.02426,1083842880.7,2019-06-09 23:59:59.999000064,27925396.144851,46496,507442755.7,13114074.218289,0
2019-06-10,2019-06-10 00:00:00.000000000,0.02425,0.02588,0.02365,0.02559,629297730.5,2019-06-10 23:59:59.999000064,15633288.387104,29311,302624966.3,7529920.572298,0
2019-06-11,2019-06-11 00:00:00.000000000,0.02559,0.02573,0.0222,0.0225,628462996.2,2019-06-11 23:59:59.999000064,14878790.486987,32976,266557182.8,6314551.723008,0
2019-06-12,2019-06-12 00:00:00.000000000,0.02249,0.02315,0.02131,0.02226,480045695.8,2019-06-12 23:59:59.999000064,10730527.25622,25937,207537649.8,4648719.984876,0
2019-06-13,2019-06-13 00:00:00.000000000,0.02227,0.02486,0.02153,0.02229,706623161.8,2019-06-13 23:59:59.999000064,16405430.197062,38467,330992999.5,7710676.537295,0
2019-06-14,2019-06-14 00:00:00.000000000,0.02228,0.02306,0.01961,0.02047,457851866.8,2019-06-14 23:59:59.999000064,9712894.134725,26463,173088966.6,3681981.828527,0
2019-06-15,2019-06-15 00:00:00.000000000,0.02047,0.02222,0.02045,0.02159,393789710.3,2019-06-15 23:59:59.999000064,8447609.003901,19040,192551902.3,4139183.903261,0
