Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2018-06-08,2018-06-08 00:00:00.000000000,8.335,8.642,8.01,8.28,1158418.958,2018-06-08 23:59:59.999000064,9701282.380318,12265,666285.869,5576968.867075,0
2018-06-09,2018-06-09 00:00:00.000000000,8.277,8.501,8.02,8.03,2017942.632,2018-06-09 23:59:59.999000064,16720398.295213,16382,1094628.245,9066000.072455,0
2018-06-10,2018-06-10 00:00:00.000000000,8.024,8.024,6.401,6.86,3664477.215,2018-06-10 23:59:59.999000064,26282251.894537,33698,1997774.797,14433315.361983,0
2018-06-11,2018-06-11 00:00:00.000000000,6.858,7.08,6.22,7.01,2709980.694,2018-06-11 23:59:59.999000064,17854289.328461,23996,1452727.611,9579919.786811,0
2018-06-12,2018-06-12 00:00:00.000000000,7.008,7.011,6.11,6.286,2719937.468,2018-06-12 23:59:59.999000064,17875941.726828,24315,1382384.244,9065609.427851,0
2018-06-13,2018-06-13 00:00:00.000000000,6.286,6.384,5.45,5.932,2846137.856,2018-06-13 23:59:59.999000064,17069648.431982,26077,1627559.394,9775188.618806,0
2018-06-14,2018-06-14 00:00:00.000000000,5.933,6.469,5.765,6.321,3453989.018,2018-06-14 23:59:59.999000064,21363749.144713,29841,1780322.334,11015108.298925,0
2018-06-15,2018-06-15 00:00:00.000000000,6.316,6.353,5.9,5.951,2204747.277,2018-06-15 23:59:59.999000064,13456386.262648,17698,1251571.519,7647300.722672,0
2018-06-16,2018-06-16 00:00:00.000000000,5.952,6.175,5.803,6.095,2185717.184,2018-06-16 23:59:59.999000064,13192424.580159,15243,1381525.695,8334392.251502,0
2018-06-17,2018-06-17 00:00:00.000000000,6.099,6.329,6.03,6.149,2395343.991,2018-06-17 23:59:59.999000064,14821237.196452,17294,1354185.372,8379329.928498,0
2018-06-18,2018-06-18 00:00:00.000000000,6.149,6.842,6.022,6.683,3141273.222,2018-06-18 23:59:59.999000064,20035219.533984,29310,1773682.706,11265682.547167,0
2018-06-19,2018-06-19 00:00:00.000000000,6.684,6.85,6.452,6.755,2952556.012,2018-06-19 23:59:59.999000064,19644614.627462,25841,1520419.372,10102796.139368,0
2018-06-20,2018-06-20 00:00:00.000000000,6.759,6.77,6.343,6.61,2792830.242,2018-06-20 23:59:59.999000064,18177030.438584,19772,1707581.687,11109686.87963,0
2018-06-21,2018-06-21 00:00:00.000000000,6.603,6.699,6.21,6.363,2344022.653,2018-06-21 23:59:59.999000064,15090025.504665,18154,1302313.998,8403026.778533,0
2018-06-22,2018-06-22 00:00:00.000000000,6.364,6.367,5.173,5.308,3338273.432,2018-06-22 23:59:59.999000064,19054983.123376,31481,1819059.734,10397409.197008,0
2018-06-23,2018-06-23 00:00:00.000000000,5.308,5.478,4.9,5.099,2609662.462,2018-06-23 23:59:59.999000064,13397608.971983,19066,1489305.086,7646666.259217,0
2018-06-24,2018-06-24 00:00:00.000000000,5.1,5.701,4.126,5.08,6212603.952,2018-06-24 23:59:59.999000064,29853688.399787,44940,2952332.651,14114705.450333,0
2018-06-25,2018-06-25 00:00:00.000000000,5.083,5.864,4.8,5.6,5560691.717,2018-06-25 23:59:59.999000064,29848617.870243,44042,2952552.328,15862079.334958,0
2018-06-26,2018-06-26 00:00:00.000000000,5.608,5.739,5.012,5.044,2948005.99,2018-06-26 23:59:59.999000064,16025520.444629,23790,1476290.69,8031448.027235,0
2018-06-27,2018-06-27 00:00:00.000000000,5.04,5.517,4.988,5.417,3290172.953,2018-06-27 23:59:59.999000064,17361686.320269,24251,1733921.316,9160143.999443,0
2018-06-28,2018-06-28 00:00:00.000000000,5.417,5.496,4.54,4.793,4408473.655,2018-06-28 23:59:59.999000064,22378015.914918,30212,2496562.719,12640266.688963,0
2018-06-29,2018-06-29 00:00:00.000000000,4.774,5.307,4.661,5.167,4291786.633,2018-06-29 23:59:59.999000064,20933849.701161,32448,2281866.025,11132698.358488,0
