Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-07-29,2021-07-29 00:00:00.000000000,100.4,156.7,100.4,134.1,564263.578,2021-07-29 23:59:59.999000064,73793613.9491,202834,288307.118,37861605.2994,0
2021-07-30,2021-07-30 00:00:00.000000000,134.2,137.7,120.7,129.8,141011.202,2021-07-30 23:59:59.999000064,18052440.8922,45486,64689.054,8297918.2318,0
2021-07-31,2021-07-31 00:00:00.000000000,129.7,140.0,123.2,135.0,50786.29,2021-07-31 23:59:59.999000064,6659156.4189,20268,24618.79,3224815.3849,0
2021-08-01,2021-08-01 00:00:00.000000000,135.0,179.9,135.0,175.3,299545.806,2021-08-01 23:59:59.999000064,49118598.8415,147427,156186.245,25609713.0887,0
2021-08-02,2021-08-02 00:00:00.000000000,175.6,191.7,142.8,156.9,272290.646,2021-08-02 23:59:59.999000064,44669373.7136,120613,134466.208,22142417.4729,0
2021-08-03,2021-08-03 00:00:00.000000000,156.7,174.8,145.1,166.5,138504.517,2021-08-03 23:59:59.999000064,22033991.6043,71607,74343.291,11878655.7553,0
2021-08-04,2021-08-04 00:00:00.000000000,166.2,185.4,155.7,178.1,155560.27,2021-08-04 23:59:59.999000064,26940624.3696,87888,83856.313,14532391.7261,0
2021-08-05,2021-08-05 00:00:00.000000000,178.5,181.0,168.4,173.1,67287.184,2021-08-05 23:59:59.999000064,11706751.9983,38495,33749.898,5878556.9965,0
2021-08-06,2021-08-06 00:00:00.000000000,173.0,175.0,161.0,162.3,68934.455,2021-08-06 23:59:59.999000064,11531263.3225,33121,30571.923,5119494.7115,0
2021-08-07,2021-08-07 00:00:00.000000000,162.3,166.9,150.9,155.5,65704.328,2021-08-07 23:59:59.999000064,10487152.1045,36981,27912.591,4463956.2779,0
2021-08-08,2021-08-08 00:00:00.000000000,155.6,163.1,146.8,152.0,52705.647,2021-08-08 23:59:59.999000064,8064389.108,26654,23906.285,3662064.1986,0
2021-08-09,2021-08-09 00:00:00.000000000,152.1,166.8,142.4,151.8,72387.259,2021-08-09 23:59:59.999000064,11176791.2004,37632,36109.906,5593487.5916,0
2021-08-10,2021-08-10 00:00:00.000000000,151.8,165.4,149.1,153.1,54890.373,2021-08-10 23:59:59.999000064,8441154.6214,30263,27484.285,4239519.2919,0
2021-08-11,2021-08-11 00:00:00.000000000,153.0,165.0,152.9,154.7,44763.355,2021-08-11 23:59:59.999000064,7087368.2769,24404,21703.483,3441179.7365,0
