Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2018-03-19,2018-03-19 00:00:00.000000000,16.0,20.549,13.1,19.878,1173351.458,2018-03-19 23:59:59.999000064,20153002.961952,51671,503329.222,8715287.971822,0
2018-03-20,2018-03-20 00:00:00.000000000,19.88,22.0,18.053,20.386,2428141.555,2018-03-20 23:59:59.999000064,49548033.61805,103552,1128682.49,23047399.426128,0
2018-03-21,2018-03-21 00:00:00.000000000,20.386,21.0,18.5,19.593,1660401.58,2018-03-21 23:59:59.999000064,33262674.763817,65294,808448.324,16205966.234067,0
2018-03-22,2018-03-22 00:00:00.000000000,19.593,20.177,17.62,19.288,1301822.548,2018-03-22 23:59:59.999000064,24634469.772205,56428,628177.441,11885371.320362,0
2018-03-23,2018-03-23 00:00:00.000000000,19.288,19.304,17.604,18.442,1271729.778,2018-03-23 23:59:59.999000064,23099301.475208,48351,589227.096,10701158.692105,0
2018-03-24,2018-03-24 00:00:00.000000000,18.465,19.45,17.64,17.758,1194967.755,2018-03-24 23:59:59.999000064,21949989.288887,52360,572071.975,10505426.747112,0
2018-03-25,2018-03-25 00:00:00.000000000,17.758,18.3,17.5,17.958,919524.918,2018-03-25 23:59:59.999000064,16475497.33667,42720,469152.074,8407722.449733,0
2018-03-26,2018-03-26 00:00:00.000000000,17.97,18.161,15.1,16.023,1509575.618,2018-03-26 23:59:59.999000064,24793859.387806,50674,732629.943,12026635.982318,0
2018-03-27,2018-03-27 00:00:00.000000000,16.0,17.0,14.562,15.149,353654.504,2018-03-27 23:59:59.999000064,5489015.92326,18281,157121.295,2440823.954844,0
2018-03-28,2018-03-28 00:00:00.000000000,15.097,16.2,15.026,15.502,204091.397,2018-03-28 23:59:59.999000064,3173222.642433,10277,101169.887,1575223.425477,0
2018-03-29,2018-03-29 00:00:00.000000000,15.495,15.625,13.839,14.132,173527.532,2018-03-29 23:59:59.999000064,2527019.764982,11481,80674.71,1173035.122419,0
2018-03-30,2018-03-30 00:00:00.000000000,14.053,14.97,13.316,14.182,223024.852,2018-03-30 23:59:59.999000064,3125057.492299,14292,104435.992,1465896.386267,0
2018-03-31,2018-03-31 00:00:00.000000000,14.179,14.7,13.938,14.031,108491.075,2018-03-31 23:59:59.999000064,1550362.482833,7991,53746.095,768769.810124,0
2018-04-01,2018-04-01 00:00:00.000000000,14.03,14.248,12.537,13.326,121743.004,2018-04-01 23:59:59.999000064,1624053.627786,8258,60083.38,800057.025379,0
2018-04-02,2018-04-02 00:00:00.000000000,13.326,14.6,13.147,14.155,172516.18,2018-04-02 23:59:59.999000064,2432459.846473,11246,93263.949,1315705.318614,0
2018-04-03,2018-04-03 00:00:00.000000000,14.154,15.1,14.01,14.962,165969.901,2018-04-03 23:59:59.999000064,2434212.657501,11941,80785.46,1184685.77342,0
2018-04-04,2018-04-04 00:00:00.000000000,14.962,14.98,13.315,13.539,107077.082,2018-04-04 23:59:59.999000064,1493385.544046,9286,52766.05,736168.307107,0
2018-04-05,2018-04-05 00:00:00.000000000,13.544,13.605,12.809,13.323,114975.392,2018-04-05 23:59:59.999000064,1514680.958945,9078,55159.2,726379.641634,0
2018-04-06,2018-04-06 00:00:00.000000000,13.323,13.462,12.514,12.764,67119.417,2018-04-06 23:59:59.999000064,861779.544798,6159,32220.472,412973.473062,0
2018-04-07,2018-04-07 00:00:00.000000000,12.784,13.438,12.696,13.084,71568.324,2018-04-07 23:59:59.999000064,941801.335883,5838,39280.098,516416.009826,0
2018-04-08,2018-04-08 00:00:00.000000000,13.045,13.623,13.03,13.399,62155.006,2018-04-08 23:59:59.999000064,827304.896044,5286,34031.557,454029.421633,0
2018-04-09,2018-04-09 00:00:00.000000000,13.389,14.8,13.001,13.41,165097.604,2018-04-09 23:59:59.999000064,2264958.879046,11745,77392.208,1064307.060476,0
2018-04-10,2018-04-10 00:00:00.000000000,13.412,13.55,12.879,13.424,71381.786,2018-04-10 23:59:59.999000064,946166.760505,5123,31886.406,423450.792581,0
2018-04-11,2018-04-11 00:00:00.000000000,13.439,14.483,13.317,14.374,150282.148,2018-04-11 23:59:59.999000064,2088065.604088,9589,71154.129,987940.102949,0
2018-04-12,2018-04-12 00:00:00.000000000,14.343,16.88,13.301,16.491,384467.372,2018-04-12 23:59:59.999000064,5765401.568776,25552,203254.71,3046754.924742,0
2018-04-13,2018-04-13 00:00:00.000000000,16.481,17.659,15.44,15.605,389260.216,2018-04-13 23:59:59.999000064,6474893.685296,26570,187405.782,3120820.515531,0
2018-04-14,2018-04-14 00:00:00.000000000,15.605,16.343,15.0,15.837,170965.73,2018-04-14 23:59:59.999000064,2709461.996842,14547,63467.854,1006579.536449,0
2018-04-15,2018-04-15 00:00:00.000000000,15.836,17.068,15.836,16.811,103845.586,2018-04-15 23:59:59.999000064,1722091.311349,10428,61537.009,1020351.551088,0
2018-04-16,2018-04-16 00:00:00.000000000,16.841,17.007,15.5,16.651,119637.001,2018-04-16 23:59:59.999000064,1928466.916188,11082,55016.501,882383.313329,0
2018-04-17,2018-04-17 00:00:00.000000000,16.651,16.978,16.15,16.187,111262.344,2018-04-17 23:59:59.999000064,1842138.33203,9970,58600.867,970634.937569,0
2018-04-18,2018-04-18 00:00:00.000000000,16.23,17.729,16.186,17.552,102454.01,2018-04-18 23:59:59.999000064,1746037.187746,9018,59757.927,1018403.672853,0
2018-04-19,2018-04-19 00:00:00.000000000,17.53,18.6,17.45,18.551,147441.228,2018-04-19 23:59:59.999000064,2646598.857164,12213,70793.41,1272153.633907,0
2018-04-20,2018-04-20 00:00:00.000000000,18.551,20.684,17.98,20.267,208824.093,2018-04-20 23:59:59.999000064,4021657.493058,19683,105319.281,2021288.516681,0
2018-04-21,2018-04-21 00:00:00.000000000,20.27,20.692,17.688,19.358,223516.256,2018-04-21 23:59:59.999000064,4284982.58786,19937,101330.676,1938007.533835,0
2018-04-22,2018-04-22 00:00:00.000000000,19.316,19.9,18.551,19.107,132344.142,2018-04-22 23:59:59.999000064,2565163.151729,14304,62731.467,1215081.276592,0
2018-04-23,2018-04-23 00:00:00.000000000,19.107,20.774,19.081,20.457,190987.742,2018-04-23 23:59:59.999000064,3879136.952429,16867,91172.377,1851330.191405,0
2018-04-24,2018-04-24 00:00:00.000000000,20.457,23.98,20.41,22.642,300321.475,2018-04-24 23:59:59.999000064,6615852.858948,26907,144803.009,3188955.304496,0
2018-04-25,2018-04-25 00:00:00.000000000,22.611,22.616,17.972,19.152,420357.294,2018-04-25 23:59:59.999000064,8422193.77158,33986,190921.221,3827420.473905,0
2018-04-26,2018-04-26 00:00:00.000000000,19.152,21.108,18.4,21.007,253664.957,2018-04-26 23:59:59.999000064,4952622.251562,22800,118340.42,2311121.770265,0
2018-04-27,2018-04-27 00:00:00.000000000,21.058,21.295,19.551,19.633,229912.657,2018-04-27 23:59:59.999000064,4724929.227582,20573,106092.661,2183737.618309,0
2018-04-28,2018-04-28 00:00:00.000000000,19.657,22.05,19.5,21.625,305297.317,2018-04-28 23:59:59.999000064,6430596.959127,24487,159916.32,3365399.094579,0
2018-04-29,2018-04-29 00:00:00.000000000,21.637,23.599,20.266,23.001,456806.155,2018-04-29 23:59:59.999000064,10108304.117739,40311,213819.794,4752498.034341,0
2018-04-30,2018-04-30 00:00:00.000000000,23.001,25.8,21.666,22.432,589056.706,2018-04-30 23:59:59.999000064,13971086.633274,46859,256758.245,6105952.097335,0
2018-05-01,2018-05-01 00:00:00.000000000,22.431,22.46,20.5,22.045,338102.986,2018-05-01 23:59:59.999000064,7209638.588839,25200,146068.303,3122975.609294,0
2018-05-02,2018-05-02 00:00:00.000000000,22.003,22.493,21.304,22.29,207161.7,2018-05-02 23:59:59.999000064,4535531.631011,19147,99706.659,2182473.479811,0
2018-05-03,2018-05-03 00:00:00.000000000,22.305,23.499,21.64,22.728,341723.592,2018-05-03 23:59:59.999000064,7693966.527541,29194,168264.424,3797255.667869,0
2018-05-04,2018-05-04 00:00:00.000000000,22.728,23.805,21.6,22.091,219714.159,2018-05-04 23:59:59.999000064,4947953.686618,21235,99705.022,2250368.248491,0
2018-05-05,2018-05-05 00:00:00.000000000,22.1,23.079,21.882,22.464,158109.23,2018-05-05 23:59:59.999000064,3569658.803274,14399,71563.952,1618165.851271,0
2018-05-06,2018-05-06 00:00:00.000000000,22.413,23.98,21.323,22.88,337698.981,2018-05-06 23:59:59.999000064,7628420.446179,31084,172254.514,3899565.25862,0
2018-05-07,2018-05-07 00:00:00.000000000,22.876,22.997,20.34,21.362,176740.228,2018-05-07 23:59:59.999000064,3765671.806026,19219,93271.066,1985051.98494,0
2018-05-08,2018-05-08 00:00:00.000000000,21.361,21.82,20.32,20.658,94463.37,2018-05-08 23:59:59.999000064,1979109.312006,12257,43144.345,903456.846233,0
2018-05-09,2018-05-09 00:00:00.000000000,20.692,20.697,18.968,19.905,169906.068,2018-05-09 23:59:59.999000064,3360433.802908,17776,70260.475,1392537.38138,0
2018-05-10,2018-05-10 00:00:00.000000000,19.905,20.108,18.216,18.221,123652.271,2018-05-10 23:59:59.999000064,2418509.896134,13135,52358.958,1025390.1083,0
2018-05-11,2018-05-11 00:00:00.000000000,18.222,18.555,15.048,15.834,355210.959,2018-05-11 23:59:59.999000064,5913232.212698,28504,140516.27,2348473.74156,0
2018-05-12,2018-05-12 00:00:00.000000000,15.895,16.871,14.28,16.131,292257.684,2018-05-12 23:59:59.999000064,4563153.00194,24808,129602.205,2032467.282829,0
2018-05-13,2018-05-13 00:00:00.000000000,16.141,17.838,15.66,17.199,244381.307,2018-05-13 23:59:59.999000064,4135526.886808,19554,122131.219,2065407.654,0
2018-05-14,2018-05-14 00:00:00.000000000,17.198,18.759,15.979,17.664,359800.243,2018-05-14 23:59:59.999000064,6288673.046313,28627,180721.471,3163254.095063,0
2018-05-15,2018-05-15 00:00:00.000000000,17.626,18.448,16.66,16.705,230817.46,2018-05-15 23:59:59.999000064,4052276.608513,19004,94704.764,1663938.364565,0
2018-05-16,2018-05-16 00:00:00.000000000,16.705,16.832,15.6,16.44,172204.925,2018-05-16 23:59:59.999000064,2783847.835126,13418,80057.2,1293198.996636,0
2018-05-17,2018-05-17 00:00:00.000000000,16.404,16.919,15.111,15.302,117382.592,2018-05-17 23:59:59.999000064,1890983.228868,11819,55893.793,905159.518505,0
2018-05-18,2018-05-18 00:00:00.000000000,15.31,16.066,14.82,15.995,120299.005,2018-05-18 23:59:59.999000064,1858876.510221,10766,55699.173,862521.345758,0
2018-05-19,2018-05-19 00:00:00.000000000,15.997,16.371,15.383,16.02,118643.4,2018-05-19 23:59:59.999000064,1891494.357643,9130,51739.448,826158.939493,0
2018-05-20,2018-05-20 00:00:00.000000000,16.069,17.13,15.81,16.759,158349.779,2018-05-20 23:59:59.999000064,2616217.193862,10919,82677.677,1365989.221672,0
2018-05-21,2018-05-21 00:00:00.000000000,16.758,16.915,15.88,16.131,121907.587,2018-05-21 23:59:59.999000064,1994063.502233,10241,50963.963,835622.973927,0
2018-05-22,2018-05-22 00:00:00.000000000,16.116,16.206,14.8,14.831,111650.557,2018-05-22 23:59:59.999000064,1729504.165471,9304,45706.67,708703.466593,0
2018-05-23,2018-05-23 00:00:00.000000000,14.831,15.043,13.019,13.24,199508.904,2018-05-23 23:59:59.999000064,2768387.624867,13498,98308.504,1366537.993357,0
2018-05-24,2018-05-24 00:00:00.000000000,13.19,14.132,12.51,13.934,185995.286,2018-05-24 23:59:59.999000064,2480587.165437,13590,82329.492,1101742.541312,0
2018-05-25,2018-05-25 00:00:00.000000000,13.896,14.0,12.9,13.22,119464.573,2018-05-25 23:59:59.999000064,1594890.043223,8513,61405.699,819472.349645,0
2018-05-26,2018-05-26 00:00:00.000000000,13.256,13.73,12.966,13.179,73661.033,2018-05-26 23:59:59.999000064,987715.89177,5311,37828.516,508004.904355,0
2018-05-27,2018-05-27 00:00:00.000000000,13.179,13.219,12.826,13.143,49486.419,2018-05-27 23:59:59.999000064,643563.662788,5563,25321.503,329598.204603,0
2018-05-28,2018-05-28 00:00:00.000000000,13.155,13.351,12.038,12.042,110564.635,2018-05-28 23:59:59.999000064,1391571.253056,7876,53316.054,669928.418351,0
2018-05-29,2018-05-29 00:00:00.000000000,12.043,13.5,12.0,13.198,217272.87,2018-05-29 23:59:59.999000064,2764359.578694,9510,95338.508,1223959.080473,0
2018-05-30,2018-05-30 00:00:00.000000000,13.203,13.563,12.683,13.039,97898.877,2018-05-30 23:59:59.999000064,1283008.829538,6355,51814.295,678698.840455,0
2018-05-31,2018-05-31 00:00:00.000000000,13.039,13.75,12.872,13.3,136808.735,2018-05-31 23:59:59.999000064,1821423.606387,7262,64176.264,853646.470202,0
