Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-09-04,2020-09-04 00:00:00.000000000,0.7063,1.3,0.6517,0.8183,4450694.4,2020-09-04 23:59:59.999000064,3583870.463455,22280,1982913.62,1607841.978663,0
2020-09-05,2020-09-05 00:00:00.000000000,0.8114,0.855,0.5502,0.6371,3914855.7,2020-09-05 23:59:59.999000064,2660509.315533,18558,1875580.84,1270199.912588,0
2020-09-06,2020-09-06 00:00:00.000000000,0.639,0.8092,0.615,0.781,2731454.97,2020-09-06 23:59:59.999000064,1956706.726283,13899,1247157.38,902296.166233,0
2020-09-07,2020-09-07 00:00:00.000000000,0.7777,0.8118,0.6222,0.7221,2623376.57,2020-09-07 23:59:59.999000064,1826804.788579,11946,1242216.67,868409.069062,0
2020-09-08,2020-09-08 00:00:00.000000000,0.7178,0.7625,0.6503,0.6969,2507920.3,2020-09-08 23:59:59.999000064,1764653.145466,10989,1224326.32,860838.198511,0
2020-09-09,2020-09-09 00:00:00.000000000,0.6953,0.7636,0.6541,0.7274,2395211.17,2020-09-09 23:59:59.999000064,1701730.951649,10972,1295397.71,922643.309616,0
2020-09-10,2020-09-10 00:00:00.000000000,0.7302,0.8252,0.7022,0.7229,2328015.82,2020-09-10 23:59:59.999000064,1766479.123979,11853,1164477.34,885832.913063,0
2020-09-11,2020-09-11 00:00:00.000000000,0.7287,0.7628,0.6624,0.7486,2615911.74,2020-09-11 23:59:59.999000064,1880973.15377,11984,1247211.4,899057.045399,0
2020-09-12,2020-09-12 00:00:00.000000000,0.7476,0.8087,0.695,0.7998,3840095.06,2020-09-12 23:59:59.999000064,2842372.540665,19159,1736335.7,1291218.2561,0
2020-09-13,2020-09-13 00:00:00.000000000,0.7986,0.8023,0.6534,0.7064,3832413.85,2020-09-13 23:59:59.999000064,2764443.028796,22881,1867510.44,1348267.482008,0
2020-09-14,2020-09-14 00:00:00.000000000,0.7082,0.7138,0.629,0.6429,4410993.24,2020-09-14 23:59:59.999000064,2897528.8923,18352,2138633.68,1402818.957824,0
2020-09-15,2020-09-15 00:00:00.000000000,0.6429,0.65,0.5265,0.5823,4808512.58,2020-09-15 23:59:59.999000064,2868217.142142,22683,2242866.29,1332120.637395,0
2020-09-16,2020-09-16 00:00:00.000000000,0.5814,0.6429,0.54,0.592,5647333.79,2020-09-16 23:59:59.999000064,3302009.583053,22435,2536639.32,1480713.558473,0
2020-09-17,2020-09-17 00:00:00.000000000,0.5914,0.61,0.4609,0.5171,7198135.72,2020-09-17 23:59:59.999000064,3689711.543171,24256,3369759.26,1726219.605655,0
