Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-05-10,2021-05-10 00:00:00.000000000,1.412e-05,5e-05,1.412e-05,3.466e-05,95302311917668.0,2021-05-10 23:59:59.999000064,3030141753.8025646,4577629,49294865762467.0,1574047645.4426708,0
2021-05-11,2021-05-11 00:00:00.000000000,3.468e-05,3.799e-05,2.78e-05,3.042e-05,64512785938482.0,2021-05-11 23:59:59.999000064,2123216855.205212,3958630,32345745756016.0,1067858080.4988264,0
2021-05-12,2021-05-12 00:00:00.000000000,3.04e-05,3.15e-05,1.752e-05,1.821e-05,86909144958765.0,2021-05-12 23:59:59.999000064,2129644950.1198652,3886777,41671697023530.0,1023865017.0816076,0
2021-05-13,2021-05-13 00:00:00.000000000,1.817e-05,2.357e-05,1.53e-05,2.102e-05,91254881005748.0,2021-05-13 23:59:59.999000064,1761045968.3199625,3050941,45345649384549.0,878836595.6680064,0
2021-05-14,2021-05-14 00:00:00.000000000,2.103e-05,2.224e-05,1.816e-05,1.84e-05,40927854276575.0,2021-05-14 23:59:59.999000064,822569815.5478904,1709467,19538598422717.0,392954675.2998687,0
2021-05-15,2021-05-15 00:00:00.000000000,1.841e-05,1.897e-05,1.501e-05,1.553e-05,43727275531961.0,2021-05-15 23:59:59.999000064,740472826.560479,1602319,21233519298144.0,359914195.6931523,0
2021-05-16,2021-05-16 00:00:00.000000000,1.552e-05,1.962e-05,1.237e-05,1.784e-05,61634752660696.0,2021-05-16 23:59:59.999000064,960036000.9081264,1843872,31075153743286.0,486151415.4514671,0
2021-05-17,2021-05-17 00:00:00.000000000,1.783e-05,1.808e-05,1.408e-05,1.651e-05,60156822115985.0,2021-05-17 23:59:59.999000064,969820585.5501939,1801208,29887207675863.0,482379147.73480475,0
2021-05-18,2021-05-18 00:00:00.000000000,1.65e-05,1.8e-05,1.517e-05,1.56e-05,27976612440989.0,2021-05-18 23:59:59.999000064,460041392.82748246,935905,13656681234945.0,224864960.75299904,0
2021-05-19,2021-05-19 00:00:00.000000000,1.562e-05,1.58e-05,6.3e-06,9.07e-06,90539301007324.0,2021-05-19 23:59:59.999000064,1020855304.8221889,2076308,43611002822352.0,492729498.1512512,0
2021-05-20,2021-05-20 00:00:00.000000000,9.07e-06,1.219e-05,8e-06,9.64e-06,67205967066890.0,2021-05-20 23:59:59.999000064,681165643.4754308,1384667,33430461011995.0,339348777.1538403,0
2021-05-21,2021-05-21 00:00:00.000000000,9.64e-06,1.035e-05,6.55e-06,8.2e-06,54603903901459.0,2021-05-21 23:59:59.999000064,456228641.8727471,1116947,26767594635489.0,224595997.58339936,0
2021-05-22,2021-05-22 00:00:00.000000000,8.21e-06,9.83e-06,6.72e-06,8.42e-06,46318180421814.0,2021-05-22 23:59:59.999000064,367262301.1574324,839244,23598356726063.0,187304517.19280115,0
2021-05-23,2021-05-23 00:00:00.000000000,8.42e-06,9.65e-06,6.94e-06,8.09e-06,60549130370846.0,2021-05-23 23:59:59.999000064,487458707.9360239,1033407,29982636074898.0,242014515.7456821,0
2021-05-24,2021-05-24 00:00:00.000000000,8.08e-06,1.208e-05,7.73e-06,1.065e-05,66920838464554.0,2021-05-24 23:59:59.999000064,653153711.8460131,1343914,34703297994752.0,338280061.55362195,0
2021-05-25,2021-05-25 00:00:00.000000000,1.065e-05,1.115e-05,8.76e-06,9.39e-06,43096086882356.0,2021-05-25 23:59:59.999000064,415471580.6164778,944665,21697355418130.0,209356535.46867856,0
2021-05-26,2021-05-26 00:00:00.000000000,9.38e-06,1.05e-05,9.14e-06,9.49e-06,29880109514903.0,2021-05-26 23:59:59.999000064,289774724.88106096,736805,15393301063403.0,149382167.18117064,0
2021-05-27,2021-05-27 00:00:00.000000000,9.49e-06,9.5e-06,8.5e-06,8.79e-06,21377807919679.0,2021-05-27 23:59:59.999000064,190827656.63134703,513819,10667418568749.0,95315652.20838515,0
2021-05-28,2021-05-28 00:00:00.000000000,8.79e-06,8.85e-06,7.5e-06,7.9e-06,22969674539465.0,2021-05-28 23:59:59.999000064,184509672.21070743,525209,11323221345981.0,91015226.38169226,0
2021-05-29,2021-05-29 00:00:00.000000000,7.91e-06,8.21e-06,7.3e-06,7.89e-06,15473428469390.0,2021-05-29 23:59:59.999000064,119787221.63179576,362567,7833043544600.0,60755452.47496303,0
2021-05-30,2021-05-30 00:00:00.000000000,7.9e-06,8.13e-06,7.52e-06,7.86e-06,12847617230998.0,2021-05-30 23:59:59.999000064,100723011.5642526,293499,6699244508571.0,52581858.77571509,0
2021-05-31,2021-05-31 00:00:00.000000000,7.85e-06,9.98e-06,7.69e-06,9.28e-06,29008796041217.0,2021-05-31 23:59:59.999000064,253567390.100778,594812,15424041485210.0,134841944.0322294,0
2021-06-01,2021-06-01 00:00:00.000000000,9.28e-06,9.43e-06,8.28e-06,8.82e-06,23622771954244.0,2021-06-01 23:59:59.999000064,208492653.49231127,529195,12013618082200.0,106127359.45025875,0
2021-06-02,2021-06-02 00:00:00.000000000,8.83e-06,1.049e-05,8.57e-06,9.44e-06,37410145146900.0,2021-06-02 23:59:59.999000064,356096789.01128745,808558,19541773575702.0,185950998.25387397,0
2021-06-03,2021-06-03 00:00:00.000000000,9.43e-06,1.04e-05,9.29e-06,9.82e-06,25310047082545.0,2021-06-03 23:59:59.999000064,248635927.11914232,599785,13192328342075.0,129648884.99606416,0
2021-06-04,2021-06-04 00:00:00.000000000,9.81e-06,9.84e-06,8.28e-06,8.79e-06,27586732208422.0,2021-06-04 23:59:59.999000064,243808532.7373267,586748,13540207242373.0,119600290.39728864,0
2021-06-05,2021-06-05 00:00:00.000000000,8.8e-06,9.12e-06,8.1e-06,8.42e-06,15138731370984.0,2021-06-05 23:59:59.999000064,130726634.694019,349263,7473434794774.0,64629807.99824666,0
2021-06-06,2021-06-06 00:00:00.000000000,8.42e-06,8.63e-06,8.33e-06,8.53e-06,8718852058711.0,2021-06-06 23:59:59.999000064,73794499.08852462,218646,4554424333248.0,38577179.42623539,0
2021-06-07,2021-06-07 00:00:00.000000000,8.52e-06,8.72e-06,7.5e-06,7.74e-06,14317490957225.0,2021-06-07 23:59:59.999000064,117446572.56656782,358605,6785878586891.0,55771872.13684126,0
2021-06-08,2021-06-08 00:00:00.000000000,7.74e-06,7.87e-06,6.3e-06,7.15e-06,32407835420356.0,2021-06-08 23:59:59.999000064,231715942.816004,593214,15511352053473.0,111151273.71267794,0
2021-06-09,2021-06-09 00:00:00.000000000,7.16e-06,7.6e-06,6.83e-06,7.38e-06,21333278224709.0,2021-06-09 23:59:59.999000064,154023170.41850433,395131,11300800900840.0,81644782.66280428,0
2021-06-10,2021-06-10 00:00:00.000000000,7.39e-06,7.43e-06,6.78e-06,6.84e-06,15982745660312.0,2021-06-10 23:59:59.999000064,112975025.97586842,328641,8276750487412.0,58538374.81353322,0
2021-06-11,2021-06-11 00:00:00.000000000,6.84e-06,6.9e-06,6.01e-06,6.21e-06,16654567843743.0,2021-06-11 23:59:59.999000064,110033378.68311614,317215,8694066771743.0,57541767.76375971,0
2021-06-12,2021-06-12 00:00:00.000000000,6.21e-06,6.55e-06,5.51e-06,6.28e-06,28186259522494.0,2021-06-12 23:59:59.999000064,169016554.58311996,408179,14418350877523.0,86537632.63071749,0
2021-06-13,2021-06-13 00:00:00.000000000,6.27e-06,7.15e-06,6.05e-06,6.85e-06,20763576566343.0,2021-06-13 23:59:59.999000064,135365251.92752805,335795,10884051881284.0,70976706.5137232,0
2021-06-14,2021-06-14 00:00:00.000000000,6.84e-06,7.21e-06,6.67e-06,7.09e-06,17240978312423.0,2021-06-14 23:59:59.999000064,119590071.7288144,329979,9000931099723.0,62476902.08977495,0
2021-06-15,2021-06-15 00:00:00.000000000,7.08e-06,9.88e-06,6.93e-06,9.03e-06,55757151596139.0,2021-06-15 23:59:59.999000064,477301500.72719103,988253,29031298640622.0,247983406.20448124,0
2021-06-16,2021-06-16 00:00:00.000000000,9.02e-06,9.29e-06,8.14e-06,8.31e-06,46228329919729.0,2021-06-16 23:59:59.999000064,404310783.907428,815354,23719384726756.0,207778887.85072088,0
2021-06-17,2021-06-17 00:00:00.000000000,8.32e-06,8.5e-06,7.72e-06,7.95e-06,27604953266364.0,2021-06-17 23:59:59.999000064,222173239.0489482,462193,13970228136272.0,112513700.84125756,0
2021-06-18,2021-06-18 00:00:00.000000000,7.95e-06,7.98e-06,7e-06,7.26e-06,23594476054170.0,2021-06-18 23:59:59.999000064,173380433.24408343,418372,11610425214204.0,85434237.15502869,0
2021-06-19,2021-06-19 00:00:00.000000000,7.26e-06,8.49e-06,7.19e-06,7.62e-06,33512449142630.0,2021-06-19 23:59:59.999000064,259972359.41927367,556674,16725735566166.0,129809240.5629216,0
