Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-08-11,2020-08-11 00:00:00.000000000,0.11,5.0,0.11,1.5629,60097839.17,2020-08-11 23:59:59.999000064,78655176.417747,123107,28521156.15,37623804.132432,0
2020-08-12,2020-08-12 00:00:00.000000000,1.5609,1.985,1.555,1.6658,68986888.28,2020-08-12 23:59:59.999000064,124148723.53036,169374,33570078.05,60486743.924935,0
2020-08-13,2020-08-13 00:00:00.000000000,1.6609,2.23,1.62,2.0068,33962576.51,2020-08-13 23:59:59.999000064,66494572.745646,107458,16431426.49,32163834.750081,0
2020-08-14,2020-08-14 00:00:00.000000000,2.0066,2.1469,1.8,1.8574,14275597.59,2020-08-14 23:59:59.999000064,28306570.83994,56635,6667473.35,13261792.832335,0
2020-08-15,2020-08-15 00:00:00.000000000,1.86,1.9287,1.64,1.6651,10974441.78,2020-08-15 23:59:59.999000064,19466910.255975,38151,5435569.27,9658507.066026,0
2020-08-16,2020-08-16 00:00:00.000000000,1.6629,1.85,1.5173,1.73,10224160.88,2020-08-16 23:59:59.999000064,17444587.629431,36409,5151963.04,8790143.142747,0
2020-08-17,2020-08-17 00:00:00.000000000,1.7313,1.7869,1.625,1.6503,5436284.29,2020-08-17 23:59:59.999000064,9259133.390666,19846,2640756.1,4508047.838723,0
2020-08-18,2020-08-18 00:00:00.000000000,1.6504,1.7998,1.5252,1.6714,6518368.37,2020-08-18 23:59:59.999000064,10882240.002607,22112,3138044.24,5255470.513873,0
2020-08-19,2020-08-19 00:00:00.000000000,1.6669,1.77,1.55,1.5993,4227230.65,2020-08-19 23:59:59.999000064,6929999.814358,16693,1814795.51,2988803.717584,0
2020-08-20,2020-08-20 00:00:00.000000000,1.5994,1.789,1.595,1.7748,3816748.6,2020-08-20 23:59:59.999000064,6446699.834701,14210,1916053.95,3244743.482198,0
2020-08-21,2020-08-21 00:00:00.000000000,1.7711,1.774,1.5,1.5098,4208793.15,2020-08-21 23:59:59.999000064,6835969.477532,15292,1550382.54,2518914.930469,0
2020-08-22,2020-08-22 00:00:00.000000000,1.5098,1.5656,1.41,1.5425,2832406.14,2020-08-22 23:59:59.999000064,4280374.427551,9775,1241896.6,1879940.205513,0
2020-08-23,2020-08-23 00:00:00.000000000,1.5445,1.5961,1.4657,1.5307,2298987.2,2020-08-23 23:59:59.999000064,3497464.046502,8185,1039822.36,1582595.913359,0
2020-08-24,2020-08-24 00:00:00.000000000,1.5307,1.8456,1.5028,1.8354,10285232.94,2020-08-24 23:59:59.999000064,17705549.954306,34643,4517721.11,7763859.547099,0
2020-08-25,2020-08-25 00:00:00.000000000,1.8354,1.8779,1.571,1.6721,6069308.57,2020-08-25 23:59:59.999000064,10293749.283214,23739,2545833.26,4331111.679661,0
2020-08-26,2020-08-26 00:00:00.000000000,1.6721,2.107,1.6461,2.0703,13917619.5,2020-08-26 23:59:59.999000064,26837327.770429,57803,7157230.29,13785137.776661,0
2020-08-27,2020-08-27 00:00:00.000000000,2.0702,2.6,2.0205,2.5395,24969423.25,2020-08-27 23:59:59.999000064,58800194.292275,112245,11998544.6,28287659.928831,0
2020-08-28,2020-08-28 00:00:00.000000000,2.5344,2.8,2.3203,2.4149,19833979.34,2020-08-28 23:59:59.999000064,50938106.417151,104276,9513521.95,24462030.925875,0
