Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-04-10,2019-04-10 00:00:00.000000000,0.135,0.135,0.12,0.12343,3319767.6,2019-04-10 23:59:59.999000064,414082.418291,2741,1078300.6,134693.106668,0
2019-04-11,2019-04-11 00:00:00.000000000,0.12343,0.12449,0.10421,0.11013,3777898.0,2019-04-11 23:59:59.999000064,427848.311035,2974,1701034.2,192672.352383,0
2019-04-12,2019-04-12 00:00:00.000000000,0.11013,0.11913,0.1042,0.11508,2312405.2,2019-04-12 23:59:59.999000064,255543.563088,2158,1111036.6,122406.633756,0
2019-04-13,2019-04-13 00:00:00.000000000,0.11438,0.11745,0.11126,0.11745,995522.7,2019-04-13 23:59:59.999000064,114129.780442,1230,530479.4,61056.127019,0
2019-04-14,2019-04-14 00:00:00.000000000,0.1165,0.12499,0.11582,0.12112,3087031.6,2019-04-14 23:59:59.999000064,373835.839296,2732,1659660.2,201417.896248,0
2019-04-15,2019-04-15 00:00:00.000000000,0.12101,0.12499,0.11501,0.11802,3399937.6,2019-04-15 23:59:59.999000064,405500.583373,2593,1656074.6,198695.126283,0
2019-04-16,2019-04-16 00:00:00.000000000,0.11801,0.13679,0.11735,0.13142,7731994.5,2019-04-16 23:59:59.999000064,987249.336173,5418,3322269.3,423740.659365,0
2019-04-17,2019-04-17 00:00:00.000000000,0.1315,0.13509,0.12559,0.1279,7176562.6,2019-04-17 23:59:59.999000064,935226.289092,4033,1951388.7,254519.597779,0
2019-04-18,2019-04-18 00:00:00.000000000,0.1274,0.13077,0.1245,0.12599,3747363.9,2019-04-18 23:59:59.999000064,473628.369103,3081,1323871.1,167804.632508,0
2019-04-19,2019-04-19 00:00:00.000000000,0.126,0.1295,0.1192,0.12189,2943550.5,2019-04-19 23:59:59.999000064,360007.005092,2737,993686.1,122184.749879,0
2019-04-20,2019-04-20 00:00:00.000000000,0.12189,0.126,0.11934,0.1234,2258118.4,2019-04-20 23:59:59.999000064,277055.306022,2574,1081117.8,133026.585507,0
2019-04-21,2019-04-21 00:00:00.000000000,0.12365,0.12441,0.10957,0.114,3573719.2,2019-04-21 23:59:59.999000064,410664.065902,3129,1777329.9,204350.966642,0
2019-04-22,2019-04-22 00:00:00.000000000,0.11403,0.1188,0.1108,0.11187,1819709.8,2019-04-22 23:59:59.999000064,206876.229788,1951,801294.0,91374.536095,0
2019-04-23,2019-04-23 00:00:00.000000000,0.11192,0.11741,0.10884,0.10999,2384803.7,2019-04-23 23:59:59.999000064,264397.722315,2034,843743.3,94030.758688,0
2019-04-24,2019-04-24 00:00:00.000000000,0.10934,0.11326,0.0934,0.09951,4644741.5,2019-04-24 23:59:59.999000064,466651.452814,3391,1738398.8,173607.614794,0
2019-04-25,2019-04-25 00:00:00.000000000,0.0996,0.1035,0.09,0.09567,3636529.2,2019-04-25 23:59:59.999000064,352630.124659,2482,1799441.9,174022.986211,0
2019-04-26,2019-04-26 00:00:00.000000000,0.09567,0.10889,0.09326,0.10444,4509943.8,2019-04-26 23:59:59.999000064,462627.11142,3225,1830484.7,188245.161823,0
2019-04-27,2019-04-27 00:00:00.000000000,0.104,0.1059,0.0998,0.10277,1716478.1,2019-04-27 23:59:59.999000064,176332.208519,1357,932971.8,96424.802833,0
2019-04-28,2019-04-28 00:00:00.000000000,0.10285,0.10363,0.09825,0.09979,2081797.4,2019-04-28 23:59:59.999000064,209867.164723,1303,678200.8,68524.309611,0
2019-04-29,2019-04-29 00:00:00.000000000,0.09975,0.10049,0.088,0.09061,2793456.9,2019-04-29 23:59:59.999000064,259203.203711,1839,1196655.3,111074.529432,0
2019-04-30,2019-04-30 00:00:00.000000000,0.09062,0.09772,0.08921,0.09433,1830803.2,2019-04-30 23:59:59.999000064,168180.956886,1353,1018124.4,93447.160841,0
2019-05-01,2019-05-01 00:00:00.000000000,0.094,0.09964,0.09301,0.09635,2088157.5,2019-05-01 23:59:59.999000064,201011.550605,1962,1053609.7,101562.064838,0
2019-05-02,2019-05-02 00:00:00.000000000,0.09634,0.09946,0.09451,0.09566,1358919.8,2019-05-02 23:59:59.999000064,131121.516371,1037,623752.7,60228.438456,0
2019-05-03,2019-05-03 00:00:00.000000000,0.09489,0.0973,0.0933,0.09668,1791179.7,2019-05-03 23:59:59.999000064,170947.501545,1720,900029.4,86104.922601,0
2019-05-04,2019-05-04 00:00:00.000000000,0.09668,0.09668,0.087,0.09055,2680412.5,2019-05-04 23:59:59.999000064,244218.704474,2185,1032695.0,94138.245306,0
2019-05-05,2019-05-05 00:00:00.000000000,0.0902,0.09068,0.08621,0.08753,1802792.0,2019-05-05 23:59:59.999000064,158639.225975,1739,857195.4,75614.53663,0
2019-05-06,2019-05-06 00:00:00.000000000,0.08753,0.09441,0.08654,0.09088,2133515.3,2019-05-06 23:59:59.999000064,193997.644828,2089,918829.3,83720.658678,0
2019-05-07,2019-05-07 00:00:00.000000000,0.09161,0.09277,0.08484,0.0854,2932442.5,2019-05-07 23:59:59.999000064,260472.896369,2478,1204483.6,106994.099783,0
2019-05-08,2019-05-08 00:00:00.000000000,0.08543,0.09333,0.08206,0.08679,3351645.7,2019-05-08 23:59:59.999000064,283791.546315,2193,1607005.7,136461.423156,0
2019-05-09,2019-05-09 00:00:00.000000000,0.0866,0.08717,0.078,0.07893,4037506.0,2019-05-09 23:59:59.999000064,328546.939279,2707,1644213.3,134166.405079,0
2019-05-10,2019-05-10 00:00:00.000000000,0.07974,0.088,0.0775,0.08651,3757104.8,2019-05-10 23:59:59.999000064,313951.920655,2502,1894968.8,158096.356746,0
2019-05-11,2019-05-11 00:00:00.000000000,0.08651,0.09282,0.08456,0.089,5359214.4,2019-05-11 23:59:59.999000064,477583.693354,2858,2718759.7,242814.307135,0
2019-05-12,2019-05-12 00:00:00.000000000,0.08849,0.09196,0.08423,0.08633,4339247.8,2019-05-12 23:59:59.999000064,383491.385524,2660,1873643.4,165451.913945,0
2019-05-13,2019-05-13 00:00:00.000000000,0.086,0.09999,0.0856,0.0897,11136536.9,2019-05-13 23:59:59.999000064,1055535.726105,6899,5046566.0,479311.26747,0
2019-05-14,2019-05-14 00:00:00.000000000,0.08972,0.11698,0.08934,0.10194,14592973.7,2019-05-14 23:59:59.999000064,1494900.468995,9674,6245043.1,636727.860735,0
2019-05-15,2019-05-15 00:00:00.000000000,0.10192,0.125,0.10142,0.11794,10426696.2,2019-05-15 23:59:59.999000064,1186622.378264,6616,5018742.1,571271.579994,0
2019-05-16,2019-05-16 00:00:00.000000000,0.11794,0.12524,0.1056,0.11342,11602012.9,2019-05-16 23:59:59.999000064,1311470.831268,6879,5953631.3,672393.50843,0
2019-05-17,2019-05-17 00:00:00.000000000,0.11342,0.1147,0.09495,0.114,16911826.6,2019-05-17 23:59:59.999000064,1799004.583951,9122,6962725.2,743185.464361,0
