Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2018-06-11,2018-06-11 00:00:00.000000000,0.05,0.05,0.04258,0.0484,72569508.9,2018-06-11 23:59:59.999000064,3361609.582839,7222,32380265.5,1497237.301882,0
2018-06-12,2018-06-12 00:00:00.000000000,0.04837,0.04849,0.04081,0.0433,189962494.5,2018-06-12 23:59:59.999000064,8585564.51419,19753,96516684.9,4357199.772461,0
2018-06-13,2018-06-13 00:00:00.000000000,0.04332,0.04476,0.03726,0.04098,468993557.7,2018-06-13 23:59:59.999000064,19187027.806684,28599,271299694.0,11110419.424175,0
2018-06-14,2018-06-14 00:00:00.000000000,0.04093,0.04574,0.03992,0.04505,488364234.2,2018-06-14 23:59:59.999000064,21025184.113756,30362,277889582.6,11931281.620452,0
2018-06-15,2018-06-15 00:00:00.000000000,0.04506,0.04592,0.04149,0.04232,406097492.9,2018-06-15 23:59:59.999000064,17896654.30456,22723,261870999.0,11532723.571548,0
2018-06-16,2018-06-16 00:00:00.000000000,0.04229,0.0436,0.04085,0.04295,353640751.6,2018-06-16 23:59:59.999000064,15095982.705576,17408,259186864.6,11069186.304882,0
2018-06-17,2018-06-17 00:00:00.000000000,0.04294,0.0435,0.04219,0.04234,321205248.9,2018-06-17 23:59:59.999000064,13793136.002413,15759,230942547.8,9918318.602056,0
2018-06-18,2018-06-18 00:00:00.000000000,0.04235,0.046,0.04111,0.04509,444293609.8,2018-06-18 23:59:59.999000064,19249453.949335,23149,302583094.8,13052093.751281,0
2018-06-19,2018-06-19 00:00:00.000000000,0.0451,0.05216,0.0443,0.04965,682069690.9,2018-06-19 23:59:59.999000064,32853106.874366,39910,374012173.7,17920703.352147,0
2018-06-20,2018-06-20 00:00:00.000000000,0.04967,0.05036,0.04542,0.0498,627484487.3,2018-06-20 23:59:59.999000064,30193991.336123,36550,367731316.2,17717635.912194,0
2018-06-21,2018-06-21 00:00:00.000000000,0.04979,0.05092,0.0473,0.0487,487517074.1,2018-06-21 23:59:59.999000064,23838384.090612,26301,325704712.5,15925667.35949,0
2018-06-22,2018-06-22 00:00:00.000000000,0.04868,0.0493,0.04125,0.0427,704300814.0,2018-06-22 23:59:59.999000064,31403983.423687,38416,428462937.1,19184819.281091,0
2018-06-23,2018-06-23 00:00:00.000000000,0.04271,0.04496,0.04206,0.044,410180684.7,2018-06-23 23:59:59.999000064,17877406.208222,21061,265229126.2,11556859.38258,0
2018-06-24,2018-06-24 00:00:00.000000000,0.04397,0.04444,0.03755,0.04205,674573640.7,2018-06-24 23:59:59.999000064,27607972.202344,33572,391210054.9,16017823.551457,0
2018-06-25,2018-06-25 00:00:00.000000000,0.04205,0.04372,0.04075,0.04208,331759214.9,2018-06-25 23:59:59.999000064,13938548.870342,22477,165353359.4,6945867.527469,0
2018-06-26,2018-06-26 00:00:00.000000000,0.04208,0.0423,0.03729,0.03737,214435118.9,2018-06-26 23:59:59.999000064,8533355.408084,15547,104600476.0,4168895.196864,0
2018-06-27,2018-06-27 00:00:00.000000000,0.03736,0.03996,0.03666,0.03888,266803436.0,2018-06-27 23:59:59.999000064,10210889.294191,17461,140624357.5,5387223.761301,0
2018-06-28,2018-06-28 00:00:00.000000000,0.03895,0.03981,0.03562,0.03605,355103306.8,2018-06-28 23:59:59.999000064,13528996.990282,24030,172802016.5,6587292.210672,0
2018-06-29,2018-06-29 00:00:00.000000000,0.03596,0.03719,0.03315,0.03638,616344265.0,2018-06-29 23:59:59.999000064,21703124.919016,33047,344153530.1,12129117.244414,0
2018-06-30,2018-06-30 00:00:00.000000000,0.03645,0.03997,0.03587,0.03756,721706327.6,2018-06-30 23:59:59.999000064,27123204.876569,56224,379729451.8,14253964.478805,0
2018-07-01,2018-07-01 00:00:00.000000000,0.0376,0.03784,0.03601,0.03665,323005581.9,2018-07-01 23:59:59.999000064,11878221.254305,34622,155019411.3,5703295.730829,0
