Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-02-25,2022-02-25 00:00:00.000000000,0.1168,0.1267,0.0982,0.125,141615153.7,2022-02-25 23:59:59.999000064,15722236.35412,37301,60425383.8,6735291.29698,0
2022-02-26,2022-02-26 00:00:00.000000000,0.1251,0.142,0.1153,0.1398,174693096.2,2022-02-26 23:59:59.999000064,22975432.67011,64414,84323238.6,11131640.98017,0
2022-02-27,2022-02-27 00:00:00.000000000,0.1396,0.1891,0.1241,0.1711,512319648.4,2022-02-27 23:59:59.999000064,81542889.12333,224939,259591763.2,41438867.24301,0
2022-02-28,2022-02-28 00:00:00.000000000,0.1711,0.182,0.1556,0.1733,245227150.5,2022-02-28 23:59:59.999000064,41451405.19072,114820,102376331.5,17377142.46603,0
2022-03-01,2022-03-01 00:00:00.000000000,0.1736,0.1939,0.1659,0.1816,152107604.2,2022-03-01 23:59:59.999000064,27644483.79794,65589,73373571.9,13362884.57481,0
2022-03-02,2022-03-02 00:00:00.000000000,0.1816,0.2327,0.1785,0.1898,667071027.7,2022-03-02 23:59:59.999000064,138201949.5273,205599,355000397.9,73748458.33351,0
2022-03-03,2022-03-03 00:00:00.000000000,0.1897,0.1897,0.1632,0.1692,86238398.2,2022-03-03 23:59:59.999000064,14894310.65082,50396,39511261.7,6819707.28784,0
2022-03-04,2022-03-04 00:00:00.000000000,0.1692,0.1694,0.1513,0.1554,80738254.5,2022-03-04 23:59:59.999000064,12849909.29164,37843,33344653.7,5282933.08398,0
2022-03-05,2022-03-05 00:00:00.000000000,0.1555,0.1641,0.1527,0.1572,48087560.8,2022-03-05 23:59:59.999000064,7624388.61145,21207,19867864.4,3152334.03951,0
2022-03-06,2022-03-06 00:00:00.000000000,0.1572,0.1575,0.1436,0.145,28125958.5,2022-03-06 23:59:59.999000064,4181101.85649,14703,15080584.7,2236213.10106,0
2022-03-07,2022-03-07 00:00:00.000000000,0.1448,0.1449,0.1341,0.1372,35694860.3,2022-03-07 23:59:59.999000064,4921459.87272,14326,15896403.2,2188489.64079,0
2022-03-08,2022-03-08 00:00:00.000000000,0.1372,0.1415,0.1331,0.1364,20026928.6,2022-03-08 23:59:59.999000064,2743713.34899,9253,9754773.2,1338192.40637,0
2022-03-09,2022-03-09 00:00:00.000000000,0.1363,0.1416,0.1339,0.1387,23806355.5,2022-03-09 23:59:59.999000064,3285462.98032,12354,10064100.0,1391849.92347,0
2022-03-10,2022-03-10 00:00:00.000000000,0.1387,0.139,0.1262,0.13,17947432.3,2022-03-10 23:59:59.999000064,2338237.61442,7436,7484373.7,973809.83021,0
2022-03-11,2022-03-11 00:00:00.000000000,0.13,0.1306,0.1225,0.1244,17259702.3,2022-03-11 23:59:59.999000064,2159847.86142,6269,6512398.9,815171.87596,0
2022-03-12,2022-03-12 00:00:00.000000000,0.1241,0.126,0.1224,0.1225,13956487.8,2022-03-12 23:59:59.999000064,1728096.68624,4911,6668328.7,825758.37908,0
2022-03-13,2022-03-13 00:00:00.000000000,0.1225,0.1235,0.1156,0.1162,18859115.8,2022-03-13 23:59:59.999000064,2263948.46491,6089,8421605.9,1012539.59329,0
2022-03-14,2022-03-14 00:00:00.000000000,0.1159,0.1353,0.1149,0.124,74932693.1,2022-03-14 23:59:59.999000064,9455267.65862,24260,34489440.6,4344240.56359,0
2022-03-15,2022-03-15 00:00:00.000000000,0.1236,0.1241,0.117,0.1203,14270325.3,2022-03-15 23:59:59.999000064,1706861.63355,5938,5872984.6,701827.78371,0
2022-03-16,2022-03-16 00:00:00.000000000,0.1203,0.1236,0.1165,0.1226,18647636.8,2022-03-16 23:59:59.999000064,2228822.67811,7718,8350895.0,999602.10944,0
2022-03-17,2022-03-17 00:00:00.000000000,0.1227,0.1368,0.1203,0.1257,58786050.1,2022-03-17 23:59:59.999000064,7555734.12104,21182,27796440.1,3578948.85306,0
2022-03-18,2022-03-18 00:00:00.000000000,0.126,0.135,0.123,0.1295,47161925.2,2022-03-18 23:59:59.999000064,6068667.8171,15700,22301246.4,2873977.64158,0
2022-03-19,2022-03-19 00:00:00.000000000,0.1295,0.1311,0.1269,0.1291,20334872.1,2022-03-19 23:59:59.999000064,2620611.40176,8888,9132829.8,1178827.56412,0
2022-03-20,2022-03-20 00:00:00.000000000,0.1292,0.1307,0.1229,0.1259,15371681.5,2022-03-20 23:59:59.999000064,1949853.22607,7172,8584583.1,1089968.39814,0
2022-03-21,2022-03-21 00:00:00.000000000,0.1259,0.1288,0.1218,0.1238,16669494.8,2022-03-21 23:59:59.999000064,2072422.9527,8857,7267191.9,904850.25234,0
2022-03-22,2022-03-22 00:00:00.000000000,0.1235,0.1269,0.1228,0.1245,11938300.5,2022-03-22 23:59:59.999000064,1493639.3094,8160,5460438.3,684085.30884,0
2022-03-23,2022-03-23 00:00:00.000000000,0.1245,0.1255,0.122,0.1255,13996541.3,2022-03-23 23:59:59.999000064,1728154.01438,7483,7515732.3,927989.65807,0
2022-03-24,2022-03-24 00:00:00.000000000,0.1253,0.1281,0.1238,0.1268,25705226.8,2022-03-24 23:59:59.999000064,3243924.74085,14438,12786591.4,1613920.12228,0
2022-03-25,2022-03-25 00:00:00.000000000,0.1269,0.1285,0.1239,0.1246,15931267.4,2022-03-25 23:59:59.999000064,2011661.67692,7984,7059340.1,892296.71837,0
