Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-09-10,2021-09-10 00:00:00.000000000,1.0,2.0,0.9993,1.0,24419760.26,2021-09-10 23:59:59.999000064,26885254.853901,36896,11365738.52,12544582.370097,0
2021-09-11,2021-09-11 00:00:00.000000000,1.0,1.0001,0.9998,1.0001,1380298.52,2021-09-11 23:59:59.999000064,1380200.761143,2055,482405.46,482437.918749,0
2021-09-12,2021-09-12 00:00:00.000000000,1.0,1.0001,0.9996,0.9997,1925037.1,2021-09-12 23:59:59.999000064,1924686.722464,1336,454405.92,454430.596429,0
2021-09-13,2021-09-13 00:00:00.000000000,0.9997,1.0003,0.9995,0.9995,4129191.79,2021-09-13 23:59:59.999000064,4128716.916161,3129,1977227.38,1977387.630149,0
2021-09-14,2021-09-14 00:00:00.000000000,0.9995,0.9999,0.9994,0.9996,2816500.65,2021-09-14 23:59:59.999000064,2815616.506395,2099,1473326.42,1473059.61667,0
2021-09-15,2021-09-15 00:00:00.000000000,0.9996,1.0001,0.9996,0.9999,1903708.75,2021-09-15 23:59:59.999000064,1903312.89084,1246,899651.12,899569.897614,0
2021-09-16,2021-09-16 00:00:00.000000000,0.9996,1.0002,0.9996,0.9996,3842144.03,2021-09-16 23:59:59.999000064,3842039.29779,896,3518745.49,3518761.420386,0
2021-09-17,2021-09-17 00:00:00.000000000,0.9996,1.0,0.9996,1.0,972616.85,2021-09-17 23:59:59.999000064,972403.005681,6122,464646.11,464594.999262,0
2021-09-18,2021-09-18 00:00:00.000000000,1.0,1.0,0.9997,1.0,602975.51,2021-09-18 23:59:59.999000064,602903.376403,5760,299157.89,299155.867702,0
2021-09-19,2021-09-19 00:00:00.000000000,1.0,1.0,0.9996,0.9996,1104555.11,2021-09-19 23:59:59.999000064,1104238.484812,614,270721.46,270699.111828,0
2021-09-20,2021-09-20 00:00:00.000000000,0.9996,1.0004,0.9996,1.0,2029826.4,2021-09-20 23:59:59.999000064,2029950.435841,3843,1292192.23,1292443.900518,0
2021-09-21,2021-09-21 00:00:00.000000000,1.0,1.0006,0.9999,1.0006,2035809.53,2021-09-21 23:59:59.999000064,2036475.624945,926,1645303.32,1645986.558923,0
2021-09-22,2021-09-22 00:00:00.000000000,1.0006,1.0006,0.9997,0.9997,1535320.62,2021-09-22 23:59:59.999000064,1535190.079759,948,504388.56,504420.915124,0
2021-09-23,2021-09-23 00:00:00.000000000,0.9997,1.0,0.9994,0.9996,1573248.35,2021-09-23 23:59:59.999000064,1572540.31813,628,1094732.65,1094289.639471,0
2021-09-24,2021-09-24 00:00:00.000000000,0.9995,0.9996,0.9992,0.9995,1513970.62,2021-09-24 23:59:59.999000064,1513174.515911,736,928607.24,928177.773777,0
2021-09-25,2021-09-25 00:00:00.000000000,0.9992,1.0,0.9991,0.9991,4407328.74,2021-09-25 23:59:59.999000064,4405798.480603,534,3773675.35,3772662.007612,0
2021-09-26,2021-09-26 00:00:00.000000000,0.9991,1.0032,0.9991,0.9997,3644546.11,2021-09-26 23:59:59.999000064,3643506.479921,2284,2933353.4,2932738.186034,0
2021-09-27,2021-09-27 00:00:00.000000000,0.9997,1.0,0.9993,0.9995,4539139.95,2021-09-27 23:59:59.999000064,4537113.21492,1639,1747258.73,1746815.75536,0
2021-09-28,2021-09-28 00:00:00.000000000,0.9995,1.0001,0.9995,0.9999,1525189.42,2021-09-28 23:59:59.999000064,1524881.602909,1117,1257947.73,1257766.13435,0
2021-09-29,2021-09-29 00:00:00.000000000,0.9999,1.0002,0.9993,1.0002,915663.73,2021-09-29 23:59:59.999000064,915573.076928,1323,565254.24,565258.028142,0
2021-09-30,2021-09-30 00:00:00.000000000,1.0002,1.0002,0.9998,0.9999,1731328.82,2021-09-30 23:59:59.999000064,1731341.190474,2758,694319.68,694421.280129,0
2021-10-01,2021-10-01 00:00:00.000000000,0.9999,1.0002,0.9994,0.9994,2938790.38,2021-10-01 23:59:59.999000064,2938092.451376,1204,1275593.58,1275474.724146,0
2021-10-02,2021-10-02 00:00:00.000000000,0.9996,0.9997,0.9993,0.9993,1172334.86,2021-10-02 23:59:59.999000064,1171664.564212,1247,294540.38,294443.757091,0
2021-10-03,2021-10-03 00:00:00.000000000,0.9997,0.9998,0.9991,0.9993,2864254.13,2021-10-03 23:59:59.999000064,2862553.149915,1249,1092433.75,1092075.630537,0
2021-10-04,2021-10-04 00:00:00.000000000,0.9991,0.9999,0.9991,0.9994,3319546.55,2021-10-04 23:59:59.999000064,3318177.940621,1709,2885046.84,2883988.249108,0
2021-10-05,2021-10-05 00:00:00.000000000,1.0,1.0,0.9993,0.9996,996809.13,2021-10-05 23:59:59.999000064,996324.392504,756,122546.21,122533.660543,0
2021-10-06,2021-10-06 00:00:00.000000000,0.9997,1.0001,0.9992,0.9996,5780699.89,2021-10-06 23:59:59.999000064,5778923.871249,1338,2552123.17,2551646.26996,0
2021-10-07,2021-10-07 00:00:00.000000000,1.0,1.0011,0.9996,0.9996,3966197.09,2021-10-07 23:59:59.999000064,3966307.498914,1118,2630103.56,2630174.68124,0
