Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2021-08-23,2021-08-23 00:00:00.000000000,0.1852,0.612,0.1852,0.3946,491461211.0,2021-08-23 23:59:59.999000064,211169564.2873,442512,248563285.0,107473720.0341,0
2021-08-24,2021-08-24 00:00:00.000000000,0.3945,0.4567,0.3056,0.3298,198927038.0,2021-08-24 23:59:59.999000064,73240318.7631,166278,99580642.0,36898493.9627,0
2021-08-25,2021-08-25 00:00:00.000000000,0.3302,0.3669,0.2957,0.3479,184533304.0,2021-08-25 23:59:59.999000064,60557606.3756,150662,87105961.0,28700405.9111,0
2021-08-26,2021-08-26 00:00:00.000000000,0.3479,0.425,0.321,0.373,342080448.0,2021-08-26 23:59:59.999000064,127147680.4058,280340,166612612.0,62015576.7965,0
2021-08-27,2021-08-27 00:00:00.000000000,0.3728,0.415,0.3613,0.3857,181671821.0,2021-08-27 23:59:59.999000064,69628057.8665,163426,90712900.0,34767142.0442,0
2021-08-28,2021-08-28 00:00:00.000000000,0.3859,0.392,0.365,0.3775,106642956.0,2021-08-28 23:59:59.999000064,40222717.2583,91502,53026728.0,20026365.0957,0
2021-08-29,2021-08-29 00:00:00.000000000,0.3775,0.39,0.3479,0.3626,82664654.0,2021-08-29 23:59:59.999000064,30005697.5278,66810,40737114.0,14790071.0738,0
2021-08-30,2021-08-30 00:00:00.000000000,0.3626,0.375,0.337,0.3417,65075802.0,2021-08-30 23:59:59.999000064,22799514.6229,54248,29982242.0,10498111.0155,0
2021-08-31,2021-08-31 00:00:00.000000000,0.3411,0.355,0.33,0.3427,35577387.0,2021-08-31 23:59:59.999000064,12135702.0031,43983,18769186.0,6408973.4957,0
2021-09-01,2021-09-01 00:00:00.000000000,0.3426,0.3545,0.328,0.3486,36186327.0,2021-09-01 23:59:59.999000064,12380923.5472,42725,19352561.0,6624258.7764,0
2021-09-02,2021-09-02 00:00:00.000000000,0.3483,0.3708,0.3409,0.3666,68636890.0,2021-09-02 23:59:59.999000064,24630465.1525,61721,37774389.0,13577330.26,0
2021-09-03,2021-09-03 00:00:00.000000000,0.3668,0.367,0.3528,0.3596,36882319.0,2021-09-03 23:59:59.999000064,13230474.896,35605,21185633.0,7600570.1152,0
2021-09-04,2021-09-04 00:00:00.000000000,0.3594,0.38,0.349,0.378,41966846.0,2021-09-04 23:59:59.999000064,15093199.7142,39275,21769192.0,7834622.307,0
2021-09-05,2021-09-05 00:00:00.000000000,0.377,0.3784,0.3563,0.3611,31413565.0,2021-09-05 23:59:59.999000064,11391385.2784,30494,15926851.0,5778298.416,0
2021-09-06,2021-09-06 00:00:00.000000000,0.3606,0.3641,0.345,0.3555,26226362.0,2021-09-06 23:59:59.999000064,9352989.724,25127,13822436.0,4932265.4621,0
2021-09-07,2021-09-07 00:00:00.000000000,0.3556,0.3588,0.2324,0.2772,54700761.0,2021-09-07 23:59:59.999000064,16787077.8946,46726,31516585.0,9734516.3299,0
2021-09-08,2021-09-08 00:00:00.000000000,0.2772,0.3093,0.2441,0.2839,29487227.0,2021-09-08 23:59:59.999000064,8069049.1494,37906,14231614.0,3895407.6986,0
2021-09-09,2021-09-09 00:00:00.000000000,0.284,0.32,0.2735,0.3021,29830269.0,2021-09-09 23:59:59.999000064,8765308.9161,37494,15346511.0,4507787.5163,0
2021-09-10,2021-09-10 00:00:00.000000000,0.3017,0.31,0.268,0.2762,26266587.0,2021-09-10 23:59:59.999000064,7560015.994,39664,13501989.0,3884185.6743,0
2021-09-11,2021-09-11 00:00:00.000000000,0.276,0.334,0.2758,0.3226,50303389.0,2021-09-11 23:59:59.999000064,15331581.7366,60135,25509697.0,7784577.4495,0
2021-09-12,2021-09-12 00:00:00.000000000,0.3236,0.3271,0.2953,0.3096,20258084.0,2021-09-12 23:59:59.999000064,6185445.519,26433,10143320.0,3096814.1765,0
2021-09-13,2021-09-13 00:00:00.000000000,0.3092,0.31,0.2675,0.2819,17042852.0,2021-09-13 23:59:59.999000064,4848103.1709,20375,8611465.0,2452006.3129,0
2021-09-14,2021-09-14 00:00:00.000000000,0.2819,0.2891,0.2761,0.2883,11927296.0,2021-09-14 23:59:59.999000064,3373879.403,15639,5877133.0,1664389.269,0
2021-09-15,2021-09-15 00:00:00.000000000,0.2883,0.2919,0.2793,0.2918,13607032.0,2021-09-15 23:59:59.999000064,3887512.8387,12635,6306735.0,1803914.1378,0
2021-09-16,2021-09-16 00:00:00.000000000,0.2917,0.293,0.2785,0.2852,21311758.0,2021-09-16 23:59:59.999000064,6109110.2973,17728,10009106.0,2868206.2736,0
2021-09-17,2021-09-17 00:00:00.000000000,0.2852,0.2989,0.2781,0.2879,29149803.0,2021-09-17 23:59:59.999000064,8260900.3881,22707,16134840.0,4575200.2859,0
2021-09-18,2021-09-18 00:00:00.000000000,0.2877,0.291,0.2808,0.288,21027379.0,2021-09-18 23:59:59.999000064,6028967.6782,15555,9118515.0,2615172.8454,0
2021-09-19,2021-09-19 00:00:00.000000000,0.2877,0.2878,0.269,0.2728,13905023.0,2021-09-19 23:59:59.999000064,3862702.0953,13680,6675598.0,1854773.5587,0
2021-09-20,2021-09-20 00:00:00.000000000,0.2728,0.2808,0.2144,0.2259,38127461.0,2021-09-20 23:59:59.999000064,9138312.1095,29593,20512196.0,4893998.5422,0
2021-09-21,2021-09-21 00:00:00.000000000,0.2257,0.2325,0.1953,0.1999,30080326.0,2021-09-21 23:59:59.999000064,6550169.2096,24032,14760433.0,3202406.6841,0
2021-09-22,2021-09-22 00:00:00.000000000,0.2001,0.2313,0.1925,0.2285,24802000.0,2021-09-22 23:59:59.999000064,5306513.9082,20006,12947793.0,2769671.9363,0
2021-09-23,2021-09-23 00:00:00.000000000,0.2284,0.2727,0.22,0.2561,32079282.0,2021-09-23 23:59:59.999000064,7779695.7164,27940,16421207.0,3973690.6638,0
2021-09-24,2021-09-24 00:00:00.000000000,0.2558,0.2558,0.2108,0.2321,31383063.0,2021-09-24 23:59:59.999000064,7331692.5013,23810,17136266.0,4003932.6633,0
2021-09-25,2021-09-25 00:00:00.000000000,0.2318,0.2333,0.218,0.2252,9652537.0,2021-09-25 23:59:59.999000064,2185432.94,9617,4459337.0,1010952.9813,0
2021-09-26,2021-09-26 00:00:00.000000000,0.2256,0.2314,0.1982,0.2159,28331892.0,2021-09-26 23:59:59.999000064,5936985.844,17314,17943054.0,3739090.0817,0
2021-09-27,2021-09-27 00:00:00.000000000,0.2157,0.2224,0.206,0.206,13634667.0,2021-09-27 23:59:59.999000064,2944772.2792,12286,6604051.0,1426489.817,0
2021-09-28,2021-09-28 00:00:00.000000000,0.2059,0.2088,0.19,0.1946,22777593.0,2021-09-28 23:59:59.999000064,4589642.6599,39971,10352397.0,2087785.2492,0
2021-09-29,2021-09-29 00:00:00.000000000,0.1945,0.2069,0.1921,0.1979,19509090.0,2021-09-29 23:59:59.999000064,3914431.5577,22819,9881859.0,1982585.4646,0
2021-09-30,2021-09-30 00:00:00.000000000,0.1981,0.288,0.197,0.2346,242252677.0,2021-09-30 23:59:59.999000064,58027030.9488,147486,125217492.0,29998455.6207,0
2021-10-01,2021-10-01 00:00:00.000000000,0.2341,0.2745,0.2341,0.2628,81146307.0,2021-10-01 23:59:59.999000064,20585734.9417,65944,42404458.0,10763358.5947,0
2021-10-02,2021-10-02 00:00:00.000000000,0.2625,0.275,0.2526,0.2661,35633965.0,2021-10-02 23:59:59.999000064,9368506.8133,40767,18025455.0,4746088.0988,0
2021-10-03,2021-10-03 00:00:00.000000000,0.2661,0.3183,0.2598,0.294,80736867.0,2021-10-03 23:59:59.999000064,23949796.4369,70637,39912284.0,11850190.7036,0
